Date,Function,Bullish Asset vs Total Asset (%),Bullish Signal vs Total Signal (%),Total New Long Signal,Last 6 Month Top 10 Percentile No of Long Signal,Total New Short Signal,Last 6 Month Top 10 Percentile No of Short Signal,Today Long Signal Percentile From Top (Last 6 Month),Today Short Signal Percentile From Top (Last 6 Month)
2026-01-18,FRACTAL TRACK,3.77%,85.71%,,,,,,
2026-01-18,OSCILLATOR DELTA,0.0%,0%,,,,,,
2026-01-18,DELTADRIFT,1.26%,100.0%,,,,,,
2026-01-18,TRENDPULSE,3.77%,100.0%,,,,,,
2026-01-18,SIGMASHELL,0.0%,0%,,,,,,
2026-01-18,PULSEGAUGE,0.0%,0%,,,,,,
2026-01-18,BASELINEDIVERGENCE,0.0%,0%,,,,,,
2026-01-18,All Function Combined,8.81%,93.33%,,,,,,
2026-01-17,FRACTAL TRACK,3.77%,85.71%,,,,,,
2026-01-17,OSCILLATOR DELTA,0.0%,0%,,,,,,
2026-01-17,DELTADRIFT,1.26%,100.0%,,,,,,
2026-01-17,TRENDPULSE,3.77%,100.0%,,,,,,
2026-01-17,SIGMASHELL,0.0%,0%,,,,,,
2026-01-17,PULSEGAUGE,0.0%,0%,,,,,,
2026-01-17,BASELINEDIVERGENCE,0.0%,0%,,,,,,
2026-01-17,All Function Combined,8.81%,93.33%,,,,,,
2026-01-16,FRACTAL TRACK,0.63%,33.33%,,,,,,
2026-01-16,OSCILLATOR DELTA,0.63%,100.0%,,,,,,
2026-01-16,DELTADRIFT,0.0%,0%,,,,,,
2026-01-16,TRENDPULSE,2.52%,100.0%,,,,,,
2026-01-16,SIGMASHELL,0.0%,0%,,,,,,
2026-01-16,PULSEGAUGE,0.0%,0%,,,,,,
2026-01-16,BASELINEDIVERGENCE,0.0%,0%,,,,,,
2026-01-16,All Function Combined,3.77%,75.0%,,,,,,
2026-01-13,FRACTAL TRACK,1.26%,50.0%,,,,,,
2026-01-13,OSCILLATOR DELTA,0.0%,0%,,,,,,
2026-01-13,DELTADRIFT,1.26%,100.0%,,,,,,
2026-01-13,TRENDPULSE,6.92%,100.0%,,,,,,
2026-01-13,SIGMASHELL,0.0%,0%,,,,,,
2026-01-13,PULSEGAUGE,0.0%,0%,,,,,,
2026-01-13,BASELINEDIVERGENCE,0.0%,0%,,,,,,
2026-01-13,All Function Combined,8.81%,88.24%,,,,,,
2026-01-11,FRACTAL TRACK,1.26%,50.0%,,,,,,
2026-01-11,OSCILLATOR DELTA,0.63%,100.0%,,,,,,
2026-01-11,DELTADRIFT,0.0%,0%,,,,,,
2026-01-11,TRENDPULSE,4.4%,100.0%,,,,,,
2026-01-11,SIGMASHELL,0.0%,0%,,,,,,
2026-01-11,PULSEGAUGE,0.0%,0%,,,,,,
2026-01-11,BASELINEDIVERGENCE,0.0%,0%,,,,,,
2026-01-11,All Function Combined,6.29%,83.33%,,,,,,
2026-01-10,FRACTAL TRACK,1.26%,50.0%,,,,,,
2026-01-10,OSCILLATOR DELTA,0.63%,100.0%,,,,,,
2026-01-10,DELTADRIFT,0.0%,0%,,,,,,
2026-01-10,TRENDPULSE,4.4%,100.0%,,,,,,
2026-01-10,SIGMASHELL,0.0%,0%,,,,,,
2026-01-10,PULSEGAUGE,0.0%,0%,,,,,,
2026-01-10,BASELINEDIVERGENCE,0.0%,0%,,,,,,
2026-01-10,All Function Combined,6.29%,83.33%,,,,,,
2026-01-09,FRACTAL TRACK,0.63%,50.0%,,,,,,
2026-01-09,OSCILLATOR DELTA,0.0%,0%,,,,,,
2026-01-09,DELTADRIFT,0.0%,0%,,,,,,
2026-01-09,TRENDPULSE,0.63%,100.0%,,,,,,
2026-01-09,SIGMASHELL,0.0%,0%,,,,,,
2026-01-09,PULSEGAUGE,0.0%,0%,,,,,,
2026-01-09,BASELINEDIVERGENCE,0.0%,0%,,,,,,
2026-01-09,All Function Combined,0.63%,66.67%,,,,,,
2026-01-08,FRACTAL TRACK,0.63%,100.0%,,,,,,
2026-01-08,OSCILLATOR DELTA,0.63%,100.0%,,,,,,
2026-01-08,DELTADRIFT,0.0%,0%,,,,,,
2026-01-08,TRENDPULSE,1.89%,100.0%,,,,,,
2026-01-08,SIGMASHELL,0.0%,0%,,,,,,
2026-01-08,PULSEGAUGE,0.0%,0%,,,,,,
2026-01-08,BASELINEDIVERGENCE,0.0%,0%,,,,,,
2026-01-08,All Function Combined,3.14%,100.0%,,,,,,
2026-01-07,FRACTAL TRACK,1.89%,100.0%,,,,,,
2026-01-07,OSCILLATOR DELTA,0.0%,0%,,,,,,
2026-01-07,DELTADRIFT,0.0%,0%,,,,,,
2026-01-07,TRENDPULSE,5.66%,100.0%,,,,,,
2026-01-07,SIGMASHELL,0.0%,0%,,,,,,
2026-01-07,PULSEGAUGE,0.0%,0%,,,,,,
2026-01-07,BASELINEDIVERGENCE,0.0%,0%,,,,,,
2026-01-07,All Function Combined,6.29%,100.0%,,,,,,
2026-01-06,FRACTAL TRACK,0.0%,0%,,,,,,
2026-01-06,OSCILLATOR DELTA,0.0%,0%,,,,,,
2026-01-06,DELTADRIFT,0.0%,0%,,,,,,
2026-01-06,TRENDPULSE,1.26%,100.0%,,,,,,
2026-01-06,SIGMASHELL,0.0%,0%,,,,,,
2026-01-06,PULSEGAUGE,0.0%,0%,,,,,,
2026-01-06,BASELINEDIVERGENCE,0.0%,0%,,,,,,
2026-01-06,All Function Combined,1.26%,100.0%,,,,,,
2026-01-04,FRACTAL TRACK,3.77%,100.0%,,,,,,
2026-01-04,OSCILLATOR DELTA,0.63%,100.0%,,,,,,
2026-01-04,DELTADRIFT,0.63%,100.0%,,,,,,
2026-01-04,TRENDPULSE,1.26%,100.0%,,,,,,
2026-01-04,SIGMASHELL,0.63%,100.0%,,,,,,
2026-01-04,PULSEGAUGE,0.0%,0%,,,,,,
2026-01-04,BASELINEDIVERGENCE,0.0%,0%,,,,,,
2026-01-04,All Function Combined,6.29%,100.0%,,,,,,
2026-01-03,FRACTAL TRACK,3.77%,100.0%,,,,,,
2026-01-03,OSCILLATOR DELTA,0.63%,100.0%,,,,,,
2026-01-03,DELTADRIFT,0.63%,100.0%,,,,,,
2026-01-03,TRENDPULSE,1.26%,100.0%,,,,,,
2026-01-03,SIGMASHELL,0.63%,100.0%,,,,,,
2026-01-03,PULSEGAUGE,0.0%,0%,,,,,,
2026-01-03,BASELINEDIVERGENCE,0.0%,0%,,,,,,
2026-01-03,All Function Combined,6.29%,100.0%,,,,,,
2026-01-02,FRACTAL TRACK,0.0%,0%,,,,,,
2026-01-02,OSCILLATOR DELTA,0.0%,0%,,,,,,
2026-01-02,DELTADRIFT,0.0%,0%,,,,,,
2026-01-02,TRENDPULSE,0.0%,0%,,,,,,
2026-01-02,SIGMASHELL,0.0%,0%,,,,,,
2026-01-02,PULSEGAUGE,0.0%,0%,,,,,,
2026-01-02,BASELINEDIVERGENCE,0.0%,0%,,,,,,
2026-01-02,All Function Combined,0.0%,0%,,,,,,
2026-01-01,FRACTAL TRACK,3.14%,55.56%,,,,,,
2026-01-01,OSCILLATOR DELTA,0.0%,0%,,,,,,
2026-01-01,DELTADRIFT,0.0%,0%,,,,,,
2026-01-01,TRENDPULSE,5.03%,100.0%,,,,,,
2026-01-01,SIGMASHELL,0.0%,0%,,,,,,
2026-01-01,PULSEGAUGE,0.0%,0%,,,,,,
2026-01-01,BASELINEDIVERGENCE,0.0%,0%,,,,,,
2026-01-01,All Function Combined,7.55%,76.47%,,,,,,
2025-12-31,FRACTAL TRACK,0.0%,0.0%,,,,,,
2025-12-31,OSCILLATOR DELTA,0.0%,0%,,,,,,
2025-12-31,DELTADRIFT,0.63%,100.0%,,,,,,
2025-12-31,TRENDPULSE,1.26%,100.0%,,,,,,
2025-12-31,SIGMASHELL,0.0%,0%,,,,,,
2025-12-31,PULSEGAUGE,0.0%,0%,,,,,,
2025-12-31,BASELINEDIVERGENCE,0.0%,0%,,,,,,
2025-12-31,All Function Combined,1.89%,42.86%,,,,,,
2025-12-30,FRACTAL TRACK,0.63%,25.0%,,,,,,
2025-12-30,OSCILLATOR DELTA,0.0%,0%,,,,,,
2025-12-30,DELTADRIFT,0.0%,0%,,,,,,
2025-12-30,TRENDPULSE,1.26%,100.0%,,,,,,
2025-12-30,SIGMASHELL,0.0%,0%,,,,,,
2025-12-30,PULSEGAUGE,0.0%,0%,,,,,,
2025-12-30,BASELINEDIVERGENCE,0.0%,0%,,,,,,
2025-12-30,All Function Combined,1.89%,50.0%,,,,,,
2025-12-28,FRACTAL TRACK,2.52%,57.14%,,,,,,
2025-12-28,OSCILLATOR DELTA,0.0%,0%,,,,,,
2025-12-28,DELTADRIFT,0.63%,100.0%,,,,,,
2025-12-28,TRENDPULSE,4.4%,87.5%,,,,,,
