Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Today Trading Date/Price[$], Today Price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],"Win Rate [%], History Tested, Number of Trades","Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),SignalType,Signal Open Price,Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$]
DELTADRIFT,"HDFCBANK.NS, Long, 2026-01-16 (Price: 931.1)",Daily,No Exit Yet,No Price Target,2026-01-18 (Min),1.34%/3.18%,"0.0%, 0 days","2026-04-17 (Price: 799.9000), 14.09% below",972.534 (Historic Rise or Fall to Pivot)/960.709 (Avg % Gain of Historic Winning trades)/966.62 (Exit Rule)/1009.6 (Horizontal)/1299.7536 (F-Stack 1)/1565.406 (F-Stack 2)/976.84 (EMA 200)/1008.8468 (Backtested Max)/943.5767 (Backtested Min),2026-05-13 (Max)/2026-01-18 (Min)/2026-02-24 (Avg),925.45/640.9/762.8018/626.4465/No support/No support/No EMA 200 Support,"88.89%, Past 4 years, 9",No Information,No Information,No Information,No Information,No Information,No Information,8.35%/1.34%/3.18%,"4.83%, 8.72%",2.7 months/2 days/27 days,9.59%,4.97%,4.62%,0.63,0.25,86.49%/111/12 days (Across ALL Assets),78.66%/478/16 days (Across ALL Assets),portfolio_target_achieved,922.0,
OSCILLATOR DELTA,"EFN.TO, Long, 2026-01-15 (Price: 35.11)",Daily,No Exit Yet,No Price Target,2026-01-17 (Min),5.03%/6.28%,"0.0%, 0 days","2026-04-17 (Price: 32.7300), 6.78% below",37.3149 (Historic Rise or Fall to Pivot)/37.9504 (Avg % Gain of Historic Winning trades)/44.59 (Exit Rule)/48.884 (F-Stack 1)/73.5584 (F-Stack 2)/40.2536 (Backtested Max)/36.876 (Backtested Min),2026-07-07 (Max)/2026-01-17 (Min)/2026-03-16 (Avg),No Recent Minima/12.67/33.6344/24.2096/No support/33.1947/34.79,"70.59%, Past 6 years, 17",No Information,No Information,No Information,No Information,No Information,No Information,14.65%/5.03%/8.09%,"11.05%, 13.79%",4 months/2 days/1.4 month,8.48%,15.16%,-6.68%,0.24,0.8,88.52%/61/1.9 month (Across ALL Assets),68.58%/261/2.6 months (Across ALL Assets),portfolio_target_achieved,34.97,
DELTADRIFT,"HDB, Long, 2026-01-13 (Price: 33.2)",Daily,No Exit Yet,No Price Target,2026-01-14 (Min),3.49%/6.51%,"-2.08%, 2 days","2026-04-17 (Price: 27.5100), 17.14% below",36.2046 (Historic Rise or Fall to Pivot)/34.6276 (Avg % Gain of Historic Winning trades)/35.42 (Exit Rule)/39.3812 (Horizontal)/40.717 (F-Stack 1)/47.4928 (F-Stack 2)/36.22 (EMA 200)/37.7119 (Backtested Max)/33.6449 (Backtested Min),2026-04-27 (Max)/2026-02-12 (Avg),33.1/25.6925/32.7076/21.1884/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 4 years, 14",No Information,No Information,No Information,No Information,No Information,No Information,13.59%/1.34%/4.3%,"0%, 9.88%",2.4 months/1 day/21 days,20.91%,2.11%,18.8%,1.43,0.09,86.49%/111/12 days (Across ALL Assets),78.66%/478/16 days (Across ALL Assets),portfolio_target_achieved,33.51,
TRENDPULSE,"XLU, Long, 2026-01-13 (Price: 42.85)",Daily,No Exit Yet,43.68 (Exit Rule),No Date Target,0.56%/1.77%,"1.77%, 2 days","2026-04-17 (Price: 46.1600), 7.72% above",44.384 (Historic Rise or Fall to Pivot)/43.8527 (Avg % Gain of Historic Winning trades)/49.4858 (F-Stack 1)/65.2454 (F-Stack 2)/44.7268 (Backtested Max),2026-07-08 (Max)/2026-01-21 (Min)/2026-03-01 (Avg),41.87/29.6267/35.4254/30.3912/No F-Track Level/No F-Track Level/42.15,"88.46%, Past 4 years, 26",No Information,No Information,No Information,No Information,No Information,1.77% above/1.77% above/1.77% above,4.38%/0.63%/2.34%,"10.13%, 19.69%",4.1 months/6 days/1.1 month,9.58%,4.29%,5.29%,0.22,0.2,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets),portfolio_target_achieved,42.62,
TRENDPULSE,"BTI, Long, 2026-01-12 (Price: 55.68)",Daily,No Exit Yet,No Price Target,2026-01-17 (Min),4.51%/4.74%,"4.31%, 3 days","2026-04-17 (Price: 56.6800), 1.80% above",60.8304 (Historic Rise or Fall to Pivot)/71.16 (Exit Rule)/82.226 (F-Stack 1)/92.0468 (F-Stack 2)/60.7023 (Backtested Max),2026-05-31 (Max)/2026-01-17 (Min)/2026-02-20 (Avg),53.29/28.5067/52.4418/49.3734/No F-Track Level/No F-Track Level/51.09,"100.0%, Past 4 years, 11",No Information,No Information,No Information,No Information,No Information,5.24% above/4.31% above/4.31% above,9.02%/0.81%/3.05%,"0%, 8.72%",3.2 months/4 days/27 days,13.01%,4.6%,8.41%,1.21,0.22,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets),portfolio_target_achieved,55.26,
TRENDPULSE,"BRK-B, Long, 2026-01-09 (Price: 499.1)",Daily,No Exit Yet,No Price Target,2026-01-17 (Min),1.82%/2.02%,"-1.3%, 6 days","2026-04-17 (Price: 474.5800), 4.91% below",528.3473 (Historic Rise or Fall to Pivot)/513.8734 (Avg % Gain of Historic Winning trades)/501.6 (Exit Rule)/512.255 (Horizontal)/630.85 (F-Stack 1)/709.9376 (F-Stack 2)/524.1548 (Backtested Max)/502.5937 (Backtested Min),2026-03-15 (Max)/2026-01-17 (Min)/2026-01-26 (Avg),496.12/268.082/491.88/449.7662/No F-Track Level/No F-Track Level/497.22,"100.0%, Past 4 years, 19",No Information,No Information,No Information,No Information,No Information,1.3% below/1.3% below/1.3% below,5.02%/0.7%/2.96%,"0%, 7.4%",1.5 month/6 days/12 days,14.99%,9.63%,5.36%,2.13,0.58,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets),portfolio_target_achieved,498.94,
OSCILLATOR DELTA,"CNQ.TO, Long, 2026-01-09 (Price: 44.62)",Daily,No Exit Yet,No Price Target,2026-01-10 (Min),5.08%/8.97%,"0.0%, 0 days","2026-04-17 (Price: 58.8100), 31.80% above",54.0973 (Historic Rise or Fall to Pivot)/48.6224 (Avg % Gain of Historic Winning trades)/54.44 (Exit Rule)/51.51 (Horizontal)/57.5622 (F-Stack 1)/59.9244 (F-Stack 2)/54.0884 (Backtested Max)/46.8867 (Backtested Min),2026-08-31 (Max)/2026-01-10 (Min)/2026-03-02 (Avg),No Recent Minima/34.9317/44.0597/41.1349/No support/No support/43.52,"83.33%, Past 6 years, 18",No Information,No Information,No Information,No Information,No Information,No Information,21.22%/5.08%/8.97%,"11.79%, 15.09%",5.4 months/1 day/1.2 month,20.81%,10.71%,10.1%,0.63,0.53,88.52%/61/1.9 month (Across ALL Assets),68.58%/261/2.6 months (Across ALL Assets),portfolio_target_achieved,44.08,
TRENDPULSE,"ATD.TO, Long, 2026-01-08 (Price: 75.49)",Daily,No Exit Yet,No Price Target,2026-01-18 (Min),3.5%/3.57%,"-2.24%, 8 days","2026-04-17 (Price: 78.7300), 4.29% above",76.4336 (Historic Rise or Fall to Pivot)/78.2529 (Avg % Gain of Historic Winning trades)/78.6 (Exit Rule)/85.51 (Horizontal)/85.3936 (F-Stack 1)/96.14 (F-Stack 2)/78.9172 (Backtested Max)/76.3808 (Backtested Min),2026-07-18 (Max)/2026-01-18 (Min)/2026-04-26 (Avg),73.81/45.49/59.8475/53.4732/No F-Track Level/No F-Track Level/71.81,"100.0%, Past 4 years, 21",No Information,No Information,No Information,No Information,No Information,0.55% below/2.24% below/2.24% below,4.54%/1.18%/3.66%,"-0.0%, 15.84%",4.4 months/7 days/2.5 months,12.4%,6.76%,5.64%,3.05,0.35,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets),portfolio_target_achieved,74.19,
TRENDPULSE,"MA, Long, 2026-01-07 (Price: 579.92)",Daily,No Exit Yet,No Price Target,2026-01-12 (Min),3.55%/3.57%,"-2.35%, 5 days","2026-04-17 (Price: 521.3000), 10.11% below",586.4731 (Historic Rise or Fall to Pivot)/596.9696 (Avg % Gain of Historic Winning trades)/587.58 (Exit Rule)/592.9033 (Horizontal)/716.5814 (F-Stack 1)/751.3605 (F-Stack 2)/625.2118 (Backtested Max)/586.3571 (Backtested Min),2026-06-08 (Max)/2026-03-04 (Avg),563.13/305.0867/554.0572/515.4888/No F-Track Level/No F-Track Level/561.98,"96.15%, Past 4 years, 26",No Information,No Information,No Information,No Information,No Information,0.4% below/2.35% below/2.35% below,7.81%/1.11%/2.94%,"5.85%, 28.57%",3.5 months/4 days/1.3 month,5.71%,7.58%,-1.87%,0.98,0.39,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets),portfolio_target_achieved,578.4012,
OSCILLATOR DELTA,"TRI.TO, Long, 2026-01-07 (Price: 177.22)",Daily,No Exit Yet,No Price Target,2026-01-14 (Min),4.07%/5.87%,"0.93%, 5 days","2026-04-17 (Price: 127.4500), 28.08% below",189.3596 (Historic Rise or Fall to Pivot)/189.3773 (Avg % Gain of Historic Winning trades)/217.98 (Exit Rule)/240.8933 (Horizontal)/293.2329 (F-Stack 1)/455.2123 (F-Stack 2)/235.04 (EMA 200)/201.4637 (Backtested Max)/186.1342 (Backtested Min),2026-11-07 (Max)/2026-01-14 (Min)/2026-03-26 (Avg),No Recent Minima/116.89/131.2534/93.0152/No F-Track Level/No F-Track Level/No EMA 200 Support,"78.57%, Past 6 years, 14",No Information,No Information,No Information,No Information,No Information,No Information,13.68%/5.03%/6.86%,"11.12%, 16.9%",7 months/5 days/1.8 month,10.61%,7.98%,2.63%,0.34,0.45,88.52%/61/1.9 month (Across ALL Assets),68.58%/261/2.6 months (Across ALL Assets),portfolio_target_achieved,179.59,
