Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),ticker,original_signal,signal_timeframe,verdict,sizing_pct,conviction_score,conviction_raw,fs_score,fs_class,yield_trap_warning,business_type,bq_raw,valuation_tax,asset_type,rationale,position_layers,not_applicable_reason
DELTADRIFT,"WCN.TO, Long, 2026-05-11 (Price: 206.55)",No Exit Yet,"0.0%, 0 days","80.0%, Past 4 years, 15","Daily, is CONFIRMED on 2026-05-11",Already confirmed,"2026-05-11 (Price: 206.55), 0.0% below",0 days,208.33,No Information,No Information,No Information,No Information,No Information,No Information,3.62%/1.58%/2.24%,"6.39%, 7.15%",1.3 month/2 days/14 days,2026-07-06/2026-05-13/2026-05-31,5.54%,5.19%,0.35%,0.17,0.27,215.9893/211.1767/213.58/252.7/354.4788/566.6704/236.66,No Recent Minima/148.255/142.2872/92.1958/No stop loss/No stop loss/No EMA 200 Stop Loss,79.59%/196/16 days (Across ALL Assets),75.96%/570/16 days (Across ALL Assets),WCN.TO,BUY,short,CANCEL BUY,0.0,-1.0,-1.0,60.0,moderate_high,False,compounder,2.0,-3.0,EQUITY,BQ 2.0 + valuation tax -3.0 = -1.0 | FS class moderate_high,"{'core_fraction': 0.0, 'tactical_fraction': 0.0, 'core_signal_date': None, 'tactical_signal_date': None, 'core_model': None, 'tactical_model': None}",
TRENDPULSE,"BRK-B, Long, 2026-05-11 (Price: 479.55)",No Exit Yet,"0.0%, 0 days","100.0%, Past 4 years, 20","Daily, is CONFIRMED on 2026-05-11",Already confirmed,"2026-05-11 (Price: 479.55), 0.0% below",0 days,476.4,No Information,No Information,No Information,No Information,No Information,0.76% above/0.0% below/0.0% below,5.02%/0.7%/2.78%,"-0.0%, 7.4%",2.1 months/6 days/15 days,2026-08-10/2026-05-19/2026-06-01,13.57%,12.19%,1.38%,1.66,0.86,506.6925/492.8815/499.1/512.2133/537.7909/635.7359/489.76,465.52/268.082/475.0642/423.7009/No stop loss/478.7441/No EMA 200 Stop Loss,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets),BRK-B,BUY,short,CANCEL BUY,0.0,1.0,1.0,60.0,moderate_high,False,compounder,2.0,-1.0,EQUITY,BQ 2.0 + valuation tax -1.0 = 1.0 | FS class moderate_high,"{'core_fraction': 0.0, 'tactical_fraction': 0.0, 'core_signal_date': None, 'tactical_signal_date': None, 'core_model': None, 'tactical_model': None}",
TRENDPULSE,"CSCO, Long, 2026-05-11 (Price: 98.72)",No Exit Yet,"0.0%, 0 days","100.0%, Past 4 years, 18","Daily, is CONFIRMED on 2026-05-11",Already confirmed,"2026-05-11 (Price: 98.72), 0.0% below",0 days,96.35,No Information,No Information,No Information,No Information,No Information,2.23% above/0.0% below/0.0% below,8.16%/1.03%/3.39%,"-0.0%, 27.08%",1.6 month/6 days/15 days,2026-07-19/2026-05-19/2026-06-01,10.38%,10.07%,0.31%,1.32,0.57,103.4586/102.0666/128.23/No Horizontal Resistance/107.4672/119.8031/No EMA 200 Target,77.04/40.92/90.4142/81.4336/85.9755/78.0759/75.84,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets),CSCO,BUY,short,CANCEL BUY,0.0,-2.0,-2.0,51.5,moderate,False,compounder,3.0,-5.0,EQUITY,BQ 3.0 + valuation tax -5.0 = -2.0 | FS class moderate,"{'core_fraction': 0.0, 'tactical_fraction': 0.0, 'core_signal_date': None, 'tactical_signal_date': None, 'core_model': None, 'tactical_model': None}",
TRENDPULSE,"CNU.NZ, Long, 2026-05-11 (Price: 10.25)",No Exit Yet,"0.0%, 0 days","75.0%, Past 4 years, 24","Daily, is CONFIRMED on 2026-05-11",Already confirmed,"2026-05-11 (Price: 10.25), 0.0% below",0 days,10.09,No Information,No Information,No Information,No Information,No Information,0.0% below/0.0% below/0.0% below,6.8%/0.41%/2.7%,"11.84%, 19.63%",3.4 months/7 days/1.3 month,2026-10-05/2026-05-21/2026-07-06,1.27%,3.95%,-2.68%,-0.12,0.17,10.6313/10.5267/12.4/No Horizontal Resistance/11.0627/11.8475/No EMA 200 Target,9.34/6.1325/9.7276/No stop loss/9.6153/9.219/9.4,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets),CNU.NZ,BUY,short,CANCEL BUY,0.0,-4.0,-4.0,42.0,moderate,False,income,0.0,-4.0,EQUITY,BQ 0.0 + valuation tax -4.0 = -4.0 | FS class moderate,"{'core_fraction': 0.0, 'tactical_fraction': 0.0, 'core_signal_date': None, 'tactical_signal_date': None, 'core_model': None, 'tactical_model': None}",
TRENDPULSE,"SUNPHARMA.NS, Long, 2026-05-11 (Price: 1872.7)",No Exit Yet,"0.0%, 0 days","92.0%, Past 4 years, 25","Daily, is CONFIRMED on 2026-05-11",Already confirmed,"2026-05-11 (Price: 1872.7), 0.0% below",0 days,1827.2,No Information,No Information,No Information,No Information,No Information,0.0% below/0.0% below/0.0% below,11.76%/1.18%/3.15%,"2.03%, 13.23%",6.1 months/8 days/27 days,2027-01-31/2026-05-22/2026-06-19,17.09%,17.72%,-0.63%,0.9,1.14,2056.7864/1931.6901/1886.32/1935.175/1992.9724/2469.8016/No EMA 200 Target,1620.4/797.125/1704.3258/1607.7092/1805.8765/1756.7604/1704.04,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets),SUNPHARMA.NS,BUY,short,CANCEL BUY,0.0,1.5,1.5,60.25,moderate_high,False,compounder,6.5,-5.0,EQUITY,BQ 6.5 + valuation tax -5.0 = 1.5 | FS class moderate_high,"{'core_fraction': 0.0, 'tactical_fraction': 0.0, 'core_signal_date': None, 'tactical_signal_date': None, 'core_model': None, 'tactical_model': None}",
TRENDPULSE,"AAPL, Long, 2026-05-10 (Price: 293.32)",No Exit Yet,"-0.22%, 1 day","100.0%, Past 10 years, 21","Weekly, is CONFIRMED on 2026-05-08",Already confirmed,"2026-05-11 (Price: 292.68), 0.22% below",1 day,279.655,No Information,No Information,No Information,No Information,No Information,4.48% above/2.99% above/0.22% below,18.76%/0.65%/9.6%,"-0.0%, 27.77%",1.4 year/1.2 month/4.4 months,2028-05-07/2026-07-01/2026-11-17,15.3%,15.83%,-0.53%,1.21,0.85,333.6515/321.4787/296.14/No Horizontal Resistance/294.7231/309.0801/No EMA 200 Target,247.99/136.32/189.8723/119.0319/No F-Track Level/No F-Track Level/257.02,88.72%/133/4.6 months (Across ALL Assets),77.24%/369/4.1 months (Across ALL Assets),AAPL,BUY,short,CANCEL BUY,0.0,-2.0,-2.0,43.5,moderate,False,compounder,3.0,-5.0,EQUITY,BQ 3.0 + valuation tax -5.0 = -2.0 | FS class moderate,"{'core_fraction': 0.0, 'tactical_fraction': 0.0, 'core_signal_date': None, 'tactical_signal_date': None, 'core_model': None, 'tactical_model': None}",
TRENDPULSE,"QQQ, Long, 2026-05-10 (Price: 711.23)",No Exit Yet,"0.29%, 1 day","88.89%, Past 10 years, 18","Weekly, is CONFIRMED on 2026-05-08",Already confirmed,"2026-05-11 (Price: 713.29), 0.29% above",1 day,674.64,No Information,No Information,No Information,No Information,No Information,7.44% above/0.29% above/0.29% above,12.09%/1.74%/6.41%,"10.15%, 35.46%",4.2 months/1.2 month/2.2 months,2026-11-08/2026-07-01/2026-08-13,7.81%,12.14%,-4.33%,0.34,0.81,804.33/756.8198/1066.44/No Horizontal Resistance/836.2536/910.0135/No EMA 200 Target,562.58/256.995/610.7303/563.3658/No F-Track Level/No F-Track Level/607.31,88.72%/133/4.6 months (Across ALL Assets),77.24%/369/4.1 months (Across ALL Assets),QQQ,BUY,short,NOT_APPLICABLE,0.0,,,,,False,,,,ETF,quoteType=ETF,"{'core_fraction': 0.0, 'tactical_fraction': 0.0, 'core_signal_date': None, 'tactical_signal_date': None, 'core_model': None, 'tactical_model': None}",quoteType=ETF
TRENDPULSE,"ASHR, Long, 2026-05-10 (Price: 35.73)",No Exit Yet,"2.18%, 1 day","76.0%, Past 10 years, 25","Weekly, is CONFIRMED on 2026-05-08",Already confirmed,"2026-05-11 (Price: 36.51), 2.18% above",1 day,35.39,No Information,No Information,No Information,No Information,No Information,2.18% above/2.18% above/2.18% above,24.71%/0.16%/9.6%,"34.5%, 52.68%",10.3 months/28 days/4.5 months,2027-07-31/2026-06-19/2026-11-21,0.45%,2.08%,-1.64%,-0.12,0.08,38.0131/39.1601/37.18/39.9467/60.2967/80.3432/No EMA 200 Target,32.0/23.36/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/32.73,88.72%/133/4.6 months (Across ALL Assets),77.24%/369/4.1 months (Across ALL Assets),ASHR,BUY,short,NOT_APPLICABLE,0.0,,,,,False,,,,ETF,quoteType=ETF,"{'core_fraction': 0.0, 'tactical_fraction': 0.0, 'core_signal_date': None, 'tactical_signal_date': None, 'core_model': None, 'tactical_model': None}",quoteType=ETF
TRENDPULSE,"^GSPC, Long, 2026-05-10 (Price: 7398.9302)",No Exit Yet,"0.19%, 1 day","100.0%, Past 10 years, 30","Weekly, is CONFIRMED on 2026-05-08",Already confirmed,"2026-05-11 (Price: 7412.8398), 0.19% above",1 day,7228.3799,No Information,No Information,No Information,No Information,No Information,3.46% above/2.12% above/0.19% above,6.49%/1.35%/4.0%,"-0.0%, 31.81%",7.7 months/28 days/2.5 months,2027-04-09/2026-06-19/2026-08-26,8.54%,8.2%,0.34%,1.93,0.55,7961.2489/7694.8874/7686.08/No Horizontal Resistance/9765.5661/10911.139/No EMA 200 Target,6368.85/4128.7074/6767.7249/6316.2337/No F-Track Level/No F-Track Level/6753.41,88.72%/133/4.6 months (Across ALL Assets),77.24%/369/4.1 months (Across ALL Assets),^GSPC,BUY,short,NOT_APPLICABLE,0.0,,,,,False,,,,INDEX,quoteType=INDEX,"{'core_fraction': 0.0, 'tactical_fraction': 0.0, 'core_signal_date': None, 'tactical_signal_date': None, 'core_model': None, 'tactical_model': None}",quoteType=INDEX
TRENDPULSE,"^NDX, Long, 2026-05-10 (Price: 29234.9941)",No Exit Yet,"0.29%, 1 day","95.0%, Past 10 years, 20","Weekly, is CONFIRMED on 2026-05-08",Already confirmed,"2026-05-11 (Price: 29320.6562), 0.29% above",1 day,27731.3418,No Information,No Information,No Information,No Information,No Information,7.39% above/4.66% above/0.29% above,11.99%/1.69%/5.82%,"10.17%, 35.49%",4.9 months/1.2 month/2.8 months,2026-12-08/2026-07-01/2026-09-08,8.22%,12.18%,-3.96%,0.62,0.81,32252.0455/30936.4708/42390.0/No Horizontal Resistance/33965.62/36701.6323/No EMA 200 Target,23132.77/10555.915/25025.4383/22796.2371/No F-Track Level/No F-Track Level/24956.32,88.72%/133/4.6 months (Across ALL Assets),77.24%/369/4.1 months (Across ALL Assets),^NDX,BUY,short,NOT_APPLICABLE,0.0,,,,,False,,,,INDEX,quoteType=INDEX,"{'core_fraction': 0.0, 'tactical_fraction': 0.0, 'core_signal_date': None, 'tactical_signal_date': None, 'core_model': None, 'tactical_model': None}",quoteType=INDEX
TRENDPULSE,"CVS, Long, 2026-05-10 (Price: 90.55)",No Exit Yet,"1.84%, 1 day","70.0%, Past 10 years, 20","Weekly, is CONFIRMED on 2026-05-08",Already confirmed,"2026-05-11 (Price: 92.22), 1.84% above",1 day,82.3,No Information,No Information,No Information,No Information,No Information,12.34% above/5.56% above/1.84% above,17.29%/1.66%/10.0%,"11.34%, 34.7%",11.4 months/28 days/2.3 months,2027-09-17/2026-06-19/2026-08-17,3.99%,3.56%,0.43%,0.28,0.17,97.4318/99.605/93.79/106.045/116.3721/144.3517/No EMA 200 Target,70.08/58.425/90.5278/76.2419/No F-Track Level/No F-Track Level/76.18,88.72%/133/4.6 months (Across ALL Assets),77.24%/369/4.1 months (Across ALL Assets),CVS,BUY,short,CANCEL BUY,0.0,-4.0,-4.0,48.0,moderate,False,income,-4.0,0.0,EQUITY,BQ -4.0 + valuation tax 0.0 = -4.0 | FS class moderate,"{'core_fraction': 0.0, 'tactical_fraction': 0.0, 'core_signal_date': None, 'tactical_signal_date': None, 'core_model': None, 'tactical_model': None}",
TRENDPULSE,"EEM, Long, 2026-05-10 (Price: 67.94)",No Exit Yet,"-0.07%, 1 day","92.0%, Past 10 years, 25","Weekly, is CONFIRMED on 2026-05-08",Already confirmed,"2026-05-11 (Price: 67.89), 0.07% below",1 day,64.47,No Information,No Information,No Information,No Information,No Information,5.86% above/0.07% below/0.07% below,11.23%/1.19%/4.0%,"20.12%, 35.1%",1.4 year/28 days/3.8 months,2028-05-07/2026-06-19/2026-10-22,3.13%,1.56%,1.57%,0.12,-0.02,71.6427/70.6576/87.5/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,55.2/37.485/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/55.94,88.72%/133/4.6 months (Across ALL Assets),77.24%/369/4.1 months (Across ALL Assets),EEM,BUY,short,NOT_APPLICABLE,0.0,,,,,False,,,,ETF,quoteType=ETF,"{'core_fraction': 0.0, 'tactical_fraction': 0.0, 'core_signal_date': None, 'tactical_signal_date': None, 'core_model': None, 'tactical_model': None}",quoteType=ETF
