Function,"Symbol, Signal, Signal Date/Price[$]",ticker,asset_type,business_type,signal_timeframe,bq_raw,valuation_tax,conviction_raw,conviction_score,fs_score,fs_class,yield_trap_warning,verdict,sizing_pct,rationale,Current Mark to Market and Holding Period,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date
FRACTAL TRACK,"WPM, Long, 2026-06-26 (Price: 113.32)",WPM,EQUITY,cyclical,short,2.5,-4.0,-1.5,-1.5,53.25,moderate,False,CANCEL BUY,0.0,BQ 2.5 + valuation tax -4.0 = -1.5 | FS class moderate,"0.0%, 0 days","2026-06-26 (Price: 113.32), 0.0% below",0 days
TRENDPULSE,"^BVSP, Long, 2026-06-26 (Price: 173295.1406)",^BVSP,INDEX,,short,,,,,,,False,NOT_APPLICABLE,0.0,quoteType=INDEX,"0.0%, 0 days","2026-06-26 (Price: 173295.1406), 0.0% below",0 days
TRENDPULSE,"NA.TO, Long, 2026-06-26 (Price: 222.03)",NA.TO,EQUITY,compounder,short,1.0,-8.0,-7.0,-7.0,43.5,moderate,False,CANCEL BUY,0.0,BQ 1.0 + valuation tax -8.0 = -7.0 | FS class moderate,"0.0%, 0 days","2026-06-26 (Price: 222.03), 0.0% below",0 days
TRENDPULSE,"TRI.TO, Long, 2026-06-26 (Price: 119.04)",TRI.TO,EQUITY,income,short,7.0,-5.0,2.0,2.0,77.5,strong,False,REDUCED BUY,40.0,BQ 7.0 + valuation tax -5.0 = 2.0 | FS class strong,"0.0%, 0 days","2026-06-26 (Price: 119.04), 0.0% below",0 days
TRENDPULSE,"USDCHF=X, Long, 2026-06-26 (Price: 0.8095)",USDCHF=X,CURRENCY,,short,,,,,,,False,NOT_APPLICABLE,0.0,quoteType=CURRENCY,"0.0%, 0 days","2026-06-26 (Price: 0.8095), 0.0% below",0 days
TRENDPULSE,"BRK-B, Long, 2026-06-26 (Price: 498.66)",BRK-B,EQUITY,compounder,short,2.0,-1.0,1.0,1.0,60.0,moderate_high,False,CANCEL BUY,0.0,BQ 2.0 + valuation tax -1.0 = 1.0 | FS class moderate_high,"0.0%, 0 days","2026-06-26 (Price: 498.66), 0.0% below",0 days
FRACTAL TRACK,"RELIANCE.NS, Long, 2026-06-26 (Price: 1316.5)",RELIANCE.NS,EQUITY,cyclical,short,2.0,-3.0,-1.0,-1.0,52.0,moderate,False,CANCEL BUY,0.0,BQ 2.0 + valuation tax -3.0 = -1.0 | FS class moderate,"0.0%, 0 days","2026-06-26 (Price: 1316.5), 0.0% below",0 days
FRACTAL TRACK,"GDX, Long, 2026-06-26 (Price: 77.0)",GDX,ETF,,short,,,,,,,False,NOT_APPLICABLE,0.0,quoteType=ETF,"0.0%, 0 days","2026-06-26 (Price: 77.0), 0.0% below",0 days
FRACTAL TRACK,"WPM.TO, Long, 2026-06-26 (Price: 160.71)",WPM.TO,EQUITY,cyclical,short,2.5,-6.0,-3.5,-3.5,45.25,moderate,False,CANCEL BUY,0.0,BQ 2.5 + valuation tax -6.0 = -3.5 | FS class moderate,"0.0%, 0 days","2026-06-26 (Price: 160.71), 0.0% below",0 days
TRENDPULSE,"PPH, Long, 2026-06-26 (Price: 109.44)",PPH,ETF,,short,,,,,,,False,NOT_APPLICABLE,0.0,quoteType=ETF,"0.0%, 0 days","2026-06-26 (Price: 109.44), 0.0% below",0 days
