Date,Open_Interest,FM_Long,FM_Short,FM_Net,FM_WeeklyChange,FM_Pctile_3yr_Rolling,RM_Long,RM_Short,RM_Net,RM_WeeklyChange
2010-06-15,1132309.0,87605.0,196656.0,-109051.0,,,418437.0,154926.0,263511.0,
2010-06-22,822092.0,70878.0,182244.0,-111366.0,-2315.0,,428055.0,151956.0,276099.0,12587.0
2010-06-29,850401.0,77655.0,184364.0,-106709.0,4658.0,,436268.0,177832.0,258436.0,-17663.0
2010-07-06,883425.0,75033.0,203822.0,-128789.0,-22081.0,,439698.0,182961.0,256737.0,-1699.0
2010-07-13,874896.0,72289.0,218281.0,-145992.0,-17203.0,20.0,436647.0,156376.0,280271.0,23535.0
2010-07-20,870890.0,71078.0,207667.0,-136589.0,,33.33,439798.0,163886.0,275912.0,
2010-07-27,868087.0,74295.0,198835.0,-124540.0,12050.0,57.14,436528.0,160962.0,275566.0,-345.0
2010-08-03,865807.0,73031.0,194231.0,-121200.0,3340.0,62.5,426131.0,154923.0,271208.0,-4359.0
2010-08-10,870141.0,74317.0,193916.0,-119599.0,1601.0,66.67,433037.0,156174.0,276863.0,5656.0
2010-08-17,884624.0,80856.0,196286.0,-115430.0,4168.0,70.0,425661.0,169158.0,256503.0,-20360.0
2010-08-24,910530.0,78017.0,212103.0,-134086.0,-18655.0,27.27,429139.0,184192.0,244947.0,-11557.0
2010-08-31,938443.0,78547.0,223099.0,-144552.0,-10467.0,16.67,432585.0,189618.0,242967.0,-1980.0
2010-09-07,943773.0,73458.0,212630.0,-139172.0,5379.0,23.08,422728.0,180566.0,242162.0,-805.0
2010-09-14,1103826.0,83782.0,216454.0,-132672.0,6500.0,42.86,430902.0,170997.0,259905.0,17745.0
2010-09-21,779357.0,75028.0,147903.0,-72875.0,59796.0,100.0,426341.0,157099.0,269242.0,9336.0
2010-09-28,811413.0,87158.0,144598.0,-57440.0,15436.0,100.0,425709.0,152890.0,272819.0,3577.0
2010-10-05,829851.0,89560.0,146359.0,-56799.0,642.0,100.0,420027.0,151571.0,268456.0,-4363.0
2010-10-12,843960.0,88866.0,147296.0,-58430.0,-1632.0,88.89,424492.0,145093.0,279399.0,10941.0
2010-10-19,854075.0,87661.0,152056.0,-64395.0,-5965.0,84.21,429311.0,142194.0,287117.0,7718.0
2010-10-26,869680.0,98169.0,139094.0,-40925.0,23470.0,100.0,428735.0,136109.0,292626.0,5509.0
2010-11-02,879024.0,104264.0,137142.0,-32878.0,8047.0,100.0,419410.0,135406.0,284004.0,-8622.0
2010-11-09,904392.0,102041.0,148355.0,-46314.0,-13437.0,90.91,424390.0,128696.0,295694.0,11690.0
2010-11-16,921238.0,100480.0,158553.0,-58073.0,-11759.0,78.26,420271.0,138434.0,281837.0,-13856.0
2010-11-23,936881.0,103282.0,162243.0,-58961.0,-888.0,70.83,423382.0,139744.0,283638.0,1800.0
2010-11-30,941143.0,100714.0,151491.0,-50777.0,8184.0,88.0,423682.0,141570.0,282112.0,-1526.0
2010-12-07,980643.0,102794.0,159509.0,-56715.0,-5938.0,84.62,419867.0,127102.0,292765.0,10653.0
2010-12-14,1109473.0,107800.0,154350.0,-46550.0,10165.0,88.89,426392.0,123035.0,303357.0,10592.0
