Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Signal Open Price,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Divergence Start/End (Date and Price [$]),Divergence Duration (days) (Max/Min/Avg),"Sigmashell, Success Rate of Past Analysis [%]",Spread,"Divergence observed with, Signal Type","Divergence Start (Date, Price)"
FRACTAL TRACK,"GOOG, Long, 2026-04-17 (Price: 339.4)",No Exit Yet,"0.0%, 0 days","100.0%, Past 20 years, 21","Weekly, is CONFIRMED on 2026-04-17",Already confirmed,"2026-04-17 (Price: 339.4), 0.0% below",0 days,315.42,Upmove Bounce Back,38.2% (Price: 270.8888),25.29% above,"2025-04-13 (Price: 142.66), 2026-02-08 (Price: 350.15)",29.61%/7.98%/17.36%,"-0.0%, 38.74%",1.9 year/1.6 month/6.6 months,2029-01-01/2026-06-25/2027-01-28,16.83%,12.59%,4.24%,0.0,0.65,360.6125/398.3198/463.89/No Horizontal Resistance/480.687/701.5153/No EMA 200 Target,273.76/84.51/330.6546/306.4481/287.0488/248.2706/272.84,88.33%/60/1.6 year (Across ALL Assets),52.12%/165/8.1 months (Across ALL Assets),No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information
FRACTAL TRACK,"NVDA, Long, 2026-04-17 (Price: 201.68)",No Exit Yet,"0.0%, 0 days","100.0%, Past 20 years, 9","Weekly, is CONFIRMED on 2026-04-17",Already confirmed,"2026-04-17 (Price: 201.68), 0.0% below",0 days,186.03,Upmove Bounce Back,38.2% (Price: 164.2223),22.81% above,"2025-04-13 (Price: 86.62), 2025-11-02 (Price: 212.19)",23.94%/15.21%/19.58%,"0%, 43.1%",3.7 years/21 days/1 year,2031-07-29/2026-05-17/2027-09-20,15.33%,22.85%,-7.52%,0.0,0.96,239.495/241.1689/277.02/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,167.52/13.9695/78.6795/48.8144/164.5442/135.264/181.77,88.33%/60/1.6 year (Across ALL Assets),52.12%/165/8.1 months (Across ALL Assets),No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information
FRACTAL TRACK,"MSFT, Long, 2026-04-17 (Price: 422.79)",No Exit Yet,"0.0%, 0 days","100.0%, Past 20 years, 14","Weekly, is CONFIRMED on 2026-04-17",Already confirmed,"2026-04-17 (Price: 422.79), 0.0% below",0 days,373.61,Upmove Bounce Back,38.2% (Price: 348.9484),21.16% above,"2009-03-08 (Price: 14.87), 2025-08-03 (Price: 555.45)",19.95%/6.95%/15.48%,"-0.0%, 28.45%",1.5 year/1.4 month/9.3 months,2028-06-07/2026-06-16/2027-05-26,11.42%,9.6%,1.82%,0.0,0.52,453.6959/488.2379/747.14/554.585/574.7462/615.9561/471.96,356.77/216.39/384.4933/331.7514/No stop loss/389.8712/No EMA 200 Stop Loss,88.33%/60/1.6 year (Across ALL Assets),52.12%/165/8.1 months (Across ALL Assets),No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information
FRACTAL TRACK,"GBPUSD=X, Long, 2026-04-17 (Price: 1.3516)",No Exit Yet,"0.0%, 0 days","100.0%, Past 20 years, 12","Weekly, is CONFIRMED on 2026-04-17",Already confirmed,"2026-04-17 (Price: 1.3516), 0.0% below",0 days,1.339,Upmove Bounce Back,50% (Price: 1.343),0.64% above,"2025-11-09 (Price: 1.3012), 2026-02-01 (Price: 1.3847)",2.17%/1.1%/1.64%,"-0.0%, 8.98%",2.9 years/7.9 months/1.8 year,2030-06-07/2027-03-26/2028-11-10,3.08%,-0.98%,4.06%,-0.43,-0.57,No Target/1.3738/1.4/1.364/2.4421/3.2078/No EMA 200 Target,1.32/1.1805/No F-Stack Support/No F-Stack Support/No stop loss/No stop loss/1.34,88.33%/60/1.6 year (Across ALL Assets),52.12%/165/8.1 months (Across ALL Assets),No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information
FRACTAL TRACK,"^DJI, Long, 2026-04-17 (Price: 49447.4297)",No Exit Yet,"0.0%, 0 days","100.0%, Past 20 years, 18","Weekly, is CONFIRMED on 2026-04-17",Already confirmed,"2026-04-17 (Price: 49447.4297), 0.0% below",0 days,47718.2109,Upmove Bounce Back,38.2% (Price: 45202.6041),9.39% above,"2025-04-13 (Price: 36611.7812), 2026-02-15 (Price: 50512.7891)",16.56%/0.85%/14.34%,"0%, 17.6%",2.3 years/4 months/1.1 year,2029-07-27/2026-10-07/2027-11-11,10.95%,5.14%,5.81%,0.0,0.26,53793.8588/56538.1911/57788.03/No Horizontal Resistance/50924.8674/68852.5953/No EMA 200 Target,45166.64/32395.4668/39844.8882/32997.1394/47223.8106/45202.6041/46964.33,88.33%/60/1.6 year (Across ALL Assets),52.12%/165/8.1 months (Across ALL Assets),No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information
FRACTAL TRACK,"XLY, Long, 2026-04-17 (Price: 120.41)",No Exit Yet,"0.0%, 0 days","92.31%, Past 20 years, 13","Weekly, is CONFIRMED on 2026-04-17",Already confirmed,"2026-04-17 (Price: 120.41), 0.0% below",0 days,112.34,Upmove Bounce Back,50% (Price: 105.78),13.83% above,"2025-04-13 (Price: 86.55), 2026-01-18 (Price: 125.01)",19.19%/0.05%/14.7%,"14.45%, 30.27%",2.8 years/7 days/9.4 months,2030-04-14/2026-04-27/2027-05-30,9.84%,6.76%,3.08%,0.0,0.36,132.0296/138.1103/143.49/122.0862/125.4815/149.5056/No EMA 200 Target,105.68/66.775/97.0194/64.5812/110.3384/101.3222/116.45,88.33%/60/1.6 year (Across ALL Assets),52.12%/165/8.1 months (Across ALL Assets),No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information
FRACTAL TRACK,"ASML, Long, 2026-04-17 (Price: 1459.8)",No Exit Yet,"0.0%, 0 days","100.0%, Past 20 years, 16","Weekly, is CONFIRMED on 2026-04-17",Already confirmed,"2026-04-17 (Price: 1459.8), 0.0% below",0 days,1465.16,Upmove Bounce Back,23.66% (Price: 1267.069),15.21% above,"2022-10-16 (Price: 363.15), 2026-03-01 (Price: 1547.22)",26.24%/15.02%/18.59%,"0%, 44.84%",1.9 year/1.2 month/8.6 months,2029-01-01/2026-06-08/2027-04-25,13.4%,14.12%,-0.72%,0.0,0.68,1923.5785/1731.1768/2170.24/No Horizontal Resistance/1508.8624/1630.5302/No EMA 200 Target,1292.8/576.784/1338.7292/1224.19/1318.0232/1177.1728/1084.39,88.33%/60/1.6 year (Across ALL Assets),52.12%/165/8.1 months (Across ALL Assets),No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information
FRACTAL TRACK,"^NSEI, Long, 2026-04-17 (Price: 24353.5508)",No Exit Yet,"0.0%, 0 days","95.24%, Past 18 years, 21","Weekly, is CONFIRMED on 2026-04-17",Already confirmed,"2026-04-17 (Price: 24353.5508), 0.0% below",0 days,23589.5996,Upmove Bounce Back,38.2% (Price: 22727.0667),7.16% above,"2023-03-26 (Price: 16828.3496), 2026-01-11 (Price: 26373.1992)",17.13%/0.05%/13.99%,"9.61%, 34.56%",2.6 years/28 days/1.1 year,2030-01-01/2026-05-27/2027-11-11,9.57%,6.04%,3.53%,0.0,0.32,26389.5076/27760.6126/30080.46/26106.6328/31657.0022/45908.3871/25163.49,22713.1/16662.0827/22849.1349/17405.6173/23725.6928/22098.6961/No EMA 200 Stop Loss,88.33%/60/1.6 year (Across ALL Assets),52.12%/165/8.1 months (Across ALL Assets),No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information
FRACTAL TRACK,"BPCL.NS, Long, 2026-04-17 (Price: 312.1)",No Exit Yet,"0.0%, 0 days","100.0%, Past 20 years, 15","Weekly, is CONFIRMED on 2026-04-17",Already confirmed,"2026-04-17 (Price: 312.1), 0.0% below",0 days,284.25,Upmove Bounce Back,78.6% (Price: 267.745),16.57% above,"2025-03-09 (Price: 234.01), 2026-02-08 (Price: 391.65)",30.55%/15.15%/19.02%,"0%, 40.72%",2.3 years/14 days/10 months,2029-07-27/2026-05-07/2027-06-25,12.6%,7.26%,5.34%,0.0,0.37,331.3254/371.4614/406.68/383.0667/420.2463/457.942/342.4,278.15/145.35/267.54/238.163/No stop loss/294.2285/No EMA 200 Stop Loss,88.33%/60/1.6 year (Across ALL Assets),52.12%/165/8.1 months (Across ALL Assets),No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information
FRACTAL TRACK,"DIA, Long, 2026-04-17 (Price: 494.22)",No Exit Yet,"0.0%, 0 days","94.44%, Past 20 years, 18","Weekly, is CONFIRMED on 2026-04-17",Already confirmed,"2026-04-17 (Price: 494.22), 0.0% below",0 days,476.1,Upmove Bounce Back,38.2% (Price: 452.2096),9.29% above,"2025-04-13 (Price: 366.32), 2026-02-15 (Price: 505.3)",16.79%/0.88%/14.81%,"1.69%, 17.57%",2.3 years/4 months/1 year,2029-07-27/2026-10-07/2027-09-20,11.06%,5.14%,5.92%,0.0,0.26,539.6388/567.414/577.61/No Horizontal Resistance/538.1343/826.9871/No EMA 200 Target,451.39/321.6725/359.6128/249.2814/472.4173/452.2096/469.81,88.33%/60/1.6 year (Across ALL Assets),52.12%/165/8.1 months (Across ALL Assets),No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information
FRACTAL TRACK,"GILD, Long, 2026-04-17 (Price: 137.64)",No Exit Yet,"0.0%, 0 days","77.78%, Past 20 years, 9","Weekly, is CONFIRMED on 2026-04-17",Already confirmed,"2026-04-17 (Price: 137.64), 0.0% below",0 days,137.99,Upmove Bounce Back,23.66% (Price: 134.7609),2.14% above,"2024-06-02 (Price: 62.07), 2026-02-15 (Price: 157.29)",18.17%/15.12%/16.36%,"14.97%, 50.63%",9.3 years/1.9 month/3.1 years,2039-07-27/2026-07-08/2030-09-19,2.03%,8.04%,-6.01%,0.0,0.42,No Target/160.1579/194.77/No Horizontal Resistance/154.7608/163.0355/No EMA 200 Target,134.25/57.18/121.083/104.5806/134.7609/120.916/125.8,88.33%/60/1.6 year (Across ALL Assets),52.12%/165/8.1 months (Across ALL Assets),No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information
FRACTAL TRACK,"JETS, Long, 2026-04-17 (Price: 27.92)",No Exit Yet,"0.0%, 0 days","100.0%, Past 10 years, 8","Weekly, is CONFIRMED on 2026-04-17",Already confirmed,"2026-04-17 (Price: 27.92), 0.0% below",0 days,25.291,Upmove Bounce Back,38.2% (Price: 23.6594),18.01% above,"2020-03-22 (Price: 11.25), 2026-02-15 (Price: 31.33)",23.0%/17.86%/19.25%,"-0.0%, 45.1%",4.8 years/1.9 month/1.3 year,2033-02-21/2026-07-08/2028-02-23,10.0%,0.03%,9.97%,0.0,0.05,28.4952/33.2946/39.97/No Horizontal Resistance/36.0778/41.7471/No EMA 200 Target,24.05/14.732/No F-Stack Support/No F-Stack Support/27.3266/No stop loss/26.24,88.33%/60/1.6 year (Across ALL Assets),52.12%/165/8.1 months (Across ALL Assets),No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information
FRACTAL TRACK,"AIA.NZ, Long, 2026-04-17 (Price: 8.18)",No Exit Yet,"0.0%, 0 days","93.33%, Past 20 years, 15","Weekly, is CONFIRMED on 2026-04-17",Already confirmed,"2026-04-17 (Price: 8.18), 0.0% below",0 days,8.25,Upmove Bounce Back,78.6% (Price: 7.7534),5.5% above,"2025-07-20 (Price: 7.365), 2026-03-01 (Price: 9.18)",20.53%/2.63%/14.41%,"4.23%, 18.81%",2.3 years/2.1 months/1.1 year,2029-07-27/2026-07-17/2027-11-11,8.96%,4.53%,4.43%,0.0,0.21,8.5784/9.3587/9.27/8.953/10.766/12.7253/No EMA 200 Target,7.97/7.0/7.3669/6.5752/No stop loss/8.125/8.05,88.33%/60/1.6 year (Across ALL Assets),52.12%/165/8.1 months (Across ALL Assets),No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information
FRACTAL TRACK,"FRW.NZ, Long, 2026-04-17 (Price: 12.25)",No Exit Yet,"0.0%, 0 days","100.0%, Past 20 years, 14","Weekly, is CONFIRMED on 2026-04-17",Already confirmed,"2026-04-17 (Price: 12.25), 0.0% below",0 days,12.92,Upmove Bounce Back,23.66% (Price: 12.0583),1.59% above,"2003-10-19 (Price: 1.76), 2026-02-15 (Price: 15.25)",20.66%/2.33%/13.82%,"0%, 39.81%",3.7 years/3.7 months/1.1 year,2031-07-29/2026-09-24/2027-11-11,9.27%,4.4%,4.87%,0.0,0.2,12.4938/13.9429/20.34/14.94/14.9925/16.4712/13.18,10.0/7.405/9.9285/8.2083/12.2169/11.28/No EMA 200 Stop Loss,88.33%/60/1.6 year (Across ALL Assets),52.12%/165/8.1 months (Across ALL Assets),No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information
FRACTAL TRACK,"BDL.NS, Long, 2026-04-17 (Price: 1380.7)",No Exit Yet,"0.0%, 0 days","83.33%, Past 8 years, 6","Weekly, is CONFIRMED on 2026-04-17",Already confirmed,"2026-04-17 (Price: 1380.7), 0.0% below",0 days,1316.0,Upmove Bounce Back,61.8% (Price: 1079.0012),27.96% above,"2023-10-29 (Price: 450.0), 2025-06-01 (Price: 2096.6001)",25.67%/16.13%/20.09%,"7.93%, 41.95%",5.8 months/1.6 month/3.9 months,2026-12-25/2026-06-25/2026-10-03,11.42%,17.32%,-5.9%,0.52,0.75,1583.3868/1658.0826/2368.66/1627.1/2336.9032/2616.0038/1488.99,1136.9/184.5375/1355.4768/1101.1152/1323.4512/1084.6251/No EMA 200 Stop Loss,88.33%/60/1.6 year (Across ALL Assets),52.12%/165/8.1 months (Across ALL Assets),No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information
FRACTAL TRACK,"PFE, Long, 2026-04-15 (Price: 27.19)",No Exit Yet,"1.36%, 2 days","92.31%, Past 5 years, 13","Daily, was CONFIRMED on 2026-04-15",Already confirmed,"2026-04-17 (Price: 27.56), 1.36% above",2 days,27.18,Upmove Bounce Back,38.2% (Price: 26.7751),2.93% above,"2025-09-25 (Price: 23.58), 2026-04-02 (Price: 28.75)",15.29%/2.93%/10.04%,"3.6%, 19.77%",8.4 months/12 days/3.5 months,2027-04-15/2026-05-02/2026-09-14,11.46%,-3.5%,14.96%,0.0,-0.25,27.2525/29.9199/30.29/55.39/66.4672/73.1352/No EMA 200 Target,26.92/23.345/21.508/20.5265/No F-Track Level/No F-Track Level/25.61,91.64%/299/5 months (Across ALL Assets),46.15%/52/5.5 months (Across ALL Assets),No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information
