"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"SFTBY, Long, 2026-05-04 (Price: 17.95)",No Exit Yet,"0.0%, 0 days","83.33%, Past 14 years, 6","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 10.55 prior to 2026-05-29,"2026-05-04 (Price: 17.95), 0.0% below",0 days,Upmove Bounce Back,61.8% (Price: 10.4799),71.28% above,"2020-03-31 (Price: 3.05), 2025-10-31 (Price: 22.5)",37.13%/6.04%/23.44%,"6.15%, 41.57%",4.2 years/29 days/1.2 year,2032-05-02/2026-06-15/2028-01-19,10.88%,9.57%,1.31%,0.31,0.46,20.4702/22.1575/29.62/No Horizontal Resistance/22.5282/24.0279/No EMA 200 Target,12.09/4.205/16.241/14.7555/No stop loss/15.8016/14.3,89.19%/37/1.4 year (Across ALL Assets),57.63%/59/9.4 months (Across ALL Assets),17.34
"HDFCBANK.NS, Long, 2026-05-04 (Price: 779.4)",No Exit Yet,"0.0%, 0 days","100.0%, Past 25 years, 8","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 726.65 prior to 2026-05-29,"2026-05-04 (Price: 779.4), 0.0% below",0 days,Upmove Bounce Back,88.6% (Price: 720.3897),8.19% above,"2024-02-29 (Price: 681.775), 2025-10-31 (Price: 1020.5)",56.06%/20.18%/27.58%,"-0.0%, 15.16%",1.3 year/4 months/10.4 months,2028-03-11/2026-10-24/2027-07-29,10.15%,11.95%,-1.8%,0.53,0.66,888.9836/994.3585/982.63/1009.6/1299.7536/1565.406/939.82,731.55/640.9/762.8018/626.4465/754.2622/720.3897/No EMA 200 Stop Loss,89.19%/37/1.4 year (Across ALL Assets),57.63%/59/9.4 months (Across ALL Assets),772.6
"FXI, Long, 2026-05-04 (Price: 36.55)",No Exit Yet,"0.0%, 0 days","100.0%, Past 21 years, 6","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 34.77 prior to 2026-05-29,"2026-05-04 (Price: 36.55), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 33.9245),7.74% above,"2024-01-31 (Price: 20.86), 2025-10-31 (Price: 42.0)",24.57%/2.93%/18.06%,"0%, 20.88%",2 years/7.1 months/1.4 year,2029-03-11/2027-03-08/2028-05-01,9.4%,2.4%,7.0%,0.3,0.1,No Target/43.1509/49.23/42.105/78.2212/93.8279/38.66,35.9/20.865/No F-Stack Support/No F-Stack Support/No stop loss/No stop loss/No EMA 200 Stop Loss,89.19%/37/1.4 year (Across ALL Assets),57.63%/59/9.4 months (Across ALL Assets),36.67
"MSFT, Long, 2026-05-04 (Price: 413.62)",No Exit Yet,"0.0%, 0 days","86.67%, Past 40 years, 15","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 356.28 prior to 2026-05-29,"2026-05-04 (Price: 413.62), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 348.9484),18.53% above,"2009-03-31 (Price: 14.87), 2025-07-31 (Price: 555.45)",29.06%/6.63%/22.0%,"13.49%, 56.13%",14.2 years/3 months/2 years,2046-08-11/2026-09-11/2029-03-11,6.96%,15.5%,-8.54%,0.2,0.76,533.4457/504.6164/737.97/554.585/574.7462/624.2034/467.51,370.17/216.39/384.4933/331.7514/389.8712/368.8052/No EMA 200 Stop Loss,89.19%/37/1.4 year (Across ALL Assets),57.63%/59/9.4 months (Across ALL Assets),412.8
"CVS, Long, 2026-05-04 (Price: 82.01)",No Exit Yet,"0.0%, 0 days","100.0%, Past 29 years, 6","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 69.51 prior to 2026-05-29,"2026-05-04 (Price: 82.01), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 69.2626),18.4% above,"2024-12-31 (Price: 43.56), 2025-10-31 (Price: 85.15)",30.9%/20.21%/24.62%,"-0.0%, 36.48%",5 years/5 months/1.4 year,2033-06-23/2026-12-07/2028-05-01,8.39%,4.78%,3.61%,0.27,0.24,90.58/102.2009/106.96/106.045/119.2488/124.7126/No EMA 200 Target,71.82/58.425/74.001/62.2235/No stop loss/No stop loss/75.69,89.19%/37/1.4 year (Across ALL Assets),57.63%/59/9.4 months (Across ALL Assets),83.45
"BTI, Long, 2026-05-04 (Price: 58.35)",No Exit Yet,"0.0%, 0 days","91.67%, Past 20 years, 12","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 54.83 prior to 2026-05-08,"2026-05-04 (Price: 58.35), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 54.9461),6.19% above,"2024-04-21 (Price: 28.25), 2026-03-01 (Price: 63.22)",18.23%/0.47%/14.35%,"9.4%, 36.12%",3.2 years/3.3 months/1.4 year,2030-11-27/2026-09-24/2028-05-01,7.78%,2.95%,4.83%,0.22,0.11,63.7415/66.7232/79.33/59.135/79.4263/92.0024/No EMA 200 Target,56.68/28.5067/53.9498/50.4772/54.9461/49.8615/56.55,89.09%/55/1.4 year (Across ALL Assets),61.63%/172/7.4 months (Across ALL Assets),58.54
"ENZL, Long, 2026-05-04 (Price: 44.605)",No Exit Yet,"0.0%, 0 days","100.0%, Past 13 years, 5","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 41.69 prior to 2026-05-29,"2026-05-04 (Price: 44.605), 0.0% below",0 days,Upmove Bounce Back,88.6% (Price: 42.0993),5.95% above,"2023-10-31 (Price: 41.03), 2024-09-30 (Price: 50.41)",22.15%/8.73%/15.44%,"-0.0%, 22.82%",2.6 years/2.1 years/2.4 years,2030-01-18/2029-05-03/2029-10-06,5.03%,1.22%,3.81%,0.14,-0.06,45.9342/51.492/50.23/64.905/78.3229/93.1188/45.52,42.65/39.215/No F-Stack Support/No F-Stack Support/No stop loss/No stop loss/No EMA 200 Stop Loss,89.19%/37/1.4 year (Across ALL Assets),57.63%/59/9.4 months (Across ALL Assets),44.69
"INDA, Long, 2026-05-04 (Price: 48.63)",No Exit Yet,"0.0%, 0 days","100.0%, Past 14 years, 5","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 45.21 prior to 2026-05-29,"2026-05-04 (Price: 48.63), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 44.5882),9.06% above,"2020-03-31 (Price: 20.48), 2024-09-30 (Price: 59.49)",24.1%/20.42%/21.71%,"-0.0%, 32.99%",2.8 years/1.7 year/2 years,2030-05-01/2028-10-06/2029-03-11,10.66%,2.99%,7.67%,0.23,0.09,54.5483/59.1876/72.04/55.3975/60.4014/65.7544/52.31,46.84/39.0425/41.6131/No stop loss/No stop loss/No stop loss/No EMA 200 Stop Loss,89.19%/37/1.4 year (Across ALL Assets),57.63%/59/9.4 months (Across ALL Assets),49.17
"CEN.NZ, Long, 2026-05-04 (Price: 9.7)",No Exit Yet,"0.0%, 0 days","90.0%, Past 26 years, 10","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 8.9 prior to 2026-05-29,"2026-05-04 (Price: 9.7), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 8.7234),11.2% above,"2022-06-30 (Price: 6.82), 2025-11-30 (Price: 9.9)",32.15%/20.49%/23.56%,"1.72%, 36.63%",10.5 years/1 month/2.2 years,2041-04-30/2026-06-16/2029-06-24,6.38%,3.27%,3.11%,0.27,0.11,No Target/11.9853/11.55/9.8433/10.1719/12.7072/No EMA 200 Target,7.79/6.86/9.0337/8.3812/9.1713/8.7234/9.28,89.19%/37/1.4 year (Across ALL Assets),57.63%/59/9.4 months (Across ALL Assets),9.45
"^NZ50, Long, 2026-05-04 (Price: 13097.6797)",No Exit Yet,"0.0%, 0 days","100.0%, Past 23 years, 5","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 12701.75 prior to 2026-05-29,"2026-05-04 (Price: 13097.6797), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 12961.3876),1.05% above,"2022-06-30 (Price: 10392.0195), 2026-01-31 (Price: 13757.71)",21.9%/21.53%/21.71%,"-0.0%, 4.39%",1.1 year/9.2 months/11.2 months,2027-11-28/2027-06-07/2027-09-02,6.46%,5.84%,0.62%,0.35,0.41,13827.2205/15941.186/15117.09/13448.908/No Next Fib Ext/No Next Fib Ext/13239.87,12779.1/10608.2731/No F-Stack Support/No F-Stack Support/13033.3071/12588.133/No EMA 200 Stop Loss,89.19%/37/1.4 year (Across ALL Assets),57.63%/59/9.4 months (Across ALL Assets),12903.3096
