Report Type,Symbol,Today price,New Highest
New High,AAPL,$293.3200,√ $294.7600
New High,GOOG,$397.0500,√ $398.3700
New High,NVDA,$215.2000,√ $217.8000
New High,QQQ,$711.2300,√ $711.2300
New High,SOXX,$520.3000,√ $520.4300
New High,^GSPC,$7398.9302,√ $7401.5000
New High,^NDX,$29234.9941,√ $29234.9941
New High,AMD,$455.1900,√ $456.2500
New High,ASML,$1592.0200,√ $1595.3101
New High,NIFTY_MIDCAP_100.NS,$61910.8984,√ $62113.8516
New High,CSCO,$96.5700,√ $97.0200
New High,EEM,$67.9400,√ $67.9600
New High,SPY,$737.6200,√ $738.0700
New High,ATZ.TO,$148.3500,√ $156.0000
New High,RY.TO,$248.7900,√ $249.1600
New High,GRANULES.NS,$752.9500,√ $761.4000
New High,000660.KS,$1686000.0000,√ $1689000.0000
New High,MU,$746.8100,√ $747.2100
New High,,,
