Function,Strategy,Interval,Signal Type,Total Analysed Trades,Win Percentage,Holding Period (days) (Max/Min/Avg),Profit [%] (Max/Min/Avg.),Avg Backtested Win Rate [%],Avg Backtested Holding Period (days),Percentage of Open Trades
Forward Testing,ALTITUDE ALPHA,Yearly,Long,52,73.08%,6.4 years/0 days/2.2 years,171.17%/-51.05%/36.59%,81.59%,2.7 years,36.54%
Forward Testing,ALTITUDE ALPHA,Weekly,Long,93,64.52%,3.0 years/4 days/1.3 year,85.6%/-84.14%/20.24%,83.39%,2.2 years,36.56%
Forward Testing,ALTITUDE ALPHA,Quarterly,Long,135,56.3%,6.9 years/0 days/1.9 year,106.09%/-82.41%/22.39%,81.67%,2.7 years,28.15%
Forward Testing,ALTITUDE ALPHA,Daily,Long,25,56.0%,1.9 year/17 days/9.4 months,73.05%/-30.92%/14.03%,80.2%,7.0 months,32.0%
Forward Testing,ALTITUDE ALPHA,Monthly,Long,138,49.28%,5.0 years/0 days/1.6 year,109.05%/-85.2%/16.63%,79.53%,2.2 years,29.71%
Forward Testing,BAND MATRIX,Daily,Long,334,70.96%,1.9 year/3 days/4.8 months,276.47%/-86.21%/6.93%,83.3%,6.0 months,21.56%
Forward Testing,BAND MATRIX,Weekly,Long,104,67.31%,2.6 years/0 days/1.1 year,250.0%/-81.67%/18.34%,90.8%,2.0 year,51.92%
Forward Testing,BAND MATRIX,Monthly,Long,1,100.0%,10.1 months/10.1 months/10.1 months,10.15%/10.15%/10.15%,100.0%,9.4 years,100.0%
Forward Testing,BASELINEDIVERGENCE,Weekly,Long,522,70.5%,10.4 months/0 days/3.5 months,170.26%/-86.01%/6.26%,87.42%,3.5 months,17.82%
Forward Testing,DELTADRIFT,Weekly,Long,127,86.61%,9.3 months/7 days/2.1 months,21.79%/-40.46%/4.32%,85.47%,2.3 months,7.87%
Forward Testing,DELTADRIFT,Daily,Long,570,75.96%,3.1 months/0 days/16 days,22.83%/-24.18%/0.97%,82.41%,13 days,2.11%
Forward Testing,DELTADRIFT,Monthly,Long,2,100.0%,1.0 year/4 months/8.1 months,23.88%/5.59%/14.74%,77.5%,4.9 months,0.0%
Forward Testing,DELTADRIFT,Weekly,Short,35,71.43%,4.4 months/7 days/29 days,11.44%/-26.46%/0.2%,87.15%,22 days,0.0%
Forward Testing,DELTADRIFT,Daily,Short,118,62.71%,1.1 month/1 day/6 days,12.36%/-14.69%/-0.51%,86.25%,6 days,0.85%
Forward Testing,DELTADRIFT,Monthly,Short,4,0.0%,10.1 months/1 month/4.3 months,-7.76%/-18.52%/-13.28%,90.0%,2.0 month,50.0%
Forward Testing,FRACTAL TRACK,Weekly,Long,172,61.63%,2.2 years/4 days/7.4 months,47.4%/-48.34%/3.08%,93.55%,1.3 year,48.84%
