"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Spread,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"BDGI.TO, Long, 2026-04-24 (Price: 63.71)",2026-05-01 (Price: 78.36),"22.99%, 7 days","78.57%, Past 25 years, 14","Weekly, was CONFIRMED on 2026-04-24",No Cancellation Possible,"2026-05-15 (Price: 83.47), 31.02% above",21 days,11.63%,37.5%/26.11%/30.68%,"45.17%, 49.58%",7.9 months/20 days/4.1 months,2027-04-02/2026-05-22/2026-10-17,7.19%,13.14%,-5.95%,0.36,0.06,66.7617/83.2562/79.9248/No Horizontal Resistance/79.9248/84.3122/67.92,60.49/24.32/58.0566/53.241/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),62.38
"BTI, Long, 2026-04-23 (Price: 57.28)",2026-05-13 (Price: 65.35),"14.09%, 20 days","78.57%, Past 25 years, 14","Weekly, was CONFIRMED on 2026-04-23",No Cancellation Possible,"2026-05-15 (Price: 65.09), 13.63% above",22 days,11.63%,16.61%/15.25%/15.73%,"25.39%, 28.78%",1.8 year/2.3 months/7.3 months,2028-11-16/2026-07-31/2027-03-06,5.58%,5.81%,-0.23%,0.28,-0.2,58.3683/66.2901/82.226/59.135/82.226/92.0468/No EMA 200 Target,56.68/28.5067/52.4418/49.3734/No F-Track Level/No F-Track Level/56.98,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),57.05
"NVO, Long, 2026-04-23 (Price: 38.52)",2026-05-11 (Price: 46.4),"20.46%, 18 days","73.68%, Past 25 years, 19","Weekly, was CONFIRMED on 2026-04-23",No Cancellation Possible,"2026-05-15 (Price: 44.74), 16.15% above",22 days,11.63%,25.44%/19.64%/20.92%,"35.5%, 38.06%",11.8 months/2 months/6.1 months,2027-09-17/2026-07-18/2027-01-13,5.17%,9.21%,-4.04%,0.21,-0.06,39.3906/46.5784/157.4212/139.01/157.4212/No Next Fib Ext/49.13,36.04/No Horizontal Support/37.3162/32.5538/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),40.51
"NOVA.F, Long, 2026-04-23 (Price: 32.66)",2026-05-06 (Price: 39.32),"20.39%, 13 days","80.0%, Past 20 years, 15","Weekly, was CONFIRMED on 2026-04-23",No Cancellation Possible,"2026-05-15 (Price: 38.2), 16.96% above",22 days,11.63%,39.56%/19.8%/22.3%,"34.96%, 37.68%",1.8 year/16 days/6.7 months,2028-11-16/2026-05-16/2027-02-08,8.66%,10.15%,-1.49%,0.42,-0.04,33.8782/39.9432/138.0871/126.5/138.0871/146.706/42.04,31.2/No Horizontal Support/28.7825/27.6391/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),34.12
"PPL.TO, Long, 2026-04-23 (Price: 59.18)",2026-05-14 (Price: 66.72),"12.74%, 21 days","83.33%, Past 22 years, 12","Weekly, was CONFIRMED on 2026-04-23",No Cancellation Possible,"2026-05-15 (Price: 67.35), 13.81% above",22 days,11.63%,19.97%/17.44%/18.29%,"37.24%, 34.14%",1.6 year/2.8 months/10.8 months,2028-08-04/2026-08-22/2027-08-05,5.75%,5.24%,0.51%,0.3,-0.17,59.5351/70.004/65.6559/59.5/65.6559/68.3455/No EMA 200 Target,58.17/37.49/56.5867/51.3443/No F-Track Level/No F-Track Level/56.06,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),58.26
"QQQ, Long, 2025-10-10 (Price: 589.5)",2026-05-01 (Price: 674.15),"14.36%, 6.8 months","82.35%, Past 25 years, 17","Weekly, was CONFIRMED on 2025-10-10",No Cancellation Possible,"2026-05-15 (Price: 708.93), 20.26% above",7.2 months,10.23%,17.02%/14.9%/15.52%,"23.59%, 27.45%",8.1 months/1.6 month/5.1 months,2026-09-26/2025-12-18/2026-05-19,7.92%,7.91%,0.01%,0.48,-0.15,605.4165/680.9904/610.7303/No Horizontal Resistance/610.7303/836.2536/610.95,422.67/256.995/563.3658/526.8888/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),608.45
"ASHR, Long, 2025-10-10 (Price: 31.48)",2026-05-11 (Price: 36.51),"15.98%, 7.1 months","83.33%, Past 12 years, 6","Weekly, was CONFIRMED on 2025-10-10",No Cancellation Possible,"2026-05-15 (Price: 35.47), 12.67% above",7.2 months,10.23%,20.84%/18.64%/19.53%,"28.49%, 29.84%",1.3 year/2 months/10.9 months,2027-08-18/2026-01-04/2027-01-26,5.6%,2.08%,3.52%,0.29,-0.23,32.8273/37.628/60.2967/39.9467/60.2967/80.3432/32.91,25.21/23.68/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),32.82
"^NDX, Long, 2025-10-10 (Price: 24221.7402)",2026-05-01 (Price: 27710.3574),"14.4%, 6.8 months","88.24%, Past 25 years, 17","Weekly, was CONFIRMED on 2025-10-10",No Cancellation Possible,"2026-05-15 (Price: 29125.1992), 20.24% above",7.2 months,10.23%,16.37%/15.22%/15.65%,"22.97%, 27.91%",7.8 months/2.3 months/5.1 months,2026-09-13/2026-01-17/2026-05-19,9.83%,7.98%,1.85%,0.78,-0.14,24778.8402/28012.4425/25025.4383/No Horizontal Resistance/25025.4383/33965.62/25106.1,17397.7/10555.915/22796.2371/21108.1646/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),24986.2598
"EFN.TO, Long, 2025-10-09 (Price: 36.31)",2026-05-08 (Price: 28.0),"-22.89%, 7 months","87.5%, Past 22 years, 8","Weekly, was CONFIRMED on 2025-10-09",No Cancellation Possible,"2026-05-15 (Price: 27.72), 23.66% below",7.3 months,10.23%,40.6%/22.12%/28.35%,"54.78%, 48.06%",1.7 year/2.1 months/10.9 months,2028-03-13/2026-01-08/2027-01-25,7.2%,9.58%,-2.38%,0.37,-0.03,37.9331/46.6039/45.1741/No Horizontal Resistance/45.1741/70.5281/No EMA 200 Target,36.01/11.7733/29.5041/No stop loss/No F-Track Level/No F-Track Level/34.75,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),36.84
"BYD.TO, Long, 2025-07-08 (Price: 209.81)",2026-05-13 (Price: 134.54),"-35.88%, 10.3 months","76.92%, Past 22 years, 13","Weekly, was CONFIRMED on 2025-07-08",No Cancellation Possible,"2026-05-15 (Price: 141.87), 32.38% below",10.4 months,11.9%,27.88%/24.44%/25.85%,"42.94%, 40.93%",1.1 year/1.6 month/6.2 months,2027-02-01/2025-09-15/2026-04-03,4.53%,9.33%,-4.8%,0.2,-0.01,214.8035/264.0459/367.2583/256.6133/367.2583/388.6839/211.91,199.76/188.7067/147.1212/139.9966/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),213.29
