Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Today Trading Date/Price[$], Today price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],"Win Rate [%], History Tested, Number of Trades",Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
SIGMASHELL,"TRI.TO, Long, 2026-03-10 (Price: 140.74)",Daily,No Exit Yet,No Price Target,2026-05-27 (Avg),19.22%/25.88%,"-15.32%, 2.5 months","2026-05-25 (Price: 119.18), 15.32% below",150.0288 (Avg % Gain of Historic Winning trades)/293.2329 (Function Specific Target)/240.8933 (Horizontal)/293.2329 (F-Stack 1)/368.7715 (F-Stack 2)/174.54 (EMA 200)/158.0088 (Backtested Max)/142.0911 (Backtested Min),2026-06-17 (Max)/2026-05-27 (Avg),110.84/126.1128/131.2534/93.0152/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"85.71%, Past 5 years, 14",150.6,"-4.64, 100.0%",No Information,No Information,No Information,No Information,No Information,12.27%/0.96%/6.6%,"10.99%, 12.83%",2.3 months/1.2 month/1.8 month,6.18%,4.49%,1.69%,0.16,0.21,68.18%/44/3.8 months (Across ALL Assets),69.36%/297/3.8 months (Across ALL Assets)
SIGMASHELL,"TRI.TO, Long, 2026-02-13 (Price: 118.45)",Daily,No Exit Yet,No Price Target,2026-05-23 (Max),46.45%/102.13%,"0.62%, 3.4 months","2026-05-25 (Price: 119.18), 0.62% above",293.2329 (Function Specific Target)/240.8933 (Horizontal)/293.2329 (F-Stack 1)/455.2123 (F-Stack 2)/174.54 (EMA 200),No Next Date Target,116.76/No Horizontal Support/93.0152/69.3828/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"85.71%, Past 5 years, 14",116.96,"-8.01, 100.0%",No Information,No Information,No Information,No Information,No Information,12.27%/0.96%/6.6%,"10.99%, 12.83%",2.3 months/1.2 month/1.8 month,6.18%,4.49%,1.69%,0.16,0.21,68.18%/44/3.8 months (Across ALL Assets),69.36%/297/3.8 months (Across ALL Assets)
BASELINEDIVERGENCE,"TRI.TO, Long, 2026-03-22 (Price: 128.04)",Weekly,2026-05-24 (Price: 118.6),No Price Target,No Date Target,8.4%/16.71%,"-6.92%, 2.1 months","2026-05-25 (Price: 119.18), 6.92% below",143.6353 (Historic Rise or Fall to Pivot)/139.0899 (Avg % Gain of Historic Winning trades)/293.2329 (Function Specific Target)/240.8933 (Horizontal)/293.2329 (F-Stack 1)/455.2123 (F-Stack 2)/174.54 (EMA 200)/160.2805 (Backtested Max)/129.1924 (Backtested Min),2027-03-11 (Max)/2026-06-21 (Min)/2026-08-25 (Avg),113.99/No Horizontal Support/93.0152/69.3828/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"82.14%, Past 10 years, 112",131.96,No Information,"^GSPC, Normal Case",No Information,No Information,No Information,No Information,25.18%/0.9%/8.63%,"16.42%, 26.29%",8.2 months/2.1 months/3.6 months,22.88%,5.43%,17.45%,0.6,0.27,54.55%/33/2.9 months (Across ALL Assets),70.5%/522/3.5 months (Across ALL Assets)
BASELINEDIVERGENCE,"TRI.TO, Long, 2026-03-15 (Price: 132.25)",Weekly,2026-05-24 (Price: 118.6),No Price Target,No Date Target,11.97%/20.54%,"-9.88%, 2.4 months","2026-05-25 (Price: 119.18), 9.88% below",148.358 (Historic Rise or Fall to Pivot)/143.6632 (Avg % Gain of Historic Winning trades)/293.2329 (Function Specific Target)/240.8933 (Horizontal)/293.2329 (F-Stack 1)/368.7715 (F-Stack 2)/174.54 (EMA 200)/165.5506 (Backtested Max)/133.4402 (Backtested Min),2027-03-04 (Max)/2026-06-14 (Min)/2026-08-18 (Avg),113.99/126.1128/131.2534/93.0152/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"82.14%, Past 10 years, 112",150.99,No Information,"^GSPC, Normal Case",No Information,No Information,No Information,No Information,25.18%/0.9%/8.63%,"16.42%, 26.29%",8.2 months/2.1 months/3.6 months,22.88%,5.43%,17.45%,0.6,0.27,54.55%/33/2.9 months (Across ALL Assets),70.5%/522/3.5 months (Across ALL Assets)
BASELINEDIVERGENCE,"TRI.TO, Long, 2026-01-11 (Price: 179.94)",Weekly,2026-05-24 (Price: 118.6),No Price Target,No Date Target,52.34%/64.01%,"-33.77%, 4.5 months","2026-05-25 (Price: 119.18), 33.77% below",201.8567 (Historic Rise or Fall to Pivot)/195.4688 (Avg % Gain of Historic Winning trades)/293.2329 (Function Specific Target)/240.8933 (Horizontal)/293.2329 (F-Stack 1)/455.2123 (F-Stack 2)/225.2489 (Backtested Max)/181.5595 (Backtested Min),2026-12-31 (Max)/2026-06-16 (Avg),173.66/126.1128/131.2534/93.0152/No F-Track Level/No F-Track Level/174.54,"82.14%, Past 10 years, 112",175.14,No Information,"^GSPC, Normal Case",No Information,No Information,No Information,No Information,25.18%/0.9%/8.63%,"16.42%, 26.29%",8.2 months/2.1 months/3.6 months,22.88%,5.43%,17.45%,0.6,0.27,54.55%/33/2.9 months (Across ALL Assets),70.5%/522/3.5 months (Across ALL Assets)
BASELINEDIVERGENCE,"TRI.TO, Long, 2025-12-28 (Price: 181.76)",Weekly,2026-05-24 (Price: 118.6),No Price Target,No Date Target,53.88%/65.67%,"-34.43%, 4.9 months","2026-05-25 (Price: 119.18), 34.43% below",203.8984 (Historic Rise or Fall to Pivot)/197.4459 (Avg % Gain of Historic Winning trades)/293.2329 (Function Specific Target)/240.8933 (Horizontal)/293.2329 (F-Stack 1)/455.2123 (F-Stack 2)/227.5272 (Backtested Max)/183.3958 (Backtested Min),2026-12-17 (Max)/2026-06-02 (Avg),179.89/116.89/131.2534/93.0152/No F-Track Level/No F-Track Level/174.54,"82.14%, Past 10 years, 112",182.27,No Information,"^GSPC, Normal Case",No Information,No Information,No Information,No Information,25.18%/0.9%/8.63%,"16.42%, 26.29%",8.2 months/2.1 months/3.6 months,22.88%,5.43%,17.45%,0.6,0.27,54.55%/33/2.9 months (Across ALL Assets),70.5%/522/3.5 months (Across ALL Assets)
BASELINEDIVERGENCE,"TRI.TO, Long, 2025-11-30 (Price: 189.55)",Weekly,2026-05-24 (Price: 118.6),No Price Target,No Date Target,60.48%/72.77%,"-37.12%, 5.9 months","2026-05-25 (Price: 119.18), 37.12% below",212.6372 (Historic Rise or Fall to Pivot)/205.9082 (Avg % Gain of Historic Winning trades)/293.2329 (Function Specific Target)/240.8933 (Horizontal)/293.2329 (F-Stack 1)/455.2123 (F-Stack 2)/237.2787 (Backtested Max)/191.2559 (Backtested Min),2026-11-19 (Max),163.51/116.89/131.2534/93.0152/No F-Track Level/No F-Track Level/174.54,"82.14%, Past 10 years, 112",190.76,No Information,"^GSPC, Normal Case",No Information,No Information,No Information,No Information,25.18%/0.9%/8.63%,"16.42%, 26.29%",8.2 months/2.1 months/3.6 months,22.88%,5.43%,17.45%,0.6,0.27,54.55%/33/2.9 months (Across ALL Assets),70.5%/522/3.5 months (Across ALL Assets)
BASELINEDIVERGENCE,"TRI.TO, Long, 2025-11-23 (Price: 190.48)",Weekly,2026-05-24 (Price: 118.6),No Price Target,No Date Target,61.26%/73.62%,"-37.43%, 6.1 months","2026-05-25 (Price: 119.18), 37.43% below",213.6805 (Historic Rise or Fall to Pivot)/206.9184 (Avg % Gain of Historic Winning trades)/293.2329 (Function Specific Target)/240.8933 (Horizontal)/293.2329 (F-Stack 1)/455.2123 (F-Stack 2)/238.4429 (Backtested Max)/192.1943 (Backtested Min),2026-11-12 (Max),163.51/116.89/131.2534/93.0152/No F-Track Level/No F-Track Level/174.54,"82.14%, Past 10 years, 112",198.05,No Information,"^GSPC, Normal Case",No Information,No Information,No Information,No Information,25.18%/0.9%/8.63%,"16.42%, 26.29%",8.2 months/2.1 months/3.6 months,22.88%,5.43%,17.45%,0.6,0.27,54.55%/33/2.9 months (Across ALL Assets),70.5%/522/3.5 months (Across ALL Assets)
BASELINEDIVERGENCE,"TRI.TO, Long, 2025-10-19 (Price: 222.18)",Weekly,2026-05-24 (Price: 118.6),No Price Target,No Date Target,102.13%/102.51%,"-46.36%, 7.3 months","2026-05-25 (Price: 119.18), 46.36% below",249.2415 (Historic Rise or Fall to Pivot)/241.3541 (Avg % Gain of Historic Winning trades)/293.2329 (Function Specific Target)/240.8933 (Horizontal)/293.2329 (F-Stack 1)/316.3836 (F-Stack 2)/278.1249 (Backtested Max),2026-10-08 (Max),212.03/116.89/193.124/131.2534/No F-Track Level/No F-Track Level/174.54,"82.14%, Past 10 years, 112",213.63,No Information,"^GSPC, Normal Case",No Information,No Information,No Information,No Information,25.18%/0.9%/8.63%,"16.42%, 26.29%",8.2 months/2.1 months/3.6 months,22.88%,5.43%,17.45%,0.6,0.27,54.55%/33/2.9 months (Across ALL Assets),70.5%/522/3.5 months (Across ALL Assets)
BASELINEDIVERGENCE,"TRI.TO, Long, 2025-08-31 (Price: 243.91)",Weekly,2026-05-24 (Price: 118.6),No Price Target,No Date Target,106.5%/122.32%,"-51.14%, 8.9 months","2026-05-25 (Price: 119.18), 51.14% below",273.6182 (Historic Rise or Fall to Pivot)/264.9594 (Avg % Gain of Historic Winning trades)/293.2329 (Function Specific Target)/293.2329 (F-Stack 1)/455.2123 (F-Stack 2)/305.3265 (Backtested Max)/246.1052 (Backtested Min),2026-08-20 (Max),236.67/117.9612/193.124/131.2534/No F-Track Level/No F-Track Level/174.54,"82.14%, Past 10 years, 112",246.48,No Information,"^GSPC, Normal Case",No Information,No Information,No Information,No Information,25.18%/0.9%/8.63%,"16.42%, 26.29%",8.2 months/2.1 months/3.6 months,22.88%,5.43%,17.45%,0.6,0.27,54.55%/33/2.9 months (Across ALL Assets),70.5%/522/3.5 months (Across ALL Assets)
