"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Backtested Returns(Win Trades) [%] (Max/Min/Avg),Backtested Returns (Lose Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Holding Period (All Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"XLE, Long, 2026-06-22 (Price: 54.06)",No Exit Yet,"0.0%, 0 days","100.0%, Past 4 years, 13","Daily, is CONFIRMED on 2026-06-22",Already confirmed,"2026-06-22 (Price: 54.06), 0.0% below",0 days,4.81%/1.81%/3.0%,N/A,"0%, 11.71%",2.2 months/1 day/20 days,2.2 months/1 day/20 days,2026-09-25/2026-06-23/2026-07-20,13.97%,10.0%,3.97%,3.32,0.54,57.6712/55.6818/56.68/No Horizontal Resistance/62.994/69.0645/No EMA 200 Target,53.77/37.6833/53.114/47.8423/51.1521/43.5884/50.96,79.59%/196/16 days (Across ALL Assets),75.96%/570/16 days (Across ALL Assets),53.53
"IMO.TO, Long, 2026-06-22 (Price: 161.61)",No Exit Yet,"0.0%, 0 days","84.62%, Past 4 years, 13","Daily, is CONFIRMED on 2026-06-22",Already confirmed,"2026-06-22 (Price: 161.61), 0.0% below",0 days,6.75%/2.89%/4.81%,-8.07%/-9.11%/-8.59%,"9.11%, 9.29%",21 days/2 days/12 days,21 days/2 days/11 days,2026-07-22/2026-06-24/2026-07-09,10.84%,21.26%,-10.42%,0.51,1.11,182.0698/169.3834/175.73/No Horizontal Resistance/192.4759/206.2992/No EMA 200 Target,158.2/60.8067/154.4487/143.2675/148.8195/122.4308/148.83,79.59%/196/16 days (Across ALL Assets),75.96%/570/16 days (Across ALL Assets),159.13
"ETH-USD, Long, 2026-06-22 (Price: 1730.92)",No Exit Yet,"0.0%, 0 days","100.0%, Past 10 years, 4","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price below 1633.9344 or above 1730.92 prior to 2026-06-26,"2026-06-22 (Price: 1730.92), 0.0% below",0 days,33.31%/13.05%/23.33%,N/A,"0%, 21.37%",1.6 month/14 days/1.1 month,1.6 month/14 days/1.1 month,2026-08-30/2026-07-12/2026-08-08,28.57%,14.87%,13.7%,2.73,0.84,2480.2353/2134.7436/2307.49/4922.7188/5483.4169/5888.6495/2363.86,1686.4/1370.4997/No F-Stack Support/No F-Stack Support/No stop loss/No stop loss/No EMA 200 Stop Loss,82.76%/29/1.6 month (Across ALL Assets),86.61%/127/2.1 months (Across ALL Assets),1704.9043
"CNQ.TO, Long, 2026-06-19 (Price: 58.66)",No Exit Yet,"0.82%, 3 days","91.67%, Past 4 years, 12","Daily, was CONFIRMED on 2026-06-19",Already confirmed,"2026-06-22 (Price: 59.14), 0.82% above",3 days,7.62%/2.28%/3.92%,-8.41%/-8.41%/-8.41%,"8.41%, 14.98%",2.1 months/2 days/13 days,3.1 months/0 days/19 days,2026-09-18/2026-06-21/2026-07-07,11.02%,14.73%,-3.71%,0.58,0.76,66.7903/60.9595/63.87/No Horizontal Resistance/68.6522/72.1856/No EMA 200 Target,57.95/34.9317/48.4386/46.0303/No F-Track Level/No F-Track Level/53.76,79.59%/196/16 days (Across ALL Assets),75.96%/570/16 days (Across ALL Assets),57.83
"DBC, Long, 2026-06-18 (Price: 27.63)",No Exit Yet,"-0.8%, 4 days","76.92%, Past 4 years, 13","Daily, was CONFIRMED on 2026-06-18",Already confirmed,"2026-06-22 (Price: 27.41), 0.8% below",4 days,3.39%/1.26%/2.45%,-5.13%/-9.86%/-7.03%,"9.86%, 10.73%",1.2 month/1 day/14 days,1.5 month/0 days/16 days,2026-08-09/2026-06-19/2026-07-08,3.2%,5.47%,-2.27%,-0.02,0.28,29.0695/28.3069/28.69/28.58/61.3269/86.3141/No EMA 200 Target,23.59/20.84/22.4363/No stop loss/No F-Track Level/No F-Track Level/25.47,79.59%/196/16 days (Across ALL Assets),75.96%/570/16 days (Across ALL Assets),27.53
"USO, Long, 2026-06-18 (Price: 114.87)",No Exit Yet,"-1.9%, 4 days","90.91%, Past 4 years, 11","Daily, was CONFIRMED on 2026-06-18",Already confirmed,"2026-06-22 (Price: 112.69), 1.9% below",4 days,7.29%/2.64%/4.33%,-14.67%/-14.67%/-14.67%,"14.67%, 16.99%",3.6 months/2 days/25 days,3.6 months/0 days/28 days,2026-11-21/2026-06-20/2026-07-24,8.19%,12.53%,-4.34%,0.32,0.61,124.5306/119.8439/122.19/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,114.23/58.7667/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/94.06,79.59%/196/16 days (Across ALL Assets),75.96%/570/16 days (Across ALL Assets),112.47
"USCI, Long, 2026-06-17 (Price: 93.54)",No Exit Yet,"-0.9%, 5 days","90.91%, Past 4 years, 11","Daily, was CONFIRMED on 2026-06-17",Already confirmed,"2026-06-22 (Price: 92.7), 0.9% below",5 days,4.2%/1.48%/2.63%,-7.63%/-7.63%/-7.63%,"7.63%, 8.04%",22 days/1 day/10 days,22 days/0 days/9 days,2026-07-18/2026-06-18/2026-07-01,6.99%,12.71%,-5.72%,0.43,0.89,100.8642/96.0001/98.43/No Horizontal Resistance/107.1436/112.9927/No EMA 200 Target,91.98/51.03/90.2685/81.0354/No F-Track Level/No F-Track Level/85.86,79.59%/196/16 days (Across ALL Assets),75.96%/570/16 days (Across ALL Assets),94.24
"HDB, Long, 2026-06-14 (Price: 24.17)",No Exit Yet,"3.81%, 8 days","100.0%, Past 15 years, 9","Weekly, was CONFIRMED on 2026-06-14",Already confirmed,"2026-06-22 (Price: 25.09), 3.81% above",8 days,16.81%/7.65%/10.25%,N/A,"-0.0%, 13.44%",2.1 months/7 days/1.2 month,2.1 months/0 days/1 month,2026-09-13/2026-06-24/2026-08-05,14.3%,5.35%,8.95%,2.05,0.27,26.6329/26.6474/26.64/39.5717/40.717/49.3282/31.32,23.41/No Horizontal Support/21.1884/14.0692/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,82.76%/29/1.6 month (Across ALL Assets),86.61%/127/2.1 months (Across ALL Assets),23.29
"HDFCBANK.NS, Long, 2026-06-14 (Price: 772.45)",No Exit Yet,"1.81%, 8 days","85.71%, Past 15 years, 7","Weekly, was CONFIRMED on 2026-06-14",Already confirmed,"2026-06-22 (Price: 786.4), 1.81% above",8 days,11.71%/4.83%/8.43%,-12.08%/-12.08%/-12.08%,"12.08%, 16.27%",2.3 months/7 days/1.4 month,2.3 months/0 days/1.2 month,2026-09-21/2026-06-24/2026-08-13,8.0%,9.15%,-1.15%,0.49,0.54,823.8952/837.5675/830.73/1009.6/1098.0619/1180.6259/900.55,744.55/640.9/765.1075/697.8792/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,82.76%/29/1.6 month (Across ALL Assets),86.61%/127/2.1 months (Across ALL Assets),738.0
"IEI, Long, 2026-06-14 (Price: 117.21)",No Exit Yet,"-0.25%, 8 days","77.78%, Past 15 years, 9","Weekly, was CONFIRMED on 2026-06-14",Already confirmed,"2026-06-22 (Price: 116.92), 0.25% below",8 days,1.55%/0.43%/0.87%,-1.21%/-4.66%/-2.94%,"4.66%, 5.44%",3.5 months/7 days/1.5 month,7.5 months/0 days/2.4 months,2026-11-13/2026-06-24/2026-08-18,3.18%,-0.06%,3.24%,-0.32,-1.25,No Target/118.2297/117.54/119.6711/No Next Fib Ext/No Next Fib Ext/119.02,116.73/113.8775/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,82.76%/29/1.6 month (Across ALL Assets),86.61%/127/2.1 months (Across ALL Assets),116.89
