Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Today Trading Date/Price[$], Today price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],"Win Rate [%], History Tested, Number of Trades",Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),Backtested Returns (Lose Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Holding Period (All Trades) (days) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Asset Class,Expected Return E[R] [%],Signal Alpha Per Trade [%],R:R Static,R:R Dynamic,Theoretical Entry Price [$],Reward Remaining [%],Signal Quality Composite Score,Timeliness Score
DELTADRIFT,"HDFCBANK.NS, Long, 2026-06-14 (Price: 772.45)",Weekly,No Exit Yet,No Price Target,2026-06-24 (Min),1.73%/3.5%,"3.05%, 12 days","2026-06-26 (Price: 796.0), 3.05% above",823.8952 (Historic Rise or Fall to Pivot)/837.5675 (Avg % Gain of Historic Winning trades)/830.73 (Function Specific Target)/1009.6 (Horizontal)/1098.0619 (F-Stack 1)/1180.6259 (F-Stack 2)/898.06 (EMA 200)/862.9039 (Backtested Max)/809.7593 (Backtested Min),2026-09-21 (Max)/2026-08-13 (Avg),744.55/640.9/765.1075/697.8792/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"85.71%, Past 15 years, 7",738.0,No Information,No Information,No Information,No Information,No Information,No Information,11.71%/4.83%/8.43%,-12.08%/-12.08%/-12.08%,"12.08%, 16.27%",2.3 months/7 days/1.4 month,2.3 months/0 days/1.2 month,8.0%,9.15%,-1.15%,0.49,0.54,82.76%/29/1.6 month (Across ALL Assets),86.61%/127/2.1 months (Across ALL Assets),equity,5.50%,4.19%,2.17,0.14,772.4500,63.8%,47.3,20
SIGMASHELL,"HDFCBANK.NS, Long, 2026-03-23 (Price: 744.15)",Daily,2026-06-23 (Price: 774.65),No Price Target,No Date Target,12.82%/26.83%,"6.97%, 3.1 months","2026-06-25 (Price: 796.0), 6.97% above",1098.0619 (Function Specific Target)/1009.6 (Horizontal)/1098.0619 (F-Stack 1)/1305.7899 (F-Stack 2)/898.06 (EMA 200),2026-11-03 (Max)/2026-07-05 (Min)/2026-08-30 (Avg),No Recent Minima/640.9/697.8792/606.5732/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"100.0%, Past 5 years, 7",763.15,"-3.21, 100.0%",No Information,No Information,No Information,No Information,No Information,8.69%/0.8%/4.88%,N/A,"-0.0%, 22.66%",5.2 months/2.4 months/3.7 months,5.2 months/0 days/2.1 months,6.75%,12.02%,-5.27%,0.68,0.64,68.18%/44/3.8 months (Across ALL Assets),69.36%/297/3.8 months (Across ALL Assets),equity,4.88%,1.88%,0.40,0.04,744.1500,-42.8%,14.8,40
SIGMASHELL,"HDFCBANK.NS, Long, 2026-03-02 (Price: 879.4)",Daily,2026-06-23 (Price: 774.65),No Price Target,No Date Target,11.36%/12.73%,"-9.48%, 3.8 months","2026-06-25 (Price: 796.0), 9.48% below",897.3398 (Historic Rise or Fall to Pivot)/922.3147 (Avg % Gain of Historic Winning trades)/1098.0619 (Function Specific Target)/1009.6 (Horizontal)/1098.0619 (F-Stack 1)/1305.7899 (F-Stack 2)/898.06 (EMA 200)/955.8199 (Backtested Max)/886.4352 (Backtested Min),2026-10-13 (Max)/2026-08-09 (Avg),878.85/640.9/765.1075/697.8792/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"100.0%, Past 5 years, 7",876.2,"-3.0, 69.44%",No Information,No Information,No Information,No Information,No Information,8.69%/0.8%/4.88%,N/A,"-0.0%, 22.66%",5.2 months/2.4 months/3.7 months,5.2 months/0 days/2.1 months,6.75%,12.02%,-5.27%,0.68,0.64,68.18%/44/3.8 months (Across ALL Assets),69.36%/297/3.8 months (Across ALL Assets),equity,4.88%,1.88%,1.26,3.98,879.4000,100.0%,14.8,40
DELTADRIFT,"MSFT, Long, 2026-06-12 (Price: 390.74)",Daily,No Exit Yet,No Price Target,2026-06-27 (Avg),8.18%/8.32%,"-4.55%, 14 days","2026-06-26 (Price: 372.97), 4.55% below",403.4781 (Historic Rise or Fall to Pivot)/404.494 (Avg % Gain of Historic Winning trades)/403.99 (Function Specific Target)/554.585 (Horizontal)/553.3726 (F-Stack 1)/615.9924 (F-Stack 2)/447.99 (EMA 200)/411.1757 (Backtested Max),2026-09-24 (Max)/2026-06-27 (Avg),390.34/216.39/386.873/350.287/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"71.43%, Past 4 years, 14",391.43,No Information,No Information,No Information,No Information,No Information,No Information,5.23%/2.02%/3.52%,-6.0%/-8.2%/-7.09%,"8.2%, 14.53%",2.4 months/1 day/11 days,2.4 months/0 days/14 days,3.71%,5.12%,-1.41%,0.02,0.26,79.59%/196/16 days (Across ALL Assets),75.96%/570/16 days (Across ALL Assets),equity,0.49%,0.20%,0.58,1.42,390.7400,100.0%,2.5,0
OSCILLATOR DELTA,"MSFT, Long, 2026-06-26 (Price: 372.97)",Daily,No Exit Yet,No Price Target,2026-06-28 (Min),0.78%/4.87%,"0.0%, 0 days","2026-06-26 (Price: 372.97), 0.0% below",391.8796 (Historic Rise or Fall to Pivot)/391.1336 (Avg % Gain of Historic Winning trades)/391.62 (Function Specific Target)/554.585 (Horizontal)/574.7462 (F-Stack 1)/624.2034 (F-Stack 2)/447.99 (EMA 200)/442.0813 (Backtested Max)/375.8792 (Backtested Min),2026-08-25 (Max)/2026-06-28 (Min)/2026-07-17 (Avg),No Recent Minima/216.39/331.7514/251.1563/No stop loss/No stop loss/No EMA 200 Stop Loss,"80.0%, Past 6 years, 15",357.125,No Information,No Information,No Information,No Information,No Information,No Information,18.53%/0.78%/4.87%,-10.71%/-11.17%/-11.0%,"11.17%, 14.53%",1.4 month/2 days/15 days,2.1 months/2 days/21 days,8.24%,7.72%,0.52%,0.19,0.4,90.26%/154/25 days (Across ALL Assets),79.53%/513/25 days (Across ALL Assets),equity,1.70%,1.05%,0.44,0.04,372.9700,100.0%,22.9,100
TRENDPULSE,"BRK-B, Long, 2026-06-15 (Price: 495.52)",Daily,No Exit Yet,498.9886 (Backtested Min),No Date Target,2.21%/2.72%,"0.63%, 11 days","2026-06-26 (Price: 498.66), 0.63% above",520.9402 (Historic Rise or Fall to Pivot)/509.6919 (Avg % Gain of Historic Winning trades)/523.45 (Function Specific Target)/512.2133 (Horizontal)/630.85 (F-Stack 1)/709.9376 (F-Stack 2)/520.3951 (Backtested Max),2026-08-06 (Max)/2026-07-02 (Avg),470.29/267.42/491.88/449.7662/No F-Track Level/No F-Track Level/490.39,"100.0%, Past 4 years, 22",487.56,No Information,No Information,No Information,No Information,No Information,1.92% above/0.63% above/0.63% above,5.02%/0.7%/2.86%,N/A,"-0.0%, 7.4%",1.2 month/6 days/12 days,1.2 month/0 days/10 days,12.87%,12.36%,0.51%,1.33,0.9,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets),equity,2.86%,2.37%,2.10,0.42,489.2661,77.8%,74.0,0
PULSEGAUGE,"BRK-B, Long, 2026-04-23 (Price: 470.55)",Weekly,No Exit Yet,No Price Target,2026-06-27 (Min),2.72%/6.76%,"5.97%, 2.1 months","2026-06-26 (Price: 498.66), 5.97% above",538.168 (Avg % Gain of Historic Winning trades)/630.85 (Function Specific Target)/512.2133 (Horizontal)/630.85 (F-Stack 1)/709.9376 (F-Stack 2)/557.4135 (Backtested Max)/532.3803 (Backtested Min),2028-02-29 (Max)/2026-06-27 (Min)/2027-02-12 (Avg),468.49/268.082/449.7662/405.99/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"75.0%, Past 25 years, 20",474.38,No Information,No Information,No Information,No Information,No Information,No Information,18.46%/13.14%/14.37%,-20.65%/-33.7%/-24.91%,"33.7%, 24.78%",1.3 year/1.5 month/6.8 months,1.3 year/0 days/5.2 months,3.17%,6.9%,-3.73%,0.05,-0.22,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),equity,4.55%,0.28%,2.38,1.45,470.5500,58.4%,-4.7,87
TRENDPULSE,"NFLX, Long, 2026-04-10 (Price: 103.01)",Daily,No Exit Yet,No Price Target,2026-06-27 (Avg),49.2%/64.84%,"-28.35%, 2.6 months","2026-06-26 (Price: 73.81), 28.35% below",121.67 (Function Specific Target)/139.352 (F-Stack 1)/152.4292 (F-Stack 2)/110.128 (Backtested Max),2026-08-05 (Max)/2026-06-27 (Avg),90.92/34.8663/100.8852/86.4764/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"88.24%, Past 4 years, 17",102.47,No Information,No Information,No Information,No Information,No Information,25.74% below/28.35% below/28.35% below,6.91%/0.45%/3.8%,-0.57%/-25.85%/-13.21%,"25.85%, 39.95%",2.7 months/7 days/1.8 month,7.7 months/0 days/2 months,4.57%,6.04%,-1.47%,0.07,0.35,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets),equity,1.80%,0.36%,0.07,0.84,58.7005,100.0%,0.9,60
PULSEGAUGE,"NFLX, Long, 2025-10-15 (Price: 120.329)",Weekly,2026-06-24 (Price: 71.84),No Price Target,No Date Target,76.44%/88.8%,"-38.66%, 8.5 months","2026-06-26 (Price: 73.81), 38.66% below",130.2321 (Historic Rise or Fall to Pivot)/165.5968 (Avg % Gain of Historic Winning trades)/139.352 (Function Specific Target)/139.352 (F-Stack 1)/152.4292 (F-Stack 2)/177.6417 (Backtested Max)/161.674 (Backtested Min),2029-01-24 (Max)/2026-07-24 (Avg),115.33/34.8663/116.3145/100.8852/No F-Track Level/No F-Track Level/97.04,"94.44%, Past 24 years, 18",122.135,No Information,No Information,No Information,No Information,No Information,No Information,47.63%/34.36%/37.62%,-57.74%/-57.74%/-57.74%,"57.74%, 57.13%",2.3 years/15 days/6.5 months,2.3 years/0 days/5.5 months,20.7%,20.65%,0.05%,1.09,0.18,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),equity,32.32%,18.80%,0.71,2.42,120.3290,100.0%,63.5,47
FRACTAL TRACK,"TRI.TO, Long, 2025-10-26 (Price: 227.55)",Weekly,No Exit Yet,No Price Target,2026-06-26 (Avg),93.83%/102.36%,"-47.69%, 8.1 months","2026-06-26 (Price: 119.04), 47.69% below",266.7569 (Historic Rise or Fall to Pivot)/253.1949 (Avg % Gain of Historic Winning trades)/375.05 (Function Specific Target)/240.8933 (Horizontal)/293.2329 (F-Stack 1)/316.3836 (F-Stack 2)/267.2575 (Backtested Max)/230.7357 (Backtested Min),2027-12-17 (Max),212.03/116.89/193.124/131.2534/No F-Track Level/No F-Track Level/159.39,"92.31%, Past 20 years, 13",222.85,No Information,No Information,No Information,"38.2% (Price: 205.33), 42.03% below, Upmove Bounce Back","2018-05-13 (Price: 53.4023), 2025-07-20 (Price: 299.24)",No Information,17.45%/1.4%/11.27%,-1.51%/-1.51%/-1.51%,"1.51%, 22.04%",1.5 year/1.6 month/5.6 months,1.6 year/0 days/5.7 months,8.85%,4.0%,4.85%,0.91,0.18,89.09%/55/1.4 year (Across ALL Assets),61.63%/172/7.4 months (Across ALL Assets),equity,10.29%,7.57%,6.24,59.97,227.5500,100.0%,36.0,47
