Function,Symbol,Signal,Interval,Entry Date,Entry Price,Exit Date,Exit Price,Today price,Realised/Unrealised Profit,Holding Period,Status,Backtested Win Rate [%]
TRENDPULSE,NOVA.F,Long,Daily,2026-06-17,38.52,,,38.52,0.0000%,,Open,92.31
DELTADRIFT,USCI,Long,Daily,2026-06-17,93.5401,,,93.5401,0.0000%,,Open,90.0
DELTADRIFT,ADBE,Long,Daily,2026-06-16,207.32,,,196.28,-5.3251%,,Open,78.57
TRENDPULSE,HDB,Long,Daily,2026-06-16,25.27,,,24.76,-2.0182%,,Open,78.57
TRENDPULSE,ABNB,Long,Daily,2026-06-16,141.2,,,140.54,-0.4674%,,Open,90.91
TRENDPULSE,AAPL,Long,Daily,2026-06-16,299.24,,,295.95,-1.0995%,,Open,88.46
OSCILLATOR DELTA,NFLX,Long,Daily,2026-06-15,81.67,,,76.96,-5.7671%,,Open,80.95
TRENDPULSE,SFTBY,Long,Daily,2026-06-15,23.07,,,22.1,-4.2046%,,Open,89.47
DELTADRIFT,BYDDY,Long,Daily,2026-06-15,10.94,,,10.4,-4.9360%,,Open,75.0
TRENDPULSE,MA,Long,Daily,2026-06-15,490.64,,,492.99,0.4790%,,Open,89.29
OSCILLATOR DELTA,RELIANCE.NS,Long,Daily,2026-06-15,1307.0,,,1332.7,1.9663%,,Open,95.0
OSCILLATOR DELTA,UBER,Long,Daily,2026-06-15,72.85,,,70.91,-2.6630%,,Open,90.0
TRENDPULSE,BRK-B,Long,Daily,2026-06-15,495.52,,,491.28,-0.8557%,,Open,100.0
TRENDPULSE,ATZ.TO,Long,Daily,2026-06-15,173.2,,,163.13,-5.8141%,,Open,93.1
DELTADRIFT,BABA,Long,Daily,2026-06-15,112.55,,,107.44,-4.5402%,,Open,85.71
TRENDPULSE,EIF.TO,Long,Weekly,2026-06-14,128.97,,,128.65,-0.2481%,,Open,100.0
DELTADRIFT,HDFCBANK.NS,Long,Weekly,2026-06-14,772.45,,,787.1,1.8966%,,Open,83.33
TRENDPULSE,TFII.TO,Long,Weekly,2026-06-14,224.37,,,204.34,-8.9272%,,Open,95.83
TRENDPULSE,XLF,Long,Weekly,2026-06-14,53.34,,,54.05,1.3311%,,Open,93.75
DELTADRIFT,HDB,Long,Weekly,2026-06-14,24.17,,,24.76,2.4410%,,Open,100.0
DELTADRIFT,IEI,Long,Weekly,2026-06-14,117.21,,,116.9,-0.2645%,,Open,75.0
TRENDPULSE,PG,Long,Weekly,2026-06-14,149.61,,,150.56,0.6350%,,Open,95.0
TRENDPULSE,IBKR,Long,Daily,2026-06-12,90.81,,,95.09,4.7131%,,Open,92.86
TRENDPULSE,EIF.TO,Long,Weekly,2026-06-12,128.97,,,128.65,-0.2481%,,Open,100.0
TRENDPULSE,JETS,Long,Daily,2026-06-12,29.53,,,30.25,2.4382%,,Open,81.82
TRENDPULSE,PG,Long,Weekly,2026-06-12,149.61,,,150.56,0.6350%,,Open,95.0
DELTADRIFT,IEI,Long,Weekly,2026-06-12,117.21,,,116.9,-0.2645%,,Open,75.0
OSCILLATOR DELTA,XLY,Long,Daily,2026-06-12,116.6,,,115.49,-0.9520%,,Open,86.36
TRENDPULSE,TFII.TO,Long,Weekly,2026-06-12,224.37,,,204.34,-8.9272%,,Open,95.83
DELTADRIFT,HDB,Long,Weekly,2026-06-12,24.17,,,24.76,2.4410%,,Open,100.0
TRENDPULSE,INDY,Long,Daily,2026-06-12,42.7,,,43.15,1.0539%,,Open,90.91
TRENDPULSE,XLF,Long,Daily,2026-06-12,53.34,,,54.05,1.3311%,,Open,100.0
TRENDPULSE,BAC,Long,Daily,2026-06-12,56.02,,,56.53,0.9104%,,Open,82.14
TRENDPULSE,^DJI,Long,Daily,2026-06-12,51202.2617,,,51492.5508,0.5669%,,Open,92.0
TRENDPULSE,IWM,Long,Daily,2026-06-12,292.95,,,289.88,-1.0480%,,Open,100.0
DELTADRIFT,META,Long,Daily,2026-06-12,566.98,2026-06-15,593.48,593.48,4.6739%,3.0,Closed,72.73
DELTADRIFT,HDFCBANK.NS,Long,Weekly,2026-06-12,772.45,,,787.1,1.8966%,,Open,83.33
DELTADRIFT,MSFT,Long,Daily,2026-06-12,390.74,,,378.91,-3.0276%,,Open,71.43
TRENDPULSE,XLF,Long,Weekly,2026-06-12,53.34,,,54.05,1.3311%,,Open,93.75
DELTADRIFT,SLV,Long,Daily,2026-06-11,60.82,,,60.61,-0.3453%,,Open,85.71
DELTADRIFT,GLD,Long,Daily,2026-06-11,386.32,2026-06-16,397.63,397.63,2.9276%,5.0,Closed,88.89
SIGMASHELL,EFN.TO,Long,Daily,2026-06-11,26.02,,,27.99,7.5711%,,Open,100.0
TRENDPULSE,MTY.TO,Long,Daily,2026-06-11,40.97,,,39.75,-2.9778%,,Open,95.83
DELTADRIFT,AEM.TO,Long,Daily,2026-06-11,219.94,2026-06-15,240.24,240.24,9.2298%,4.0,Closed,100.0
DELTADRIFT,WPM.TO,Long,Daily,2026-06-11,157.14,2026-06-15,173.4,173.4,10.3475%,4.0,Closed,76.92
TRENDPULSE,HDFCBANK.NS,Long,Daily,2026-06-11,744.6,2026-06-17,787.1,787.1,5.7078%,6.0,Closed,100.0
DELTADRIFT,GILD,Long,Daily,2026-06-11,125.87,,,125.45,-0.3337%,,Open,83.33
TRENDPULSE,MEL.NZ,Long,Daily,2026-06-11,5.9,,,5.82,-1.3559%,,Open,94.59
TRENDPULSE,^NZ50,Long,Daily,2026-06-10,13253.6504,,,13392.9805,1.0513%,,Open,81.82
TRENDPULSE,FRW.NZ,Long,Daily,2026-06-10,13.7,,,13.15,-4.0146%,,Open,76.0
OSCILLATOR DELTA,NVO,Long,Daily,2026-06-10,42.81,,,43.52,1.6585%,,Open,80.0
TRENDPULSE,SPOT,Long,Daily,2026-06-10,503.1,,,455.6,-9.4415%,,Open,100.0
TRENDPULSE,SPOT,Long,Daily,2026-06-09,496.22,,,455.6,-8.1859%,,Open,100.0
DELTADRIFT,AMZN,Long,Daily,2026-06-09,244.19,,,237.5,-2.7397%,,Open,80.0
DELTADRIFT,ETH-USD,Long,Daily,2026-06-09,1702.02,,,1737.2,2.0670%,,Open,85.71
TRENDPULSE,ASML,Long,Daily,2026-06-09,1777.77,2026-06-17,1867.83,1867.83,5.0659%,8.0,Closed,82.35
DELTADRIFT,^BVSP,Long,Daily,2026-06-09,169813.1562,,,168453.9375,-0.8004%,,Open,76.92
TRENDPULSE,TFII.TO,Long,Daily,2026-06-08,227.87,,,204.34,-10.3261%,,Open,84.21
DELTADRIFT,IBIT,Long,Daily,2026-06-08,35.89,2026-06-15,37.74,37.74,5.1546%,7.0,Closed,100.0
DELTADRIFT,EFN.TO,Long,Weekly,2026-06-07,26.79,,,27.99,4.4793%,,Open,80.0
TRENDPULSE,GS,Long,Weekly,2026-06-07,1038.6801,,,1099.14,5.8208%,,Open,100.0
BASELINEDIVERGENCE,MAZDOCK.NS,Long,Weekly,2026-06-07,2423.1001,,,2552.3999,5.3361%,,Open,85.0
DELTADRIFT,BTC-USD,Long,Daily,2026-06-07,61579.0508,2026-06-13,64421.3242,64421.3242,4.6156%,6.0,Closed,75.0
DELTADRIFT,EBO.NZ,Long,Weekly,2026-06-07,20.11,2026-06-12,21.41,21.41,6.4644%,5.0,Closed,75.0
BASELINEDIVERGENCE,TRI.TO,Long,Weekly,2026-06-07,120.12,,,112.06,-6.7100%,,Open,82.14
DELTADRIFT,EBO.NZ,Long,Weekly,2026-06-05,20.11,,,19.98,-0.6464%,,Open,75.0
DELTADRIFT,EFN.TO,Long,Weekly,2026-06-05,26.79,,,27.99,4.4793%,,Open,80.0
BASELINEDIVERGENCE,TRI.TO,Long,Weekly,2026-06-05,120.12,,,112.06,-6.7100%,,Open,82.14
BASELINEDIVERGENCE,MAZDOCK.NS,Long,Weekly,2026-06-05,2423.1001,,,2552.3999,5.3361%,,Open,85.0
TRENDPULSE,GS,Long,Weekly,2026-06-05,1038.6801,,,1099.14,5.8208%,,Open,100.0
TRENDPULSE,BAC,Long,Daily,2026-06-04,54.17,2026-06-17,56.53,56.53,4.3567%,13.0,Closed,82.14
DELTADRIFT,CNU.NZ,Long,Daily,2026-06-04,9.54,2026-06-10,9.78,9.78,2.5157%,6.0,Closed,85.71
TRENDPULSE,TFII.TO,Long,Daily,2026-06-04,223.0,,,204.34,-8.3677%,,Open,84.21
TRENDPULSE,ATD.TO,Long,Daily,2026-06-03,80.03,2026-06-09,82.33,82.33,2.8739%,6.0,Closed,100.0
DELTADRIFT,SBUX,Long,Daily,2026-06-03,95.89,2026-06-10,98.76,98.76,2.9930%,7.0,Closed,78.57
TRENDPULSE,ASML,Long,Daily,2026-06-03,1726.36,2026-06-16,1803.89,1803.89,4.4910%,13.0,Closed,82.35
SIGMASHELL,WMT,Long,Daily,2026-06-03,116.89,,,118.13,1.0608%,,Open,100.0
TRENDPULSE,KXS.TO,Long,Daily,2026-06-02,170.13,,,152.42,-10.4097%,,Open,77.78
TRENDPULSE,005930.KS,Long,Daily,2026-06-02,360500.0,,,346500.0,-3.8835%,,Open,76.19
TRENDPULSE,ZM,Long,Daily,2026-06-02,111.88,,,87.39,-21.8895%,,Open,100.0
SIGMASHELL,SLV,Long,Daily,2026-06-01,67.67,,,60.61,-10.4330%,,Open,75.0
OSCILLATOR DELTA,MX.TO,Long,Daily,2026-06-01,84.71,,,77.86,-8.0864%,,Open,86.96
TRENDPULSE,ORCL,Long,Daily,2026-06-01,248.15,,,183.53,-26.0407%,,Open,90.0
SIGMASHELL,PG,Long,Daily,2026-06-01,140.28,,,150.56,7.3282%,,Open,92.31
TRENDPULSE,DIA,Long,Daily,2026-06-01,511.44,,,516.3,0.9503%,,Open,90.48
OSCILLATOR DELTA,KWEB,Long,Daily,2026-06-01,27.36,,,25.38,-7.2368%,,Open,85.71
SIGMASHELL,MA,Long,Daily,2026-06-01,495.25,,,492.99,-0.4563%,,Open,72.73
SIGMASHELL,TCEHY,Long,Daily,2026-06-01,55.32,,,55.73,0.7411%,,Open,73.08
TRENDPULSE,CRM,Long,Daily,2026-06-01,209.6,,,155.02,-26.0401%,,Open,100.0
SIGMASHELL,^NSEI,Long,Daily,2026-06-01,23382.5996,,,24085.6992,3.0069%,,Open,85.71
SIGMASHELL,WCN.TO,Long,Daily,2026-06-01,207.05,,,218.92,5.7329%,,Open,75.0
SIGMASHELL,MCD,Long,Daily,2026-06-01,276.11,,,283.82,2.7924%,,Open,75.0
SIGMASHELL,BDL.NS,Long,Daily,2026-06-01,1204.0,,,1309.8,8.7874%,,Open,71.43
SIGMASHELL,BABA,Long,Daily,2026-06-01,125.4,,,107.44,-14.3222%,,Open,75.0
SIGMASHELL,HDFCBANK.NS,Long,Daily,2026-06-01,742.7,,,787.1,5.9782%,,Open,100.0
SIGMASHELL,XLU,Long,Daily,2026-06-01,43.1,,,44.46,3.1555%,,Open,72.73
TRENDPULSE,HOOD,Long,Daily,2026-06-01,90.73,,,105.2,15.9484%,,Open,100.0
DELTADRIFT,IMO.TO,Long,Daily,2026-06-01,167.16,2026-06-03,175.68,175.68,5.0969%,2.0,Closed,78.57
SIGMASHELL,NFLX,Long,Daily,2026-06-01,85.85,,,76.96,-10.3553%,,Open,87.5
SIGMASHELL,HDB,Long,Daily,2026-06-01,23.6,,,24.76,4.9153%,,Open,90.91
SIGMASHELL,IHI,Long,Daily,2026-06-01,48.84,,,48.4,-0.9009%,,Open,75.0
SIGMASHELL,META,Long,Daily,2026-06-01,600.47,,,567.58,-5.4774%,,Open,72.73
SIGMASHELL,FXI,Long,Daily,2026-06-01,35.34,,,33.65,-4.7821%,,Open,71.43
DELTADRIFT,ZTS,Long,Weekly,2026-05-31,77.69,,,77.26,-0.5535%,,Open,83.33
TRENDPULSE,WFG.TO,Long,Weekly,2026-05-31,95.29,,,99.42,4.3341%,,Open,95.65
TRENDPULSE,ATZ.TO,Long,Monthly,2026-05-31,154.8,,,163.13,5.3811%,,Open,100.0
TRENDPULSE,AMD,Long,Monthly,2026-05-31,516.1,,,512.48,-0.7014%,,Open,87.5
TRENDPULSE,BNS.TO,Long,Weekly,2026-05-31,110.62,,,121.84,10.1428%,,Open,100.0
FRACTAL TRACK,NFLX,Long,Weekly,2026-05-31,86.02,,,76.96,-10.5324%,,Open,100.0
FRACTAL TRACK,INFY,Long,Weekly,2026-05-31,12.65,,,11.7,-7.5099%,,Open,76.92
DELTADRIFT,NAUKRI.NS,Long,Weekly,2026-05-31,995.0,,,1017.05,2.2161%,,Open,75.0
FRACTAL TRACK,SJ.TO,Long,Weekly,2026-05-31,77.35,,,82.15,6.2056%,,Open,100.0
TRENDPULSE,ENZL,Long,Monthly,2026-05-31,46.7303,,,44.8724,-3.9758%,,Open,100.0
