Function,Symbol,Signal,Interval,Entry Date,Entry Price,Exit Date,Exit Price,Today price,Realised/Unrealised Profit,Holding Period,Status,Backtested Win Rate [%]
FRACTAL TRACK,MCHI,Short,Monthly,2026-06-22,52.86,,,52.86,0.0000%,,Open,100.0
DELTADRIFT,BAC,Short,Daily,2026-06-15,55.87,,,57.37,-2.6848%,,Open,90.0
OSCILLATOR DELTA,AAPL,Short,Daily,2026-06-10,291.58,,,297.01,-1.8623%,,Open,92.86
DELTADRIFT,CAD=X,Short,Daily,2026-06-09,1.3956,,,1.4159,-1.4546%,,Open,100.0
OSCILLATOR DELTA,ARM,Short,Daily,2026-06-05,342.93,2026-06-09,324.86,324.86,5.2693%,4.0,Closed,100.0
PULSEGAUGE,GNE.NZ,Short,Weekly,2026-06-04,2.61,2026-06-09,2.53,2.53,3.0651%,5.0,Closed,81.82
DELTADRIFT,CNR.TO,Short,Daily,2026-06-03,165.97,2026-06-15,164.27,164.27,1.0243%,12.0,Closed,100.0
DELTADRIFT,^NDX,Short,Daily,2026-06-03,30571.2363,2026-06-05,28957.5996,28957.5996,5.2783%,2.0,Closed,87.5
DELTADRIFT,CNR.TO,Short,Daily,2026-05-29,163.25,2026-06-02,167.82,167.82,-2.7994%,4.0,Closed,100.0
DELTADRIFT,QQQ,Short,Weekly,2026-05-24,717.54,2026-06-10,693.69,693.69,3.3239%,17.0,Closed,83.33
DELTADRIFT,^NDX,Short,Weekly,2026-05-24,29481.6426,2026-06-10,28508.0273,28508.0273,3.3024%,17.0,Closed,80.0
DELTADRIFT,^NDX,Short,Weekly,2026-05-22,29481.6426,,,30347.082,-2.9355%,,Open,80.0
DELTADRIFT,QQQ,Short,Weekly,2026-05-22,717.54,,,737.95,-2.8444%,,Open,83.33
DELTADRIFT,CSCO,Short,Daily,2026-05-19,115.38,2026-06-02,128.0,128.0,-10.9378%,14.0,Closed,88.89
DELTADRIFT,MCY.NZ,Short,Daily,2026-05-15,7.05,2026-05-20,6.91,6.91,1.9858%,5.0,Closed,100.0
DELTADRIFT,^NDX,Short,Daily,2026-05-12,29064.7988,2026-05-26,30001.3184,30001.3184,-3.2222%,14.0,Closed,87.5
DELTADRIFT,EEM,Short,Daily,2026-05-11,67.89,2026-05-12,65.82,65.82,3.0490%,1.0,Closed,80.0
OSCILLATOR DELTA,ARM,Short,Daily,2026-05-11,212.65,2026-05-12,207.92,207.92,2.2243%,1.0,Closed,100.0
DELTADRIFT,AMZN,Short,Daily,2026-05-07,271.17,2026-05-12,265.82,265.82,1.9729%,5.0,Closed,85.71
