Date,Close,High,Low,Open,Volume
1998-01-02,42.8125,43.0625,42.375,43.0,444000
1998-01-05,42.5,43.125,42.0625,43.0625,564300
1998-01-06,41.875,42.1875,41.75,42.125,253600
1998-01-07,41.5,41.875,40.875,41.875,358100
1998-01-08,41.0,41.5625,40.75,41.5625,325100
1998-01-09,41.375,41.8125,40.9375,40.9375,306600
1998-01-12,41.75,41.8125,41.0,41.125,268300
1998-01-13,41.4375,41.75,41.1875,41.75,193300
1998-01-14,41.25,41.4375,41.125,41.4375,139500
1998-01-15,40.3125,41.1875,40.25,41.1875,155400
1998-01-16,40.5,40.8125,40.4375,40.625,251100
1998-01-20,37.0625,37.625,36.5,37.5,1051500
1998-01-21,36.8125,36.875,35.75,36.875,1026300
1998-01-22,36.375,36.625,36.125,36.375,492700
1998-01-23,36.0,36.375,35.625,36.125,323500
1998-01-26,36.1875,36.25,35.5625,36.0625,273000
1998-01-27,36.25,36.4375,35.8125,36.1875,563700
1998-01-28,36.5,36.5,36.0625,36.0625,284000
1998-01-29,36.75,37.0,36.375,36.5,383800
1998-01-30,36.625,36.875,36.5625,36.75,486500
1998-02-02,36.6875,36.875,36.5,36.75,233000
1998-02-03,36.625,36.8125,36.375,36.625,189200
1998-02-04,36.5,36.625,36.25,36.625,557800
1998-02-05,36.9375,37.125,36.625,36.9375,210000
1998-02-06,37.5625,37.5625,36.75,37.0,251100
1998-02-09,37.875,37.9375,37.4375,37.4375,271700
1998-02-10,37.9375,38.3125,37.8125,37.8125,357200
1998-02-11,37.75,37.875,37.625,37.8125,280600
1998-02-12,37.8125,37.9375,37.375,37.5,496100
1998-02-13,37.5,37.875,37.4375,37.625,181800
1998-02-17,38.0,38.0,37.125,37.4375,360600
1998-02-18,38.0,38.25,37.9375,38.0,267600
1998-02-19,38.1875,38.1875,38.0,38.0,386300
1998-02-20,38.3125,38.3125,37.8125,38.125,798600
1998-02-23,38.625,38.625,38.0625,38.3125,347100
1998-02-24,38.5,38.5,38.125,38.4375,228500
1998-02-25,38.375,38.75,38.375,38.5625,342500
1998-02-26,38.1875,38.4375,38.0625,38.25,152800
1998-02-27,38.4375,38.484375,38.0625,38.125,218800
1998-03-02,38.4375,38.5,38.1875,38.1875,219700
1998-03-03,38.4375,38.5,38.375,38.4375,416300
1998-03-04,38.375,38.5,38.25,38.375,146700
1998-03-05,38.3125,38.4375,38.125,38.1875,293600
1998-03-06,38.125,38.125,37.375,37.375,3544900
1998-03-09,37.8125,38.0625,37.75,38.0,309000
1998-03-10,38.125,38.25,37.75,37.8125,290000
1998-03-11,38.75,38.875,38.0625,38.0625,543800
1998-03-12,38.5625,38.75,38.4375,38.75,241700
1998-03-13,38.6875,38.75,38.375,38.4375,425000
1998-03-16,39.5,39.6875,38.625,38.6875,395400
1998-03-17,40.3125,40.3125,39.5,39.5,351500
1998-03-18,40.875,41.0,40.125,40.125,668800
1998-03-19,41.5,41.5,40.625,40.75,431500
1998-03-20,42.3125,42.4375,41.625,41.75,521300
1998-03-23,42.0625,42.3125,41.8125,42.25,293400
1998-03-24,42.0625,42.25,41.75,42.0,291300
1998-03-25,42.4375,42.4375,41.875,42.0,222000
1998-03-26,41.9375,42.375,41.875,42.375,452000
1998-03-27,41.375,41.8125,41.0625,41.6875,412800
1998-03-30,41.5,41.8125,41.25,41.375,366000
1998-03-31,42.125,42.25,41.125,41.25,414900
1998-04-01,42.0,42.1875,41.625,42.1875,200100
1998-04-02,42.1875,42.1875,41.8125,41.875,386000
1998-04-03,42.5,42.5625,42.0,42.1875,254700
1998-04-06,42.1875,42.375,42.0625,42.3125,179800
1998-04-07,41.8125,42.0625,41.625,42.0625,235300
1998-04-08,41.875,41.875,41.5,41.6875,453200
1998-04-09,41.875,41.875,41.3125,41.8125,731700
1998-04-13,41.8125,42.0,41.625,42.0,796600
1998-04-14,42.25,42.3125,41.5625,41.6875,526400
1998-04-15,42.3125,42.5,42.0,42.125,357100
1998-04-16,41.9375,42.0625,41.75,42.0625,325300
1998-04-17,42.125,42.125,41.5625,41.9375,287900
1998-04-20,41.6875,41.9375,41.5625,41.9375,149800
1998-04-21,41.3125,41.5,41.0625,41.5,373900
1998-04-22,41.0,41.25,41.0,41.1875,285400
1998-04-23,39.75,41.3125,39.75,41.0625,387700
1998-04-24,39.875,40.5625,39.4375,39.75,398800
1998-04-27,39.5625,39.875,38.1875,39.75,128000
1998-04-28,39.25,39.6875,39.0625,39.625,592600
1998-04-29,39.0625,39.375,38.875,39.375,242900
1998-04-30,39.625,39.875,39.1875,39.1875,442400
1998-05-01,39.3125,39.6875,39.25,39.6875,258000
1998-05-04,39.25,39.5,39.0,39.4375,175300
1998-05-05,38.9375,39.1875,38.5625,39.0625,165800
1998-05-06,39.0,39.125,38.75,39.125,135300
1998-05-07,39.0,39.0,38.875,38.875,118300
1998-05-08,38.8125,39.0625,38.625,38.875,163500
1998-05-11,38.875,39.25,38.75,38.8125,288200
1998-05-12,38.9375,38.9375,38.6875,38.875,100100
1998-05-13,38.6875,38.875,38.5,38.8125,124900
1998-05-14,38.6875,38.8125,38.5625,38.625,175900
1998-05-15,38.5625,38.875,38.5,38.6875,225400
1998-05-18,38.375,38.5625,38.125,38.375,134400
1998-05-19,38.3125,38.375,37.875,38.3125,149200
1998-05-20,38.9375,38.9375,38.25,38.3125,144600
1998-05-21,39.0,39.1875,38.75,38.9375,96100
1998-05-22,38.5625,39.125,38.5625,38.875,201900
1998-05-26,38.1875,38.6875,38.1875,38.625,121600
1998-05-27,38.25,38.6875,37.625,38.125,158600
1998-05-28,38.6875,38.875,38.25,38.25,217500
1998-05-29,39.125,39.125,38.5625,38.5625,163000
1998-06-01,40.5625,40.6875,38.9375,39.0,190200
1998-06-02,40.375,40.75,40.125,40.3125,175700
1998-06-03,40.5,40.875,40.1875,40.25,105000
1998-06-04,40.3125,40.625,40.1875,40.3125,133800
1998-06-05,40.875,40.875,40.25,40.25,167700
1998-06-08,39.8125,40.125,39.75,40.0625,1874800
1998-06-09,39.375,39.875,39.25,39.875,261000
1998-06-10,40.125,40.1875,39.375,39.4375,174600
1998-06-11,40.3125,40.5,39.75,40.0,260500
1998-06-12,40.125,40.375,39.75,40.125,275100
1998-06-15,39.8125,40.125,39.6875,40.0,227000
1998-06-16,39.8125,40.0625,39.75,40.0,283000
1998-06-17,39.5625,39.9375,39.4375,39.8125,364200
1998-06-18,40.1875,40.3125,39.625,39.75,308200
1998-06-19,39.6875,40.1875,39.5625,40.1875,212700
1998-06-22,39.6875,40.125,39.6875,39.75,121200
1998-06-23,39.75,39.8125,39.5,39.8125,105600
1998-06-24,39.625,39.875,39.625,39.625,353200
1998-06-25,39.375,40.0625,39.3125,40.0,254300
1998-06-26,39.4375,39.625,39.125,39.3125,213700
1998-06-29,39.875,40.125,39.3125,39.625,197000
1998-06-30,39.75,40.0625,39.5625,39.5625,227100
1998-07-01,40.3125,40.3125,39.6875,40.0625,204800
1998-07-02,40.375,40.375,39.9375,40.1875,107100
1998-07-06,40.1875,40.4375,39.875,40.25,155100
1998-07-07,40.25,40.375,40.0,40.0625,106000
1998-07-08,40.3125,40.4375,39.9375,40.3125,99800
1998-07-09,40.125,40.25,40.0,40.125,127900
1998-07-10,39.875,40.1875,39.375,40.0,375900
1998-07-13,39.4375,39.875,39.4375,39.875,91500
1998-07-14,39.625,39.8125,39.3125,39.4375,188700
1998-07-15,39.5,39.75,39.125,39.375,141600
1998-07-16,39.3125,39.4375,39.125,39.375,299900
1998-07-17,39.3125,39.3125,38.875,39.3125,154900
1998-07-20,39.0625,39.25,38.75,39.1875,82600
1998-07-21,39.0,39.1875,38.625,39.0,212100
1998-07-22,39.5,39.5,38.8125,39.0,67900
1998-07-23,39.0,39.4375,38.75,39.375,99100
1998-07-24,38.875,39.0,38.4375,39.0,246700
1998-07-27,38.9375,39.0,38.5,38.875,181200
1998-07-28,38.5,38.8125,38.1875,38.75,114600
1998-07-29,38.3125,38.5625,38.1875,38.5625,123500
1998-07-30,38.5,38.9375,38.25,38.3125,190300
1998-07-31,37.8125,38.625,37.625,38.625,185900
1998-08-03,38.3125,38.3125,37.6875,38.0,121400
1998-08-04,37.375,38.5,37.3125,38.0625,153100
1998-08-05,37.75,37.75,37.0,37.375,167400
1998-08-06,37.625,37.75,37.25,37.625,68600
1998-08-07,38.0625,38.1875,37.3125,37.5,199900
1998-08-10,38.125,38.125,37.8125,38.0625,130200
1998-08-11,37.875,38.0,37.5,37.75,182500
1998-08-12,39.0625,39.375,37.625,37.875,278900
1998-08-13,38.5625,39.375,38.375,38.8125,191800
1998-08-14,38.6875,39.0,38.4375,38.5,141600
1998-08-17,39.125,39.25,38.8125,39.25,226200
1998-08-18,39.0,39.125,38.6875,38.875,322300
1998-08-19,38.8125,39.0,38.5625,38.8125,467200
1998-08-20,38.75,39.0,38.5625,38.875,84600
1998-08-21,39.5,39.75,38.4375,38.5,254800
1998-08-24,39.9375,40.0,39.4375,39.5625,109200
1998-08-25,39.875,40.0,39.4375,39.9375,240400
1998-08-26,40.125,40.5,39.5,39.6875,299500
1998-08-27,39.625,40.125,39.4375,39.875,122700
1998-08-28,39.5,39.6875,38.875,39.625,174400
1998-08-31,39.5625,41.0,39.25,39.4375,310300
1998-09-01,39.875,40.0,39.5,39.75,353700
1998-09-02,39.0,39.75,38.75,39.75,218100
1998-09-03,38.8125,39.0625,38.4375,38.75,121800
1998-09-04,39.0,39.0,38.5,38.8125,144600
1998-09-08,39.1875,39.1875,38.0,38.125,1733500
1998-09-09,39.125,39.1875,38.5625,39.125,100300
1998-09-10,39.0,39.1875,38.25,38.875,142000
1998-09-11,39.5,39.5,38.375,38.9375,258200
1998-09-14,39.5625,39.625,39.0625,39.5625,155500
1998-09-15,39.9375,39.9375,39.3125,39.4375,139900
1998-09-16,40.3125,40.375,39.5625,39.6875,163500
1998-09-17,40.0,40.0625,39.5,39.9375,137900
1998-09-18,40.3125,40.625,39.875,40.0,303600
1998-09-21,40.4375,40.4375,39.75,40.0,108200
1998-09-22,41.1875,41.1875,40.5,40.5,406100
1998-09-23,41.375,41.5,40.6875,41.1875,491400
1998-09-24,40.75,41.375,40.0,41.25,152100
1998-09-25,40.8125,41.4375,40.4375,40.5,270300
1998-09-28,41.3125,41.375,40.8125,41.375,163600
1998-09-29,41.875,41.9375,41.375,41.5,313400
1998-09-30,41.9375,42.25,41.5625,41.75,189000
1998-10-01,42.5625,42.75,42.1875,42.4375,256800
1998-10-02,43.25,43.625,42.4375,42.4375,426200
1998-10-05,43.9375,43.9375,42.875,43.1875,246100
1998-10-06,43.8125,43.9375,43.3125,43.875,309300
1998-10-07,43.4375,44.3125,42.875,43.875,541800
1998-10-08,43.1875,43.53125,42.5,43.1875,366100
1998-10-09,42.0,43.0625,41.375,43.0,343900
1998-10-12,39.8125,41.5625,39.6875,41.5625,231700
1998-10-13,40.125,40.5,39.75,39.9375,216300
1998-10-14,41.0625,41.625,40.375,40.4375,326600
1998-10-15,41.875,41.9375,40.8125,40.8125,388500
1998-10-16,40.875,41.875,40.875,41.875,390200
1998-10-19,40.6875,41.375,40.5,41.125,148000
1998-10-20,39.875,41.25,39.75,40.9375,244300
1998-10-21,39.8125,40.0,39.375,39.9375,191800
1998-10-22,40.0625,40.25,39.625,39.875,136200
1998-10-23,39.4375,40.1875,39.0625,40.0625,118600
1998-10-26,39.5625,39.6875,39.1875,39.5625,93200
1998-10-27,39.625,39.875,39.3125,39.875,215700
1998-10-28,39.9375,40.5,39.75,39.8125,182200
1998-10-29,39.875,40.1875,39.5,40.125,158900
1998-10-30,39.9375,40.1875,39.625,40.0,476900
1998-11-02,40.375,40.4375,39.9375,39.9375,308300
1998-11-03,40.5,40.5,40.0625,40.3125,369400
1998-11-04,40.375,41.0,40.0625,40.75,180400
1998-11-05,40.75,40.75,40.25,40.375,193700
1998-11-06,40.75,40.75,40.25,40.75,121900
1998-11-09,40.6875,40.75,40.375,40.75,207700
1998-11-10,41.3125,41.4375,40.625,40.75,303800
1998-11-11,40.875,41.4375,40.75,41.375,282800
1998-11-12,40.9375,41.125,40.625,40.625,134100
1998-11-13,41.1875,41.1875,40.8125,40.875,95800
1998-11-16,41.6875,41.6875,41.25,41.25,168500
1998-11-17,41.625,41.875,41.4375,41.5,151500
1998-11-18,41.5,41.625,41.375,41.625,68200
1998-11-19,41.1875,41.5,40.875,41.5,207600
1998-11-20,41.4375,41.4375,40.875,41.3125,124800
1998-11-23,41.375,41.625,41.0625,41.375,137400
1998-11-24,41.4375,41.625,41.25,41.4375,178100
1998-11-25,41.6875,41.9375,41.3125,41.5,110500
1998-11-27,41.6875,41.875,41.4375,41.875,115300
1998-11-30,41.1875,41.6875,41.0,41.6875,289500
1998-12-01,41.1875,41.4375,41.0625,41.1875,167500
1998-12-02,41.5,41.75,41.125,41.125,483200
1998-12-03,41.5,41.9375,41.3125,41.3125,145200
1998-12-04,42.0,42.25,41.5,41.5,1946300
1998-12-07,41.875,42.0625,41.25,41.25,861000
1998-12-08,41.75,42.0,41.4375,41.6875,315800
1998-12-09,41.9375,41.9375,41.625,41.6875,203800
1998-12-10,41.5625,41.8125,41.25,41.6875,332000
1998-12-11,42.0,42.0625,41.25,41.5625,296100
1998-12-14,41.75,41.875,41.4375,41.75,347300
1998-12-15,41.6875,41.75,41.375,41.625,455200
1998-12-16,42.0,42.0,41.375,41.75,557300
1998-12-17,42.8125,42.8125,41.9375,41.9375,798000
1998-12-18,43.0625,43.0625,42.0625,42.0625,576400
1998-12-21,43.125,43.1875,42.625,42.8125,184300
1998-12-22,42.5625,43.125,42.3125,43.0625,275500
1998-12-23,42.5625,42.75,42.25,42.4375,158900
1998-12-24,42.3125,42.5,42.25,42.375,31000
1998-12-28,42.375,42.6875,42.0625,42.0625,199500
