Date,Close,High,Low,Open,Volume
1994-02-22,7.25,7.375,7.25,7.375,20800
1994-02-23,6.9375,7.125,6.75,7.125,31600
1994-02-24,6.8125,6.9375,6.8125,6.9375,32000
1994-02-25,6.4375,6.6875,6.25,6.6875,49800
1994-02-28,6.625,6.75,6.4375,6.5,170400
1994-03-01,6.5625,6.625,6.5,6.625,41600
1994-03-02,6.5625,6.5625,6.4375,6.4375,67000
1994-03-03,6.5,6.625,6.5,6.625,27800
1994-03-04,6.75,6.75,6.4375,6.5,358200
1994-03-07,6.75,6.8125,6.4375,6.4375,690800
1994-03-08,6.8125,6.8125,6.75,6.75,515200
1994-03-09,6.875,6.875,6.8125,6.8125,540400
1994-03-10,6.875,6.875,6.8125,6.875,1832200
1994-03-11,7.1875,7.1875,6.9375,6.9375,1895400
1994-03-14,7.5625,7.625,7.1875,7.1875,1413800
1994-03-15,7.4375,7.6875,7.4375,7.5625,1665200
1994-03-16,7.4375,7.4375,7.3125,7.4375,717000
1994-03-17,7.5625,7.6875,7.4375,7.4375,971200
1994-03-18,7.625,7.6875,7.625,7.625,1178000
1994-03-21,7.6875,7.6875,7.625,7.625,659400
1994-03-22,7.8125,7.875,7.6875,7.6875,374000
1994-03-23,7.875,7.9375,7.75,7.8125,430200
1994-03-24,7.75,7.875,7.75,7.8125,747000
1994-03-25,7.6875,7.8125,7.625,7.8125,370000
1994-03-28,7.625,7.6875,7.625,7.6875,1116200
1994-03-29,7.5,7.6875,7.5,7.625,595800
1994-03-30,7.375,7.5,7.3125,7.5,653000
1994-03-31,7.375,7.4375,7.25,7.375,448400
1994-04-04,7.375,7.375,7.125,7.125,386600
1994-04-05,7.625,7.6875,7.3125,7.3125,361600
1994-04-06,7.375,7.6875,7.375,7.625,551400
1994-04-07,7.4375,7.5,7.375,7.5,338400
1994-04-08,7.5,7.5,7.3125,7.3125,166000
1994-04-11,7.25,7.625,7.25,7.5,424800
1994-04-12,7.125,7.25,7.125,7.125,602800
1994-04-13,7.0,7.3125,7.0,7.125,504600
1994-04-14,6.9375,7.0625,6.9375,7.0625,378200
1994-04-15,6.875,7.0625,6.875,6.875,197600
1994-04-18,7.25,7.25,7.0,7.0,184800
1994-04-19,7.25,7.3125,7.1875,7.1875,122200
1994-04-20,7.125,7.3125,7.125,7.3125,201400
1994-04-21,6.875,7.3125,6.875,7.125,858200
1994-04-22,7.25,7.25,7.0,7.0,411400
1994-04-25,7.625,7.625,7.1875,7.1875,330600
1994-04-26,7.375,7.5625,7.25,7.5625,313400
1994-04-28,7.3125,7.3125,7.125,7.3125,161600
1994-04-29,7.25,7.3125,7.1875,7.25,344600
1994-05-02,7.1875,7.3125,7.0625,7.1875,135800
1994-05-03,7.1875,7.4375,7.125,7.25,375200
1994-05-04,7.3125,7.375,7.125,7.125,491800
1994-05-05,7.25,7.3125,7.1875,7.3125,152800
1994-05-06,7.25,7.3125,7.25,7.25,272800
1994-05-09,7.25,7.3125,7.25,7.25,161600
1994-05-10,7.5,7.5,7.25,7.25,308200
1994-05-11,7.5625,7.6875,7.5,7.5,388600
1994-05-12,7.75,7.75,7.5,7.5,155000
1994-05-13,7.375,7.75,7.375,7.6875,105200
1994-05-16,7.4375,7.5625,7.375,7.375,206800
1994-05-17,7.5,7.5625,7.4375,7.5,422600
1994-05-18,7.5,7.5,7.4375,7.5,130800
1994-05-19,7.5625,7.625,7.375,7.4375,199400
1994-05-20,7.375,7.5625,7.375,7.5,119600
1994-05-23,7.25,7.375,7.25,7.3125,195600
1994-05-24,7.5625,7.5625,7.375,7.4375,158200
1994-05-25,7.6875,7.75,7.5,7.5,104800
1994-05-26,7.75,7.75,7.5625,7.75,345800
1994-05-27,7.8125,7.8125,7.625,7.6875,298000
1994-05-31,8.0625,8.25,7.875,7.9375,456400
1994-06-01,7.875,8.0625,7.875,8.0625,268200
1994-06-02,7.875,8.0625,7.8125,8.0,81000
1994-06-03,7.75,7.9375,7.625,7.8125,397400
1994-06-06,7.875,7.9375,7.8125,7.875,75600
1994-06-07,7.9375,7.9375,7.75,7.75,92800
1994-06-08,7.875,7.9375,7.875,7.9375,107600
1994-06-09,7.875,7.90625,7.8125,7.8125,187800
1994-06-10,7.6875,7.875,7.6875,7.875,280600
1994-06-13,7.875,7.875,7.5625,7.75,97600
1994-06-14,8.0625,8.0625,7.8125,7.875,339800
1994-06-15,8.1875,8.1875,8.0,8.0,305200
1994-06-16,8.5,8.5,8.0625,8.125,393800
1994-06-17,8.25,8.5,8.25,8.5,407200
1994-06-20,8.125,8.25,8.0625,8.125,47800
1994-06-21,8.5,8.5,8.125,8.125,556200
1994-06-22,8.5,8.625,8.375,8.375,759200
1994-06-23,8.5,8.5,8.4375,8.4375,553200
1994-06-24,8.375,8.5,8.375,8.4375,1003800
1994-06-27,8.25,8.375,8.125,8.375,295200
1994-06-28,8.125,8.25,8.125,8.1875,165800
1994-06-29,8.0,8.125,8.0,8.125,396200
1994-06-30,8.1875,8.1875,8.0,8.0,453200
1994-07-01,8.125,8.25,8.0625,8.1875,870200
1994-07-05,8.1875,8.25,8.0625,8.0625,685600
1994-07-06,8.125,8.25,8.125,8.1875,163800
1994-07-07,8.1875,8.25,8.125,8.125,290600
1994-07-08,8.25,8.3125,8.125,8.125,165000
1994-07-11,8.25,8.3125,8.1875,8.1875,86800
1994-07-12,8.0625,8.25,8.0625,8.25,390800
1994-07-13,8.0625,8.125,8.0,8.0625,287000
1994-07-14,8.0625,8.125,7.9375,7.9375,167600
1994-07-15,8.0625,8.0625,7.9375,7.9375,78800
1994-07-18,8.1875,8.25,8.0,8.0625,150600
1994-07-19,8.375,8.5,8.3125,8.3125,743800
1994-07-20,8.5625,8.5625,8.3125,8.375,1206000
1994-07-21,8.5625,8.5625,8.4375,8.4375,544800
1994-07-22,8.5625,8.625,8.5,8.5625,201400
1994-07-25,8.625,8.625,8.5,8.625,71600
1994-07-26,8.6875,8.8125,8.625,8.75,205400
1994-07-27,8.6875,8.8125,8.625,8.625,244000
1994-07-28,8.625,8.625,8.5625,8.625,122400
1994-07-29,8.6875,8.6875,8.5625,8.625,102400
1994-08-01,8.6875,8.6875,8.625,8.625,136800
1994-08-02,8.8125,8.8125,8.6875,8.75,513400
1994-08-03,8.8125,8.8125,8.6875,8.8125,709800
1994-08-04,7.9375,8.25,7.625,8.25,1680600
1994-08-05,7.75,7.9375,7.75,7.9375,373600
1994-08-08,7.8125,7.875,7.75,7.8125,501400
1994-08-09,7.75,7.875,7.6875,7.875,1031000
1994-08-10,7.6875,7.75,7.625,7.75,1103200
1994-08-11,7.5625,7.65625,7.5625,7.625,703800
1994-08-12,7.6875,7.6875,7.375,7.5625,422800
1994-08-15,7.8125,7.8125,7.625,7.625,173800
1994-08-16,8.0625,8.0625,7.75,7.8125,280000
1994-08-17,8.0625,8.25,8.0,8.0625,131800
1994-08-18,8.0,8.0625,8.0,8.0,225800
1994-08-19,8.25,8.375,8.0625,8.0625,166600
1994-08-22,8.125,8.1875,8.0625,8.125,41000
1994-08-23,8.125,8.1875,8.125,8.1875,186800
1994-08-24,7.9375,8.125,7.9375,8.125,183200
1994-08-25,7.6875,7.8125,7.5625,7.8125,178000
1994-08-26,7.625,7.6875,7.4375,7.625,515200
1994-08-29,7.6875,7.6875,7.5625,7.5625,45800
1994-08-30,7.5,7.625,7.3125,7.5625,420800
1994-08-31,7.5,7.625,7.4375,7.625,277200
1994-09-01,7.4375,7.625,7.4375,7.625,142400
1994-09-02,7.4375,7.5,7.4375,7.4375,117000
1994-09-06,7.5,7.5,7.375,7.4375,226800
1994-09-07,7.375,7.5625,7.375,7.5625,192600
1994-09-08,7.375,7.4375,7.375,7.375,105600
1994-09-09,7.3125,7.4375,7.3125,7.3125,1000800
1994-09-12,7.3125,7.4375,7.1875,7.4375,419400
1994-09-13,7.4375,7.4375,7.375,7.4375,97800
1994-09-14,7.375,7.4375,7.3125,7.375,62600
1994-09-15,7.1875,7.375,7.1875,7.375,956600
1994-09-16,7.25,7.25,7.1875,7.25,245000
