Date,Close,High,Low,Open,Volume
1998-02-27,17.375,18.0,17.375,17.375,50000
1998-03-02,17.25,17.25,17.0,17.25,75000
1998-03-03,17.125,17.125,16.75,17.125,35000
1998-03-04,15.75,15.75,15.5,15.75,60000
1998-03-05,16.125,16.125,16.125,16.125,400
1998-03-06,16.125,16.375,16.125,16.125,3600
1998-03-09,15.875,16.5,15.875,16.125,3200
1998-03-10,16.25,16.875,15.875,15.875,56800
1998-03-11,16.25,16.5,16.125,16.25,10400
1998-03-12,16.375,16.375,16.125,16.25,3800
1998-03-13,16.5,16.5,16.5,16.5,1000
1998-03-16,16.125,16.5,16.125,16.5,7700
1998-03-17,15.875,16.125,15.75,16.125,28000
1998-03-18,16.125,16.125,15.75,15.875,45700
1998-03-19,17.125,17.375,16.0,16.125,383600
1998-03-20,17.75,17.75,17.25,17.25,275600
1998-03-23,18.875,19.0,17.375,17.75,398600
1998-03-24,19.75,19.875,18.875,18.875,261800
1998-03-25,19.875,20.125,19.5,19.75,135600
1998-03-26,19.625,19.875,19.25,19.875,26300
1998-03-27,19.25,19.75,18.375,19.625,62200
1998-03-30,19.875,19.875,19.25,19.25,49500
1998-03-31,20.125,20.25,19.875,19.875,79000
1998-04-01,20.5,20.625,20.0,20.125,150100
1998-04-02,23.25,23.375,21.75,21.75,140500
1998-04-03,24.75,26.125,21.75,23.25,458700
1998-04-06,24.0,26.0,23.0,24.75,105300
1998-04-07,22.125,24.0,22.125,24.0,152800
1998-04-08,22.5,23.0,21.0,22.125,45100
1998-04-09,23.0,23.0,22.25,22.5,151400
1998-04-13,22.625,23.25,22.375,23.0,85900
1998-04-14,22.75,23.0,22.5,22.625,322900
1998-04-15,21.75,22.875,21.5,22.75,23100
1998-04-16,21.25,21.75,20.875,21.75,55400
1998-04-17,21.625,21.625,21.0,21.25,15100
1998-04-20,22.125,22.125,21.25,21.625,92900
1998-04-21,22.125,22.125,21.75,22.125,23100
1998-04-22,23.0,23.625,22.125,22.125,60900
1998-04-23,23.5,23.5,23.0,23.0,242300
1998-04-24,22.0,23.625,22.0,23.5,100900
1998-04-27,20.875,22.5,19.875,22.0,52200
1998-04-28,21.5,21.875,20.75,20.875,29100
1998-04-29,22.5,22.5,21.0,21.5,101300
1998-04-30,23.0,23.25,22.375,22.5,116300
1998-05-01,22.125,23.125,22.0,23.0,61000
1998-05-04,21.625,22.25,21.25,22.125,58400
1998-05-05,21.25,21.75,20.75,21.625,44000
1998-05-06,22.0,22.0,20.875,21.25,47300
1998-05-07,21.375,22.125,21.375,22.0,230900
1998-05-08,22.625,22.75,21.75,21.75,320700
1998-05-11,22.375,22.75,22.25,22.625,375200
1998-05-12,22.0,22.625,22.0,22.375,333300
1998-05-13,22.375,22.625,22.125,22.125,88100
1998-05-14,22.5,22.5,22.0,22.375,35600
1998-05-15,22.0,22.5,21.5,22.5,69200
1998-05-18,21.5,22.125,21.0,22.0,53200
1998-05-19,22.0,22.0,21.5,21.5,21000
1998-05-20,21.0,22.0,21.0,22.0,14100
1998-05-21,21.125,21.125,19.5,21.0,116400
1998-05-22,20.625,20.75,20.25,20.75,45100
1998-05-26,19.5,21.0,19.125,20.625,119500
1998-05-27,19.25,19.5,18.75,19.5,91100
1998-05-28,20.5,20.5,18.75,19.25,163600
1998-05-29,22.5,22.5,20.5,20.5,121900
1998-06-01,22.125,22.5,22.0,22.5,258500
1998-06-02,22.375,22.5,22.125,22.125,123400
1998-06-03,20.75,22.5,20.75,22.375,180600
1998-06-04,20.75,21.0,20.0,20.75,263200
1998-06-05,22.875,23.0,21.0,21.0,290100
1998-06-08,23.0,23.625,22.5,23.25,2718000
1998-06-09,22.375,23.0,22.0,23.0,604900
1998-06-10,22.875,23.125,22.5,22.5,149300
1998-06-11,23.0,23.0625,22.5625,22.875,697400
1998-06-12,22.5625,23.0,22.375,23.0,782000
1998-06-15,21.875,22.9375,21.875,22.9375,165900
1998-06-16,21.75,22.0,21.75,21.9375,95000
1998-06-17,21.9375,21.9375,21.5,21.9375,57400
1998-06-18,21.5,21.9375,21.375,21.9375,588700
1998-06-19,21.1875,21.375,21.0625,21.125,698100
1998-06-22,21.125,21.375,20.625,21.0,159500
1998-06-23,22.5,22.75,21.625,21.875,234000
1998-06-24,23.0,23.0625,22.5,22.5,275900
1998-06-25,23.0,23.625,22.6875,23.0,223500
1998-06-26,23.375,23.625,23.125,23.25,115800
1998-06-29,22.875,23.1875,21.625,23.125,188900
1998-06-30,24.9375,24.9375,22.6875,22.9375,566300
1998-07-01,24.6875,25.625,24.375,25.0,449600
1998-07-02,24.0,24.6875,24.0,24.0,5141900
1998-07-06,25.25,25.3125,24.1875,24.25,991100
1998-07-07,25.875,27.0,25.625,26.0625,1096000
1998-07-08,26.5,27.25,26.125,26.125,431200
1998-07-09,25.9375,27.125,25.625,26.5,659300
1998-07-10,26.25,26.625,25.75,26.125,334700
1998-07-13,27.25,27.3125,26.6875,26.9375,429600
1998-07-14,26.125,27.375,26.0,27.0,509200
1998-07-15,26.9375,27.0,26.25,26.625,225800
1998-07-16,26.9375,27.375,26.5,27.375,233300
1998-07-17,27.0,27.4375,26.375,26.875,479300
1998-07-20,27.0625,27.4375,26.5625,26.75,244800
1998-07-21,27.4375,28.125,27.25,27.5625,575300
1998-07-22,27.75,28.125,27.5,27.8125,630200
1998-07-23,28.0,28.5,27.75,28.0,496100
1998-07-24,27.875,28.625,27.25,27.875,245300
1998-07-27,26.5625,27.625,26.375,27.625,280600
1998-07-28,26.25,27.25,26.0,26.625,421600
1998-07-29,26.25,26.75,26.25,26.375,268000
1998-07-30,25.875,26.375,25.75,26.0,208200
1998-07-31,24.0,26.125,24.0,26.0,335600
1998-08-03,24.9375,24.9375,24.0,24.0,214700
1998-08-04,23.0,24.625,22.5,24.5,654300
1998-08-05,22.5,23.625,22.375,23.25,446700
1998-08-06,22.875,23.5,22.5,22.5,582600
1998-08-07,23.0,24.75,23.0,23.375,197300
1998-08-10,23.25,23.5,22.875,23.0,286500
