Date,Close,High,Low,Open,Volume
1997-05-28,21.0,21.375,20.625,20.625,1862700
1997-05-29,21.375,21.375,21.0,21.0,296800
1997-05-30,22.0,22.125,21.125,21.125,220400
1997-06-02,22.0,22.25,21.5,22.125,66800
1997-06-03,22.125,22.125,21.625,21.75,180000
1997-06-04,21.875,22.25,21.75,22.25,99900
1997-06-05,21.875,21.875,21.25,21.5,291600
1997-06-06,21.5,21.5,21.5,21.5,0
1997-06-09,21.5,21.5,21.5,21.5,0
1997-06-10,21.75,21.75,21.5,21.5,57600
1997-06-11,21.25,21.625,21.125,21.375,146600
1997-06-12,21.375,21.625,21.125,21.25,73300
1997-06-13,21.25,21.375,21.25,21.25,134200
1997-06-16,21.625,21.625,21.25,21.25,73200
1997-06-17,21.375,21.5,21.375,21.375,53300
1997-06-18,21.5,21.625,21.375,21.5,54100
1997-06-19,21.5,21.625,21.5,21.5,44100
1997-06-20,21.625,21.75,21.5,21.5,37800
1997-06-23,21.375,21.875,21.375,21.625,80800
1997-06-24,21.5,21.5,21.25,21.5,116000
1997-06-25,21.625,21.625,21.25,21.5,127400
1997-06-26,21.625,21.75,21.5,21.625,52100
1997-06-27,21.75,21.875,21.375,21.5,44500
1997-06-30,21.875,21.875,21.375,21.75,60300
1997-07-01,22.5,22.625,21.625,21.625,121300
1997-07-02,22.5,22.5,22.125,22.5,77300
1997-07-03,22.75,22.75,22.375,22.625,46000
1997-07-07,22.75,23.0,22.625,22.75,122200
1997-07-08,22.75,22.75,22.375,22.75,50400
1997-07-09,22.75,22.875,22.5,22.75,97000
1997-07-10,22.75,22.875,22.625,22.75,99000
1997-07-11,22.875,22.875,22.25,22.75,136100
1997-07-14,23.5,23.875,22.875,22.875,106600
1997-07-15,23.75,24.0,23.25,23.25,85400
1997-07-16,24.0,24.25,23.75,24.0,68800
1997-07-17,23.875,24.125,23.625,23.75,53000
1997-07-18,23.875,23.875,23.75,23.75,126500
1997-07-21,24.0,24.0,23.75,23.875,111800
1997-07-22,24.0,24.0,23.75,24.0,38800
1997-07-23,24.25,24.25,23.875,24.0,180000
1997-07-24,24.0,24.125,24.0,24.0,47600
1997-07-25,24.25,24.25,24.0,24.125,25500
1997-07-28,24.25,24.5,24.125,24.25,96800
1997-07-29,24.375,24.375,24.0,24.25,19900
1997-07-30,24.5,24.625,24.375,24.375,59600
1997-07-31,24.625,25.0,24.625,24.625,83500
1997-08-01,24.75,25.0,24.625,24.75,18700
1997-08-04,25.75,25.75,24.625,24.625,25700
1997-08-05,25.5,25.625,24.875,25.625,393700
1997-08-06,25.375,25.5,25.25,25.5,59700
1997-08-07,25.5,25.75,25.5,25.625,23800
1997-08-08,26.0,26.0,25.375,25.5,25500
1997-08-11,25.625,26.125,25.625,26.125,9600
1997-08-12,25.5,25.875,25.5,25.75,44600
1997-08-13,25.5,25.75,25.5,25.5,47300
1997-08-14,25.625,25.875,25.5,25.5,8800
1997-08-15,25.5,25.5,25.5,25.5,2800
1997-08-18,25.5,25.625,25.5,25.5,4900
1997-08-19,26.0,26.125,25.5,25.5,22600
1997-08-20,26.0,26.125,26.0,26.0,68800
1997-08-21,26.0,26.25,26.0,26.125,43200
1997-08-22,26.125,26.25,25.875,26.0,22000
1997-08-25,26.25,26.5,26.125,26.25,16300
1997-08-26,25.625,26.125,25.625,26.0,19200
1997-08-27,25.75,25.875,25.625,25.75,3900
1997-08-28,26.125,26.25,25.75,25.75,8300
1997-08-29,26.125,26.25,26.0,26.125,4600
1997-09-02,26.125,26.25,25.875,26.125,14600
1997-09-03,27.0,27.0,26.125,26.125,19000
1997-09-04,27.625,27.625,26.875,26.875,31100
1997-09-05,28.5,28.5,27.375,27.375,51700
1997-09-08,27.5,28.375,27.5,28.25,90400
1997-09-09,27.0,27.0,27.0,27.0,0
1997-09-10,26.125,27.0,26.0,26.875,41300
1997-09-11,26.375,26.375,26.125,26.125,102800
1997-09-12,26.125,26.375,26.0,26.125,21500
1997-09-15,26.75,26.875,26.0,26.0,9500
1997-09-16,27.25,27.375,26.75,26.75,9700
1997-09-17,27.0,27.625,26.875,27.5,41100
1997-09-18,27.0,27.25,27.0,27.25,3400
1997-09-19,26.625,27.0,26.625,26.75,50600
1997-09-22,27.0,27.0,26.5,26.625,51900
1997-09-23,27.125,27.25,26.875,27.25,111200
1997-09-24,26.75,27.25,26.5,27.125,60700
1997-09-25,27.125,27.375,26.5,26.75,18700
1997-09-26,27.25,27.375,27.125,27.125,4200
1997-09-29,27.75,28.0,27.25,27.25,8000
1997-09-30,28.5,28.5,27.75,27.75,12100
1997-10-01,29.0,29.0,28.375,28.375,9900
1997-10-02,28.625,29.0,28.625,29.0,8100
1997-10-03,28.625,28.875,28.625,28.75,4200
1997-10-06,28.5,28.75,28.5,28.625,5400
1997-10-07,28.75,28.75,28.375,28.5,46900
1997-10-08,28.0,28.375,27.875,28.375,10900
1997-10-09,28.125,28.125,28.0,28.125,12500
1997-10-10,28.375,28.5,28.25,28.25,17600
1997-10-13,28.5,28.5,28.375,28.375,3600
1997-10-14,28.375,28.5,28.375,28.5,5600
1997-10-15,28.25,28.375,28.25,28.25,2300
1997-10-16,28.5,28.5,28.25,28.375,5400
1997-10-17,27.75,28.5,27.75,28.375,14100
1997-10-20,27.375,27.625,27.375,27.625,9800
1997-10-21,27.25,27.375,27.125,27.25,3100
1997-10-22,27.625,27.625,27.375,27.5,87700
1997-10-23,27.375,27.375,27.125,27.375,77700
1997-10-24,27.625,27.625,27.125,27.125,4400
1997-10-27,27.25,27.375,27.0,27.375,199500
1997-10-28,27.0,27.0,26.625,27.0,14300
1997-10-29,27.875,27.875,27.0,27.125,7900
1997-10-30,27.875,27.875,27.875,27.875,500
1997-10-31,27.375,28.0,27.375,27.75,5600
1997-11-03,27.75,27.75,27.5,27.625,80700
1997-11-04,28.0,28.0,27.375,27.625,24300
1997-11-05,29.25,29.25,28.125,28.125,68900
1997-11-06,29.25,29.375,29.0,29.0,38600
1997-11-07,28.875,29.0,28.875,29.0,6900
1997-11-10,28.25,29.0,28.25,29.0,29500
1997-11-11,27.875,28.25,27.875,28.125,2300
1997-11-12,27.75,28.0,27.625,28.0,28000
1997-11-13,27.5,27.75,27.5,27.75,6800
1997-11-14,27.5,27.75,27.375,27.5,3700
1997-11-17,27.875,27.875,27.625,27.625,6800
1997-11-18,28.25,28.25,28.0,28.0,2700
1997-11-19,28.625,28.625,28.25,28.25,13200
1997-11-20,30.125,30.5,29.0,29.0,61700
1997-11-21,30.5,30.5,30.125,30.375,62400
1997-11-24,30.875,30.875,30.25,30.375,17800
1997-11-25,31.75,31.875,30.875,31.0,17400
1997-11-26,31.375,31.875,31.375,31.875,94200
1997-11-28,31.125,31.5,31.125,31.5,12600
1997-12-01,30.25,30.625,29.875,30.625,60200
1997-12-02,30.25,30.25,29.875,29.875,36600
1997-12-03,29.0,30.375,29.0,30.25,85000
1997-12-04,29.125,29.25,29.0,29.125,68600
1997-12-05,29.125,29.125,29.0,29.125,6800
1997-12-08,29.375,29.375,29.125,29.125,39800
1997-12-09,30.25,30.625,29.625,29.625,233300
