Date,Close,High,Low,Open,Volume
1994-03-11,20.875,20.875,20.625,20.625,2359000
1994-03-14,20.625,20.75,20.625,20.75,536500
1994-03-15,20.625,20.75,20.625,20.625,215700
1994-03-16,21.375,21.375,20.625,20.625,338600
1994-03-17,21.125,21.375,20.875,21.375,195900
1994-03-18,21.0,21.125,20.75,21.125,285700
1994-03-21,20.875,21.0,20.875,21.0,38900
1994-03-22,20.75,20.875,20.75,20.875,78400
1994-03-23,21.25,21.5,20.75,20.75,209200
1994-03-24,21.0,21.125,21.0,21.125,155000
1994-03-25,21.0,21.125,21.0,21.0,91500
1994-03-28,21.125,21.125,20.875,21.0,111200
1994-03-29,20.625,21.125,20.625,21.125,101200
1994-03-30,20.5,20.75,20.375,20.625,105000
1994-03-31,20.625,20.625,20.5,20.5,108300
1994-04-04,20.125,20.375,20.0,20.375,42300
1994-04-05,20.75,20.875,20.25,20.25,55600
1994-04-06,20.875,20.875,20.75,20.75,31800
1994-04-07,20.75,21.0,20.75,20.875,52000
1994-04-08,20.5,20.75,20.5,20.75,24000
1994-04-11,20.375,20.625,20.375,20.5,44400
1994-04-12,20.5,20.5,20.25,20.375,15100
1994-04-13,20.375,20.5,20.375,20.5,30500
1994-04-14,20.375,20.5,20.375,20.375,38800
1994-04-15,20.125,20.5,20.125,20.375,12200
1994-04-18,20.125,20.375,20.125,20.125,39800
1994-04-19,20.25,20.375,20.25,20.25,24500
1994-04-20,20.25,20.25,20.125,20.25,72000
1994-04-21,20.25,20.375,20.25,20.25,15000
1994-04-22,20.5,20.5,20.125,20.25,20700
1994-04-25,20.25,20.5,20.25,20.5,27300
1994-04-26,20.5,20.5,20.375,20.375,64000
1994-04-28,20.625,20.75,20.5,20.5,27100
1994-04-29,20.5,20.625,20.5,20.625,5500
1994-05-02,20.625,20.625,20.5,20.5,11700
1994-05-03,20.5,20.625,20.375,20.625,29000
1994-05-04,20.25,20.5,20.25,20.5,39600
1994-05-05,20.375,20.375,20.125,20.25,7600
1994-05-06,20.125,20.375,20.0,20.375,13600
1994-05-09,20.25,20.25,20.125,20.125,3700
1994-05-10,20.25,20.25,20.125,20.25,75100
1994-05-11,20.25,20.375,20.125,20.25,81400
1994-05-12,20.25,20.375,20.25,20.25,7100
1994-05-13,20.25,20.375,20.25,20.25,14500
1994-05-16,20.25,20.375,20.125,20.25,12600
1994-05-17,20.125,20.375,20.125,20.25,13400
1994-05-18,20.375,20.375,20.125,20.125,6700
1994-05-19,20.5,20.5,20.375,20.375,36500
1994-05-20,20.5,20.75,20.5,20.5,26800
1994-05-23,21.0,21.0,20.625,20.625,36200
1994-05-24,21.375,21.375,20.875,21.0,116200
1994-05-25,21.75,21.875,21.625,21.625,283300
1994-05-26,21.5,21.625,21.5,21.625,50200
1994-05-27,21.375,21.625,21.375,21.5,10000
1994-05-31,21.5,21.5,21.375,21.375,41400
1994-06-01,21.75,21.875,21.5,21.5,166300
1994-06-02,21.75,21.875,21.75,21.75,243600
1994-06-03,21.75,21.875,21.75,21.75,42400
1994-06-06,22.625,22.75,21.875,21.875,87200
1994-06-07,21.875,22.625,21.875,22.625,19700
1994-06-08,21.875,22.125,21.75,21.875,16100
1994-06-09,22.0,22.0,21.875,21.875,25000
1994-06-10,22.0,22.125,22.0,22.0,23900
1994-06-13,22.0,22.0,21.875,22.0,72800
1994-06-14,22.125,22.25,22.0,22.0,38700
1994-06-15,22.0,22.25,21.75,22.125,74700
1994-06-16,21.875,22.0,21.75,22.0,15200
1994-06-17,21.375,21.875,21.375,21.875,12700
1994-06-20,21.0,21.375,20.75,21.375,31300
1994-06-21,21.0,21.0,20.75,21.0,9800
1994-06-22,21.25,21.25,21.0,21.0,13200
1994-06-23,20.75,21.25,20.75,21.25,35400
1994-06-24,21.375,21.375,20.75,20.75,19400
1994-06-27,20.75,21.25,20.75,21.25,58300
1994-06-28,20.625,21.0,20.5,20.75,14500
1994-06-29,20.5,20.75,20.375,20.625,37700
1994-06-30,20.5,20.5,20.25,20.5,103200
1994-07-01,21.25,21.5,20.5,20.5,36800
1994-07-05,21.625,22.0,21.375,21.375,66800
1994-07-06,21.75,21.875,21.5,21.625,26500
1994-07-07,21.5,21.625,21.375,21.625,53900
1994-07-08,21.625,21.625,21.5,21.5,13200
1994-07-11,21.75,22.125,21.625,21.625,84800
1994-07-12,21.25,22.0,21.125,21.75,22700
1994-07-13,21.375,21.5,21.25,21.25,32700
1994-07-14,21.625,21.75,21.25,21.375,32400
1994-07-15,21.625,21.625,21.5,21.625,27200
1994-07-18,21.5,21.625,21.5,21.625,3200
1994-07-19,21.25,21.5,21.25,21.5,35000
1994-07-20,21.625,21.625,21.5,21.5,42900
1994-07-21,21.875,21.875,21.5,21.625,24800
1994-07-22,21.125,21.875,21.125,21.875,42000
1994-07-25,20.5,21.25,20.5,21.125,11200
1994-07-26,20.5,20.5,20.125,20.5,49300
1994-07-27,20.5,20.75,20.375,20.5,9100
1994-07-28,20.5,20.75,20.375,20.5,7200
1994-07-29,20.5,20.5,20.375,20.5,25200
1994-08-01,20.75,20.75,20.5,20.5,9000
1994-08-02,21.5,21.5,21.0,21.0,4700
1994-08-03,21.875,21.875,21.5,21.5,10600
1994-08-04,21.5,22.0,21.5,21.875,12600
1994-08-05,21.125,21.25,21.125,21.25,47100
1994-08-08,21.0,21.25,21.0,21.125,9100
1994-08-09,21.0,21.25,21.0,21.0,7300
1994-08-10,21.125,21.25,21.125,21.125,16300
1994-08-11,21.125,21.25,20.875,21.125,21500
1994-08-12,21.25,21.375,21.0,21.125,4200
1994-08-15,21.0,21.25,21.0,21.25,11600
1994-08-16,20.625,21.0,20.625,21.0,29100
1994-08-17,20.5,20.75,20.5,20.625,33500
1994-08-18,20.25,20.625,20.125,20.5,9500
1994-08-19,20.625,20.625,20.375,20.375,22200
1994-08-22,20.5,20.625,20.5,20.625,5600
1994-08-23,20.25,20.625,20.25,20.5,107800
1994-08-24,20.0,20.375,20.0,20.25,50500
1994-08-25,19.875,20.125,19.75,20.0,59300
1994-08-26,20.0,20.125,19.875,19.875,135800
1994-08-29,20.125,20.375,20.125,20.125,29100
1994-08-30,20.375,20.375,20.25,20.25,4400
1994-08-31,20.375,20.375,20.125,20.375,11800
1994-09-01,20.75,20.75,20.25,20.375,23300
1994-09-02,21.0,21.25,20.875,20.875,8600
1994-09-06,21.0,21.0,20.75,21.0,3000
1994-09-07,20.875,20.875,20.75,20.875,8000
1994-09-08,20.875,20.875,20.75,20.875,5200
1994-09-09,20.75,21.0,20.75,20.875,23800
1994-09-12,20.75,20.75,20.75,20.75,1000
1994-09-13,20.875,21.25,20.75,20.75,62600
1994-09-14,20.625,20.875,20.625,20.875,2900
1994-09-15,21.25,21.25,20.625,20.625,4600
1994-09-16,20.875,21.25,20.875,21.25,16500
1994-09-19,21.25,21.375,21.0,21.0,24700
1994-09-20,21.125,21.25,21.125,21.25,33500
1994-09-21,21.0,21.125,21.0,21.125,32200
1994-09-22,20.875,21.0,20.75,21.0,52900
1994-09-23,20.25,20.875,20.25,20.875,46100
1994-09-26,20.375,20.5,20.375,20.375,30900
1994-09-27,20.5,21.0,20.375,20.375,57100
1994-09-28,20.625,20.75,20.5,20.5,34700
1994-09-29,21.25,21.25,20.75,20.75,20200
1994-09-30,21.25,21.25,21.0,21.25,38800
1994-10-03,21.0,21.125,20.875,21.125,5800
1994-10-04,20.875,21.125,20.75,21.0,19000
1994-10-05,20.75,20.875,20.625,20.875,61100
1994-10-06,20.625,20.75,20.625,20.75,5100
1994-10-07,21.0,21.125,20.75,20.75,9300
1994-10-10,20.75,21.0,20.75,21.0,16300
1994-10-11,20.875,21.0,20.75,20.75,9300
1994-10-12,20.875,20.875,20.75,20.875,5300
1994-10-13,20.75,21.0,20.75,20.875,113500
1994-10-14,20.25,20.75,20.25,20.75,21100
1994-10-17,20.375,20.375,20.0,20.25,96600
1994-10-18,20.375,20.375,20.25,20.375,9400
1994-10-19,20.375,20.375,20.25,20.375,61200
1994-10-20,20.25,20.375,20.125,20.375,36600
1994-10-21,20.25,20.25,20.125,20.25,3300
1994-10-24,20.0,20.375,20.0,20.25,21500
1994-10-25,20.375,20.375,20.0,20.0,40100
1994-10-26,20.25,20.375,20.25,20.375,29800
1994-10-27,20.125,20.25,20.125,20.25,900
1994-10-28,19.875,20.25,19.875,20.125,1000
1994-10-31,19.5,19.875,19.5,19.875,129000
1994-11-01,19.375,19.5,19.375,19.5,4900
1994-11-02,18.75,19.375,18.75,19.375,14200
1994-11-03,18.25,18.75,18.25,18.75,20800
1994-11-04,18.375,18.375,18.0,18.25,46900
1994-11-07,18.625,18.875,18.625,18.625,29900
1994-11-08,18.375,18.75,18.375,18.625,26400
1994-11-09,18.375,18.5,18.375,18.5,3500
1994-11-10,18.375,18.5,18.375,18.375,4700
1994-11-11,18.5,18.5,18.375,18.375,7900
