Date,Close,High,Low,Open,Volume
1997-10-16,5.6875,5.8125,5.5625,5.8125,7436400
1997-10-17,5.59375,5.75,5.40625,5.65625,3390400
1997-10-20,5.53125,5.625,5.46875,5.5,3068000
1997-10-21,5.59375,5.6875,5.5,5.5625,2382400
1997-10-22,5.71875,5.75,5.59375,5.6875,1525200
1997-10-23,5.59375,5.6875,5.53125,5.6875,1622400
1997-10-24,5.71875,5.71875,5.5625,5.65625,813600
1997-10-27,5.421875,5.75,5.375,5.65625,1507200
1997-10-28,5.59375,5.6875,4.9375,5.25,2955600
1997-10-29,5.65625,5.71875,5.59375,5.6875,1859200
1997-10-30,5.5,5.5625,5.375,5.53125,856000
1997-10-31,5.5,5.640625,5.4375,5.4375,561600
1997-11-03,5.734375,5.84375,5.53125,5.625,1004000
1997-11-04,5.78125,5.875,5.6875,5.75,364000
1997-11-05,5.90625,6.0625,5.78125,5.8125,324400
1997-11-06,6.25,6.25,5.875,5.875,361600
1997-11-07,6.4375,6.625,6.03125,6.1875,662400
1997-11-10,6.15625,6.5,6.15625,6.3125,266800
1997-11-11,6.0,6.0,5.75,5.9375,618000
1997-11-12,5.6875,6.0,5.5625,6.0,314800
1997-11-13,5.5,5.625,5.46875,5.5625,500000
1997-11-14,5.4375,5.5,5.3125,5.4375,438000
1997-11-17,5.8125,5.84375,5.5,5.5,284000
1997-11-18,5.71875,5.875,5.6875,5.875,1429600
1997-11-19,5.5625,5.8125,5.5625,5.71875,148400
1997-11-20,5.5625,5.625,5.3125,5.625,1268000
1997-11-21,5.53125,5.625,5.5,5.5625,640800
1997-11-24,5.53125,5.59375,5.5,5.5,64400
1997-11-25,5.515625,5.625,5.5,5.5625,326800
1997-11-26,5.253905773162842,5.53125,5.234375,5.5,463200
1997-11-28,5.25,5.3125,5.25,5.28125,212800
1997-12-01,5.265625,5.375,5.25,5.25,475200
1997-12-02,5.34375,5.5,5.28125,5.375,1280800
1997-12-03,5.5,5.5,5.34375,5.4375,934400
1997-12-04,5.546875,5.625,5.40625,5.5,681600
1997-12-05,5.6875,5.75,5.4375,5.5,282800
1997-12-08,5.71875,5.75,5.65625,5.6875,227600
1997-12-09,5.59375,5.8125,5.59375,5.75,124000
1997-12-10,5.375,5.625,5.3125,5.625,269600
1997-12-11,5.3125,5.375,5.15625,5.25,400800
1997-12-12,5.15625,5.375,5.15625,5.375,412400
1997-12-15,5.21875,5.375,5.171875,5.25,289200
1997-12-16,5.21875,5.3125,5.125,5.125,190800
1997-12-17,5.03125,5.1875,5.03125,5.15625,584800
1997-12-18,5.0,5.09375,4.96875,5.09375,272400
1997-12-19,4.9375,5.03125,4.9375,5.03125,921600
1997-12-22,5.0625,5.3125,4.9375,4.9375,924000
1997-12-23,5.0,5.1875,4.9375,5.1875,2331200
1997-12-24,4.9375,5.03125,4.9375,5.03125,50400
1997-12-26,5.0625,5.0625,4.96875,5.0,1248400
1997-12-29,5.28125,5.28125,5.0,5.0625,430800
1997-12-30,5.28125,5.34375,5.0625,5.0625,662800
1997-12-31,5.59375,5.6875,5.25,5.40625,911600
1998-01-02,5.78125,5.78125,5.53125,5.53125,112400
1998-01-05,5.625,6.09375,5.625,6.03125,629600
1998-01-06,5.421875,5.59375,5.25,5.59375,915200
1998-01-07,5.5625,5.75,5.421875,5.421875,164800
1998-01-08,5.75,5.78125,5.5,5.5,236000
1998-01-09,5.5,5.75,5.5,5.65625,140400
1998-01-12,5.34375,5.53125,5.34375,5.375,927200
1998-01-13,5.4375,5.5,5.3125,5.5,100400
1998-01-14,5.359375,5.5625,5.34375,5.4375,585600
1998-01-15,5.375,5.4375,5.34375,5.4375,417200
