Date,Close,High,Low,Open,Volume
1973-02-21,5.234375,5.5625,5.234375,5.234375,18400
1973-02-22,5.28125,5.328125,5.234375,5.234375,31200
1973-02-23,5.0625,5.28125,5.0625,5.28125,29600
1973-02-26,5.0,5.09375,5.0,5.0625,21600
1973-02-27,4.953125,5.03125,4.953125,5.0,12800
1973-02-28,4.9375,4.953125,4.859375,4.953125,44800
1973-03-01,4.953125,5.0,4.953125,4.953125,23200
1973-03-02,4.921875,4.984375,4.84375,4.953125,52800
1973-03-05,4.90625,4.9375,4.90625,4.921875,21600
1973-03-06,4.796875,4.828125,4.765625,4.828125,18400
1973-03-07,4.65625,4.8125,4.625,4.796875,141600
1973-03-08,4.6875,4.75,4.625,4.65625,40000
1973-03-09,4.71875,4.75,4.6875,4.6875,88000
1973-03-12,4.6875,4.734375,4.6875,4.71875,46400
1973-03-13,4.6875,4.703125,4.65625,4.6875,60000
1973-03-14,4.65625,4.6875,4.625,4.6875,103200
1973-03-15,4.375,4.578125,4.375,4.578125,70400
1973-03-16,4.28125,4.296875,4.125,4.296875,141600
1973-03-19,4.234375,4.265625,4.1875,4.265625,69600
1973-03-20,4.203125,4.203125,4.140625,4.203125,72800
1973-03-21,4.234375,4.234375,4.15625,4.203125,60000
1973-03-22,4.28125,4.28125,4.171875,4.234375,82400
1973-03-23,4.296875,4.296875,4.25,4.28125,79200
1973-03-26,4.296875,4.328125,4.28125,4.296875,51200
1973-03-27,4.515625,4.515625,4.296875,4.296875,76000
1973-03-28,4.640625,4.6875,4.5625,4.5625,70400
1973-03-29,4.953125,4.96875,4.671875,4.671875,63200
1973-03-30,4.90625,4.953125,4.8125,4.953125,40800
1973-04-02,4.859375,4.9375,4.828125,4.90625,24000
1973-04-03,4.828125,4.859375,4.75,4.859375,49600
1973-04-04,4.640625,4.8125,4.640625,4.8125,34400
1973-04-05,4.625,4.625,4.59375,4.625,68000
1973-04-06,4.34375,4.578125,4.34375,4.578125,46400
1973-04-09,4.265625,4.390625,4.125,4.34375,360800
1973-04-10,4.40625,4.40625,4.296875,4.296875,77600
1973-04-11,4.671875,4.671875,4.46875,4.46875,132800
1973-04-12,4.84375,4.875,4.6875,4.6875,64800
1973-04-13,4.8125,4.890625,4.8125,4.84375,18400
1973-04-16,4.6875,4.8125,4.65625,4.8125,52800
1973-04-17,4.6875,4.703125,4.6875,4.6875,8000
1973-04-18,4.5625,4.6875,4.515625,4.6875,16800
1973-04-19,4.5,4.5625,4.5,4.5625,28000
1973-04-23,4.5,4.59375,4.5,4.5,27200
1973-04-24,4.53125,4.578125,4.53125,4.53125,108800
1973-04-25,4.359375,4.484375,4.359375,4.484375,56000
1973-04-26,4.375,4.421875,4.328125,4.359375,37600
1973-04-27,4.25,4.390625,4.25,4.375,54400
1973-04-30,4.484375,4.484375,4.171875,4.25,36800
1973-05-01,4.40625,4.515625,4.34375,4.484375,111200
1973-05-02,4.359375,4.515625,4.359375,4.40625,107200
1973-05-03,4.296875,4.375,4.296875,4.359375,63200
1973-05-04,4.359375,4.359375,4.3125,4.3125,183200
1973-05-07,4.3125,4.359375,4.3125,4.359375,36800
1973-05-08,4.234375,4.25,4.1875,4.25,13600
1973-05-09,4.234375,4.234375,4.1875,4.234375,16800
1973-05-10,4.125,4.1875,4.109375,4.1875,56000
1973-05-11,4.1875,4.21875,4.171875,4.171875,23200
1973-05-14,4.09375,4.140625,4.09375,4.140625,33600
1973-05-15,4.0,4.078125,3.953125,4.078125,38400
1973-05-16,4.0,4.0,3.9375,4.0,94400
1973-05-17,3.9375,3.984375,3.9375,3.984375,11200
1973-05-18,3.921875,3.96875,3.890625,3.9375,24000
1973-05-21,3.875,3.921875,3.828125,3.921875,64800
1973-05-22,3.84375,3.9375,3.78125,3.875,43200
1973-05-23,3.875,3.890625,3.84375,3.84375,37600
1973-05-24,3.890625,3.90625,3.8125,3.875,16000
1973-05-25,3.984375,4.046875,3.875,3.890625,57600
1973-05-29,4.0,4.078125,3.953125,3.984375,18400
1973-05-30,3.875,3.984375,3.875,3.984375,19200
1973-05-31,3.90625,3.9375,3.84375,3.875,12000
1973-06-01,3.875,3.875,3.8125,3.875,19200
1973-06-04,3.875,3.875,3.8125,3.875,13600
1973-06-05,3.8125,3.890625,3.8125,3.875,16800
1973-06-06,3.875,3.875,3.84375,3.84375,138400
1973-06-07,3.765625,3.8125,3.75,3.8125,36800
1973-06-08,3.828125,3.859375,3.8125,3.8125,4800
1973-06-11,3.78125,3.84375,3.78125,3.828125,23200
1973-06-12,3.953125,4.0,3.828125,3.828125,11200
1973-06-13,4.046875,4.046875,4.0,4.0,8800
1973-06-14,4.046875,4.046875,4.046875,4.046875,4800
1973-06-15,3.90625,4.0,3.875,4.0,20800
1973-06-18,3.796875,3.875,3.796875,3.875,26400
1973-06-19,3.734375,3.75,3.71875,3.75,80800
1973-06-20,3.71875,3.765625,3.6875,3.734375,26400
1973-06-21,3.671875,3.6875,3.671875,3.6875,5600
1973-06-22,3.65625,3.75,3.65625,3.671875,30400
1973-06-25,3.71875,3.796875,3.6875,3.6875,24800
1973-06-26,3.765625,3.765625,3.703125,3.71875,12000
1973-06-27,3.828125,3.828125,3.703125,3.765625,63200
1973-06-28,3.890625,3.9375,3.828125,3.828125,31200
1973-06-29,4.109375,4.140625,3.9375,3.9375,22400
1973-07-02,4.125,4.15625,4.0625,4.109375,23200
1973-07-03,4.171875,4.171875,4.125,4.125,47200
1973-07-05,4.546875,4.546875,4.25,4.25,40000
1973-07-06,4.578125,4.625,4.53125,4.546875,57600
1973-07-09,4.390625,4.53125,4.390625,4.53125,24800
1973-07-10,4.4375,4.46875,4.390625,4.390625,20800
1973-07-11,4.515625,4.625,4.4375,4.4375,32800
1973-07-12,4.484375,4.5,4.40625,4.5,15200
1973-07-13,4.46875,4.5,4.453125,4.484375,46400
1973-07-16,4.609375,4.609375,4.484375,4.484375,185600
1973-07-17,4.75,4.75,4.625,4.625,34400
1973-07-18,4.75,4.75,4.71875,4.75,56000
1973-07-19,4.8125,4.8125,4.75,4.75,11200
1973-07-20,4.84375,4.875,4.796875,4.8125,119200
1973-07-23,4.796875,4.875,4.734375,4.84375,30400
1973-07-24,4.8125,4.8125,4.75,4.796875,39200
1973-07-25,4.75,4.828125,4.75,4.8125,9600
1973-07-26,4.703125,4.765625,4.6875,4.75,37600
1973-07-27,4.71875,4.75,4.703125,4.703125,10400
1973-07-30,4.640625,4.78125,4.625,4.71875,35200
1973-07-31,4.71875,4.71875,4.625,4.640625,16800
1973-08-01,4.625,4.6875,4.625,4.6875,64800
1973-08-02,4.6875,4.6875,4.671875,4.671875,6400
1973-08-03,4.65625,4.6875,4.59375,4.6875,18400
1973-08-06,4.578125,4.703125,4.578125,4.65625,12000
1973-08-07,4.59375,4.609375,4.546875,4.578125,6400
1973-08-08,4.59375,4.65625,4.59375,4.59375,91200
1973-08-09,4.625,4.625,4.5625,4.59375,11200
1973-08-10,4.59375,4.625,4.59375,4.625,6400
1973-08-13,4.546875,4.59375,4.515625,4.59375,37600
1973-08-14,4.625,4.625,4.59375,4.59375,25600
1973-08-15,4.625,4.625,4.625,4.625,11200
1973-08-16,4.59375,4.625,4.59375,4.625,9600
1973-08-17,4.59375,4.59375,4.59375,4.59375,0
1973-08-20,4.5625,4.609375,4.53125,4.59375,13600
1973-08-21,4.53125,4.546875,4.515625,4.546875,4000
1973-08-22,4.5,4.5,4.5,4.5,1600
1973-08-23,4.5,4.5,4.5,4.5,8000
1973-08-24,4.640625,4.6875,4.53125,4.53125,54400
1973-08-27,4.734375,4.734375,4.640625,4.640625,5600
1973-08-28,4.90625,4.90625,4.71875,4.734375,24000
1973-08-29,5.1875,5.265625,4.921875,4.921875,102400
1973-08-30,5.1875,5.3125,5.1875,5.1875,15200
1973-08-31,5.125,5.1875,5.03125,5.1875,28000
1973-09-04,5.359375,5.40625,5.09375,5.125,32000
1973-09-05,5.546875,5.578125,5.375,5.375,262400
1973-09-06,5.625,5.625,5.4375,5.546875,50400
1973-09-07,5.5625,5.625,5.53125,5.625,13600
1973-09-10,5.625,5.625,5.578125,5.578125,16000
1973-09-11,5.75,5.75,5.625,5.625,55200
1973-09-12,5.71875,5.71875,5.703125,5.71875,4000
1973-09-13,5.703125,5.71875,5.671875,5.71875,11200
1973-09-14,5.703125,5.71875,5.578125,5.703125,29600
1973-09-17,5.953125,6.0,5.734375,5.734375,76000
1973-09-18,6.015625,6.046875,5.9375,5.953125,9600
1973-09-19,6.140625,6.140625,6.015625,6.015625,60800
1973-09-20,6.21875,6.21875,6.125,6.140625,23200
1973-09-21,6.125,6.25,6.125,6.21875,410400
1973-09-24,5.90625,6.171875,5.90625,6.125,21600
1973-09-25,6.0,6.0,5.90625,5.90625,60000
1973-09-26,6.0,6.03125,5.890625,6.0,51200
1973-09-27,5.875,5.953125,5.8125,5.953125,16000
1973-09-28,5.90625,5.90625,5.84375,5.875,40000
1973-10-01,5.78125,5.921875,5.78125,5.90625,12000
1973-10-02,5.875,5.921875,5.796875,5.796875,25600
1973-10-03,5.90625,5.9375,5.828125,5.875,63200
1973-10-04,6.078125,6.078125,5.875,5.90625,84000
1973-10-05,6.046875,6.109375,6.03125,6.078125,34400
1973-10-08,6.0,6.0,5.9375,6.0,7200
1973-10-09,6.078125,6.109375,6.046875,6.046875,17600
1973-10-10,6.046875,6.09375,5.96875,6.078125,14400
1973-10-11,6.09375,6.09375,6.03125,6.046875,38400
1973-10-12,6.0,6.078125,6.0,6.078125,73600
1973-10-15,5.828125,6.0,5.828125,6.0,19200
1973-10-16,5.703125,5.78125,5.625,5.78125,37600
1973-10-17,5.5,5.6875,5.5,5.6875,60000
1973-10-18,5.34375,5.375,5.25,5.375,68800
1973-10-19,5.40625,5.484375,5.375,5.375,68800
1973-10-22,5.3125,5.359375,5.265625,5.359375,59200
1973-10-23,5.375,5.375,5.25,5.3125,51200
1973-10-24,5.21875,5.3125,5.125,5.3125,84000
1973-10-25,5.171875,5.203125,5.125,5.203125,35200
