Date,Close,High,Low,Open,Volume
1973-02-21,29.25,29.375,28.875,28.875,16000
1973-02-22,29.125,29.375,29.125,29.25,7100
1973-02-23,28.75,29.25,28.75,29.125,23000
1973-02-26,28.625,28.875,28.625,28.75,6500
1973-02-27,28.75,28.875,28.75,28.75,5800
1973-02-28,28.625,28.75,28.5,28.75,5100
1973-03-01,28.25,28.625,28.125,28.625,15400
1973-03-02,28.625,28.625,28.25,28.25,6400
1973-03-05,28.375,28.75,28.375,28.625,7200
1973-03-06,28.5,28.75,28.5,28.5,3800
1973-03-07,28.375,28.75,28.375,28.5,4300
1973-03-08,28.75,28.75,28.375,28.375,5000
1973-03-09,28.625,28.875,28.5,28.75,4800
1973-03-12,28.5,28.875,28.5,28.625,18700
1973-03-13,28.5,28.625,28.375,28.5,11800
1973-03-14,28.625,28.75,28.5,28.5,4000
1973-03-15,28.5,28.625,28.375,28.625,5700
1973-03-16,28.625,28.75,28.375,28.5,5300
1973-03-19,28.375,28.75,28.25,28.625,6300
1973-03-20,28.25,28.375,28.25,28.375,20100
1973-03-21,28.25,28.5,28.25,28.25,3500
1973-03-22,28.125,28.25,28.125,28.25,19100
1973-03-23,28.125,28.375,28.125,28.125,10800
1973-03-26,28.25,28.25,28.125,28.125,9100
1973-03-27,28.25,28.5,28.25,28.25,11400
1973-03-28,28.625,28.625,28.25,28.25,3500
1973-03-29,28.5,28.625,28.375,28.625,9700
1973-03-30,28.5,28.75,28.375,28.5,1300
1973-04-02,28.5,28.5,28.25,28.5,7800
1973-04-03,28.375,28.625,28.25,28.5,4300
1973-04-04,28.125,28.375,28.125,28.375,7800
1973-04-05,28.25,28.375,28.125,28.125,5500
1973-04-06,28.0,28.5,28.0,28.25,29300
1973-04-09,27.625,27.875,27.5,27.875,10300
1973-04-10,27.875,28.0,27.75,27.75,10100
1973-04-11,28.375,28.375,28.0,28.0,4300
1973-04-12,28.125,28.25,27.75,28.25,10700
1973-04-13,28.0,28.0,27.75,28.0,5800
1973-04-16,27.875,28.0,27.75,28.0,5400
1973-04-17,27.75,28.0,27.75,27.875,8500
1973-04-18,27.75,28.0,27.75,27.75,3200
1973-04-19,27.75,28.0,27.75,27.75,11000
1973-04-23,27.75,27.875,27.625,27.75,6300
1973-04-24,27.625,27.875,27.625,27.75,2700
1973-04-25,27.625,27.875,27.625,27.625,4500
1973-04-26,27.75,27.875,27.625,27.625,6300
1973-04-27,27.75,27.875,27.75,27.75,3400
1973-04-30,27.625,27.875,27.625,27.75,9800
1973-05-01,27.875,27.875,27.75,27.75,3600
1973-05-02,27.875,27.875,27.75,27.875,6500
1973-05-03,28.125,28.25,27.75,27.875,6100
1973-05-04,27.875,28.25,27.875,28.125,5100
1973-05-07,27.875,28.0,27.875,27.875,4600
1973-05-08,28.125,28.125,27.875,27.875,1700
1973-05-09,28.0,28.25,28.0,28.125,3200
1973-05-10,27.875,27.875,27.75,27.875,6600
1973-05-11,28.0,28.0,27.875,27.875,3300
1973-05-14,27.875,27.875,27.75,27.875,4100
1973-05-15,27.75,27.875,27.625,27.875,3900
1973-05-16,27.875,27.875,27.75,27.75,9200
1973-05-17,27.625,27.875,27.625,27.875,4200
1973-05-18,27.75,27.875,27.625,27.625,9900
1973-05-21,27.625,27.875,27.625,27.75,15100
1973-05-22,27.625,28.0,27.5,27.625,11500
1973-05-23,27.625,27.75,27.5,27.625,6700
1973-05-24,27.75,27.75,27.5,27.625,7500
1973-05-25,27.375,27.75,27.25,27.75,65600
1973-05-29,27.375,27.375,27.125,27.375,3600
1973-05-30,27.0,27.375,27.0,27.375,26900
1973-05-31,26.875,27.0,26.75,27.0,4700
1973-06-01,26.875,27.0,26.75,26.875,6900
1973-06-04,26.75,26.875,26.625,26.875,6700
1973-06-05,26.75,26.875,26.625,26.75,6800
1973-06-06,26.875,27.0,26.625,26.75,9200
1973-06-07,26.875,27.0,26.75,26.875,4600
1973-06-08,27.0,27.0,26.875,26.875,5000
1973-06-11,26.875,27.125,26.875,27.0,8300
1973-06-12,27.0,27.0,26.875,26.875,4200
1973-06-13,26.75,27.0,26.625,27.0,12400
1973-06-14,27.125,27.25,26.75,26.75,20200
1973-06-15,27.25,27.25,27.125,27.125,3800
1973-06-18,27.0,27.125,26.875,27.125,5700
1973-06-19,27.25,27.25,26.75,27.0,4300
1973-06-20,27.0,27.25,27.0,27.25,3400
1973-06-21,27.0,27.0,26.875,27.0,1800
1973-06-22,27.25,27.25,27.0,27.0,39300
1973-06-25,27.125,27.375,27.0,27.25,3200
1973-06-26,27.0,27.25,27.0,27.125,6900
1973-06-27,27.0,27.125,27.0,27.0,4400
1973-06-28,27.375,27.375,27.125,27.125,3000
1973-06-29,27.0,27.25,27.0,27.25,4500
1973-07-02,27.25,27.5,27.125,27.125,6800
1973-07-03,27.375,27.375,27.125,27.25,3600
1973-07-05,27.625,27.625,27.25,27.375,2400
1973-07-06,27.5,27.875,27.375,27.625,32300
1973-07-09,27.875,27.875,27.375,27.5,4400
1973-07-10,27.875,28.0,27.625,27.875,5500
1973-07-11,28.0,28.125,27.875,27.875,5500
1973-07-12,27.625,28.0,27.625,28.0,9200
1973-07-13,27.625,27.75,27.5,27.625,5600
1973-07-16,27.625,27.75,27.375,27.625,7000
1973-07-17,26.875,27.375,26.75,27.375,9400
1973-07-18,26.75,27.0,26.625,26.875,6400
1973-07-19,26.5,26.875,26.5,26.75,7200
1973-07-20,26.25,26.75,26.25,26.5,8900
1973-07-23,26.375,26.5,26.25,26.25,4000
1973-07-24,26.375,26.5,26.25,26.375,5300
1973-07-25,26.0,26.375,25.875,26.375,18900
1973-07-26,26.125,26.125,26.0,26.0,3800
1973-07-27,25.875,26.125,25.875,26.125,8600
1973-07-30,25.75,26.0,25.625,25.875,9200
1973-07-31,25.75,26.0,25.75,25.75,4400
1973-08-01,25.75,25.75,25.5,25.75,8400
1973-08-02,25.25,25.375,25.0,25.375,11100
