Date,Close,High,Low,Open,Volume
1986-07-09,11.0,11.0625,10.5625,10.6875,1116800
1986-07-10,10.9375,11.125,10.6875,11.0625,595600
1986-07-11,10.5625,10.9375,10.5625,10.875,800400
1986-07-14,10.25,10.625,10.125,10.625,738000
1986-07-15,9.9375,10.1875,9.3125,10.1875,2059200
1986-07-16,10.125,10.5,9.9375,9.9375,1160400
1986-07-17,10.1875,10.25,10.0,10.125,1046000
1986-07-18,10.25,10.34375,10.0,10.1875,1420000
1986-07-21,10.25,10.3125,10.1875,10.25,322800
1986-07-22,10.1875,10.28125,10.1875,10.25,390800
1986-07-23,10.0625,10.25,10.0,10.25,1004000
1986-07-24,9.9375,10.125,9.8125,10.0625,1071600
1986-07-25,10.0625,10.125,9.875,9.9375,688400
1986-07-28,10.125,10.25,9.96875,10.0625,414800
1986-07-29,10.1875,10.1875,10.0,10.0,278400
1986-07-30,10.125,10.125,9.875,10.0625,459200
1986-07-31,10.0625,10.25,10.0,10.125,1213600
1986-08-01,9.75,10.125,9.75,10.0,1118000
1986-08-04,9.75,9.8125,9.53125,9.8125,892400
1986-08-05,9.5625,9.75,9.5,9.75,868800
1986-08-06,9.125,9.625,9.125,9.5625,550400
1986-08-07,8.375,9.0625,8.125,9.0,7560000
1986-08-08,8.875,8.9375,8.375,8.4375,2802000
1986-08-11,9.125,9.125,8.875,9.0,1428000
1986-08-12,9.375,9.4375,9.125,9.125,1155200
1986-08-13,9.6875,10.09375,9.375,9.4375,865600
1986-08-14,9.5,9.8125,9.375,9.75,762000
1986-08-15,9.375,9.5,9.1875,9.5,654400
1986-08-18,9.6875,9.875,9.25,9.4375,606800
1986-08-19,9.5625,9.75,9.5,9.75,2744000
1986-08-20,9.5,9.5625,9.375,9.5625,500000
1986-08-21,9.4375,9.5625,9.4375,9.5,353200
1986-08-22,9.375,9.5625,9.375,9.5,286000
1986-08-25,9.25,9.5,9.125,9.5,766400
1986-08-26,9.375,9.375,9.1875,9.1875,408800
1986-08-27,9.3125,9.375,9.1875,9.375,686400
1986-08-28,9.1875,9.3125,9.125,9.3125,286000
1986-08-29,9.125,9.25,9.0625,9.125,1128800
1986-09-02,8.75,9.1875,8.6875,9.1875,916800
1986-09-03,8.9375,8.9375,8.6875,8.75,684400
1986-09-04,9.3125,9.3125,8.875,9.0,576800
1986-09-05,9.0,9.4375,9.0,9.3125,961600
1986-09-08,8.75,9.125,8.625,9.125,1793200
1986-09-09,8.625,8.75,8.5,8.6875,388000
1986-09-10,8.5,8.625,8.5,8.625,802400
1986-09-11,7.9375,8.5625,7.75,8.5625,6240000
1986-09-12,7.625,7.9375,7.5625,7.875,2066800
1986-09-15,7.625,7.75,7.4375,7.625,1746800
1986-09-16,7.4375,7.625,7.3125,7.5625,1547200
1986-09-17,7.375,7.5,7.0625,7.5,997600
1986-09-18,8.75,8.75,7.375,7.375,833200
1986-09-19,8.5625,8.75,8.1875,8.75,928000
1986-09-22,8.5,8.6875,8.375,8.5625,464000
1986-09-23,8.25,8.5625,8.0625,8.5625,436400
1986-09-24,8.5,8.5625,8.125,8.25,649600
1986-09-25,8.3125,8.5,8.3125,8.5,305600
1986-09-26,8.3125,8.4375,8.25,8.3125,278400
1986-09-29,8.25,8.375,8.0625,8.375,724800
1986-09-30,8.5625,8.75,8.1875,8.1875,773200
1986-10-01,8.5625,8.75,8.5625,8.6875,668400
1986-10-02,8.5625,8.625,8.5625,8.5625,592000
1986-10-03,8.375,8.625,8.25,8.625,228000
1986-10-06,8.4375,8.5,8.3125,8.5,467600
1986-10-07,8.4375,8.5,8.375,8.375,176000
1986-10-08,8.625,8.625,8.4375,8.5,558800
1986-10-09,8.4375,8.625,8.375,8.625,243200
1986-10-10,8.3125,8.4375,8.25,8.4375,238400
1986-10-13,8.0625,8.375,8.0625,8.375,362800
1986-10-14,8.5,8.625,8.0625,8.0625,612000
1986-10-15,8.75,8.8125,8.5,8.5625,606800
1986-10-16,8.6875,8.8125,8.6875,8.75,269200
1986-10-17,8.5,8.75,8.4375,8.75,216000
1986-10-20,8.3125,8.5,8.0625,8.4375,595200
1986-10-21,8.1875,8.3125,8.1875,8.3125,327200
1986-10-22,8.25,8.3125,8.1875,8.3125,396000
1986-10-23,8.28125,8.3125,8.25,8.3125,1358400
1986-10-24,8.3125,8.375,8.25,8.3125,809600
1986-10-27,8.3125,8.375,8.25,8.375,305200
1986-10-28,8.5,8.5,8.25,8.25,329200
1986-10-29,8.875,9.0,8.5,8.5,835600
1986-10-30,9.0625,9.1875,8.8125,8.875,973200
1986-10-31,9.0,9.0625,8.875,9.0625,632400
1986-11-03,9.0,9.0625,8.875,8.875,408800
1986-11-04,8.9375,9.0625,8.9375,8.9375,283200
1986-11-05,8.875,9.0,8.875,9.0,231200
1986-11-06,8.8125,8.9375,8.5625,8.875,434000
1986-11-07,8.78125,8.9375,8.75,8.8125,517200
1986-11-10,8.75,8.8125,8.625,8.8125,503200
1986-11-11,8.9375,8.9375,8.6875,8.8125,142000
1986-11-12,8.96875,9.03125,8.875,8.9375,669600
1986-11-13,8.375,9.0,8.375,8.9375,578800
1986-11-14,8.375,8.4375,8.1875,8.3125,806000
1986-11-17,8.375,8.4375,8.25,8.375,734400
1986-11-18,8.25,8.4375,8.1875,8.4375,605600
1986-11-19,8.3125,8.375,8.1875,8.3125,495600
1986-11-20,8.5,8.5,8.3125,8.3125,828400
1986-11-21,8.9375,9.0,8.5,8.5625,666800
1986-11-24,9.125,9.25,8.8125,8.8125,715600
1986-11-25,9.0,9.125,8.9375,9.0,424000
1986-11-26,9.0625,9.0625,8.9375,8.9375,171600
1986-11-28,9.0,9.0625,8.875,9.0625,236000
1986-12-01,8.875,9.0625,8.8125,9.0,596000
1986-12-02,8.9375,8.96875,8.84375,8.9375,845600
1986-12-03,9.0625,9.0625,8.875,8.875,1016800
1986-12-04,8.9375,9.1875,8.8125,9.0,643200
1986-12-05,8.5625,8.9375,8.5,8.875,636400
1986-12-08,8.5,8.625,8.3125,8.5,712000
1986-12-09,8.4375,8.5625,8.4375,8.4375,302400
1986-12-10,8.375,8.5,8.3125,8.5,341200
1986-12-11,8.0625,8.4375,7.9375,8.4375,1172000
1986-12-12,8.0625,8.1875,8.0625,8.1875,332000
1986-12-15,8.625,8.625,8.0,8.0625,768400
1986-12-16,8.6875,8.6875,8.5625,8.5625,770000
1986-12-17,8.5,8.75,8.5,8.6875,345200
1986-12-18,8.4375,8.625,8.3125,8.5,349200
1986-12-19,8.375,8.5,8.375,8.4375,883600
1986-12-22,8.5,8.625,8.375,8.4375,371600
1986-12-23,8.375,8.625,8.3125,8.5625,282800
1986-12-24,8.3125,8.375,8.3125,8.375,189200
1986-12-26,8.375,8.375,8.25,8.3125,180000
1986-12-29,8.375,8.375,8.125,8.3125,462000
1986-12-30,8.1875,8.375,8.125,8.3125,485200
1986-12-31,8.1875,8.375,8.1875,8.28125,378400
1987-01-02,8.34375,8.375,8.125,8.1875,363600
1987-01-05,9.125,9.1875,8.375,8.375,1222000
1987-01-06,8.875,9.125,8.8125,9.125,1120000
1987-01-07,9.375,9.375,9.0,9.0,976800
1987-01-08,9.6875,9.75,9.3125,9.375,1178800
1987-01-09,9.75,9.875,9.625,9.6875,659600
1987-01-12,9.4375,9.75,9.4375,9.6875,1713600
1987-01-13,9.4375,9.4375,9.1875,9.4375,1000000
1987-01-14,9.375,9.5,9.25,9.4375,1237600
1987-01-15,9.0625,9.375,8.9375,9.3125,2141600
1987-01-16,8.875,9.0625,8.8125,9.0625,722400
1987-01-19,9.125,9.1875,8.875,8.875,1030000
1987-01-20,9.3125,9.375,9.125,9.1875,895200
1987-01-21,9.125,9.25,9.0,9.1875,923200
1987-01-22,9.375,9.375,9.125,9.1875,372800
1987-01-23,9.4375,9.875,9.25,9.375,1741600
1987-01-26,9.25,9.5,9.1875,9.5,456800
1987-01-27,9.6875,9.6875,9.25,9.25,666400
1987-01-28,9.9375,9.9375,9.5625,9.6875,937200
1987-01-29,9.6875,10.0625,9.625,10.0,712000
1987-01-30,9.71875,9.75,9.4375,9.75,445200
1987-02-02,9.6875,9.8125,9.625,9.75,483600
1987-02-03,9.4375,9.6875,9.4375,9.6875,739200
1987-02-04,9.75,9.8125,9.4375,9.5,1103600
1987-02-05,10.1875,10.1875,9.6875,9.75,904000
1987-02-06,9.8125,10.25,9.8125,10.125,1008800
1987-02-09,9.5625,9.875,9.5,9.875,663200
1987-02-10,9.5625,9.6875,9.5,9.6875,423600
1987-02-11,9.8125,9.9375,9.625,9.625,394000
1987-02-12,10.125,10.625,9.8125,9.875,1348800
1987-02-13,10.25,10.3125,9.875,10.125,1257600
1987-02-17,10.5625,10.625,10.25,10.3125,1275200
1987-02-18,10.625,10.9375,10.5,10.625,1346000
1987-02-19,10.875,10.875,10.625,10.625,432800
1987-02-20,10.8125,10.9375,10.75,10.75,350000
1987-02-23,10.71875,10.875,10.6875,10.8125,479200
1987-02-24,10.75,10.75,10.625,10.6875,934800
1987-02-25,10.96875,11.0,10.6875,10.75,831600
1987-02-26,11.1875,11.3125,11.0,11.0,720000
1987-02-27,11.0625,11.1875,10.9375,11.09375,314000
1987-03-02,10.875,11.0625,10.75,11.0625,560400
1987-03-03,10.8125,10.875,10.6875,10.8125,411200
1987-03-04,11.09375,11.125,10.6875,10.6875,508000
