Date,Close,High,Low,Open,Volume
1996-12-17,3.5,3.75,3.5,3.75,1272400
1996-12-18,3.5625,3.59375,3.3125,3.5,1186800
1996-12-19,3.65625,3.71875,3.59375,3.59375,528800
1996-12-20,3.71875,3.71875,3.625,3.625,233200
1996-12-23,3.8125,3.84375,3.71875,3.75,57200
1996-12-24,3.90625,3.90625,3.84375,3.84375,14000
1996-12-26,3.8125,3.9375,3.8125,3.90625,22000
1996-12-27,3.8125,3.8125,3.8125,3.8125,800
1996-12-30,3.78125,3.84375,3.78125,3.84375,28400
1996-12-31,3.78125,3.78125,3.75,3.75,15600
1997-01-02,3.65625,3.75,3.65625,3.75,710000
1997-01-03,3.75,3.78125,3.65625,3.65625,1579600
1997-01-06,3.78125,3.8125,3.75,3.78125,2490800
1997-01-07,4.0,4.0,3.78125,3.8125,641200
1997-01-08,4.03125,4.1875,4.03125,4.0625,336000
1997-01-09,4.0625,4.09375,4.03125,4.03125,459200
1997-01-10,4.09375,4.125,4.0625,4.09375,812800
1997-01-13,4.0625,4.09375,4.0,4.09375,3370000
1997-01-14,4.4375,4.4375,4.1875,4.21875,2018000
1997-01-15,4.09375,4.34375,4.09375,4.3125,2648400
1997-01-16,4.0,4.0625,3.96875,4.0,2926000
1997-01-17,4.03125,4.0625,3.96875,4.0,1323600
1997-01-20,3.96875,4.03125,3.96875,4.0,2368400
1997-01-21,4.0,4.03125,4.0,4.0,2347200
1997-01-22,4.0,4.03125,4.0,4.03125,2797600
1997-01-23,4.09375,4.15625,4.0625,4.0625,1058800
1997-01-24,4.03125,4.28125,4.03125,4.09375,1254800
1997-01-27,4.03125,4.09375,4.03125,4.03125,1658000
1997-01-28,4.0,4.1875,4.0,4.03125,1005600
1997-01-29,4.0,4.09375,3.96875,4.0,1512000
1997-01-30,4.0,4.0625,3.96875,4.0,2211200
1997-01-31,3.9375,4.0,3.90625,3.9375,1540400
1997-02-03,4.0625,4.0625,3.90625,3.9375,1889600
1997-02-04,4.125,4.125,4.03125,4.0625,1865600
1997-02-05,4.15625,4.15625,4.09375,4.125,458400
1997-02-06,4.125,4.15625,4.125,4.125,643600
1997-02-07,4.1875,4.21875,4.09375,4.125,2542800
1997-02-10,4.125,4.15625,4.09375,4.125,944000
1997-02-11,4.125,4.15625,4.0625,4.0625,772000
1997-02-12,4.09375,4.125,4.0625,4.09375,400400
1997-02-13,4.21875,4.28125,4.09375,4.09375,1190800
1997-02-14,4.125,4.21875,4.09375,4.21875,1210800
1997-02-18,4.125,4.15625,4.0625,4.0625,2076800
1997-02-19,4.15625,4.1875,4.09375,4.09375,830800
1997-02-20,4.21875,4.375,4.125,4.125,1074000
1997-02-21,4.25,4.28125,4.1875,4.21875,638800
1997-02-24,4.40625,4.40625,4.25,4.25,1108000
1997-02-25,4.4375,4.46875,4.375,4.40625,462000
1997-02-26,4.34375,4.40625,4.3125,4.375,525600
1997-02-27,4.28125,4.4375,4.25,4.3125,854800
1997-02-28,4.21875,4.28125,4.0625,4.15625,514400
1997-03-03,4.21875,4.3125,4.15625,4.15625,385600
1997-03-04,4.21875,4.25,4.1875,4.25,803600
1997-03-05,4.15625,4.21875,4.09375,4.1875,1542000
1997-03-06,4.125,4.15625,4.09375,4.15625,408800
1997-03-07,4.0625,4.125,3.96875,4.09375,968400
1997-03-10,4.09375,4.125,4.0625,4.0625,331200
1997-03-11,4.09375,4.15625,4.09375,4.09375,1434000
1997-03-12,4.125,4.125,4.09375,4.09375,558000
1997-03-13,4.0625,4.09375,4.0625,4.0625,362800
1997-03-14,4.09375,4.125,4.0625,4.0625,964800
1997-03-17,4.0,4.09375,4.0,4.09375,387600
1997-03-18,4.03125,4.0625,4.0,4.0625,303600
1997-03-19,4.09375,4.09375,4.03125,4.03125,2478000
1997-03-20,4.0625,4.09375,4.03125,4.09375,196000
1997-03-21,4.0,4.09375,3.96875,4.03125,806000
1997-03-24,3.90625,4.0,3.90625,3.96875,227600
1997-03-25,3.8125,3.9375,3.78125,3.84375,256400
1997-03-26,3.78125,3.78125,3.65625,3.75,317600
1997-03-27,3.8125,3.84375,3.75,3.75,231200
1997-03-31,3.71875,3.84375,3.71875,3.78125,335200
1997-04-01,3.6875,3.75,3.6875,3.71875,514400
1997-04-02,3.65625,3.71875,3.65625,3.6875,270000
1997-04-03,3.6875,3.71875,3.65625,3.6875,285600
1997-04-04,3.6875,3.71875,3.6875,3.6875,2198000
1997-04-07,3.65625,3.6875,3.625,3.6875,146800
1997-04-08,3.71875,3.71875,3.5625,3.625,271200
1997-04-09,3.78125,3.78125,3.65625,3.6875,386400
1997-04-10,3.84375,3.9375,3.75,3.75,167200
1997-04-11,3.65625,3.78125,3.65625,3.75,537600
1997-04-14,3.59375,3.6875,3.59375,3.65625,390000
1997-04-15,3.65625,3.65625,3.59375,3.59375,276800
1997-04-16,3.75,3.75,3.625,3.625,248400
1997-04-17,3.96875,4.03125,3.90625,3.90625,2013600
1997-04-18,4.0,4.0,3.96875,3.96875,385200
1997-04-21,4.0,4.0625,3.96875,4.0,569200
1997-04-22,4.0,4.0,4.0,4.0,246400
1997-04-23,4.0,4.03125,4.0,4.0,145200
1997-04-24,4.0,4.03125,4.0,4.0,533600
1997-04-25,4.0,4.03125,4.0,4.0,140400
1997-04-28,4.0,4.03125,4.0,4.0,106800
1997-04-29,4.1875,4.1875,4.03125,4.03125,478400
1997-04-30,4.40625,4.5,4.1875,4.21875,1580000
1997-05-01,4.375,4.40625,4.34375,4.34375,648800
1997-05-02,4.59375,4.625,4.34375,4.34375,362400
1997-05-05,4.53125,4.59375,4.5,4.5625,490400
1997-05-06,4.5625,4.59375,4.4375,4.46875,332000
1997-05-07,4.53125,4.59375,4.53125,4.5625,290400
1997-05-08,4.46875,4.53125,4.4375,4.5,226000
1997-05-09,4.46875,4.5625,4.46875,4.46875,116400
1997-05-12,4.75,4.78125,4.59375,4.625,253600
1997-05-13,4.71875,4.75,4.65625,4.6875,128800
1997-05-14,4.53125,4.65625,4.5,4.65625,277600
1997-05-15,4.53125,4.59375,4.5,4.5,274800
1997-05-16,4.46875,4.53125,4.4375,4.53125,292400
1997-05-19,4.46875,4.5,4.40625,4.4375,132000
1997-05-20,4.40625,4.46875,4.40625,4.46875,115600
1997-05-21,4.46875,4.5,4.40625,4.40625,106800
1997-05-22,4.875,4.875,4.40625,4.40625,452800
1997-05-23,4.6875,4.8125,4.6875,4.8125,63200
1997-05-27,4.6875,4.6875,4.625,4.625,138800
1997-05-28,4.71875,4.75,4.65625,4.6875,121200
1997-05-29,4.75,4.78125,4.6875,4.71875,132400
1997-05-30,4.625,4.65625,4.59375,4.625,279200
1997-06-02,4.65625,4.71875,4.59375,4.59375,411600
1997-06-03,4.6875,4.6875,4.65625,4.65625,122400
1997-06-04,4.71875,4.71875,4.65625,4.65625,71600
1997-06-05,4.75,4.78125,4.6875,4.6875,309600
1997-06-06,4.9375,4.9375,4.75,4.75,172000
1997-06-09,5.0,5.0625,4.875,4.90625,220000
1997-06-10,5.0,5.0625,5.0,5.0,97200
1997-06-11,4.84375,5.0,4.84375,5.0,638000
1997-06-12,5.0,5.0,4.84375,4.84375,259600
1997-06-13,4.96875,5.03125,4.96875,4.96875,91600
1997-06-16,5.0625,5.0625,4.90625,4.90625,184800
1997-06-17,4.96875,4.96875,4.875,4.96875,427200
1997-06-18,5.0,5.0,4.9375,4.9375,391600
1997-06-19,4.96875,5.0,4.9375,4.96875,142400
1997-06-20,4.96875,5.0,4.96875,4.96875,437200
1997-06-23,4.96875,5.0,4.9375,4.9375,172400
1997-06-24,4.84375,4.90625,4.796875,4.90625,323600
1997-06-25,4.75,4.859375,4.75,4.8125,246000
1997-06-26,4.75,4.75,4.6875,4.71875,452400
1997-06-27,4.75,4.75,4.71875,4.71875,236000
1997-06-30,5.140625,5.21875,4.71875,4.734375,705600
1997-07-01,4.90625,5.0,4.875,5.0,201200
1997-07-02,4.875,4.9375,4.875,4.90625,384400
1997-07-03,4.859375,4.9375,4.84375,4.84375,210400
1997-07-07,4.859375,4.875,4.84375,4.859375,710800
1997-07-08,5.015625,5.03125,4.828125,4.859375,148000
1997-07-09,4.90625,5.0,4.84375,4.984375,171600
1997-07-10,4.75,4.859375,4.734375,4.84375,964000
1997-07-11,4.75,4.75,4.71875,4.75,105600
1997-07-14,4.765625,4.78125,4.6875,4.75,654000
1997-07-15,4.8125,4.8125,4.765625,4.765625,167200
1997-07-16,5.03125,5.078125,4.828125,4.828125,280000
1997-07-17,4.71875,4.90625,4.71875,4.90625,255200
1997-07-18,4.578125,4.703125,4.578125,4.703125,116400
1997-07-21,4.53125,4.59375,4.5,4.59375,226800
1997-07-22,4.484375,4.515625,4.46875,4.5,314000
1997-07-23,4.5,4.5,4.46875,4.46875,258800
1997-07-24,4.375,4.5,4.375,4.5,148400
1997-07-25,4.21875,4.375,4.203125,4.375,276000
1997-07-28,4.234375,4.25,4.15625,4.1875,248400
1997-07-29,4.3125,4.328125,4.234375,4.234375,306000
1997-07-30,4.375,4.390625,4.296875,4.296875,42000
1997-07-31,4.34375,4.4375,4.328125,4.359375,500000
1997-08-01,4.25,4.3125,4.234375,4.3125,714400
1997-08-04,4.25,4.296875,4.234375,4.234375,394400
1997-08-05,4.28125,4.296875,4.21875,4.25,155600
1997-08-06,4.328125,4.34375,4.28125,4.28125,249600
1997-08-07,4.3125,4.34375,4.28125,4.3125,170400
1997-08-08,4.3125,4.3125,4.28125,4.296875,89200
1997-08-11,4.3125,4.3125,4.265625,4.3125,86000
1997-08-12,4.40625,4.40625,4.375,4.375,114800
1997-08-13,4.40625,4.421875,4.390625,4.390625,63200
1997-08-14,4.5625,4.578125,4.4375,4.4375,396000
1997-08-15,4.78125,4.796875,4.5625,4.5625,313600
1997-08-18,4.78125,4.78125,4.765625,4.78125,54800
1997-08-19,4.78125,4.796875,4.765625,4.765625,53600
1997-08-20,4.8125,4.8125,4.75,4.78125,226400
1997-08-21,4.796875,4.8125,4.78125,4.796875,100800
1997-08-22,4.765625,4.796875,4.75,4.78125,136000
1997-08-25,4.6875,4.78125,4.6875,4.78125,210000
1997-08-26,4.71875,4.75,4.671875,4.6875,342400
1997-08-27,4.734375,4.734375,4.6875,4.71875,158000
1997-08-28,4.71875,4.75,4.703125,4.75,152800
1997-08-29,4.671875,4.671875,4.625,4.625,109600
1997-09-02,4.5625,4.578125,4.5,4.5,202800
1997-09-03,4.59375,4.625,4.578125,4.578125,95200
1997-09-04,4.65625,4.65625,4.578125,4.578125,32000
1997-09-05,4.53125,4.6875,4.5,4.6875,1124000
1997-09-08,4.59375,4.59375,4.515625,4.515625,80800
1997-09-09,4.59375,4.625,4.578125,4.578125,33200
1997-09-10,4.546875,4.59375,4.515625,4.578125,68800
1997-09-11,4.546875,4.546875,4.5,4.53125,147600
1997-09-12,4.53125,4.546875,4.515625,4.546875,473600
1997-09-15,4.46875,4.5,4.40625,4.5,448800
1997-09-16,4.421875,4.46875,4.40625,4.46875,519200
1997-09-17,4.359375,4.4375,4.328125,4.421875,492800
1997-09-18,4.265625,4.359375,4.25,4.359375,3142800
1997-09-19,4.1875,4.28125,4.15625,4.265625,202000
1997-09-22,4.15625,4.15625,4.0625,4.125,707200
1997-09-23,4.125,4.171875,4.078125,4.15625,1128800
