Date,Close,High,Low,Open,Volume
1995-10-03,19.625,19.875,18.5,18.75,10364800
1995-10-04,18.75,19.625,18.75,19.5,1810800
1995-10-05,19.375,19.5,19.0,19.125,1216500
1995-10-06,19.875,19.875,19.375,19.625,1538100
1995-10-09,19.375,19.875,19.375,19.875,869200
1995-10-10,19.25,19.5,19.0,19.375,840800
1995-10-11,19.375,19.5,19.25,19.375,630400
1995-10-12,19.375,19.5,19.125,19.375,519700
1995-10-13,20.0,20.0,19.5,19.5,557300
1995-10-16,19.75,20.125,19.625,20.125,188700
1995-10-17,19.75,19.875,19.625,19.75,244600
1995-10-18,19.625,19.75,19.5,19.625,152500
1995-10-19,19.625,19.625,19.5,19.5,180400
1995-10-20,19.5,19.75,19.375,19.625,298900
1995-10-23,19.25,19.375,19.125,19.25,731100
1995-10-24,19.0,19.375,19.0,19.375,670500
1995-10-25,19.0,19.25,19.0,19.125,749900
1995-10-26,19.0,19.125,19.0,19.125,810900
1995-10-27,19.25,19.25,19.0,19.0,460500
1995-10-30,19.25,19.375,19.25,19.375,76200
1995-10-31,20.375,20.75,19.875,20.75,2034100
1995-11-01,20.375,20.5,20.0,20.25,398600
1995-11-02,20.5,20.5,20.375,20.375,221200
1995-11-03,20.75,20.875,20.375,20.5,306800
1995-11-06,20.625,21.25,20.625,20.625,137200
1995-11-07,20.625,20.625,20.375,20.625,566300
1995-11-08,20.75,20.875,20.5,20.5,264700
1995-11-09,20.75,20.75,20.625,20.625,70700
1995-11-10,20.375,20.625,20.375,20.625,190500
1995-11-13,20.5,20.625,20.375,20.375,135900
1995-11-14,20.625,20.75,20.5,20.625,206900
1995-11-15,20.5,20.625,20.25,20.5,615500
1995-11-16,20.375,21.0,20.375,20.75,381400
1995-11-17,20.625,20.875,20.375,20.5,178000
1995-11-20,20.5,21.375,20.5,20.75,377000
1995-11-21,20.75,20.75,20.5,20.625,391400
1995-11-22,20.875,20.875,20.5,20.5,92600
1995-11-24,20.875,20.875,20.75,20.875,7900
1995-11-27,20.75,21.125,20.625,20.75,455000
1995-11-28,20.75,21.0,20.75,21.0,130200
1995-11-29,20.75,20.875,20.75,20.75,59500
1995-11-30,20.875,21.0,20.625,20.625,180100
1995-12-01,21.25,21.25,20.875,21.0,94400
1995-12-04,21.0,21.25,21.0,21.25,228600
1995-12-05,21.125,21.125,20.875,21.0,251400
1995-12-06,21.0,21.25,21.0,21.25,109900
1995-12-07,21.375,21.625,21.25,21.25,171800
1995-12-08,21.25,21.375,21.0,21.125,224000
1995-12-11,21.5,21.75,21.25,21.25,123800
1995-12-12,21.5,21.625,21.25,21.5,192100
1995-12-13,21.625,21.875,21.375,21.5,81800
1995-12-14,21.875,22.375,21.875,21.875,251200
1995-12-15,22.25,22.5,22.0,22.0,220800
1995-12-18,22.125,22.125,21.875,22.125,320900
1995-12-19,23.0,23.0,21.875,22.0,361400
1995-12-20,22.375,23.375,22.375,23.25,168300
1995-12-21,22.875,23.0,22.375,22.375,90300
1995-12-22,22.875,23.0,22.625,23.0,104500
1995-12-26,23.0,23.0,22.625,22.625,109100
1995-12-27,22.875,23.0,22.75,23.0,108400
1995-12-28,22.625,23.0,22.625,23.0,74100
1995-12-29,23.375,23.5,22.625,22.625,230800
1996-01-02,22.875,23.25,22.25,23.25,237100
1996-01-03,22.75,22.875,22.5,22.75,249500
1996-01-04,22.25,22.5,22.0,22.5,276800
1996-01-05,22.5,22.5,22.25,22.25,171100
1996-01-08,22.375,22.5,22.25,22.5,62200
1996-01-09,22.375,22.5,22.0,22.5,65300
1996-01-10,22.375,22.625,22.125,22.25,535400
1996-01-11,22.25,22.375,22.0,22.375,83400
1996-01-12,22.375,22.5,22.25,22.25,60200
1996-01-15,22.25,22.625,22.25,22.5,76800
1996-01-16,22.25,22.625,22.125,22.375,81000
1996-01-17,22.375,22.625,22.25,22.5,50800
1996-01-18,22.0,22.375,22.0,22.125,972000
1996-01-19,22.0,22.0,21.375,21.875,102800
1996-01-22,20.75,21.75,20.375,21.75,449000
1996-01-23,21.875,22.25,21.0,21.0,798600
1996-01-24,22.5,22.625,21.875,21.875,269500
1996-01-25,22.0,22.75,22.0,22.75,181200
1996-01-26,21.875,22.0,21.875,22.0,136500
1996-01-29,22.5,22.625,21.875,21.875,102200
1996-01-30,22.375,22.625,22.125,22.5,315200
1996-01-31,21.75,22.25,21.625,22.125,607200
1996-02-01,22.0,22.0,21.75,21.875,363500
1996-02-02,22.0,22.0,21.875,22.0,124700
1996-02-05,21.25,22.0,21.25,22.0,206800
1996-02-06,20.875,21.375,20.125,21.125,648100
1996-02-07,20.75,21.125,20.5,20.75,454500
1996-02-08,21.5,21.5,20.75,21.25,757100
1996-02-09,21.875,22.0,21.375,21.5,531000
1996-02-12,22.625,22.625,21.875,21.875,315400
1996-02-13,22.5,22.625,22.375,22.625,123600
1996-02-14,22.25,22.5,22.125,22.5,175900
1996-02-15,22.5,22.625,22.25,22.25,143600
1996-02-16,23.25,23.25,22.375,22.5,83500
1996-02-20,22.75,23.0,22.75,23.0,819300
1996-02-21,22.75,23.0,22.625,23.0,953000
1996-02-22,23.125,23.125,22.875,22.875,600900
1996-02-23,23.125,23.375,23.0,23.25,254900
1996-02-26,23.0,23.0,22.75,23.0,177500
1996-02-27,23.5,23.75,23.125,23.125,176400
1996-02-28,24.5,24.75,23.5,23.5,599900
1996-02-29,24.5,24.625,24.375,24.5,246500
1996-03-01,23.875,24.625,23.75,24.625,214200
1996-03-04,25.0,25.125,23.875,23.875,224200
1996-03-05,24.875,25.125,24.75,25.125,32900
1996-03-06,25.0,25.125,24.5,24.75,413900
1996-03-07,24.625,25.0,24.625,24.75,361200
1996-03-08,23.5,24.625,23.375,24.625,219800
1996-03-11,23.0,23.5,22.875,23.25,264200
