Date,Close,High,Low,Open,Volume
1995-11-17,8.625,8.71875,8.09375,8.125,35659200
1995-11-20,8.3125,8.8125,8.1875,8.59375,8434000
1995-11-21,8.15625,8.28125,7.9375,8.25,6440000
1995-11-22,8.40625,8.53125,8.125,8.125,3480800
1995-11-24,8.71875,8.71875,8.4375,8.46875,1279200
1995-11-27,8.75,8.90625,8.625,8.71875,2403200
1995-11-28,8.625,8.78125,8.5,8.75,1054800
1995-11-29,8.75,8.96875,8.5625,8.59375,1331200
1995-11-30,9.09375,9.1875,8.8125,8.84375,2426000
1995-12-01,9.0,9.125,8.9375,9.09375,978400
1995-12-04,8.90625,9.09375,8.84375,9.03125,594000
1995-12-05,8.78125,8.90625,8.625,8.90625,1148800
1995-12-06,8.8125,9.0,8.75,8.75,1216000
1995-12-07,8.75,8.90625,8.6875,8.875,641200
1995-12-08,8.96875,8.96875,8.625,8.71875,668800
1995-12-11,9.09375,9.09375,8.96875,9.0,660000
1995-12-12,8.75,9.0625,8.71875,9.03125,971600
1995-12-13,8.6875,8.8125,8.53125,8.8125,528400
1995-12-14,8.4375,8.71875,8.4375,8.71875,639200
1995-12-15,8.375,8.5625,8.34375,8.5,1366400
1995-12-18,8.28125,8.40625,8.25,8.375,741600
1995-12-19,8.4375,8.53125,8.21875,8.25,643600
1995-12-20,8.625,8.6875,8.46875,8.46875,360400
1995-12-21,8.6875,8.78125,8.5625,8.59375,301600
1995-12-22,8.75,8.75,8.625,8.71875,208400
1995-12-26,8.53125,8.71875,8.5,8.71875,240000
1995-12-27,8.84375,8.84375,8.625,8.625,351600
1995-12-28,8.8125,8.90625,8.78125,8.875,344400
1995-12-29,8.71875,8.84375,8.65625,8.78125,219200
1996-01-02,8.75,8.78125,8.65625,8.71875,169200
1996-01-03,8.71875,8.9375,8.65625,8.78125,682000
1996-01-04,8.65625,8.8125,8.53125,8.75,414800
1996-01-05,8.4375,8.59375,8.28125,8.53125,773600
1996-01-08,8.46875,8.46875,8.375,8.4375,48800
1996-01-09,8.375,8.5,8.375,8.5,864000
1996-01-10,8.28125,8.375,8.125,8.28125,458400
1996-01-11,8.46875,8.5625,8.3125,8.3125,477600
1996-01-12,8.6875,8.6875,8.40625,8.4375,338400
1996-01-15,8.65625,8.75,8.625,8.6875,580800
1996-01-16,8.4375,8.59375,8.21875,8.59375,512800
1996-01-17,8.375,8.375,8.125,8.3125,126400
1996-01-18,8.15625,8.34375,8.03125,8.28125,696000
1996-01-19,8.09375,8.1875,8.0625,8.15625,792800
1996-01-22,8.3125,8.46875,8.09375,8.09375,568800
1996-01-23,8.15625,8.28125,8.15625,8.25,798400
1996-01-24,8.28125,8.28125,8.125,8.125,776400
1996-01-25,8.5625,8.5625,8.25,8.25,1303200
1996-01-26,8.5625,8.59375,8.5,8.5625,634800
1996-01-29,8.4375,8.59375,8.375,8.59375,652000
1996-01-30,9.25,9.40625,8.375,8.4375,2810800
1996-01-31,9.21875,9.53125,9.125,9.1875,1136400
1996-02-01,9.03125,9.21875,8.84375,9.1875,516800
1996-02-02,9.25,9.3125,9.09375,9.09375,702400
1996-02-05,9.40625,9.46875,9.25,9.3125,756400
1996-02-06,9.46875,9.5625,9.375,9.40625,455200
1996-02-07,9.78125,9.84375,9.5,9.53125,650800
1996-02-08,9.5625,9.8125,9.53125,9.75,571600
1996-02-09,9.59375,9.625,9.46875,9.625,520800
1996-02-12,9.34375,9.5625,9.25,9.53125,619200
1996-02-13,9.1875,9.28125,9.125,9.25,204400
1996-02-14,9.15625,9.4375,9.15625,9.21875,410000
1996-02-15,9.34375,9.4375,9.28125,9.28125,348800
1996-02-16,9.1875,9.34375,9.15625,9.34375,322400
1996-02-20,9.0625,9.1875,8.9375,9.0625,633200
1996-02-21,9.125,9.21875,9.09375,9.09375,497600
1996-02-22,9.09375,9.125,8.78125,9.125,1184000
1996-02-23,9.3125,9.34375,9.09375,9.125,532400
1996-02-26,9.25,9.34375,9.1875,9.3125,359600
1996-02-27,9.15625,9.375,9.125,9.3125,1742400
1996-02-28,9.21875,9.25,9.1875,9.1875,921600
1996-02-29,9.15625,9.375,9.125,9.21875,812400
1996-03-01,9.46875,9.53125,9.21875,9.28125,605600
1996-03-04,9.375,9.5,9.3125,9.5,650800
1996-03-05,9.40625,9.46875,9.28125,9.3125,511200
1996-03-06,9.3125,9.46875,9.3125,9.4375,445600
1996-03-07,9.21875,9.34375,9.203125,9.28125,547600
1996-03-08,9.0,9.21875,8.84375,9.0625,625200
1996-03-11,8.875,9.0,8.84375,9.0,217200
1996-03-12,8.65625,8.90625,8.40625,8.90625,598000
1996-03-13,8.90625,8.9375,8.59375,8.6875,335600
1996-03-14,8.90625,8.96875,8.84375,8.90625,273600
1996-03-15,8.71875,8.96875,8.625,8.96875,371600
1996-03-18,8.96875,8.96875,8.75,8.75,257600
1996-03-19,8.90625,8.96875,8.75,8.96875,276800
1996-03-20,8.71875,8.90625,8.65625,8.875,236400
