Date,Close,High,Low,Open,Volume
1989-10-04,2.5,2.546875,2.4375,2.46875,20636000
1989-10-05,2.578125,2.625,2.5,2.515625,6453600
1989-10-06,2.546875,2.625,2.546875,2.59375,2755200
1989-10-09,2.546875,2.546875,2.5,2.546875,1084000
1989-10-10,2.53125,2.5625,2.5,2.5625,1493600
1989-10-11,2.515625,2.515625,2.46875,2.5,1260000
1989-10-12,2.53125,2.546875,2.515625,2.515625,602400
1989-10-13,2.484375,2.53125,2.46875,2.53125,3970400
1989-10-16,2.46875,2.46875,2.375,2.375,3924800
1989-10-17,2.5,2.5,2.4375,2.4375,1843200
1989-10-18,2.546875,2.5625,2.484375,2.5,1128000
1989-10-19,2.546875,2.546875,2.53125,2.53125,1040000
1989-10-20,2.53125,2.53125,2.515625,2.53125,237600
1989-10-23,2.546875,2.5625,2.546875,2.546875,87200
1989-10-24,2.5625,2.5625,2.53125,2.546875,689600
1989-10-25,2.546875,2.578125,2.515625,2.546875,608000
1989-10-26,2.546875,2.5625,2.546875,2.546875,228800
1989-10-27,2.515625,2.546875,2.5,2.546875,456000
1989-10-30,2.5,2.515625,2.5,2.515625,250400
1989-10-31,2.5,2.515625,2.5,2.5,424800
1989-11-01,2.5625,2.5625,2.515625,2.515625,715200
1989-11-02,2.640625,2.640625,2.59375,2.59375,130400
1989-11-03,2.734375,2.75,2.625,2.625,1118400
1989-11-06,2.578125,2.71875,2.578125,2.71875,264800
1989-11-07,2.6875,2.6875,2.5,2.546875,727200
1989-11-08,2.71875,2.71875,2.671875,2.6875,236800
1989-11-09,2.6875,2.71875,2.6875,2.71875,60800
1989-11-10,2.5625,2.6875,2.546875,2.6875,210400
1989-11-13,2.546875,2.5625,2.515625,2.5625,92800
1989-11-14,2.53125,2.578125,2.484375,2.578125,428000
1989-11-15,2.5625,2.578125,2.53125,2.546875,176000
1989-11-16,2.59375,2.59375,2.546875,2.546875,301600
1989-11-17,2.640625,2.640625,2.59375,2.59375,249600
1989-11-20,2.609375,2.65625,2.609375,2.65625,43200
1989-11-21,2.671875,2.671875,2.59375,2.59375,108800
1989-11-22,2.75,2.75,2.6875,2.6875,255200
1989-11-24,2.921875,2.953125,2.78125,2.78125,572000
1989-11-27,2.875,2.9375,2.859375,2.90625,253600
1989-11-28,2.828125,2.875,2.828125,2.875,560000
1989-11-29,2.796875,2.8125,2.78125,2.8125,60800
1989-11-30,2.890625,2.90625,2.8125,2.8125,712800
1989-12-01,2.90625,2.953125,2.890625,2.890625,356800
1989-12-04,2.984375,2.984375,2.875,2.9375,172000
1989-12-05,2.90625,2.984375,2.90625,2.953125,93600
1989-12-06,2.984375,3.0,2.90625,2.90625,668800
1989-12-07,2.953125,2.984375,2.921875,2.984375,215200
1989-12-08,2.953125,2.953125,2.921875,2.921875,122400
1989-12-11,3.0,3.03125,2.9375,2.96875,306400
1989-12-12,3.015625,3.03125,2.984375,3.015625,1119200
1989-12-13,3.15625,3.15625,2.984375,3.0,400000
1989-12-14,3.125,3.140625,3.109375,3.125,391200
1989-12-15,3.109375,3.140625,3.09375,3.140625,155200
1989-12-18,3.03125,3.125,3.03125,3.078125,224000
1989-12-19,3.0625,3.0625,3.03125,3.03125,215200
1989-12-20,3.078125,3.109375,3.046875,3.0625,166400
1989-12-21,3.109375,3.125,3.0625,3.109375,174400
1989-12-22,3.125,3.125,3.109375,3.125,173600
1989-12-26,3.078125,3.109375,3.078125,3.109375,97600
1989-12-27,3.03125,3.0625,3.03125,3.0625,144000
1989-12-28,3.03125,3.046875,3.03125,3.046875,11200
1989-12-29,3.15625,3.15625,3.015625,3.03125,219200
1990-01-02,3.046875,3.125,3.03125,3.125,194400
1990-01-03,3.03125,3.0625,3.03125,3.0625,361600
1990-01-04,2.953125,3.0625,2.953125,3.03125,166400
1990-01-05,2.90625,2.9375,2.859375,2.9375,100800
1990-01-08,2.859375,2.890625,2.84375,2.875,880800
1990-01-09,2.8125,2.84375,2.8125,2.828125,282400
1990-01-10,2.703125,2.765625,2.6875,2.765625,784000
1990-01-11,2.75,2.765625,2.703125,2.71875,347200
1990-01-12,2.71875,2.734375,2.6875,2.71875,159200
1990-01-15,2.71875,2.734375,2.71875,2.734375,25600
1990-01-16,2.703125,2.703125,2.625,2.6875,172800
1990-01-17,2.71875,2.8125,2.71875,2.71875,216000
1990-01-18,2.703125,2.71875,2.6875,2.6875,157600
1990-01-19,2.75,2.75,2.734375,2.734375,8800
1990-01-22,2.734375,2.75,2.71875,2.734375,56800
1990-01-23,2.75,2.765625,2.734375,2.765625,101600
1990-01-24,2.6875,2.734375,2.6875,2.734375,26400
1990-01-25,2.71875,2.71875,2.671875,2.6875,249600
1990-01-26,2.671875,2.71875,2.671875,2.703125,45600
1990-01-29,2.640625,2.6875,2.625,2.6875,444000
1990-01-30,2.65625,2.65625,2.578125,2.625,548000
1990-01-31,2.859375,2.859375,2.6875,2.6875,757600
1990-02-01,2.859375,2.875,2.84375,2.875,149600
1990-02-02,2.875,2.90625,2.875,2.875,720000
1990-02-05,2.875,2.90625,2.875,2.90625,163200
1990-02-06,2.890625,2.90625,2.84375,2.875,99200
1990-02-07,2.9375,2.9375,2.90625,2.90625,32800
1990-02-08,3.046875,3.125,2.96875,2.96875,346400
1990-02-09,3.0,3.125,2.96875,3.078125,179200
1990-02-12,2.90625,3.0,2.90625,3.0,28000
1990-02-13,2.953125,2.953125,2.9375,2.9375,26400
1990-02-14,2.9375,2.96875,2.9375,2.953125,32800
1990-02-15,2.953125,2.96875,2.953125,2.953125,152000
1990-02-16,2.96875,2.96875,2.96875,2.96875,32000
1990-02-20,2.953125,2.984375,2.953125,2.984375,23200
1990-02-21,2.90625,2.953125,2.90625,2.953125,553600
