Date,Close,High,Low,Open,Volume
1994-06-07,19.375,19.625,19.125,19.125,1595400
1994-06-08,19.25,19.375,19.125,19.375,162400
1994-06-09,19.25,19.25,19.125,19.25,76200
1994-06-10,19.125,19.25,19.0,19.25,110500
1994-06-13,19.125,19.125,19.0,19.125,51200
1994-06-14,19.25,19.25,19.125,19.125,28100
1994-06-15,19.25,19.5,19.125,19.25,96700
1994-06-16,19.125,19.25,19.125,19.25,19800
1994-06-17,19.0,19.25,19.0,19.125,56000
1994-06-20,19.125,19.125,19.0,19.0,43500
1994-06-21,19.0,19.125,19.0,19.125,34700
1994-06-22,19.0,19.125,19.0,19.0,29500
1994-06-23,18.75,19.125,18.75,19.0,67900
1994-06-24,18.375,18.625,18.125,18.625,72500
1994-06-27,17.875,18.375,17.25,18.375,70100
1994-06-28,17.625,18.125,17.5,17.875,64700
1994-06-29,17.875,18.125,17.75,17.75,25100
1994-06-30,17.625,18.0,17.625,17.875,26100
1994-07-01,17.75,17.75,17.375,17.625,25500
1994-07-05,17.875,17.875,17.75,17.75,2900
1994-07-06,17.625,17.875,17.5,17.875,33600
1994-07-07,17.625,17.875,17.625,17.625,30500
1994-07-08,17.625,17.875,17.625,17.625,30200
1994-07-11,17.75,17.875,17.5,17.625,29300
1994-07-12,17.75,17.875,17.625,17.75,11700
1994-07-13,17.75,17.875,17.625,17.75,37800
1994-07-14,17.875,17.875,17.625,17.75,24600
1994-07-15,18.0,18.0,17.875,17.875,15000
1994-07-18,18.0,18.0,17.875,18.0,22900
1994-07-19,18.5,18.5,18.0,18.0,25700
1994-07-20,18.25,18.5,18.125,18.5,15900
1994-07-21,18.25,18.25,18.0,18.25,16000
1994-07-22,18.375,18.5,18.25,18.25,18800
1994-07-25,18.5,18.5,18.25,18.375,20100
1994-07-26,18.5,18.625,18.375,18.5,14200
1994-07-27,18.25,18.375,18.125,18.375,10100
1994-07-28,17.875,18.125,17.875,18.125,9200
1994-07-29,17.75,17.875,17.625,17.875,71400
1994-08-01,17.625,17.75,17.625,17.75,23500
1994-08-02,18.125,18.125,17.625,17.625,36700
1994-08-03,18.375,18.375,17.875,18.125,16300
1994-08-04,18.0,18.375,17.875,18.375,19800
1994-08-05,18.0,18.0,17.875,18.0,9100
1994-08-08,18.0,18.125,17.875,18.0,20100
1994-08-09,17.75,17.875,17.75,17.875,26700
1994-08-10,18.125,18.125,17.75,17.75,52600
1994-08-11,17.875,18.25,17.875,18.125,15800
1994-08-12,18.0,18.125,17.875,17.875,6100
1994-08-15,17.875,18.0,17.875,18.0,14400
1994-08-16,18.125,18.125,17.875,17.875,16800
1994-08-17,18.125,18.125,18.0,18.125,14500
1994-08-18,18.0,18.0,17.875,18.0,11500
1994-08-19,18.0,18.125,17.875,18.0,10300
1994-08-22,18.125,18.125,18.0,18.0,6500
1994-08-23,18.125,18.125,18.0,18.125,9600
1994-08-24,18.125,18.125,18.0,18.125,18300
1994-08-25,17.75,18.125,17.75,18.125,12800
1994-08-26,18.0,18.0,17.75,17.75,13400
1994-08-29,18.125,18.125,17.875,18.0,11900
1994-08-30,18.25,18.25,18.0,18.125,39400
1994-08-31,18.375,18.5,18.25,18.25,23900
1994-09-01,18.5,18.5,18.25,18.375,31400
1994-09-02,19.0,19.0,18.375,18.5,27800
1994-09-06,18.75,18.875,18.625,18.875,8800
1994-09-07,18.75,18.875,18.625,18.75,10800
1994-09-08,18.625,18.875,18.625,18.75,7100
1994-09-09,18.625,18.75,18.25,18.625,17800
1994-09-12,18.75,18.75,18.625,18.625,9300
1994-09-13,18.5,18.75,18.5,18.75,11400
1994-09-14,18.375,18.625,18.375,18.5,7800
1994-09-15,18.625,18.625,18.25,18.375,8700
1994-09-16,18.25,18.625,18.25,18.625,10700
1994-09-19,18.5,18.5,18.125,18.25,7200
1994-09-20,18.625,18.75,18.5,18.5,11700
1994-09-21,18.375,18.625,18.125,18.625,12800
