Date,Close,High,Low,Open,Volume
1973-02-21,13.0625,13.1875,13.0,13.0,3000
1973-02-22,12.9375,13.0,12.875,13.0,1200
1973-02-23,12.625,12.875,12.625,12.875,5000
1973-02-26,12.8125,12.875,12.75,12.75,3000
1973-02-27,12.8125,12.8125,12.6875,12.8125,2800
1973-02-28,12.625,12.625,12.5,12.625,2400
1973-03-01,12.5625,12.625,12.5625,12.625,1200
1973-03-02,12.3125,12.5,12.3125,12.5,3200
1973-03-05,12.375,12.4375,12.25,12.3125,8600
1973-03-06,12.375,12.375,12.25,12.375,1800
1973-03-07,12.5,12.5,12.375,12.375,9800
1973-03-08,12.5625,12.5625,12.5,12.5,1400
1973-03-09,12.375,12.5625,12.375,12.5625,2200
1973-03-12,12.5,12.5625,12.375,12.375,4200
1973-03-13,12.375,12.5,12.375,12.5,5800
1973-03-14,12.3125,12.5,12.3125,12.375,1400
1973-03-15,12.3125,12.3125,12.3125,12.3125,600
1973-03-16,12.1875,12.3125,12.1875,12.3125,2800
1973-03-19,12.5,12.5625,12.3125,12.3125,15200
1973-03-20,12.5,12.625,12.4375,12.5,8000
1973-03-21,12.4375,12.625,12.4375,12.5,14000
1973-03-22,12.375,12.5,12.375,12.4375,5200
1973-03-23,12.375,12.375,12.375,12.375,1200
1973-03-26,12.375,12.375,12.375,12.375,1800
1973-03-27,12.4375,12.4375,12.3125,12.375,4800
1973-03-28,12.375,12.375,12.25,12.375,12000
1973-03-29,12.3125,12.5,12.25,12.375,4200
1973-03-30,12.3125,12.3125,12.3125,12.3125,0
1973-04-02,12.0625,12.375,12.0,12.3125,4400
1973-04-03,12.3125,12.3125,12.1875,12.1875,1400
1973-04-04,12.375,12.5,12.375,12.375,5000
1973-04-05,12.375,12.375,12.3125,12.375,1400
1973-04-06,12.3125,12.375,12.3125,12.375,4800
1973-04-09,12.125,12.25,12.125,12.25,3800
1973-04-10,12.3125,12.375,12.25,12.25,2400
1973-04-11,12.4375,12.4375,12.25,12.3125,7200
1973-04-12,12.3125,12.5,12.3125,12.4375,1800
1973-04-13,12.3125,12.5,12.3125,12.3125,4200
1973-04-16,12.5625,12.5625,12.4375,12.4375,1600
1973-04-17,12.5,12.5625,12.375,12.5625,2800
1973-04-18,12.4375,12.4375,12.375,12.4375,2400
1973-04-19,12.5625,12.5625,12.5,12.5,1600
1973-04-23,12.5,12.5625,12.0,12.5625,4600
1973-04-24,12.375,12.5625,12.375,12.5,1200
1973-04-25,12.1875,12.375,12.1875,12.375,30600
1973-04-26,12.3125,12.3125,12.25,12.25,3000
1973-04-27,12.375,12.375,12.1875,12.3125,4200
1973-04-30,12.375,12.4375,12.375,12.375,4600
1973-05-01,12.375,12.375,12.25,12.375,600
1973-05-02,12.25,12.3125,12.25,12.3125,11600
1973-05-03,12.4375,12.4375,12.3125,12.3125,2400
1973-05-04,12.3125,12.4375,12.3125,12.4375,2800
1973-05-07,12.375,12.375,12.125,12.3125,3600
1973-05-08,12.4375,12.4375,12.3125,12.375,2200
1973-05-09,12.375,12.5,12.1875,12.4375,16600
1973-05-10,12.25,12.4375,12.25,12.375,5800
1973-05-11,12.25,12.25,12.125,12.25,6400
1973-05-14,12.375,12.375,12.25,12.25,600
1973-05-15,12.4375,12.4375,12.25,12.375,3000
1973-05-16,12.375,12.375,12.1875,12.375,4200
1973-05-17,12.375,12.375,12.375,12.375,200
1973-05-18,12.375,12.375,12.125,12.375,6400
1973-05-21,12.125,12.25,12.0,12.25,7400
1973-05-22,12.0625,12.25,12.0625,12.125,600
1973-05-23,11.9375,12.3125,11.9375,12.0625,8400
1973-05-24,12.0,12.0625,11.9375,11.9375,2400
1973-05-25,12.0625,12.25,12.0625,12.0625,6600
1973-05-29,12.0625,12.0625,12.0625,12.0625,0
1973-05-30,12.0,12.125,12.0,12.0625,5400
1973-05-31,12.125,12.125,12.0,12.0,1800
1973-06-01,12.0625,12.0625,12.0625,12.0625,200
1973-06-04,12.0,12.0,11.875,12.0,1200
