Date,Close,High,Low,Open,Volume
1996-03-18,60.25,60.25,60.0,60.0,16300
1996-03-19,60.0,60.0,60.0,60.0,2500
1996-03-20,60.0,60.0,60.0,60.0,4350
1996-03-21,61.5,61.5,60.5,60.5,18300
1996-03-22,61.25,61.5,61.0,61.0,19825
1996-03-25,61.75,62.0,61.25,62.0,65275
1996-03-26,61.75,62.0,61.5,61.75,94075
1996-03-27,62.25,62.5,62.0,62.25,24000
1996-03-28,62.25,62.5,62.0,62.0,102575
1996-03-29,62.75,63.0,62.5,62.5,254525
1996-04-01,62.75,63.0,62.75,63.0,80875
1996-04-02,63.25,63.25,63.0,63.0,6100
1996-04-03,62.75,63.0,62.5,63.0,25775
1996-04-04,63.0,63.0,62.75,62.75,25450
1996-04-08,62.0,62.5,62.0,62.5,15525
1996-04-09,63.0,63.0,62.5,62.75,276600
1996-04-10,62.5,63.0,62.5,62.75,71350
1996-04-11,62.5,62.75,62.5,62.5,1300
1996-04-12,62.75,62.75,62.5,62.5,450
1996-04-15,63.0,63.0,62.75,62.75,131250
1996-04-16,63.0,63.25,62.75,62.75,60900
1996-04-17,62.75,62.75,62.5,62.75,18300
1996-04-18,63.0,63.25,62.75,63.0,21350
1996-04-19,63.75,64.0,63.5,63.5,9750
1996-04-22,65.75,65.75,64.5,64.5,35500
1996-04-23,65.25,65.25,65.0,65.0,11975
1996-04-24,66.0,66.0,65.25,65.25,260600
1996-04-25,65.75,66.0,65.5,65.5,6550
1996-04-26,66.0,66.25,65.5,66.25,7600
1996-04-29,65.5,66.25,65.5,66.0,10700
1996-04-30,65.75,65.75,65.5,65.75,10425
1996-05-01,65.75,65.75,65.0,65.0,7175
1996-05-02,65.0,65.25,64.5,64.5,15300
1996-05-03,65.0,65.0,64.75,65.0,13475
1996-05-06,64.75,65.25,64.5,65.0,44525
1996-05-07,64.75,64.75,64.25,64.5,51075
1996-05-08,65.0,65.0,64.0,65.0,5100
1996-05-09,64.75,64.75,64.5,64.5,19275
