Date,Close,High,Low,Open,Volume
1997-11-10,25.1875,25.75,25.125,25.75,947200
1997-11-11,25.3125,25.4375,25.125,25.1875,514700
1997-11-12,25.625,25.875,25.125,25.25,344700
1997-11-13,25.875,25.9375,25.5625,25.5625,1007700
1997-11-14,26.0,26.0,25.6875,25.875,1394900
1997-11-17,26.125,26.25,25.875,25.9375,706600
1997-11-18,26.0625,26.375,25.9375,26.0,625800
1997-11-19,26.25,26.25,26.0,26.0,342400
1997-11-20,26.5,26.625,26.1875,26.1875,558800
1997-11-21,26.875,26.875,26.5,26.75,640800
1997-11-24,26.875,27.0,26.5,26.625,330800
1997-11-25,27.125,27.25,26.75,26.8125,1021000
1997-11-26,26.875,27.1875,26.875,27.1875,488700
1997-11-28,27.0,27.0,26.875,27.0,244200
1997-12-01,27.375,27.375,26.9375,27.0,836200
1997-12-02,27.125,27.375,27.0625,27.25,437800
1997-12-03,27.125,27.25,26.875,27.25,338400
1997-12-04,27.375,27.6875,27.0625,27.25,1405800
1997-12-05,27.3125,27.875,27.125,27.125,362500
1997-12-08,27.3125,27.4375,27.125,27.375,312900
1997-12-09,27.1875,27.3125,26.9375,27.1875,365300
1997-12-10,27.3125,27.5,27.1875,27.4375,354100
1997-12-11,27.125,27.3125,26.9375,27.25,199600
1997-12-12,27.1875,27.3125,27.0,27.25,680500
1997-12-15,27.5,27.5625,27.1875,27.1875,489500
1997-12-16,27.4375,27.5625,27.375,27.5,310200
1997-12-17,27.4375,27.5625,27.3125,27.5625,386100
1997-12-18,27.8125,27.8125,27.375,27.4375,1640900
1997-12-19,28.3125,28.3125,27.6875,27.8125,2164100
1997-12-22,28.625,28.8125,28.25,28.3125,851400
1997-12-23,28.5,28.75,28.3125,28.4375,493200
1997-12-24,28.625,28.6875,28.4375,28.5625,92200
1997-12-26,28.25,28.625,28.0625,28.5625,215300
1997-12-29,28.5625,28.75,28.125,28.25,280800
1997-12-30,28.8125,28.8125,28.5,28.625,268600
1997-12-31,29.0,29.0,28.5625,28.625,482900
1998-01-02,28.875,28.9375,28.5,28.75,317200
1998-01-05,28.375,28.90625,28.1875,28.6875,734200
1998-01-06,28.5625,28.625,28.25,28.25,1507800
1998-01-07,28.4375,28.4375,28.0625,28.4375,724000
1998-01-08,28.375,28.4375,28.0625,28.3125,461600
1998-01-09,28.3125,28.5625,28.125,28.3125,863900
1998-01-12,28.75,28.75,27.875,27.875,679200
1998-01-13,28.4375,28.75,28.375,28.75,1065600
1998-01-14,28.4375,28.4375,28.125,28.4375,348700
1998-01-15,28.25,28.375,28.25,28.3125,638200
1998-01-16,28.375,28.5,28.25,28.5,488700
1998-01-20,28.5,28.5,28.0,28.375,344700
1998-01-21,28.5,28.75,28.25,28.5,464300
1998-01-22,28.5,28.5,28.25,28.4375,421800
1998-01-23,28.3125,28.5,28.1875,28.4375,320800
1998-01-26,28.625,28.625,28.25,28.25,1019500
1998-01-27,28.625,28.875,28.5625,28.625,415700
1998-01-28,28.9375,29.0,28.5,28.5625,325800
1998-01-29,29.4375,29.5,28.75,28.9375,1813100
1998-01-30,29.0,29.5,29.0,29.375,283500
1998-02-02,29.0,29.625,28.875,29.5,1120100
1998-02-03,29.4375,29.4375,28.75,28.75,2424000
1998-02-04,29.0625,29.25,28.875,28.875,544800
1998-02-05,29.25,29.4375,28.9375,29.0625,854100
1998-02-06,29.5625,29.875,29.25,29.25,415100
1998-02-09,29.375,29.5625,29.3125,29.5,553000
1998-02-10,29.25,29.4375,29.125,29.25,329000
1998-02-11,29.25,29.3125,29.125,29.1875,407900
1998-02-12,29.375,29.4375,29.0,29.1875,436400
1998-02-13,29.625,29.6875,29.1875,29.375,241300
1998-02-17,29.25,29.8125,29.0625,29.625,336100
1998-02-18,29.1875,29.4375,29.1875,29.25,320700
1998-02-19,29.25,29.25,29.0,29.1875,510000
1998-02-20,29.0625,29.3125,28.875,29.3125,392600
1998-02-23,29.0,29.125,28.75,29.125,553700
1998-02-24,28.75,29.0,28.5,28.9375,367100
1998-02-25,29.0,29.125,28.6875,29.0,268300
1998-02-26,28.8125,29.0,28.625,28.875,396700
1998-02-27,28.9375,28.9375,28.625,28.6875,452600
1998-03-02,28.875,29.125,28.8125,28.9375,345700
1998-03-03,29.0625,29.0625,28.6875,28.875,368100
1998-03-04,29.3125,29.3125,28.8125,28.9375,281500
1998-03-05,29.0625,29.25,28.9375,29.1875,389700
1998-03-06,29.6875,29.6875,29.0625,29.0625,380900
1998-03-09,29.8125,29.875,29.375,29.5,419800
1998-03-10,30.25,30.3125,29.75,29.8125,308900
1998-03-11,29.9375,30.3125,29.875,30.25,279000
1998-03-12,30.0625,30.1875,29.875,29.9375,284400
1998-03-13,29.9375,30.0625,29.75,30.0625,669000
1998-03-16,30.3125,30.3125,29.6875,29.9375,275300
1998-03-17,30.625,30.6875,30.1875,30.3125,386300
1998-03-18,30.4375,30.5625,30.25,30.5625,247600
1998-03-19,30.5,30.5,30.0625,30.3125,455000
1998-03-20,30.8125,31.0,30.3125,30.5,528200
1998-03-23,30.75,30.9375,30.625,30.6875,261700
1998-03-24,30.625,30.875,30.4375,30.875,671300
1998-03-25,31.0,31.0625,30.5,30.875,326700
1998-03-26,30.875,31.1875,30.6875,31.0625,785200
1998-03-27,30.5,30.9375,30.5,30.9375,364100
1998-03-30,30.3125,30.625,30.25,30.375,359500
1998-03-31,30.8125,31.625,30.375,30.375,722600
1998-04-01,30.9375,31.0625,30.625,30.9375,214900
1998-04-02,31.25,31.25,30.875,30.9375,180500
1998-04-03,31.1875,31.4375,31.0,31.125,1067300
1998-04-06,30.9375,31.5625,30.8125,31.375,462900
1998-04-07,30.75,30.9375,30.625,30.875,397400
1998-04-08,30.5625,31.0625,30.375,30.625,309800
1998-04-09,31.0,31.0,30.4375,30.5,459800
1998-04-13,30.8125,31.1875,30.625,31.1875,326800
1998-04-14,31.25,31.375,30.8125,30.875,528400
1998-04-15,31.8125,31.875,31.125,31.25,471500
1998-04-16,31.1875,31.625,31.0625,31.625,426300
1998-04-17,31.5,31.5,31.0,31.25,214900
1998-04-20,30.9375,31.3125,30.625,31.25,220100
1998-04-21,30.875,30.9375,30.3125,30.6875,400900
1998-04-22,30.75,30.9375,30.6875,30.75,204000
1998-04-23,30.0625,30.625,29.9375,30.5,688400
1998-04-24,30.0,30.4375,29.875,30.0,233800
1998-04-27,29.5625,29.859375,29.3125,29.75,431200
1998-04-28,29.6875,29.75,29.4375,29.625,353800
1998-04-29,29.625,29.75,29.4375,29.625,249300
1998-04-30,30.25,30.3125,29.8125,29.875,393000
1998-05-01,30.4375,30.4375,29.875,30.375,452500
