Date,Close,High,Low,Open,Volume
1997-06-27,16.0,16.125,15.75,16.0,2807400
1997-06-30,15.625,16.0,15.5625,16.0,498600
1997-07-01,16.3125,16.5,15.5,15.75,530900
1997-07-02,15.875,16.4375,15.625,16.4375,327200
1997-07-03,16.375,16.5,15.875,16.0,131800
1997-07-07,17.0,17.0,16.125,16.5,45500
1997-07-08,17.0,17.375,17.0,17.125,167700
1997-07-09,16.75,17.0625,16.625,17.0,96300
1997-07-10,16.75,16.75,16.5,16.5625,79900
1997-07-11,16.75,17.125,16.625,16.75,145000
1997-07-14,17.5625,17.625,16.875,17.0,124700
1997-07-15,17.375,17.75,17.0625,17.5,53100
1997-07-16,17.875,17.875,17.4375,17.4375,144200
1997-07-17,18.0,18.25,17.9375,17.9375,185800
1997-07-18,18.0,18.3125,17.625,18.25,179700
1997-07-21,17.625,18.0,17.5,18.0,79100
1997-07-22,17.625,17.875,17.625,17.625,64700
1997-07-23,17.875,18.0,17.375,18.0,92400
1997-07-24,17.9375,18.0625,17.8125,17.875,46300
1997-07-25,18.25,18.625,18.125,18.125,150600
1997-07-28,17.75,18.25,17.625,18.125,46800
1997-07-29,17.625,18.0,17.625,17.8125,68000
1997-07-30,18.0,18.125,17.5625,17.5625,76200
1997-07-31,17.875,18.125,17.625,18.125,71000
1997-08-01,18.125,18.125,17.5,17.8125,66800
1997-08-04,18.0,18.0625,17.875,18.0,77200
1997-08-05,19.625,19.625,18.0625,18.125,76800
1997-08-06,19.4375,20.0,19.1875,19.75,48700
1997-08-07,19.6875,19.6875,19.0,19.5,222200
1997-08-08,19.0625,19.5625,18.9375,19.5625,91600
1997-08-11,18.875,19.125,18.5,19.125,35400
1997-08-12,18.875,19.5,18.75,19.0,50100
1997-08-13,18.0,18.875,17.75,18.75,51600
1997-08-14,17.75,18.25,17.0,17.9375,71200
1997-08-15,17.5,17.875,17.375,17.8125,39000
1997-08-18,17.875,17.875,17.25,17.375,23100
1997-08-19,18.3125,18.3125,17.625,18.125,16400
1997-08-20,18.125,18.4375,18.125,18.1875,16000
1997-08-21,18.6875,18.875,18.1875,18.1875,43000
1997-08-22,19.0,19.0,18.375,18.5625,14300
1997-08-25,18.3125,18.9375,18.0,18.875,65300
1997-08-26,17.625,18.3125,17.5,18.3125,19000
1997-08-27,17.625,17.6875,17.375,17.6875,20600
1997-08-28,17.75,17.9375,17.5,17.625,39700
1997-08-29,17.8125,17.8125,17.6875,17.75,41300
1997-09-02,18.125,18.25,17.875,17.9375,46700
1997-09-03,18.5,18.5,18.0,18.25,63100
1997-09-04,19.375,19.875,18.625,18.625,91100
1997-09-05,20.0,20.0,19.375,19.5,46300
1997-09-08,20.0,20.0,19.75,19.9375,33900
1997-09-09,19.9375,20.0,19.5,20.0,61400
1997-09-10,20.0,20.0625,19.75,19.9375,57100
1997-09-11,19.875,20.0,19.8125,20.0,2200
1997-09-12,20.0,20.1875,19.875,20.0,48100
1997-09-15,19.875,20.0625,19.875,20.0625,10000
1997-09-16,20.0625,20.125,19.875,19.875,4600
1997-09-17,20.5,20.5625,19.875,20.125,24400
1997-09-18,20.6875,20.875,20.5,20.5,57600
1997-09-19,20.5625,20.8125,20.5,20.625,14700
1997-09-22,20.875,21.0,20.5,20.5,27300
1997-09-23,20.9375,21.4375,20.875,21.0,156600
1997-09-24,21.3125,21.5625,21.125,21.3125,115700
1997-09-25,20.375,21.375,20.375,21.3125,38700
1997-09-26,19.1875,20.25,19.1875,20.25,28200
1997-09-29,18.4375,19.3125,18.0625,19.25,127900
1997-09-30,19.125,19.25,18.5,18.5,300000
1997-10-01,18.8125,19.3125,18.5,19.3125,43200
1997-10-02,18.375,18.9375,18.375,18.9375,67600
1997-10-03,18.8125,18.9375,18.5,18.5,59600
1997-10-06,18.8125,18.9375,18.625,18.9375,77400
1997-10-07,18.625,19.0,18.625,18.75,58300
1997-10-08,19.0625,19.125,18.6875,18.75,29600
1997-10-09,19.625,20.0625,19.0,19.125,47200
1997-10-10,18.75,19.5,18.75,19.4375,55700
1997-10-13,18.6875,19.0,18.625,18.8125,109100
1997-10-14,18.3125,18.75,18.125,18.6875,33900
1997-10-15,18.4375,18.75,18.0,18.25,168900
1997-10-16,18.125,18.75,18.0,18.5,24500
1997-10-17,17.8125,18.0,17.75,18.0,22100
1997-10-20,18.5625,18.625,17.9375,17.9375,29400
1997-10-21,17.75,18.625,17.375,18.4375,57800
1997-10-22,17.75,18.0625,17.5625,17.875,51800
1997-10-23,17.75,17.75,17.5,17.625,15100
1997-10-24,17.0625,18.0,17.0,17.875,64000
1997-10-27,15.875,16.9375,15.5,16.9375,58500
1997-10-28,16.25,16.25,15.0,15.25,122200
1997-10-29,15.9375,16.25,15.75,16.25,157600
1997-10-30,16.75,16.8125,15.875,15.875,58000
1997-10-31,17.0,17.0,16.5625,17.0,119600
1997-11-03,17.0625,17.125,16.875,16.875,43100
1997-11-04,16.9375,17.0,16.875,17.0,5000
1997-11-05,16.75,16.875,16.625,16.8125,13400
1997-11-06,16.5,16.9375,16.5,16.875,8700
1997-11-07,16.375,17.125,16.125,16.125,58700
1997-11-10,16.625,16.6875,16.5,16.5,11100
1997-11-11,16.5,16.75,16.375,16.5,25900
1997-11-12,15.75,16.375,15.75,16.375,17300
1997-11-13,16.0,16.0,15.625,15.9375,250100
1997-11-14,15.5,16.0625,15.5,16.0625,125400
1997-11-17,15.5625,15.6875,15.5,15.625,68400
1997-11-18,15.3125,15.375,15.0,15.0,52000
1997-11-19,16.375,16.375,15.1875,15.1875,61400
1997-11-20,16.75,16.875,16.3125,16.625,47800
1997-11-21,17.3125,17.3125,16.875,16.875,26300
1997-11-24,16.9375,17.4375,16.875,17.4375,28400
1997-11-25,16.9375,17.125,16.8125,16.8125,43700
1997-11-26,16.9375,17.0625,16.9375,17.0,36900
1997-11-28,17.0,17.25,17.0,17.0625,21000
1997-12-01,17.0,17.125,17.0,17.0625,10100
1997-12-02,16.625,17.0,16.625,16.875,49900
1997-12-03,16.4375,16.6875,16.3125,16.6875,9900
1997-12-04,16.5,16.5625,16.375,16.4375,23900
1997-12-05,17.25,17.25,16.4375,16.5,47600
1997-12-08,16.9375,17.25,16.75,17.25,53500
1997-12-09,17.125,17.125,16.8125,16.875,40100
1997-12-10,17.625,18.0,17.0,17.125,168100
1997-12-11,17.8125,17.875,17.625,17.625,71100
1997-12-12,17.75,18.0,17.75,17.875,3400
1997-12-15,17.875,17.875,17.5625,17.625,27400
1997-12-16,18.125,18.5,17.75,18.0,43200
1997-12-17,19.0,19.125,18.0625,18.0625,107100
1997-12-18,19.0625,19.25,18.875,18.875,46600
1997-12-19,19.25,19.25,18.875,19.0,30600
1997-12-22,19.0,19.25,19.0,19.25,7400
1997-12-23,19.375,19.375,18.9375,19.0,19000
1997-12-24,19.0625,19.5,19.0625,19.5,4100
1997-12-26,19.0625,19.1875,19.0625,19.0625,1400
1997-12-29,19.25,19.375,19.0,19.0625,10300
1997-12-30,19.5,19.5,19.1875,19.25,29000
1997-12-31,19.75,20.0,19.5,19.5,134200
1998-01-02,19.1875,19.6875,19.125,19.625,15600
1998-01-05,19.0,19.09375,18.625,19.0,240300
1998-01-06,19.0625,19.0625,18.75,19.0625,15200
1998-01-07,18.75,19.125,18.75,19.0,9300
1998-01-08,18.25,18.625,18.25,18.625,32000
1998-01-09,18.25,18.25,18.125,18.25,9200
1998-01-12,18.1875,18.25,18.125,18.125,9100
1998-01-13,18.75,18.75,18.1875,18.1875,38300
1998-01-14,18.875,19.125,18.75,18.75,27400
1998-01-15,18.875,19.125,18.875,18.875,17900
1998-01-16,18.75,19.0,18.75,18.875,20300
1998-01-20,19.0,19.0,18.75,18.875,12700
1998-01-21,18.875,19.25,18.875,18.875,43700
1998-01-22,18.875,19.0,18.75,18.8125,20800
1998-01-23,18.8125,18.8125,18.8125,18.8125,12900
1998-01-26,18.875,19.0,18.8125,18.8125,83300
1998-01-27,18.9375,18.9375,18.75,18.8125,106500
1998-01-28,19.0625,19.0625,18.875,18.9375,15300
1998-01-29,19.0625,19.125,19.0,19.0625,22400
1998-01-30,19.3125,19.3125,19.0,19.125,49000
1998-02-02,19.6875,19.75,19.1875,19.1875,15700
1998-02-03,19.625,19.625,19.4375,19.625,57900
1998-02-04,19.5625,19.75,19.375,19.5,38100
1998-02-05,19.5,19.625,19.25,19.625,10900
1998-02-06,19.3125,19.5,19.125,19.5,14600
1998-02-09,19.25,19.625,19.25,19.4375,11100
1998-02-10,19.5,19.75,19.1875,19.3125,17300
1998-02-11,18.875,19.5,18.875,19.5,17300
1998-02-12,18.875,19.125,18.8125,19.0,16600
1998-02-13,19.0,19.125,18.8125,19.0,18000
1998-02-17,19.375,19.375,19.125,19.125,23600
1998-02-18,20.0625,20.125,19.5,19.5,59900
1998-02-19,20.0625,20.25,20.0625,20.125,30700
1998-02-20,20.125,20.125,20.0,20.0,19600
1998-02-23,20.0,20.25,19.9375,20.0,21700
1998-02-24,19.6875,19.875,19.625,19.875,16800
