Date,Close,High,Low,Open,Volume
1995-12-15,24.875,24.875,24.0,24.0,1283000
1995-12-18,24.4375,25.0625,24.25,24.875,2710200
1995-12-19,23.9375,24.4375,23.75,24.4375,1096600
1995-12-20,24.5625,24.6875,23.9375,23.9375,3904000
1995-12-21,24.25,24.6875,24.0625,24.5,3891400
1995-12-22,24.375,24.5625,24.25,24.375,2170200
1995-12-26,24.3125,24.375,24.1875,24.375,935600
1995-12-27,24.0625,24.3125,24.0625,24.25,1391400
1995-12-28,24.0625,24.25,23.875,23.9375,1983000
1995-12-29,24.1875,24.1875,23.6875,23.9375,1028000
1996-01-02,24.25,24.375,23.875,24.0625,1641200
1996-01-03,24.1875,24.375,24.125,24.1875,2544000
1996-01-04,24.4375,24.5,24.0,24.0,2348200
1996-01-05,24.375,24.5,24.1875,24.4375,3229000
1996-01-08,24.9375,24.9375,24.5,24.625,1086400
1996-01-09,24.8203125,24.9375,24.625,24.9375,4461400
1996-01-10,24.125,24.6875,23.9375,24.5625,1805000
1996-01-11,24.375,24.4375,24.125,24.375,2521600
1996-01-12,24.8125,24.875,24.3125,24.875,1359200
1996-01-15,25.25,25.25,24.875,24.9375,945600
1996-01-16,25.375,25.6875,25.3125,25.6875,1892000
1996-01-17,25.0625,25.3125,25.0625,25.125,1104800
1996-01-18,25.125,25.25,24.6875,24.9375,1987200
1996-01-19,25.0,25.125,24.875,24.9375,1019200
1996-01-22,25.0,25.0,24.75,24.875,1224000
1996-01-23,25.4375,25.5,25.1875,25.25,2034400
1996-01-24,25.25,25.4375,25.1875,25.375,2159600
1996-01-25,24.875,25.4375,24.75,25.125,2170000
1996-01-26,25.1875,25.1875,24.5625,24.75,1425600
1996-01-29,25.0,25.125,24.8125,25.0,412800
1996-01-30,24.8125,25.0,24.6875,24.875,635200
1996-01-31,25.0625,25.0625,24.625,24.75,1502800
1996-02-01,25.1875,25.3125,25.125,25.3125,1231400
1996-02-02,25.0,25.0625,24.6875,25.0625,917200
1996-02-05,25.0,25.0625,24.75,24.75,702000
1996-02-06,25.125,25.1875,24.9375,25.0,726800
1996-02-07,25.1875,25.25,24.9375,25.125,1627800
1996-02-08,25.625,25.625,25.125,25.1875,1513200
1996-02-09,25.375,25.8125,25.3125,25.625,1344800
1996-02-12,25.75,25.8125,25.375,25.375,904400
1996-02-13,25.9375,26.125,25.4375,25.4375,1055600
1996-02-14,26.0,26.1875,25.8125,25.8125,717000
1996-02-15,25.875,26.125,25.8125,25.8125,691800
1996-02-16,25.4375,25.8125,25.3125,25.75,1504200
1996-02-20,25.4375,25.625,24.9375,25.0,1628200
1996-02-21,25.6875,26.0625,25.25,25.25,997800
1996-02-22,26.1875,26.25,25.5,25.5,1141000
1996-02-23,26.375,26.5625,26.1875,26.25,1193800
1996-02-26,26.5,26.5,26.125,26.375,748200
1996-02-27,26.3125,26.4375,26.1875,26.4375,782200
1996-02-28,25.875,26.4375,25.875,26.125,732000
1996-02-29,25.75,26.25,25.6875,25.75,1416000
1996-03-01,26.1875,26.375,25.625,25.75,714600
1996-03-04,26.375,26.875,26.25,26.5625,1050600
1996-03-05,26.25,26.4375,26.0,26.375,1455600
1996-03-06,26.25,26.3125,26.0,26.25,613400
1996-03-07,26.0625,26.25,26.0,26.1875,1108000
1996-03-08,25.125,25.5,24.5,25.125,1946400
1996-03-11,24.75,25.1875,24.4375,24.9375,850600
1996-03-12,24.25,24.5,23.9375,24.375,1167800
1996-03-13,24.25,24.4375,24.1875,24.1875,925400
1996-03-14,24.25,24.5,24.1875,24.1875,1018600
1996-03-15,23.5625,24.3125,23.4375,24.25,1836000
1996-03-18,24.3125,24.375,23.8125,23.8125,1970200
1996-03-19,25.0,25.125,24.4375,24.4375,1821600
1996-03-20,25.125,25.25,24.875,25.0,976800
1996-03-21,25.1875,25.25,24.9375,25.125,842000
1996-03-22,25.0,25.375,25.0,25.3125,622800
1996-03-25,25.0625,25.5,24.9375,25.0625,839400
1996-03-26,25.0,25.125,24.875,24.875,997600
1996-03-27,24.9375,25.0625,24.8125,24.8125,788600
1996-03-28,24.3125,24.875,24.3125,24.8125,899600
1996-03-29,24.5,24.5625,24.0,24.3125,1288000
1996-04-01,24.75,24.75,24.5625,24.6875,643600
1996-04-02,24.625,24.8125,24.375,24.8125,1291000
1996-04-03,24.5625,24.75,24.4375,24.625,894000
1996-04-04,24.4375,24.4375,24.125,24.4375,633800
1996-04-08,24.0625,24.25,23.8125,23.875,635600
1996-04-09,23.5625,24.125,23.25,24.0625,1143800
1996-04-10,23.125,23.5,23.0625,23.5,727200
1996-04-11,22.75,23.0625,22.25,23.0625,1861000
1996-04-12,23.25,23.25,22.75,22.8125,1644200
1996-04-15,23.375,23.5625,23.25,23.25,502000
1996-04-16,22.8125,23.375,22.8125,23.375,999200
1996-04-17,23.375,23.5625,22.75,22.8125,1801800
1996-04-18,24.0625,24.25,23.3125,23.3125,1567800
1996-04-19,24.0,24.3125,23.875,23.9375,1171600
1996-04-22,24.125,24.1875,24.0,24.0,831600
1996-04-23,23.75,24.0625,23.625,24.0,614200
1996-04-24,23.6875,23.875,23.625,23.8125,796200
1996-04-25,23.4375,23.5625,23.3125,23.5625,1177400
1996-04-26,23.25,23.5,23.1875,23.4375,355400
1996-04-29,23.5625,23.6875,23.0625,23.125,1096200
1996-04-30,24.1875,24.625,23.9375,24.0,1286400
1996-05-01,24.25,24.4375,24.125,24.375,320000
1996-05-02,24.0,24.375,23.9375,24.375,593800
1996-05-03,23.75,24.125,23.75,24.0,848400
1996-05-06,23.625,23.9375,23.5625,23.75,720400
1996-05-07,23.25,23.6875,23.25,23.6875,768200
1996-05-08,23.3125,23.625,23.125,23.125,898200
1996-05-09,23.375,23.5,23.125,23.375,676600
1996-05-10,23.6875,23.6875,23.4375,23.5,1130800
1996-05-13,24.5,24.5,23.5625,23.625,427800
1996-05-14,24.25,24.5,24.0,24.4375,844200
1996-05-15,24.6875,24.875,24.1875,24.25,574400
1996-05-16,24.625,24.875,24.5625,24.6875,376800
1996-05-17,25.25,25.25,24.75,24.75,777200
1996-05-20,25.1875,25.6875,25.125,25.375,395400
1996-05-21,25.625,25.6875,25.125,25.125,317200
1996-05-22,25.8125,25.8125,25.1875,25.5625,1730800
1996-05-23,25.8125,25.875,25.5625,25.8125,1167400
1996-05-24,25.9375,26.0,25.75,25.8125,428200
1996-05-28,25.875,26.0,25.75,25.875,488800
1996-05-29,25.75,25.8125,25.5625,25.5625,1513000
1996-05-30,25.875,26.0,25.75,25.75,472400
1996-05-31,25.875,25.9375,25.75,25.9375,557400
1996-06-03,25.875,25.9375,25.75,25.8125,437800
1996-06-04,25.8125,25.875,25.75,25.875,323800
1996-06-05,26.4375,26.5,25.75,25.75,855400
1996-06-06,26.5,26.6875,26.375,26.5625,378000
1996-06-07,26.3125,26.3125,25.9375,26.125,1567200
1996-06-10,26.5625,26.8125,26.25,26.4375,337600
1996-06-11,26.3125,26.3125,26.0625,26.1875,445200
1996-06-12,26.5,26.5625,26.125,26.375,556800
1996-06-13,26.5,26.75,26.4375,26.4375,364600
1996-06-14,26.5625,26.6875,26.5,26.5,409400
1996-06-17,26.5625,26.6875,26.5,26.625,507000
1996-06-18,26.6875,27.1875,26.6875,26.75,1038600
1996-06-19,26.5625,26.75,26.5,26.6875,341800
1996-06-20,26.625,26.75,26.5,26.625,243800
1996-06-21,26.6875,26.6875,26.125,26.25,859600
1996-06-24,27.0625,27.0625,26.625,26.75,208600
1996-06-25,26.8125,27.125,26.5,27.125,547200
1996-06-26,26.625,26.75,26.5625,26.5625,551200
1996-06-27,26.5,26.5625,26.4375,26.5,642200
1996-06-28,26.625,26.625,26.4375,26.5,367000
1996-07-01,27.3125,27.375,26.75,26.8125,649000
1996-07-02,27.375,27.375,27.0,27.1875,270600
1996-07-03,27.125,27.375,27.0625,27.25,490400
1996-07-05,26.5,27.0625,26.3125,26.9375,329000
1996-07-08,26.4375,26.875,26.375,26.5625,1235800
1996-07-09,26.1875,26.5625,26.1875,26.4375,286400
1996-07-10,26.5,26.625,26.1875,26.1875,449400
1996-07-11,26.0625,26.5625,25.8125,26.5625,423600
1996-07-12,26.125,26.4375,25.75,25.9375,792600
1996-07-15,25.5,26.0625,25.3125,26.0625,924400
1996-07-16,25.875,25.9375,25.3125,25.5625,640800
1996-07-17,26.75,26.75,25.875,26.125,1165800
1996-07-18,26.8125,26.875,26.5,26.75,1084800
1996-07-19,26.8125,26.8125,26.625,26.8125,394400
1996-07-22,26.1875,26.6875,26.1875,26.6875,485200
1996-07-23,25.6875,26.5,25.6875,26.4375,500400
1996-07-24,25.8125,25.9375,25.25,25.25,548400
1996-07-25,25.375,25.875,25.375,25.8125,521600
1996-07-26,25.4375,25.625,25.375,25.375,342600
1996-07-29,25.375,25.5,25.375,25.4375,213000
1996-07-30,26.25,26.25,25.375,25.4375,374600
1996-07-31,26.4375,26.625,26.125,26.1875,522000
1996-08-01,26.5625,26.6875,26.0625,26.5,336000
1996-08-02,27.0625,27.25,26.4375,26.6875,239800
1996-08-05,26.9375,27.4375,26.875,27.125,459800
1996-08-06,27.0625,27.0625,26.6875,26.9375,230000
1996-08-07,26.8125,27.5,26.8125,27.3125,332800
1996-08-08,26.875,27.0625,26.6875,26.8125,316600
1996-08-09,26.9375,27.25,26.6875,27.0,146400
1996-08-12,27.0625,27.0625,26.3125,26.8125,187800
1996-08-13,27.0,27.0625,26.6875,27.0,153200
1996-08-14,26.75,26.75,26.3125,26.75,411400
1996-08-15,26.8125,26.875,26.625,26.75,282000
1996-08-16,26.8125,26.9375,26.8125,26.9375,203400
1996-08-19,27.0625,27.0625,26.875,26.9375,567600
1996-08-20,27.0,27.1875,26.9375,27.1875,223800
1996-08-21,27.0625,27.0625,26.75,27.0,266000
1996-08-22,27.0,27.25,26.9375,27.0,770000
1996-08-23,27.125,27.25,27.0,27.0,461800
1996-08-26,27.0625,27.1875,26.9375,27.0625,311000
1996-08-27,27.0,27.1875,27.0,27.0625,280200
1996-08-28,26.75,27.0625,26.75,26.875,299800
1996-08-29,26.75,26.8125,26.4375,26.4375,802400
1996-08-30,26.375,26.75,26.375,26.75,334800
1996-09-03,25.875,26.1875,25.5,25.5625,660600
1996-09-04,26.25,26.3125,25.875,25.875,291600
1996-09-05,26.375,26.4375,26.25,26.375,248600
1996-09-06,26.5,26.75,26.0625,26.1875,229400
1996-09-09,26.75,26.8125,26.5,26.625,271200
1996-09-10,26.5,26.6875,26.25,26.6875,475400
1996-09-11,27.0625,27.1875,26.5625,26.5625,1072000
1996-09-12,28.5625,29.0,28.5,29.0,1160400
1996-09-13,28.625,28.75,28.375,28.625,952200
1996-09-16,28.5625,28.8125,28.5625,28.625,515000
1996-09-17,28.5,28.5625,28.3125,28.5,793200
1996-09-18,28.8125,28.9375,28.5625,28.5625,922200
1996-09-19,28.6875,28.8125,28.4375,28.8125,360400
1996-09-20,28.625,29.0,28.625,28.9375,569800
1996-09-23,28.75,28.8125,28.4375,28.8125,542800
1996-09-24,29.0625,29.125,28.625,28.75,404400
1996-09-25,28.9375,29.0625,28.625,28.9375,421200
1996-09-26,29.125,29.25,28.75,28.9375,355000
1996-09-27,29.8125,29.875,28.9375,29.25,498400
1996-09-30,29.5,29.6875,29.4375,29.5625,448400
1996-10-01,30.0,30.25,29.4375,29.4375,540400
1996-10-02,29.6875,30.0,29.4375,30.0,877400
1996-10-03,29.5625,29.8125,29.4375,29.75,388800
1996-10-04,30.75,30.75,29.5,29.6875,583400
1996-10-07,30.125,31.25,30.0625,31.1875,529800
1996-10-08,30.4375,30.4375,30.125,30.1875,698200
1996-10-09,30.3125,30.4375,29.9375,30.375,702600
1996-10-10,30.125,30.25,30.0,30.1875,372200
1996-10-11,30.125,30.3125,30.0625,30.125,534000
1996-10-14,30.1875,30.3125,30.0,30.125,520600
1996-10-15,30.0625,30.3125,30.0,30.1875,538400
1996-10-16,30.9375,30.9375,30.3125,30.3125,458000
1996-10-17,31.375,32.125,30.9375,30.9375,1605200
1996-10-18,31.1875,31.625,30.9375,31.375,1200600
1996-10-21,30.6875,31.125,30.5625,31.0625,408400
1996-10-22,30.6875,30.75,30.4375,30.625,257600
1996-10-23,31.25,31.25,30.4375,30.5625,435400
1996-10-24,30.6875,31.125,30.6875,31.0625,897400
1996-10-25,30.9375,31.0,30.4375,30.5,402600
1996-10-28,31.0,31.0,30.8125,30.875,1055200
1996-10-29,31.3125,31.3125,30.875,30.9375,864600
1996-10-30,31.375,31.4375,31.125,31.25,670600
1996-10-31,31.5,31.5,31.25,31.375,600000
1996-11-01,32.3125,32.5,31.5625,31.5625,1261200
1996-11-04,32.1875,32.375,31.875,32.375,1021200
1996-11-05,32.375,32.5,32.1875,32.25,1380200
1996-11-06,32.6875,33.0,32.1875,32.25,674200
1996-11-07,33.3125,33.5,32.6875,32.6875,727200
1996-11-08,33.25,33.5625,33.1875,33.5625,676400
1996-11-11,33.6875,33.875,33.25,33.3125,535200
1996-11-12,33.1875,33.4375,33.125,33.4375,351800
1996-11-13,33.375,33.4375,33.125,33.1875,956000
1996-11-14,33.3125,33.5,33.25,33.3125,433200
1996-11-15,33.0,33.5625,32.8125,33.5625,370200
1996-11-18,32.75,33.0625,32.5625,32.9375,484400
1996-11-19,32.4375,32.5625,32.0625,32.4375,731200
1996-11-20,33.125,33.1875,32.1875,32.5625,610400
