Date,Close,High,Low,Open,Volume
1999-07-29,18.75,19.875,18.75,19.125,4780800
1999-07-30,19.1875,19.1875,18.625,19.0,1036200
1999-08-02,18.75,19.0,18.75,19.0,168800
1999-08-03,18.75,18.8125,18.25,18.75,246200
1999-08-04,18.625,18.75,18.125,18.75,178200
1999-08-05,18.125,18.625,17.875,18.625,67700
1999-08-06,17.5,18.1875,17.375,18.125,103900
1999-08-09,17.375,17.5625,17.1875,17.4375,75800
1999-08-10,17.0,17.25,16.75,17.25,81500
1999-08-11,17.4375,17.4375,17.0,17.0,18700
1999-08-12,17.75,18.25,17.625,18.25,63400
1999-08-13,17.1875,17.9375,17.1875,17.875,62700
1999-08-16,16.4375,17.0,16.25,17.0,72600
1999-08-17,16.625,16.875,16.375,16.4375,37400
1999-08-18,16.375,16.6875,16.375,16.625,36800
1999-08-19,16.5,16.625,16.375,16.375,32600
1999-08-20,17.0,17.1875,16.4375,16.4375,136100
1999-08-23,17.375,17.9375,17.25,17.875,193800
1999-08-24,17.0625,17.4375,16.875,17.125,126600
1999-08-25,16.625,17.0,16.5,16.875,125500
1999-08-26,17.0,17.0,16.625,16.625,32700
1999-08-27,17.4375,17.5,17.125,17.25,34300
1999-08-30,18.0625,18.375,17.25,17.4375,136000
1999-08-31,19.0,19.25,17.75,17.9375,309100
1999-09-01,18.375,19.0625,18.25,19.0625,49100
1999-09-02,18.375,18.375,17.75,18.375,50900
1999-09-03,18.3125,18.5625,18.1875,18.4375,52300
1999-09-07,17.8125,18.0625,17.8125,18.0625,12700
1999-09-08,16.9375,17.8125,16.625,17.8125,54400
1999-09-09,16.75,16.9375,16.625,16.8125,28100
1999-09-10,16.25,16.875,16.25,16.875,91800
1999-09-13,16.9375,17.0625,16.375,16.375,33600
1999-09-14,16.5,17.125,16.375,17.0625,18500
1999-09-15,17.0,17.0,16.3125,16.5,69500
1999-09-16,16.8125,17.25,16.8125,17.25,84500
1999-09-17,17.125,17.125,16.875,17.0,22500
1999-09-20,16.9375,17.0625,16.8125,17.0625,18200
1999-09-21,16.5,16.8125,16.5,16.75,23800
1999-09-22,16.75,16.8125,16.5,16.5,19600
1999-09-23,15.375,16.75,15.375,16.75,55700
1999-09-24,14.9375,15.5,14.5,15.375,80200
1999-09-27,14.8125,15.25,14.75,15.0625,69600
1999-09-28,14.6875,14.75,14.5,14.6875,37600
1999-09-29,14.75,14.75,14.625,14.625,114600
1999-09-30,15.5,15.875,15.25,15.5,83000
1999-10-01,15.75,15.75,15.0,15.0,65000
1999-10-04,15.625,15.75,15.4375,15.75,107500
1999-10-05,15.0,15.5625,15.0,15.375,83000
1999-10-06,14.625,15.0625,14.625,15.0,58700
1999-10-07,14.9375,15.0,14.625,14.625,68100
1999-10-08,14.5625,14.875,14.375,14.6875,60000
1999-10-11,14.3125,14.625,14.25,14.625,40900
1999-10-12,13.8125,14.3125,13.25,14.3125,177700
1999-10-13,14.9375,15.1875,13.6875,13.6875,75500
1999-10-14,14.75,15.125,14.5625,14.875,50400
1999-10-15,14.25,14.625,14.25,14.625,15700
1999-10-18,14.0,14.4375,13.875,14.25,29100
1999-10-19,13.5,13.75,13.375,13.75,36200
1999-10-20,13.5,13.75,13.25,13.5,25700
1999-10-21,13.375,13.5,13.1875,13.4375,15200
1999-10-22,13.25,13.5,13.25,13.3125,17100
1999-10-25,13.125,13.125,12.875,13.125,38200
