Date,Close,High,Low,Open,Volume
1973-02-21,5.03125,5.03125,5.03125,5.03125,5600
1973-02-22,5.03125,5.03125,5.03125,5.03125,8400
1973-02-23,5.03125,5.03125,5.03125,5.03125,73200
1973-02-26,5.0,5.0,5.0,5.0,16400
1973-02-27,4.9375,4.9375,4.9375,4.9375,26000
1973-02-28,4.96875,4.96875,4.96875,4.96875,26000
1973-03-01,4.96875,4.96875,4.96875,4.96875,36800
1973-03-02,4.96875,4.96875,4.96875,4.96875,10400
1973-03-05,4.96875,4.96875,4.96875,4.96875,26800
1973-03-06,4.96875,4.96875,4.96875,4.96875,9200
1973-03-07,4.96875,4.96875,4.96875,4.96875,23600
1973-03-08,4.96875,4.96875,4.96875,4.96875,8800
1973-03-09,4.96875,4.96875,4.96875,4.96875,23200
1973-03-12,4.96875,4.96875,4.96875,4.96875,26400
1973-03-13,4.96875,4.96875,4.96875,4.96875,41200
1973-03-14,4.96875,4.96875,4.96875,4.96875,14000
1973-03-15,4.9375,4.9375,4.9375,4.9375,20000
1973-03-16,4.90625,4.90625,4.90625,4.90625,9200
1973-03-19,4.90625,4.90625,4.90625,4.90625,7600
1973-03-20,4.875,4.875,4.875,4.875,23200
1973-03-21,4.84375,4.84375,4.84375,4.84375,21200
1973-03-22,4.84375,4.84375,4.84375,4.84375,7200
1973-03-23,4.84375,4.84375,4.84375,4.84375,20000
1973-03-26,4.875,4.875,4.875,4.875,4400
1973-03-27,4.875,4.875,4.875,4.875,17200
1973-03-28,4.90625,4.90625,4.90625,4.90625,10800
1973-03-29,4.90625,4.90625,4.90625,4.90625,5200
1973-03-30,4.90625,4.90625,4.90625,4.90625,5600
1973-04-02,4.90625,4.90625,4.90625,4.90625,35600
1973-04-03,4.90625,4.90625,4.90625,4.90625,51200
1973-04-04,4.90625,4.90625,4.90625,4.90625,29200
1973-04-05,4.90625,4.90625,4.90625,4.90625,3200
1973-04-06,4.90625,4.90625,4.90625,4.90625,27600
1973-04-09,4.96875,4.96875,4.96875,4.96875,17600
1973-04-10,4.96875,4.96875,4.96875,4.96875,6800
1973-04-11,4.96875,4.96875,4.96875,4.96875,32000
1973-04-12,4.96875,4.96875,4.96875,4.96875,2000
1973-04-13,4.96875,4.96875,4.96875,4.96875,4400
1973-04-16,4.96875,4.96875,4.96875,4.96875,8800
1973-04-17,4.9375,4.9375,4.9375,4.9375,52000
1973-04-18,4.90625,4.90625,4.90625,4.90625,8400
1973-04-19,4.90625,4.90625,4.90625,4.90625,7600
1973-04-23,4.9375,4.9375,4.9375,4.9375,10800
1973-04-24,4.90625,4.90625,4.90625,4.90625,2800
1973-04-25,4.90625,4.90625,4.90625,4.90625,6000
1973-04-26,4.90625,4.90625,4.90625,4.90625,7200
1973-04-27,4.90625,4.90625,4.90625,4.90625,49600
1973-04-30,4.90625,4.90625,4.90625,4.90625,5600
1973-05-01,4.875,4.875,4.875,4.875,13600
1973-05-02,4.875,4.875,4.875,4.875,16800
1973-05-03,4.875,4.96875,4.875,4.875,6800
1973-05-04,4.875,4.96875,4.875,4.875,16400
1973-05-07,4.875,4.96875,4.875,4.875,7600
1973-05-08,4.875,4.96875,4.875,4.875,3200
1973-05-09,4.875,4.96875,4.875,4.875,69200
1973-05-10,4.875,4.96875,4.875,4.875,8000
1973-05-11,4.90625,5.0,4.90625,4.90625,3600
1973-05-14,4.90625,5.0,4.90625,4.90625,6800
1973-05-15,4.90625,5.0,4.90625,4.90625,29200
