Date,Close,High,Low,Open,Volume
1988-01-26,11.5,11.75,11.25,11.5,7244600
1988-01-27,12.375,12.375,11.4375,11.5625,3652400
1988-01-28,12.5625,12.5625,12.125,12.25,2180000
1988-01-29,12.25,12.5625,11.875,12.4375,1335400
1988-02-01,12.0,12.25,11.9375,12.125,488800
1988-02-02,12.0,12.0,11.8125,12.0,476800
1988-02-03,12.125,12.625,12.0,12.0,1284600
1988-02-04,12.3125,12.3125,12.0625,12.125,328000
1988-02-05,12.375,12.4375,12.25,12.25,403600
1988-02-08,12.0,12.125,11.875,12.125,143400
1988-02-09,11.875,12.125,11.875,12.125,157000
1988-02-10,12.25,12.3125,12.0,12.0,456400
1988-02-11,12.375,12.5625,12.375,12.375,484000
1988-02-12,12.75,12.8125,12.5,12.5,222600
1988-02-16,13.25,13.25,12.8125,12.8125,838000
1988-02-17,13.0625,13.4375,12.875,13.25,642400
1988-02-18,13.25,13.3125,12.9375,13.0,516000
1988-02-19,14.25,14.625,13.25,13.25,1103400
1988-02-22,14.1875,14.25,14.0,14.125,326600
1988-02-23,14.0,14.125,13.8125,14.125,245000
1988-02-24,13.875,13.9375,13.75,13.9375,271600
1988-02-25,14.0625,14.25,13.875,13.875,948000
1988-02-26,14.125,14.125,14.0,14.0625,256000
1988-02-29,15.125,15.1875,14.1875,14.25,647800
1988-03-01,14.875,15.375,14.875,15.1875,587200
1988-03-02,15.1875,15.1875,14.8125,14.8125,192000
1988-03-03,15.0,15.3125,15.0,15.3125,232800
1988-03-04,15.5,15.5,14.875,14.875,426000
1988-03-07,15.9375,16.0625,15.25,15.25,463400
1988-03-08,15.9375,16.0625,15.8125,15.875,494800
1988-03-09,15.875,16.0,15.8125,16.0,205400
1988-03-10,14.5625,15.9375,14.5625,15.9375,414200
1988-03-11,14.5,14.6875,14.0,14.5,223400
1988-03-14,15.0625,15.125,14.5625,14.625,144800
1988-03-15,15.9375,15.9375,15.25,15.25,673200
1988-03-16,15.6875,16.125,15.5625,16.0,202800
1988-03-17,15.75,15.875,15.5,15.875,146600
1988-03-18,15.4375,15.8125,15.4375,15.8125,166800
1988-03-21,15.0,15.375,14.9375,15.375,254400
1988-03-22,14.875,15.25,14.8125,15.0,515000
1988-03-23,15.0,15.0,14.875,14.9375,27600
1988-03-24,14.375,14.5,14.0,14.5,699200
1988-03-25,14.1875,14.6875,14.1875,14.5,152800
1988-03-28,14.25,14.25,13.8125,13.8125,137000
1988-03-29,15.0625,15.125,14.375,14.375,186000
1988-03-30,14.9375,15.125,14.875,15.0625,125000
1988-03-31,15.0625,15.0625,14.75,14.75,294400
1988-04-04,15.0,15.0,15.0,15.0,148200
1988-04-05,15.125,15.25,14.9375,14.9375,219600
1988-04-06,15.8125,16.0,15.125,15.125,125200
1988-04-07,16.0,16.0,15.75,15.875,165400
1988-04-08,16.0,16.0,15.8125,15.9375,182400
1988-04-11,15.75,16.0,15.6875,15.9375,85400
1988-04-12,15.4375,15.6875,15.375,15.6875,419000
1988-04-13,15.4375,15.5625,15.375,15.375,208000
1988-04-14,14.75,15.25,14.75,15.25,167000
1988-04-15,14.75,14.75,14.375,14.625,102800
1988-04-18,14.375,15.125,14.0,14.75,807000
1988-04-19,14.4375,14.75,14.3125,14.3125,442200
1988-04-20,14.5625,14.625,14.4375,14.4375,68000
1988-04-21,14.75,14.875,14.625,14.625,44800
1988-04-22,14.875,14.875,14.75,14.75,1800
1988-04-25,15.25,15.25,14.875,15.0,204000
1988-04-26,15.625,15.625,15.4375,15.4375,150000
1988-04-27,15.3125,15.5625,15.3125,15.5625,86200
1988-04-28,15.125,15.1875,15.0625,15.1875,103400
1988-04-29,14.75,15.0,14.5,15.0,89800
1988-05-02,14.875,14.875,14.6875,14.6875,142400
1988-05-03,15.0,15.0,14.875,14.875,313000
1988-05-04,14.75,15.0625,14.75,15.0625,141600
1988-05-05,14.625,14.8125,14.5,14.8125,369800
1988-05-06,14.5,14.6875,14.5,14.6875,89400
1988-05-09,14.125,14.625,14.0,14.625,169200
1988-05-10,14.0625,14.125,14.0,14.0,215000
1988-05-11,13.3125,13.9375,13.25,13.9375,93800
1988-05-12,13.8125,13.8125,13.375,13.375,226400
1988-05-13,14.5,14.5,14.0,14.0,119600
1988-05-16,14.5,14.625,14.4375,14.4375,70600
1988-05-17,14.6875,14.75,14.625,14.6875,79200
1988-05-18,14.3125,14.625,14.25,14.625,29000
1988-05-19,14.125,14.375,14.125,14.3125,138000
1988-05-20,14.5,14.625,14.1875,14.25,135400
1988-05-23,14.125,14.375,14.125,14.375,144800
1988-05-24,14.1875,14.1875,14.0625,14.0625,92600
1988-05-25,14.25,14.4375,14.0625,14.1875,219000
1988-05-26,14.3125,14.375,14.25,14.25,217400
1988-05-27,14.25,14.375,14.25,14.3125,148800
1988-05-31,14.4375,14.4375,14.0,14.125,220400
1988-06-01,14.75,14.8125,14.4375,14.4375,366400
1988-06-02,15.0,15.0,14.6875,14.8125,211600
1988-06-03,15.625,16.0,15.625,15.875,283000
1988-06-06,16.0,16.25,15.5,15.5,364400
1988-06-07,16.0625,16.8125,15.75,16.0,554200
