Date,Close,High,Low,Open,Volume
1993-02-23,7.75,8.125,7.65625,8.0,40594800
1993-02-24,7.96875,8.0625,7.78125,7.875,9426400
1993-02-25,8.15625,8.15625,7.96875,8.0,5229200
1993-02-26,8.28125,8.28125,8.03125,8.15625,2761200
1993-03-01,8.0,8.21875,8.0,8.1875,3014400
1993-03-02,8.21875,8.25,8.03125,8.0625,3022800
1993-03-03,8.1875,8.3125,8.125,8.1875,2808800
1993-03-04,8.15625,8.25,8.15625,8.15625,1783600
1993-03-05,8.3125,8.34375,8.0,8.125,3868800
1993-03-08,8.28125,8.3125,8.1875,8.25,2516000
1993-03-09,8.53125,8.625,8.25,8.25,2449200
1993-03-10,8.875,8.90625,8.4375,8.46875,3192800
1993-03-11,8.875,8.96875,8.78125,8.96875,1276400
1993-03-12,9.03125,9.0625,8.5,8.8125,2958800
1993-03-15,8.875,9.0,8.8125,9.0,1858400
1993-03-16,8.6875,8.90625,8.65625,8.8125,2182000
1993-03-17,8.78125,8.78125,8.59375,8.6875,2413600
1993-03-18,9.0,9.03125,8.75,8.75,1765200
1993-03-19,8.90625,9.0625,8.90625,9.0625,2397600
1993-03-22,8.875,8.9375,8.78125,8.9375,729200
1993-03-23,8.6875,8.875,8.6875,8.875,924000
1993-03-24,8.59375,8.6875,8.34375,8.6875,1787600
1993-03-25,8.59375,8.59375,8.40625,8.53125,1080400
1993-03-26,9.15625,9.15625,8.84375,8.875,2376800
1993-03-29,9.25,9.25,8.9375,9.09375,1273600
1993-03-30,9.59375,9.59375,9.28125,9.375,1463600
1993-03-31,9.59375,9.8125,9.5625,9.625,1856000
1993-04-01,9.25,9.5,9.1875,9.46875,1410000
1993-04-02,8.90625,9.28125,8.90625,9.125,1338800
1993-04-05,9.0625,9.09375,8.875,8.875,873200
1993-04-06,8.9375,9.125,8.9375,9.09375,763200
1993-04-07,9.0625,9.09375,8.90625,8.90625,240400
1993-04-08,9.03125,9.0625,9.0,9.0625,304000
1993-04-12,9.25,9.25,9.03125,9.03125,217600
1993-04-13,9.53125,9.59375,9.375,9.375,937600
1993-04-14,9.78125,9.8125,9.53125,9.53125,689600
1993-04-15,9.375,9.65625,9.25,9.65625,1319600
1993-04-16,9.34375,9.5,9.3125,9.4375,1452400
1993-04-19,9.125,9.34375,9.09375,9.28125,861600
1993-04-20,8.84375,9.28125,8.65625,9.21875,2764000
1993-04-21,8.71875,8.96875,8.71875,8.84375,1372800
1993-04-22,8.71875,8.875,8.6875,8.71875,1387600
1993-04-23,8.59375,8.71875,8.5,8.6875,660400
1993-04-26,8.40625,8.6875,8.3125,8.625,1847200
1993-04-27,8.5,8.5,8.15625,8.3125,1674000
1993-04-28,8.65625,8.6875,8.46875,8.5625,726800
1993-04-29,8.625,8.71875,8.625,8.65625,228800
1993-04-30,9.6875,9.75,8.65625,8.65625,3105600
1993-05-03,9.1875,9.5,9.125,9.5,2001200
1993-05-04,9.25,9.3125,9.15625,9.25,826000
1993-05-05,9.15625,9.21875,9.125,9.21875,512000
1993-05-06,9.09375,9.15625,9.0,9.15625,183200
1993-05-07,9.125,9.1875,9.09375,9.125,245200
1993-05-10,9.25,9.3125,9.15625,9.15625,708800
1993-05-11,9.21875,9.25,9.125,9.25,568800
1993-05-12,9.21875,9.28125,9.15625,9.21875,258000
1993-05-13,9.0,9.15625,9.0,9.15625,163200
1993-05-14,8.75,8.96875,8.59375,8.96875,848000
1993-05-17,8.90625,8.96875,8.71875,8.75,382000
1993-05-18,8.8125,8.875,8.71875,8.875,883600
1993-05-19,8.90625,8.96875,8.78125,8.78125,514800
1993-05-20,8.75,8.96875,8.6875,8.96875,936800
1993-05-21,8.5,8.6875,8.46875,8.6875,834000
1993-05-24,8.65625,8.65625,8.4375,8.46875,262400
1993-05-25,8.625,8.6875,8.5625,8.65625,662400
1993-05-26,9.15625,9.1875,8.625,8.625,659200
1993-05-27,8.78125,9.21875,8.75,9.125,1011600
1993-05-28,8.59375,8.75,8.53125,8.75,1338800
1993-06-01,8.65625,8.6875,8.59375,8.59375,330400
1993-06-02,8.71875,8.75,8.65625,8.65625,295600
1993-06-03,8.5625,8.75,8.5625,8.75,178800
1993-06-04,8.46875,8.625,8.46875,8.5,211200
