Date,Close,High,Low,Open,Volume
1995-11-21,1.28125,1.328125,1.078125,1.078125,51412800
1995-11-22,1.5625,1.609375,1.265625,1.28125,11921600
1995-11-24,1.6875,1.703125,1.5625,1.5625,2419200
1995-11-27,1.578125,1.8125,1.53125,1.78125,6720000
1995-11-28,1.59375,1.609375,1.5625,1.578125,3451200
1995-11-29,1.796875,1.8125,1.5625,1.5625,3628800
1995-11-30,1.890625,1.984375,1.765625,1.796875,8254400
1995-12-01,1.875,1.96875,1.859375,1.921875,2616000
1995-12-04,2.34375,2.40625,1.875,1.875,5961600
1995-12-05,2.210937976837158,2.375,2.203125,2.34375,2907200
1995-12-06,2.09375,2.265625,2.078125,2.234375,3456000
1995-12-07,1.984375,2.09375,1.984375,2.09375,2665600
1995-12-08,2.203125,2.265625,1.984375,1.984375,3099200
1995-12-11,2.234375,2.234375,2.171875,2.21875,564800
1995-12-12,2.296875,2.359375,2.171875,2.25,2086400
1995-12-13,2.3125,2.335937976837158,2.28125,2.335937976837158,1510400
1995-12-14,2.296875,2.328125,2.296875,2.296875,668800
1995-12-15,2.234375,2.34375,2.234375,2.296875,2635200
1995-12-18,2.015625,2.296875,1.96875,2.25,1246400
1995-12-19,2.03125,2.0625,1.910156011581421,1.953125,4568000
1995-12-20,2.125,2.15625,2.0,2.09375,2275200
1995-12-21,2.109375,2.171875,2.09375,2.15625,321600
1995-12-22,2.125,2.1875,2.0625,2.0625,1657600
1995-12-26,2.265625,2.28125,2.109375,2.125,2286400
1995-12-27,2.328125,2.359375,2.195312976837158,2.28125,2633600
1995-12-28,2.453125,2.5,2.296875,2.296875,2569600
1995-12-29,2.507812976837158,2.609375,2.453125,2.484375,1920000
1996-01-02,2.375,2.5,2.375,2.5,1892800
1996-01-03,2.125,2.40625,2.09375,2.375,3336000
1996-01-04,1.875,2.140625,1.6875,2.140625,6041600
1996-01-05,1.9375,2.0625,1.8125,1.890625,3273600
1996-01-08,1.953125,2.0,1.953125,1.96875,166400
1996-01-09,1.6875,2.0,1.65625,2.0,2500800
1996-01-10,1.625,1.71875,1.578125,1.609375,3016000
1996-01-11,1.796875,1.890625,1.734375,1.765625,3654400
1996-01-12,1.75,1.875,1.6875,1.875,793600
1996-01-15,1.703125,1.765625,1.640625,1.75,668800
1996-01-16,1.6875,1.6875,1.421875,1.671875,3932800
1996-01-17,1.671875,1.6875,1.578125,1.59375,1545600
1996-01-18,1.6875,1.6875,1.625,1.625,3180800
1996-01-19,1.8300780057907104,1.921875,1.640625,1.6796879768371582,4825600
1996-01-22,1.875,1.9375,1.828125,1.875,1913600
1996-01-23,1.8984379768371584,1.921875,1.859375,1.859375,1126400
1996-01-24,2.0,2.0625,1.890625,1.90625,1267200
1996-01-25,2.109375,2.171875,2.0,2.046875,2702400
1996-01-26,2.148437976837158,2.1875,2.0625,2.09375,982400
1996-01-29,2.125,2.1875,2.109375,2.140625,936000
1996-01-30,2.0,2.125,1.875,2.078125,3513600
1996-01-31,1.921875,2.078125,1.921875,1.96875,1129600
1996-02-01,1.96875,2.03125,1.921875,1.953125,857600
1996-02-02,1.9453129768371584,2.03125,1.921875,2.03125,1857600
1996-02-05,2.015625,2.015625,1.921875,1.9375,964800
1996-02-06,2.078125,2.203125,1.984375,2.015625,2483200
1996-02-07,2.125,2.1875,2.046875,2.125,3126400
1996-02-08,2.265625,2.328125,2.15625,2.203125,2886400
1996-02-09,2.234375,2.390625,2.234375,2.265625,1934400
1996-02-12,2.203125,2.257812976837158,2.0625,2.257812976837158,2108800
1996-02-13,2.25,2.359375,2.09375,2.140625,2425600
1996-02-14,2.367187976837158,2.375,2.25,2.28125,2414400
1996-02-15,2.421875,2.515625,2.328125,2.367187976837158,4148800
1996-02-16,2.234375,2.578125,2.203125,2.53125,4108800
1996-02-20,2.171875,2.273437976837158,2.171875,2.21875,1452800
1996-02-21,2.25,2.25,2.171875,2.1875,1270400
1996-02-22,2.34375,2.359375,2.234375,2.25,2659200
1996-02-23,2.21875,2.359375,2.15625,2.3125,2572800
1996-02-26,2.125,2.15625,2.09375,2.15625,3064000
1996-02-27,2.078125,2.148437976837158,2.046875,2.148437976837158,2192000
1996-02-28,2.078125,2.125,2.0625,2.0625,763200
1996-02-29,1.984375,2.132812976837158,1.90625,2.078125,2452800
1996-03-01,1.9375,2.015625,1.921875,2.015625,456000
1996-03-04,1.984375,1.984375,1.921875,1.984375,278400
1996-03-05,1.9375,2.0,1.9375,1.984375,670400
1996-03-06,1.96875,2.03125,1.9375,1.9375,166400
1996-03-07,1.984375,2.03125,1.96875,1.96875,398400
1996-03-08,1.953125,2.046875,1.953125,1.984375,246400
1996-03-11,2.015625,2.015625,1.953125,1.953125,163200
1996-03-12,1.9375,2.015625,1.9375,1.953125,187200
1996-03-13,1.9375,2.0,1.9375,2.0,137600
1996-03-14,1.953125,2.0,1.9375,2.0,499200
1996-03-15,2.015625,2.015625,1.953125,1.953125,3489600
1996-03-18,1.953125,2.015625,1.953125,1.953125,1588800
1996-03-19,1.96875,2.015625,1.953125,2.015625,144000
1996-03-20,1.921875,2.0,1.921875,1.96875,534400
1996-03-21,1.921875,1.984375,1.921875,1.921875,563200
1996-03-22,1.921875,1.984375,1.875,1.984375,1032000
1996-03-25,2.015625,2.015625,1.921875,1.984375,340800
1996-03-26,1.921875,2.015625,1.921875,1.953125,475200
1996-03-27,1.984375,1.984375,1.921875,1.984375,339200
1996-03-28,1.921875,1.984375,1.921875,1.984375,163200
1996-03-29,1.984375,1.984375,1.921875,1.984375,796800
1996-04-01,1.859375,1.984375,1.796875,1.984375,1193600
1996-04-02,1.796875,1.859375,1.796875,1.859375,729600
1996-04-03,1.796875,1.859375,1.796875,1.796875,48000
1996-04-04,1.71875,1.859375,1.6875,1.859375,1596800
1996-04-08,1.6875,1.75,1.6875,1.71875,491200
1996-04-09,1.6953129768371582,1.75,1.6875,1.6875,500800
1996-04-10,1.6875,1.75,1.6875,1.6875,1577600
1996-04-11,1.703125,1.75,1.6875,1.75,809600
1996-04-12,1.6875,1.75,1.625,1.75,6328000
1996-04-15,1.6875,1.75,1.6875,1.75,809600
1996-04-16,1.6875,1.75,1.6875,1.75,606400
1996-04-17,1.6875,1.75,1.6875,1.6875,128000
1996-04-18,1.75,1.75,1.691406011581421,1.75,96000
1996-04-19,1.7578129768371582,1.78125,1.6875,1.6875,1664000
1996-04-22,1.765625,1.78125,1.71875,1.78125,500800
1996-04-23,1.8125,1.8125,1.734375,1.734375,822400
1996-04-24,1.8671879768371584,1.875,1.75,1.8125,1388800
1996-04-25,1.984375,2.046875,1.8125,1.8515629768371584,1884800
1996-04-26,2.140625,2.1875,2.0,2.046875,1382400
1996-04-29,2.109375,2.1875,2.109375,2.1875,483200
