Date,Close,High,Low,Open,Volume
2000-01-28,12.0,12.1875,12.0,12.0,11192000
2000-01-31,12.0625,12.0625,12.0,12.0,1880900
2000-02-01,12.0,12.0625,12.0,12.0,367100
2000-02-02,12.0625,12.0625,12.0,12.0,697400
2000-02-03,12.0,12.0625,12.0,12.0,579800
2000-02-04,11.375,12.0625,11.25,12.0,1681900
2000-02-07,10.8125,11.125,10.5,11.125,927200
2000-02-08,9.875,10.875,9.75,10.75,795400
2000-02-09,10.125,10.25,9.75,9.875,1710100
2000-02-10,10.625,11.25,10.4375,10.5,571500
2000-02-11,10.0625,10.9375,10.0,10.75,1062000
2000-02-14,9.8125,10.3125,9.75,10.1875,289000
2000-02-15,10.4375,10.625,9.9375,10.0,541400
2000-02-16,10.5625,10.625,10.25,10.5625,360700
2000-02-17,10.375,10.875,10.25,10.875,291600
2000-02-18,10.5,10.75,10.3125,10.5,330700
2000-02-22,10.3125,10.625,9.875,10.25,314500
2000-02-23,10.125,10.3125,9.8125,9.9375,494300
2000-02-24,9.9375,10.3125,9.875,10.125,919900
2000-02-25,10.4375,10.625,10.0,10.3125,1095500
2000-02-28,10.125,10.3125,10.0,10.25,366800
2000-02-29,10.875,11.25,10.0,10.125,1652500
2000-03-01,11.0,11.25,10.875,10.875,266700
2000-03-02,11.5,11.9375,10.8125,10.875,890300
2000-03-03,10.9375,11.5,10.875,11.5,160300
2000-03-06,10.75,10.8125,10.375,10.5,242800
2000-03-07,10.25,10.75,10.0625,10.625,393500
2000-03-08,10.375,10.5,9.875,10.1875,424200
2000-03-09,10.5,10.8125,10.25,10.3125,310100
2000-03-10,10.25,10.5,10.0,10.5,168900
2000-03-13,9.75,10.125,9.5625,10.0,1767400
2000-03-14,9.875,10.125,9.75,9.75,660500
2000-03-15,9.625,9.875,9.25,9.875,1231100
2000-03-16,9.75,10.25,9.5,9.8125,404100
2000-03-17,9.5625,9.9375,9.25,9.75,814800
2000-03-20,9.625,9.875,9.5,9.6875,473200
2000-03-21,9.625,9.8125,9.5,9.5625,176200
2000-03-22,9.5625,9.75,9.5,9.625,430300
2000-03-23,9.6875,9.8125,9.5,9.5,477400
2000-03-24,9.75,9.875,9.5625,9.5625,236700
2000-03-27,9.875,10.0,9.75,9.75,67600
2000-03-28,9.8125,10.0,9.75,9.875,157900
2000-03-29,9.8125,9.9375,9.8125,9.8125,253000
2000-03-30,9.8125,10.125,9.8125,9.8125,235200
2000-03-31,10.5,10.5,9.75,9.8125,627300
2000-04-03,10.3125,10.375,10.0625,10.375,108400
2000-04-04,10.0625,10.375,10.0,10.375,411000
2000-04-05,10.25,10.375,9.875,9.9375,196100
2000-04-06,10.8125,11.125,10.125,10.25,296700
2000-04-07,10.5,10.625,10.25,10.5,262800
2000-04-10,10.3125,10.75,10.25,10.5,139400
2000-04-11,10.5625,10.625,10.25,10.25,315000
2000-04-12,10.8125,11.0,10.5625,10.5625,392000
2000-04-13,10.625,10.8125,10.625,10.6875,243200
2000-04-14,10.125,10.625,10.0,10.5,269900
2000-04-17,10.375,10.375,10.0,10.0,321300
2000-04-18,10.625,10.8125,10.25,10.375,862200
2000-04-19,10.9375,11.25,10.5,10.5,531900
2000-04-20,10.625,11.0,10.625,10.9375,193500
2000-04-24,10.875,11.375,10.75,10.75,355700
2000-04-25,11.25,11.5625,11.0,11.0625,621900
2000-04-26,11.0,11.375,11.0,11.25,391800
2000-04-27,10.8125,11.25,10.8125,11.0,246300
2000-04-28,11.875,11.875,11.0,11.125,284100
2000-05-01,11.625,11.9375,11.375,11.75,138900
2000-05-02,11.75,11.875,11.5625,11.875,159200
2000-05-03,11.5625,11.6875,11.5,11.625,105600
2000-05-04,11.75,11.75,11.5,11.5625,180500
2000-05-05,11.9375,12.0,11.5625,11.625,240000
2000-05-08,11.875,12.0,11.75,11.875,117900
2000-05-09,11.8125,11.875,11.625,11.75,87000
2000-05-10,12.0,12.0625,11.5625,11.75,383700
2000-05-11,12.0,12.0625,11.75,11.875,404400
2000-05-12,12.0,12.125,11.9375,12.0,171600
2000-05-15,12.625,12.75,12.0,12.0,227300
2000-05-16,12.375,12.625,12.125,12.5,251500
2000-05-17,12.375,12.4375,12.25,12.3125,195300
2000-05-18,12.0,12.3125,11.9375,12.25,94500
2000-05-19,12.125,12.25,12.0,12.0,334900
2000-05-22,11.8125,12.1875,11.8125,12.0625,522400
2000-05-23,11.625,11.875,11.375,11.75,258000
2000-05-24,11.375,11.5625,11.25,11.5,209300
2000-05-25,11.4375,11.5,11.25,11.25,526000
2000-05-26,11.875,11.875,11.375,11.4375,159000
2000-05-30,11.6875,11.6875,11.25,11.5,217400
2000-05-31,11.5,11.75,11.5,11.5625,204900
2000-06-01,11.25,11.75,11.0,11.375,359100
2000-06-02,11.0625,11.375,11.0,11.25,183500
2000-06-05,11.125,11.375,11.0,11.0625,102800
2000-06-06,11.3125,11.3125,11.125,11.125,353700
2000-06-07,11.25,11.375,11.0,11.3125,303500
2000-06-08,11.0625,11.25,11.0625,11.1875,279300
2000-06-09,11.25,11.375,11.0,11.0625,136600
2000-06-12,11.375,11.375,11.0,11.125,215100
2000-06-13,11.5,11.5,11.125,11.375,128400
2000-06-14,11.5625,11.6875,11.3125,11.5,137200
2000-06-15,11.25,11.8125,11.125,11.5625,140000
2000-06-16,10.6875,11.125,10.6875,11.125,417700
2000-06-19,11.0,11.125,10.625,10.75,178200
2000-06-20,10.5,10.875,10.125,10.8125,183500
2000-06-21,11.0,11.0,10.25,10.25,122900
2000-06-22,10.6875,11.0,10.25,10.875,205200
2000-06-23,10.5,10.625,10.3125,10.4375,69700
2000-06-26,10.625,10.6875,10.25,10.375,307100
2000-06-27,11.0,11.0,10.5,10.5,203500
2000-06-28,11.625,11.875,10.8125,10.875,199200
2000-06-29,12.125,12.375,11.375,11.625,292900
2000-06-30,10.125,12.5,10.125,12.25,1202100
2000-07-03,11.3125,11.375,10.875,10.875,174800
2000-07-05,11.25,11.375,11.0,11.375,161500
2000-07-06,11.25,11.25,10.875,11.125,58700
2000-07-07,11.125,11.25,10.875,11.125,82700
