Date,Close,High,Low,Open,Volume
1997-11-21,23.0,23.5,22.75,23.5,3821400
1997-11-24,22.75,23.0,22.25,23.0,541600
1997-11-25,23.0,23.0,22.6875,22.875,425000
1997-11-26,22.75,23.0,22.75,23.0,165200
1997-11-28,23.0,23.0,22.75,22.75,60500
1997-12-01,23.0625,23.125,23.0,23.0625,120300
1997-12-02,23.0,23.125,22.875,23.125,164200
1997-12-03,23.0,23.0625,22.9375,23.0625,540000
1997-12-04,23.0,23.0625,23.0,23.0,43800
1997-12-05,23.0625,23.375,22.875,22.875,147500
1997-12-08,23.1875,23.25,23.0,23.0,74900
1997-12-09,23.1875,23.1875,23.0,23.125,61000
1997-12-10,23.0625,23.25,23.0625,23.125,104500
1997-12-11,23.0625,23.125,23.0,23.0,153600
1997-12-12,23.1875,23.1875,23.0625,23.0625,59900
1997-12-15,23.1875,23.1875,23.0625,23.125,24400
1997-12-16,23.625,23.75,23.1875,23.1875,107900
1997-12-17,24.1875,24.25,23.6875,23.75,63900
1997-12-18,24.25,24.25,24.125,24.125,35700
1997-12-19,23.875,24.25,23.75,24.25,134400
1997-12-22,24.0,24.125,23.875,23.9375,34400
1997-12-23,24.0,24.1875,24.0,24.0,88500
1997-12-24,24.0,24.0,23.8125,23.9375,63300
1997-12-26,23.6875,23.875,23.5625,23.875,34600
1997-12-29,23.8125,24.0625,23.75,23.875,159600
1997-12-30,24.3125,24.3125,23.6875,24.0,52400
1997-12-31,25.125,25.125,24.375,24.375,215700
1998-01-02,24.875,25.0,24.625,25.0,52000
1998-01-05,24.625,24.9375,24.625,24.75,42300
1998-01-06,24.6875,24.75,24.625,24.75,26900
1998-01-07,24.625,24.75,24.4375,24.6875,49500
1998-01-08,24.5625,24.75,24.375,24.5,95700
1998-01-09,24.375,24.5,24.125,24.5,37800
1998-01-12,24.4375,24.4375,23.75,24.125,24500
1998-01-13,24.5625,24.625,24.4375,24.5,190300
1998-01-14,24.75,24.75,24.25,24.5,201800
1998-01-15,24.5,24.75,24.5,24.75,39200
1998-01-16,24.5,24.5625,24.375,24.5625,13600
1998-01-20,24.625,24.75,24.5625,24.625,63200
1998-01-21,24.75,24.875,24.5625,24.6875,90400
1998-01-22,24.6875,24.875,24.625,24.875,99600
1998-01-23,24.4375,24.75,24.4375,24.75,11200
1998-01-26,24.125,24.375,24.125,24.3125,50500
1998-01-27,24.25,24.5,24.0,24.25,17300
1998-01-28,24.0,24.125,23.875,24.125,68700
1998-01-29,24.0,24.125,23.75,23.75,67700
1998-01-30,24.5,24.5,24.0,24.0,33000
1998-02-02,24.75,24.75,24.4375,24.5,31000
1998-02-03,24.5,24.75,24.5,24.625,18300
1998-02-04,24.375,24.5625,24.375,24.5625,29200
1998-02-05,24.5,24.625,24.375,24.375,10900
1998-02-06,24.5,24.5,24.125,24.5,129200
1998-02-09,24.3125,24.3125,23.9375,24.1875,101100
1998-02-10,24.625,24.625,24.3125,24.375,35000
1998-02-11,24.625,24.625,24.4375,24.625,40400
1998-02-12,24.5,24.625,24.3125,24.5,34500
1998-02-13,24.5,24.625,24.375,24.5625,73100
1998-02-17,24.8125,24.8125,24.5,24.625,110500
1998-02-18,24.125,24.6875,23.875,24.6875,85500
1998-02-19,24.0,24.25,24.0,24.25,7900
1998-02-20,24.1875,24.375,24.0,24.0,82700
1998-02-23,24.0625,24.25,24.0,24.125,26300
1998-02-24,23.875,24.1875,23.875,24.0625,8700
1998-02-25,23.75,23.9375,23.75,23.875,45600
1998-02-26,23.625,23.875,23.625,23.75,21300
1998-02-27,23.5,23.8125,23.5,23.625,42700
1998-03-02,23.4375,23.75,23.4375,23.75,102800
1998-03-03,23.5625,23.6875,23.4375,23.4375,24500
1998-03-04,23.375,23.625,23.375,23.625,108100
1998-03-05,23.4375,23.5,23.375,23.375,43100
1998-03-06,23.5,23.8125,23.4375,23.4375,17400
1998-03-09,24.0,24.1875,23.5,23.5,105300
1998-03-10,24.0,24.25,24.0,24.125,89800
1998-03-11,24.1875,24.1875,24.0,24.0,8200
1998-03-12,24.0,24.1875,24.0,24.1875,103000
1998-03-13,23.875,24.0,23.8125,23.8125,438900
1998-03-16,23.5625,23.625,23.25,23.625,16000
1998-03-17,23.5,23.5625,23.375,23.4375,15300
1998-03-18,23.5,23.625,23.5,23.5,39800
1998-03-19,23.875,23.875,23.5,23.5,100200
1998-03-20,24.25,24.375,23.8125,23.8125,137800
1998-03-23,24.375,24.5,24.25,24.25,13400
1998-03-24,24.25,24.5,24.25,24.5,10800
1998-03-25,24.3125,24.5,24.25,24.375,18700
1998-03-26,24.75,24.9375,24.5,24.625,22800
1998-03-27,24.9375,24.9375,24.625,24.75,45500
1998-03-30,24.625,24.9375,24.5625,24.9375,20000
1998-03-31,24.125,24.5,24.125,24.5,113200
1998-04-01,24.125,24.25,23.8125,24.0625,32600
1998-04-02,24.0,24.5625,24.0,24.25,58100
1998-04-03,23.5,23.9375,23.25,23.9375,64100
1998-04-06,23.25,23.5625,23.1875,23.5,114700
1998-04-07,23.0,23.1875,23.0,23.125,139600
1998-04-08,23.4375,23.4375,23.125,23.1875,24700
1998-04-09,23.5,23.5,23.375,23.5,125900
1998-04-13,23.1875,23.5,23.125,23.5,61300
1998-04-14,23.1875,23.1875,22.875,23.0625,93300
1998-04-15,23.5,23.625,23.125,23.125,8100
1998-04-16,23.125,23.375,23.0,23.375,21100
1998-04-17,23.0625,23.1875,22.75,23.0625,103200
1998-04-20,22.875,23.25,22.8125,23.25,20600
1998-04-21,22.6875,22.75,22.5625,22.75,32700
1998-04-22,23.375,23.5,22.5625,22.5625,67900
1998-04-23,23.375,23.5,23.1875,23.375,16500
1998-04-24,23.5,23.75,23.375,23.375,24700
1998-04-27,23.0625,23.5,23.0625,23.375,6800
1998-04-28,23.0,23.375,23.0,23.375,16400
1998-04-29,23.125,23.1875,23.125,23.1875,12500
1998-04-30,23.0,23.375,23.0,23.25,15900
1998-05-01,24.0625,24.0625,23.0,23.0,72100
1998-05-04,24.75,25.0,24.125,24.125,102900
1998-05-05,24.75,24.875,24.375,24.875,73300
1998-05-06,24.5,24.75,24.375,24.75,65800
1998-05-07,24.875,24.875,24.5,24.5,69100
1998-05-08,24.5,24.875,24.4375,24.875,55600
1998-05-11,23.5,24.5,23.5,24.5,53400
1998-05-12,23.4375,23.625,23.25,23.625,57700
1998-05-13,23.5,23.625,23.5,23.5625,3300
1998-05-14,23.5,23.625,23.5,23.5,1600
1998-05-15,23.625,23.625,23.5,23.5,27300
1998-05-18,23.6875,23.6875,23.5625,23.6875,27000
1998-05-19,23.375,23.6875,23.375,23.6875,9600
1998-05-20,23.3125,23.5,23.125,23.5,15300
1998-05-21,23.125,23.5625,23.125,23.4375,82800
1998-05-22,23.25,23.25,23.125,23.125,2500
1998-05-26,23.375,23.75,23.25,23.25,96500
1998-05-27,23.4375,23.4375,23.125,23.125,49200
1998-05-28,23.25,23.4375,23.1875,23.375,23200
1998-05-29,23.8125,23.8125,23.25,23.25,48000
1998-06-01,23.625,23.9375,23.5625,23.9375,77300
1998-06-02,23.5625,23.5625,23.5,23.5,11400
1998-06-03,23.5,23.5625,23.5,23.5625,521600
1998-06-04,23.5625,23.625,23.5,23.5,6000
1998-06-05,23.6875,23.8125,23.6875,23.6875,52400
1998-06-08,23.5,23.8125,23.5,23.8125,40800
1998-06-09,23.1875,23.4375,23.125,23.375,13500
1998-06-10,23.25,23.3125,23.0625,23.1875,25200
1998-06-11,22.875,23.25,22.5,23.25,33100
1998-06-12,22.625,22.75,22.625,22.75,46100
1998-06-15,22.375,22.625,22.3125,22.625,33800
1998-06-16,22.625,22.75,22.375,22.375,13000
1998-06-17,23.0625,23.0625,22.5,22.5,59700
1998-06-18,24.25,24.25,22.6875,22.875,141400
1998-06-19,24.0,24.0625,23.8125,24.0625,116200
1998-06-22,23.5,23.875,23.25,23.875,66100
1998-06-23,23.4375,23.4375,23.375,23.375,36100
1998-06-24,23.9375,24.0,23.25,23.375,97100
1998-06-25,24.0625,24.125,23.625,24.0,158000
1998-06-26,24.0,24.125,23.625,23.8125,59300
1998-06-29,25.0,25.0,23.625,24.0,81900
1998-06-30,24.5,25.0,24.25,25.0,298200
1998-07-01,24.1875,24.5,24.0625,24.5,14900
1998-07-02,24.0625,24.125,24.0625,24.125,14500
1998-07-06,24.0,24.0625,23.75,24.0625,19000
1998-07-07,24.4375,24.5625,23.875,24.0,36100
1998-07-08,24.125,24.5,24.125,24.4375,10000
1998-07-09,23.9375,24.0,23.6875,24.0,21100
1998-07-10,24.0,24.0,23.8125,23.8125,13700
1998-07-13,24.1875,24.5,23.875,24.0,207600
1998-07-14,24.25,24.4375,24.25,24.3125,5500
1998-07-15,24.375,24.375,24.125,24.25,16100
1998-07-16,24.5,24.5,24.25,24.25,27200
1998-07-17,24.875,24.875,24.25,24.25,376900
1998-07-20,24.3125,24.75,24.25,24.75,37100
1998-07-21,24.5625,24.8125,24.25,24.25,31200
1998-07-22,24.4375,24.625,24.3125,24.625,13700
1998-07-23,24.625,24.625,24.25,24.5,18600
1998-07-24,24.5,24.625,24.5,24.625,22900
1998-07-27,23.8125,24.375,23.75,24.375,35200
1998-07-28,23.5625,23.75,23.5625,23.75,23200
1998-07-29,23.5,23.6875,23.5,23.5,31400
1998-07-30,23.875,23.9375,23.5625,23.5625,41100
1998-07-31,23.875,24.375,23.875,23.875,186500
1998-08-03,23.6875,24.0625,23.6875,24.0,104100
1998-08-04,23.625,24.0625,23.5625,23.625,181000
1998-08-05,23.375,23.75,23.3125,23.75,37300
1998-08-06,23.625,23.625,23.25,23.25,27000
1998-08-07,23.5,23.875,23.5,23.75,288500
1998-08-10,23.6875,23.6875,23.375,23.5,60100
1998-08-11,23.625,23.75,23.4375,23.5625,37800
1998-08-12,23.625,23.75,23.5625,23.75,32200
1998-08-13,23.625,23.625,22.75,23.5625,172200
1998-08-14,23.625,23.75,23.5625,23.75,24500
1998-08-17,23.875,24.0,23.6875,23.8125,50100
1998-08-18,23.9375,24.125,23.875,23.875,27900
1998-08-19,24.1875,24.1875,23.8125,23.9375,97300
1998-08-20,24.4375,24.625,23.875,24.0625,104000
1998-08-21,24.0,24.25,23.75,24.25,26700
1998-08-24,24.5625,24.5625,24.0,24.0,72500
1998-08-25,25.125,25.375,24.8125,24.8125,68700
1998-08-26,25.25,25.875,24.875,25.75,145600
1998-08-27,24.625,25.1875,24.5,25.125,89300
1998-08-28,24.5,24.8125,24.375,24.625,43800
1998-08-31,23.5,24.5625,23.5,24.5,152300
1998-09-01,23.5,23.625,23.0,23.625,110100
1998-09-02,23.4375,23.5,23.375,23.5,57300
1998-09-03,23.375,23.375,23.1875,23.1875,73400
1998-09-04,23.1875,23.5,23.0,23.5,34900
1998-09-08,23.5,23.5,23.1875,23.4375,12700
1998-09-09,23.375,23.5,23.3125,23.5,112000
1998-09-10,23.25,23.375,23.125,23.3125,7100
1998-09-11,23.1875,23.3125,23.0625,23.3125,28500
1998-09-14,22.8125,22.9375,22.125,22.9375,29300
1998-09-15,22.9375,22.9375,22.625,22.875,28900
1998-09-16,22.8125,22.875,22.6875,22.875,53800
1998-09-17,22.6875,22.8125,22.5625,22.625,10900
1998-09-18,22.75,22.75,22.625,22.6875,50900
1998-09-21,22.8125,23.0,22.625,22.625,19900
1998-09-22,24.125,24.125,23.0,23.0,117900
1998-09-23,24.375,24.375,24.125,24.125,80800
