Date,Close,High,Low,Open,Volume
1973-02-21,22.375,22.625,22.125,22.125,4300
1973-02-22,22.5,22.5,22.125,22.375,4000
1973-02-23,22.0,22.5,22.0,22.5,3500
1973-02-26,21.875,22.125,21.75,22.0,2200
1973-02-27,21.5,21.875,21.5,21.875,6400
1973-02-28,21.625,21.75,21.5,21.5,2200
1973-03-01,21.625,21.875,21.5,21.625,6200
1973-03-02,21.75,21.875,21.625,21.625,3100
1973-03-05,20.75,22.0,20.5,21.75,27800
1973-03-06,20.875,21.125,20.875,20.875,7900
1973-03-07,21.25,21.375,21.0,21.0,4400
1973-03-08,21.25,21.625,21.0,21.25,14200
1973-03-09,20.875,21.375,20.875,21.25,3600
1973-03-12,20.5,20.875,20.5,20.875,4800
1973-03-13,21.125,21.375,20.5,20.5,8400
1973-03-14,21.0,21.25,20.75,21.125,9500
1973-03-15,21.0,21.375,21.0,21.0,6600
1973-03-16,20.75,21.375,20.75,21.0,5900
1973-03-19,20.625,21.0,20.625,20.75,5900
1973-03-20,20.375,20.5,20.25,20.5,6300
1973-03-21,20.375,20.375,20.25,20.375,5700
1973-03-22,19.875,20.375,19.875,20.375,7000
1973-03-23,20.0,20.0,19.625,19.875,10400
1973-03-26,20.25,20.25,20.0,20.0,5700
1973-03-27,20.25,20.375,20.0,20.25,8300
1973-03-28,20.25,20.5,20.125,20.25,3500
1973-03-29,20.5,20.625,20.0,20.25,34400
1973-03-30,20.625,20.75,20.5,20.5,3400
1973-04-02,19.875,20.75,19.875,20.625,19000
1973-04-03,19.875,19.875,19.75,19.875,7700
1973-04-04,19.5,19.875,19.5,19.875,17200
1973-04-05,19.625,19.625,19.25,19.5,7400
1973-04-06,19.375,19.625,19.25,19.625,9300
1973-04-09,20.0,20.125,19.5,19.5,5500
1973-04-10,19.875,20.125,19.625,20.0,22500
1973-04-11,19.875,20.0,19.875,19.875,10800
1973-04-12,20.0,20.125,19.75,19.875,22900
1973-04-13,20.5,20.625,20.25,20.25,7600
1973-04-16,20.625,20.75,20.375,20.5,3000
1973-04-17,20.75,21.0,20.75,20.75,1900
1973-04-18,21.125,21.125,20.875,20.875,1800
1973-04-19,21.875,22.25,21.125,21.125,7000
1973-04-23,22.125,22.5,22.0,22.0,18900
1973-04-24,21.875,22.25,21.875,22.125,5400
