Date,Close,High,Low,Open,Volume
1980-11-18,14.125,14.5,14.125,14.125,3200
1980-11-19,14.25,14.625,14.25,14.25,8000
1980-11-20,14.125,14.25,14.125,14.25,16600
1980-11-21,14.625,14.875,14.625,14.625,18700
1980-11-24,14.125,14.5,14.125,14.5,40900
1980-11-25,13.5,13.75,13.5,13.75,25800
1980-11-26,14.125,14.5,14.125,14.125,75000
1980-11-28,14.375,14.5,14.375,14.375,19300
1980-12-01,14.0,14.375,14.0,14.375,26200
1980-12-02,13.0,13.5,13.0,13.5,20000
1980-12-03,13.125,13.5,13.125,13.125,10500
1980-12-04,12.75,13.25,12.75,13.125,13700
1980-12-05,12.75,13.25,12.75,12.75,11000
1980-12-08,11.75,12.25,11.75,12.25,8700
1980-12-09,11.75,12.5,11.75,11.75,38700
1980-12-10,12.75,13.5,12.75,12.75,10800
1980-12-11,12.5,13.25,12.5,12.75,10800
1980-12-12,12.75,13.25,12.75,12.75,4500
1980-12-15,12.0,12.75,12.0,12.75,8000
1980-12-16,12.0,12.5,12.0,12.0,7500
1980-12-17,12.0,12.5,12.0,12.0,7000
1980-12-18,11.75,12.5,11.75,12.0,10600
1980-12-19,12.0,12.5,12.0,12.0,18700
1980-12-22,12.25,12.75,12.25,12.25,16800
1980-12-23,12.25,12.5,12.25,12.25,8600
1980-12-24,12.25,12.75,12.25,12.25,9200
1980-12-26,12.5,13.0,12.5,12.5,3900
1980-12-29,12.5,13.0,12.5,12.5,4400
1980-12-30,12.5,13.0,12.5,12.5,13400
1980-12-31,12.25,12.75,12.25,12.5,7800
1981-01-02,12.75,13.0,12.75,12.75,8000
1981-01-05,13.0,13.5,13.0,13.0,9400
1981-01-06,13.0,13.5,13.0,13.0,10200
1981-01-07,12.25,13.0,12.25,13.0,17100
1981-01-08,12.5,13.0,12.5,12.5,7800
1981-01-09,13.0,13.5,13.0,13.0,5600
1981-01-12,13.0,13.5,13.0,13.0,11400
1981-01-13,13.5,14.0,13.5,13.5,5000
1981-01-14,13.75,14.25,13.75,13.75,7100
1981-01-15,13.75,14.25,13.75,13.75,3300
1981-01-16,13.75,14.25,13.75,13.75,6800
1981-01-19,13.75,14.25,13.75,13.75,7600
1981-01-20,13.5,14.25,13.5,13.75,6800
1981-01-21,13.75,14.25,13.75,13.75,2600
1981-01-22,13.5,14.0,13.5,13.75,7700
1981-01-23,13.75,14.25,13.75,13.75,7900
1981-01-26,13.5,14.0,13.5,13.75,3200
1981-01-27,13.75,14.25,13.75,13.75,4100
1981-01-28,13.5,14.25,13.5,13.75,7800
1981-01-29,13.5,14.0,13.5,13.5,2300
1981-01-30,13.5,14.0,13.5,13.5,4700
1981-02-02,13.25,13.75,13.25,13.5,8500
1981-02-03,13.25,13.75,13.25,13.25,3100
1981-02-04,13.5,14.0,13.5,13.5,6100
1981-02-05,13.5,14.0,13.5,13.5,4600
1981-02-06,13.5,14.0,13.5,13.5,5300
1981-02-09,13.5,14.0,13.5,13.5,3800
1981-02-10,13.5,14.0,13.5,13.5,4300
1981-02-11,13.5,14.0,13.5,13.5,2700
1981-02-12,13.5,14.0,13.5,13.5,3000
1981-02-13,13.5,14.0,13.5,13.5,7600
1981-02-17,13.25,13.75,13.25,13.5,4400
1981-02-18,13.5,13.75,13.5,13.5,4000
1981-02-19,13.5,14.0,13.5,13.5,12600
1981-02-20,13.5,14.0,13.5,13.5,3400
1981-02-23,13.5,14.0,13.5,13.5,1900
1981-02-24,13.25,13.75,13.25,13.5,4800
1981-02-25,13.0,13.5,13.0,13.25,13100
1981-02-26,13.0,13.5,13.0,13.0,15900
1981-02-27,13.0,13.5,13.0,13.0,2200
1981-03-02,13.0,13.5,13.0,13.0,3100
1981-03-03,12.75,13.5,12.75,13.0,5100
1981-03-04,12.75,13.25,12.75,12.75,4400
1981-03-05,12.75,13.25,12.75,12.75,4600
1981-03-06,12.0,12.5,12.0,12.5,7500
1981-03-09,12.5,12.75,12.5,12.5,6400
1981-03-10,12.25,12.75,12.25,12.5,4200
1981-03-11,12.25,12.75,12.25,12.25,4500
1981-03-12,12.25,12.75,12.25,12.25,11000
1981-03-13,12.25,12.75,12.25,12.25,5200
1981-03-16,12.5,12.75,12.5,12.5,5100
1981-03-17,12.5,13.0,12.5,12.5,5400
1981-03-18,12.5,13.0,12.5,12.5,2200
1981-03-19,12.75,13.25,12.75,12.75,8100
1981-03-20,12.5,13.25,12.5,12.75,3200
1981-03-23,12.75,13.25,12.75,12.75,3500
1981-03-24,13.0,13.5,13.0,13.0,8600
1981-03-25,13.0,13.5,13.0,13.0,4000
1981-03-26,13.25,13.75,13.25,13.25,3100
1981-03-27,13.75,14.25,13.75,13.75,7300
1981-03-30,13.75,14.25,13.75,13.75,5800
1981-03-31,13.75,14.25,13.75,13.75,14100
1981-04-01,13.625,14.25,13.625,13.75,6100
1981-04-02,13.75,14.25,13.75,13.75,5800
1981-04-03,13.75,14.25,13.75,13.75,4900
1981-04-06,13.75,14.25,13.75,13.75,4700
1981-04-07,13.625,14.25,13.625,13.75,10000
1981-04-08,13.625,14.25,13.625,13.625,4500
1981-04-09,13.625,14.25,13.625,13.625,5900
1981-04-10,14.0,14.75,14.0,14.0,3500
1981-04-13,14.0,14.75,14.0,14.0,3200
1981-04-14,13.75,14.25,13.75,14.0,4300
1981-04-15,14.0,14.5,14.0,14.0,3900
1981-04-16,13.75,14.5,13.75,14.0,4100
1981-04-20,12.75,13.25,12.75,13.25,7100
1981-04-21,13.0,13.25,13.0,13.0,2500
1981-04-22,13.25,13.75,13.25,13.25,4500
1981-04-23,13.25,13.75,13.25,13.25,3300
1981-04-24,13.25,13.75,13.25,13.25,2300
1981-04-27,13.0,13.5,13.0,13.25,5400
1981-04-28,13.0,13.5,13.0,13.0,3700
1981-04-29,13.0,13.25,13.0,13.0,3100
1981-04-30,12.75,13.0,12.75,13.0,2200
1981-05-01,12.25,12.75,12.25,12.75,3600
1981-05-04,11.75,12.0,11.75,12.0,2800
1981-05-05,11.5,12.0,11.5,11.75,7300
1981-05-06,11.5,12.0,11.5,11.5,5900
1981-05-07,11.75,12.25,11.75,11.75,7500
1981-05-08,11.75,12.5,11.75,11.75,4800
1981-05-11,11.75,12.25,11.75,11.75,5100
1981-05-12,11.75,12.25,11.75,11.75,3800
1981-05-13,11.75,12.25,11.75,11.75,1600
1981-05-14,11.75,12.25,11.75,11.75,1900
1981-05-15,11.5,12.0,11.5,11.75,3600
1981-05-18,11.5,12.0,11.5,11.5,2400
1981-05-19,11.5,12.0,11.5,11.5,2200
1981-05-20,11.25,12.0,11.25,11.5,3600
1981-05-21,11.5,11.75,11.5,11.5,4300
1981-05-22,11.25,11.75,11.25,11.5,2500
1981-05-26,11.25,11.75,11.25,11.25,2800
1981-05-27,11.25,11.75,11.25,11.25,3700
1981-05-28,11.5,11.75,11.5,11.5,3300
1981-05-29,11.5,12.25,11.5,11.5,3000
1981-06-01,11.5,12.25,11.5,11.5,2200
1981-06-02,11.5,12.25,11.5,11.5,1900
1981-06-03,11.25,11.75,11.25,11.5,5800
1981-06-04,11.25,11.75,11.25,11.25,2000
1981-06-05,11.5,11.75,11.5,11.5,2000
1981-06-08,11.5,12.0,11.5,11.5,3800
1981-06-09,11.5,12.0,11.5,11.5,2100
1981-06-10,11.25,12.0,11.25,11.5,3400
1981-06-11,11.25,11.75,11.25,11.25,7900
1981-06-12,11.25,11.75,11.25,11.25,3100
1981-06-15,11.25,11.75,11.25,11.25,6500
1981-06-16,11.0,11.5,11.0,11.25,5600
1981-06-17,11.25,11.5,11.25,11.25,3600
1981-06-18,11.0,11.5,11.0,11.25,2200
1981-06-19,11.375,11.5,11.375,11.375,3100
1981-06-22,11.25,11.75,11.25,11.375,3500
1981-06-23,11.25,11.75,11.25,11.25,3200
1981-06-24,11.5,11.75,11.5,11.5,2100
1981-06-25,11.5,11.75,11.5,11.5,3100
1981-06-26,11.25,11.75,11.25,11.5,3300
1981-06-29,11.25,11.75,11.25,11.25,3000
1981-06-30,11.25,11.75,11.25,11.25,2000
1981-07-01,11.25,11.75,11.25,11.25,2700
1981-07-02,11.0,11.5,11.0,11.25,800
1981-07-06,11.0,11.5,11.0,11.0,1100
1981-07-07,11.0,11.5,11.0,11.0,1400
1981-07-08,11.0,11.5,11.0,11.0,1500
1981-07-09,11.0,11.5,11.0,11.0,600
1981-07-10,11.0,11.5,11.0,11.0,3700
1981-07-13,11.0,11.5,11.0,11.0,1200
1981-07-14,11.0,11.5,11.0,11.0,3300
1981-07-15,11.0,11.5,11.0,11.0,200
1981-07-16,11.25,11.75,11.25,11.25,2200
1981-07-17,11.25,11.75,11.25,11.25,2700
1981-07-20,11.25,11.5,11.25,11.25,1600
1981-07-21,11.25,11.5,11.25,11.25,2700
1981-07-22,11.25,11.5,11.25,11.25,900
1981-07-23,10.75,11.5,10.75,11.25,3400
1981-07-24,10.5,10.75,10.5,10.75,7500
1981-07-27,10.75,11.25,10.75,10.75,9300
1981-07-28,11.0,11.5,11.0,11.0,7600
1981-07-29,11.25,11.5,11.25,11.25,6600
1981-07-30,11.25,11.5,11.25,11.25,5500
1981-07-31,11.5,11.75,11.5,11.5,3400
1981-08-03,11.75,12.0,11.75,11.75,4600
1981-08-04,11.75,12.0,11.75,11.75,5800
1981-08-05,12.0,12.5,12.0,12.0,5200
1981-08-06,12.25,12.5,12.25,12.25,3900
1981-08-07,12.0,12.5,12.0,12.25,1700
1981-08-10,12.0,12.0,12.0,12.0,0
1981-08-11,11.75,12.25,11.75,12.0,2100
1981-08-12,11.75,12.25,11.75,11.75,2700
1981-08-13,11.75,12.25,11.75,11.75,2700
1981-08-14,11.75,12.25,11.75,11.75,7800
1981-08-17,11.75,12.25,11.75,11.75,1800
1981-08-18,11.75,12.25,11.75,11.75,1500
1981-08-19,11.75,12.25,11.75,11.75,2500
1981-08-20,12.25,12.75,12.25,12.25,6000
1981-08-21,12.25,12.75,12.25,12.25,3100
1981-08-24,11.5,12.0,11.5,12.0,4500
1981-08-25,11.0,11.25,11.0,11.25,6600
1981-08-26,11.25,11.5,11.25,11.25,2900
1981-08-27,10.75,11.25,10.75,11.25,4500
1981-08-28,10.75,11.0,10.75,10.75,3500
1981-08-31,10.75,11.25,10.75,10.75,2100
1981-09-01,10.75,11.25,10.75,10.75,1400
1981-09-02,10.75,11.5,10.75,10.75,600
1981-09-03,10.5,11.25,10.5,10.75,700
1981-09-04,10.75,11.25,10.75,10.75,4300
1981-09-08,10.75,11.25,10.75,10.75,3000
1981-09-09,10.75,11.25,10.75,10.75,1400
1981-09-10,10.75,11.25,10.75,10.75,3800
1981-09-11,10.75,11.5,10.75,10.75,1500
1981-09-14,10.75,11.5,10.75,10.75,2200
1981-09-15,10.75,11.25,10.75,10.75,2000
1981-09-16,10.5,11.25,10.5,10.75,3500
1981-09-17,10.25,10.75,10.25,10.5,5900
1981-09-18,10.75,11.25,10.75,10.75,1500
1981-09-21,11.25,11.5,11.25,11.25,3800
1981-09-22,11.25,11.5,11.25,11.25,3400
1981-09-23,11.5,11.75,11.5,11.5,4500
1981-09-24,12.0,12.5,12.0,12.0,4600
1981-09-25,12.25,13.0,12.25,12.25,3100
1981-09-28,12.0,12.75,12.0,12.25,5700
1981-09-29,11.25,12.0,11.25,12.0,5500
1981-09-30,11.5,12.25,11.5,11.5,1700
1981-10-01,11.5,12.25,11.5,11.5,4600
1981-10-02,11.75,12.5,11.75,11.75,2400
1981-10-05,11.75,12.25,11.75,11.75,1800
1981-10-06,12.0,12.75,12.0,12.0,3200
1981-10-07,12.0,13.0,12.0,12.0,1800
1981-10-08,12.0,12.75,12.0,12.0,2600
1981-10-09,12.5,13.25,12.5,12.5,3700
1981-10-12,12.5,13.25,12.5,12.5,2600
1981-10-13,12.25,13.0,12.25,12.5,2300
1981-10-14,12.25,13.25,12.25,12.25,1700
1981-10-15,12.25,13.25,12.25,12.25,6100
1981-10-16,12.5,13.25,12.5,12.5,1100
1981-10-19,12.25,13.25,12.25,12.5,1500
1981-10-20,12.25,13.0,12.25,12.25,2400
1981-10-21,12.25,13.0,12.25,12.25,2600
1981-10-22,12.0,13.0,12.0,12.25,3900
1981-10-23,12.0,13.0,12.0,12.0,4200
1981-10-26,12.0,13.0,12.0,12.0,2600
1981-10-27,11.75,12.75,11.75,12.0,2500
1981-10-28,12.0,12.75,12.0,12.0,3100
1981-10-29,12.0,12.75,12.0,12.0,2500
1981-10-30,12.0,12.75,12.0,12.0,1000
1981-11-02,11.75,12.75,11.75,12.0,2600
1981-11-03,11.75,12.5,11.75,11.75,6200
1981-11-04,12.0,12.75,12.0,12.0,2600
1981-11-05,12.0,12.75,12.0,12.0,2800
1981-11-06,11.75,12.75,11.75,12.0,2400
1981-11-09,11.75,12.75,11.75,11.75,1700
1981-11-10,11.75,12.5,11.75,11.75,6200
1981-11-11,11.75,12.5,11.75,11.75,5600
1981-11-12,11.75,12.5,11.75,11.75,9100
1981-11-13,11.75,12.5,11.75,11.75,2200
1981-11-16,11.5,12.5,11.5,11.75,5600
1981-11-17,11.5,12.5,11.5,11.5,6500
1981-11-18,11.25,12.25,11.25,11.5,8800
1981-11-19,11.5,12.25,11.5,11.5,7600
1981-11-20,11.75,12.5,11.75,11.75,8300
1981-11-23,12.0,13.0,12.0,12.0,3300
1981-11-24,12.0,13.0,12.0,12.0,3600
1981-11-25,11.75,12.75,11.75,12.0,3200
1981-11-27,11.75,12.75,11.75,11.75,1100
1981-11-30,11.75,12.75,11.75,11.75,1200
1981-12-01,11.75,12.75,11.75,11.75,9500
1981-12-02,11.75,12.75,11.75,11.75,1000
1981-12-03,11.75,12.75,11.75,11.75,2100
1981-12-04,12.25,13.0,12.25,12.25,4500
1981-12-07,12.25,13.0,12.25,12.25,3500
1981-12-08,11.75,12.75,11.75,12.25,5300
