Date,Close,High,Low,Open,Volume
1993-10-29,19.25,19.375,19.25,19.25,1381000
1993-11-01,19.375,19.375,19.25,19.25,136800
1993-11-02,18.75,19.375,18.625,19.25,182600
1993-11-03,18.875,19.0,18.375,18.5,146300
1993-11-04,18.75,18.875,18.75,18.75,48300
1993-11-05,18.75,18.875,18.75,18.75,13900
1993-11-08,18.875,18.875,18.75,18.75,22800
1993-11-09,18.75,19.0,18.75,18.875,10600
1993-11-10,18.875,19.0,18.875,18.875,143900
1993-11-11,18.875,18.875,18.875,18.875,29800
1993-11-12,19.0,19.0,18.875,18.875,10500
1993-11-15,18.5,18.75,18.375,18.75,181600
1993-11-16,18.375,18.5,18.375,18.375,33400
1993-11-17,18.25,18.5,18.25,18.5,73900
1993-11-18,17.625,18.25,17.625,18.25,75900
1993-11-19,16.875,17.125,16.375,17.0,126700
1993-11-22,16.875,16.875,16.5,16.625,32100
1993-11-23,17.125,17.125,16.75,16.75,20300
1993-11-24,16.875,17.125,16.875,16.875,9800
1993-11-26,17.0,17.0,17.0,17.0,2500
1993-11-29,17.125,17.125,16.875,17.125,48100
1993-11-30,17.125,17.25,16.875,17.125,38500
1993-12-01,17.0,17.125,17.0,17.125,12700
1993-12-02,17.125,17.125,16.875,17.0,14800
1993-12-03,17.5,17.625,17.125,17.125,19600
1993-12-06,17.5,17.5,17.25,17.5,6000
1993-12-07,17.25,17.5,17.0,17.5,25100
1993-12-08,17.125,17.25,16.875,17.25,8500
1993-12-09,16.875,17.25,16.625,17.25,10600
1993-12-10,16.875,16.875,16.75,16.875,9500
1993-12-13,16.5,16.625,16.375,16.625,69000
1993-12-14,16.75,17.0,16.5,16.625,18000
1993-12-15,16.625,16.875,16.5,16.625,36100
1993-12-16,16.5,16.625,16.5,16.625,7900
1993-12-17,16.5,16.625,16.375,16.5,9600
1993-12-20,16.0,16.5,15.75,16.5,58500
1993-12-21,16.125,16.25,15.75,15.75,54400
1993-12-22,16.5,16.5,16.25,16.25,21800
1993-12-23,16.625,16.75,16.5,16.75,12200
1993-12-27,16.75,16.875,16.75,16.75,35500
1993-12-28,16.75,16.875,16.75,16.875,49500
1993-12-29,16.625,16.875,16.625,16.75,23600
1993-12-30,16.75,16.875,16.5,16.625,66700
1993-12-31,16.625,16.875,16.5,16.875,41100
1994-01-03,16.875,16.875,16.75,16.75,1900
1994-01-04,16.875,17.0,16.875,17.0,10100
1994-01-05,16.875,17.0,16.75,16.875,18500
1994-01-06,16.75,16.75,16.625,16.75,15100
1994-01-07,16.875,17.0,16.625,16.625,18000
1994-01-10,17.625,17.625,17.0,17.0,18600
1994-01-11,17.75,17.75,17.5,17.625,6300
1994-01-12,17.875,18.0,17.75,17.75,17700
1994-01-13,17.75,17.875,17.625,17.875,6000
1994-01-14,17.5,17.75,17.5,17.75,5600
1994-01-17,17.5,17.5,17.375,17.375,12600
1994-01-18,17.375,17.375,17.25,17.25,6300
1994-01-19,17.875,18.0,17.5,17.5,9900
1994-01-20,17.5,18.0,17.5,18.0,13000
1994-01-21,17.875,17.875,17.5,17.75,7200
1994-01-24,17.625,17.875,17.5,17.875,4900
1994-01-25,17.75,17.875,17.625,17.625,18900
1994-01-26,17.625,17.75,17.5,17.75,1300
1994-01-27,17.75,17.75,17.625,17.75,2800
1994-01-28,17.75,17.75,17.625,17.625,13000
1994-01-31,17.875,17.875,17.75,17.75,26300
1994-02-01,17.875,17.875,17.75,17.875,20400
1994-02-02,17.875,17.875,17.625,17.875,18400
1994-02-03,18.0,18.0,17.875,17.875,11000
1994-02-04,17.625,18.0,17.625,18.0,8500
1994-02-07,17.875,17.875,17.5,17.5,6800
1994-02-08,17.75,17.875,17.625,17.75,6400
1994-02-09,18.125,18.375,17.75,17.75,11700
1994-02-10,18.0,18.125,18.0,18.0,8200
1994-02-11,18.0,18.125,17.875,18.125,41900
1994-02-14,18.125,18.125,18.0,18.0,23300
1994-02-15,18.25,18.25,18.0,18.0,117300
1994-02-16,18.625,18.875,18.125,18.125,48000
1994-02-17,18.625,18.875,18.625,18.875,56500
1994-02-18,18.625,18.75,18.625,18.625,4500
1994-02-22,18.5,18.5,18.5,18.5,2000
1994-02-23,18.5,18.625,18.5,18.625,6000
1994-02-24,18.375,18.375,18.375,18.375,1500
1994-02-25,18.5,18.625,18.375,18.375,10200
1994-02-28,18.75,18.75,18.5,18.5,3900
1994-03-01,18.625,18.75,18.375,18.75,10500
1994-03-02,18.5,18.5,18.375,18.375,5100
1994-03-03,18.375,18.5,18.375,18.375,9100
1994-03-04,18.375,18.375,18.375,18.375,3700
1994-03-07,18.5,18.625,18.375,18.625,1200
1994-03-08,18.375,18.5,18.375,18.375,6600
1994-03-09,18.375,18.375,18.125,18.25,3400
1994-03-10,18.5,18.625,18.25,18.5,2800
1994-03-11,18.5,18.5,18.5,18.5,1200
1994-03-14,18.5,18.75,18.5,18.625,6200
1994-03-15,18.5,18.5,18.375,18.5,3500
1994-03-16,18.0,18.375,18.0,18.375,3700
1994-03-17,18.0,18.25,17.875,17.875,17100
1994-03-18,18.0,18.25,18.0,18.25,2000
1994-03-21,18.375,18.375,18.125,18.25,1400
1994-03-22,18.125,18.5,18.125,18.375,3800
1994-03-23,18.375,18.375,18.125,18.375,900
1994-03-24,18.375,18.5,18.375,18.5,52000
1994-03-25,18.5,18.75,18.5,18.5,4400
1994-03-28,18.125,18.25,18.125,18.25,2400
1994-03-29,18.125,18.25,18.125,18.25,1300
1994-03-30,18.0,18.125,18.0,18.125,101300
1994-03-31,17.875,18.0,17.875,18.0,16300
1994-04-04,17.5,17.75,17.375,17.75,6300
1994-04-05,17.75,17.75,17.75,17.75,700
1994-04-06,17.625,17.75,17.625,17.75,11900
1994-04-07,17.875,17.875,17.625,17.75,3300
1994-04-08,17.875,18.0,17.75,18.0,7400
1994-04-11,18.0,18.0,17.75,17.75,5100
1994-04-12,17.625,17.75,17.625,17.75,5300
1994-04-13,17.625,17.875,17.625,17.75,3300
1994-04-14,17.625,17.75,17.625,17.625,2100
1994-04-15,17.75,17.75,17.5,17.625,7800
1994-04-18,17.875,17.875,17.75,17.75,5900
1994-04-19,17.75,17.75,17.75,17.75,1300
1994-04-20,18.0,18.0,17.875,18.0,6100
1994-04-21,17.875,17.875,17.875,17.875,4500
1994-04-22,18.0,18.0,18.0,18.0,1600
1994-04-25,17.875,18.0,17.875,18.0,2300
1994-04-26,18.0,18.125,17.875,18.125,1400
1994-04-28,17.75,18.0,17.75,18.0,3900
1994-04-29,17.75,17.75,17.75,17.75,0
1994-05-02,18.0,18.0,17.625,17.625,3000
1994-05-03,17.5,17.75,17.5,17.75,11900
1994-05-04,17.625,17.625,17.5,17.5,29600
1994-05-05,17.5,17.5,17.375,17.5,2300
1994-05-06,17.5,17.5,17.5,17.5,1000
1994-05-09,17.5,17.5,17.25,17.375,8900
1994-05-10,17.5,17.625,17.5,17.5,7300
1994-05-11,17.5,17.5,17.5,17.5,2100
1994-05-12,17.5,17.75,17.5,17.5,6500
1994-05-13,17.5,17.5,17.5,17.5,2600
1994-05-16,17.5,17.5,17.5,17.5,800
1994-05-17,17.5,17.5,17.375,17.5,1500
1994-05-18,17.625,17.75,17.625,17.75,700
1994-05-19,17.625,17.75,17.5,17.5,1700
1994-05-20,17.5,17.5,17.5,17.5,2800
1994-05-23,17.25,17.5,17.25,17.5,1200
1994-05-24,17.375,17.375,17.25,17.25,2900
1994-05-25,17.25,17.5,17.25,17.5,1100
1994-05-26,17.5,17.5,17.25,17.5,4800
1994-05-27,17.25,17.375,17.125,17.125,3300
1994-05-31,17.5,17.5,17.25,17.25,900
1994-06-01,17.625,17.625,17.375,17.375,3200
1994-06-02,18.125,18.125,17.375,17.375,5300
1994-06-03,18.5,18.5,18.125,18.125,2600
1994-06-06,18.125,18.375,18.125,18.25,4500
1994-06-07,18.125,18.375,18.125,18.375,2300
1994-06-08,17.75,18.25,17.75,18.0,7100
1994-06-09,17.875,17.875,17.75,17.75,3200
1994-06-10,18.25,18.25,17.875,17.875,3500
1994-06-13,18.0,18.125,18.0,18.125,1100
