Date,Close,High,Low,Open,Volume
1997-06-12,31.5,33.0,30.875,32.125,19963800
1997-06-13,32.375,32.875,31.75,31.75,3661100
1997-06-16,30.875,32.5,30.625,32.25,2481700
1997-06-17,29.75,30.25,29.125,30.125,2283800
1997-06-18,28.375,29.75,28.125,29.75,1749900
1997-06-19,29.375,29.625,28.25,28.5,1269900
1997-06-20,29.5,30.25,29.375,29.5,859100
1997-06-23,28.25,29.875,28.125,29.875,725000
1997-06-24,28.875,29.625,27.125,28.5,1212100
1997-06-25,28.6875,29.125,28.125,29.125,726600
1997-06-26,28.25,28.5,27.625,28.125,534500
1997-06-27,27.25,28.375,27.1875,28.125,441500
1997-06-30,27.375,27.625,26.25,27.125,796900
1997-07-01,26.9375,27.3125,26.5,27.25,621300
1997-07-02,27.8125,27.9375,26.625,26.9375,818700
1997-07-03,28.0625,28.1875,26.75,27.5625,696800
1997-07-07,27.125,28.625,27.0,28.5,1180500
1997-07-08,27.6875,27.6875,27.125,27.25,595000
1997-07-09,26.625,27.6875,26.375,27.6875,958000
1997-07-10,25.5,26.3125,25.125,26.25,1069200
1997-07-11,25.9375,26.125,25.375,25.625,674600
1997-07-14,25.6875,26.25,25.4375,26.1875,471200
1997-07-15,25.4375,25.5625,25.0,25.3125,513000
1997-07-16,23.8125,25.5625,23.75,25.5625,899600
1997-07-17,26.0625,26.25,23.9375,24.0,1286200
1997-07-18,25.875,26.5,25.3125,26.125,346200
1997-07-21,25.3125,25.8125,25.0,25.8125,216600
1997-07-22,25.625,25.875,25.125,25.125,351200
1997-07-23,25.0,26.125,25.0,25.625,507100
1997-07-24,24.625,25.75,24.25,25.0,412800
1997-07-25,24.625,25.0,24.1875,24.875,253000
1997-07-28,25.25,25.4375,24.375,24.875,953700
1997-07-29,26.6875,26.6875,25.5,25.5,1028100
1997-07-30,27.75,27.9375,26.6875,26.8125,801700
1997-07-31,26.8125,28.0,26.6875,27.875,458400
1997-08-01,26.625,27.0,26.25,26.3125,250100
1997-08-04,27.625,27.875,26.25,26.375,629700
1997-08-05,27.0625,28.4375,26.5,28.125,1157400
1997-08-06,26.5,27.125,26.25,27.0625,350500
1997-08-07,25.75,26.6875,25.75,26.5,456200
1997-08-08,25.25,25.6875,24.75,25.5,576100
1997-08-11,24.75,25.375,24.5,25.375,370400
1997-08-12,24.3125,25.4375,24.3125,25.0,910300
1997-08-13,24.375,25.1875,23.8125,24.5,416500
1997-08-14,24.0,24.75,23.9375,24.625,309000
1997-08-15,23.0625,24.0,22.875,24.0,1385300
1997-08-18,23.5,23.6875,22.9375,23.5625,551500
1997-08-19,24.25,24.25,23.375,23.375,380800
1997-08-20,25.625,25.625,24.6875,24.875,621500
1997-08-21,24.75,25.5625,24.5,25.375,479600
1997-08-22,24.5,24.625,24.0,24.125,408100
1997-08-25,24.3125,25.0625,24.1875,25.0,230200
