Date,Close,High,Low,Open,Volume
1981-12-31,8.1875,8.25,8.03125,8.140625,109600
1982-01-04,8.125,8.15625,8.125,8.15625,80800
1982-01-05,7.90625,8.125,7.90625,8.03125,138400
1982-01-06,7.71875,7.90625,7.65625,7.78125,151600
1982-01-07,7.65625,7.71875,7.625,7.6875,96800
1982-01-08,7.6875,7.75,7.65625,7.71875,258800
1982-01-11,7.46875,7.6875,7.46875,7.59375,160000
1982-01-12,7.28125,7.46875,7.125,7.3125,249200
1982-01-13,7.15625,7.3125,7.125,7.21875,227200
1982-01-14,7.1875,7.25,7.125,7.1875,52800
1982-01-15,7.25,7.3125,7.1875,7.25,75200
1982-01-18,7.09375,7.25,7.09375,7.1875,243200
1982-01-19,7.3125,7.34375,7.21875,7.28125,395600
1982-01-20,7.59375,7.65625,7.3125,7.5,548000
1982-01-21,7.75,7.8125,7.65625,7.75,395600
1982-01-22,7.71875,7.75,7.6875,7.71875,341600
1982-01-25,7.71875,7.71875,7.625,7.6875,253600
1982-01-26,7.65625,7.8125,7.65625,7.75,262800
1982-01-27,7.5,7.65625,7.5,7.59375,349600
1982-01-28,7.5,7.59375,7.46875,7.53125,154000
1982-01-29,7.8125,7.84375,7.5625,7.71875,309600
1982-02-01,7.625,7.78125,7.625,7.71875,272000
1982-02-02,7.625,7.6875,7.53125,7.625,140400
1982-02-03,7.5625,7.75,7.5625,7.65625,142000
1982-02-04,7.5625,7.625,7.53125,7.59375,93600
1982-02-05,7.875,7.90625,7.6875,7.8125,149600
1982-02-08,7.9375,8.0625,7.90625,8.0,177200
1982-02-09,8.0,8.03125,7.96875,8.0,108400
1982-02-10,7.9375,8.15625,7.9375,8.0625,299200
1982-02-11,7.9375,7.96875,7.9375,7.96875,138800
1982-02-12,7.9375,7.96875,7.90625,7.9375,42400
1982-02-16,7.71875,7.75,7.6875,7.71875,258400
1982-02-17,7.625,7.78125,7.625,7.71875,221200
1982-02-18,7.5625,7.65625,7.5,7.59375,101200
1982-02-19,7.40625,7.53125,7.40625,7.46875,254400
1982-02-22,7.4375,7.5625,7.4375,7.5,174800
1982-02-23,7.3125,7.40625,7.1875,7.3125,281200
1982-02-24,7.21875,7.3125,7.1875,7.25,208000
1982-02-25,7.1875,7.25,7.1875,7.21875,405200
1982-02-26,7.15625,7.25,7.15625,7.21875,72000
1982-03-01,7.125,7.28125,7.125,7.21875,287200
1982-03-02,7.125,7.21875,7.125,7.1875,124400
1982-03-03,7.0625,7.09375,7.0625,7.09375,262800
1982-03-04,6.96875,7.09375,6.96875,7.03125,157600
1982-03-05,6.90625,7.0,6.875,6.9375,179200
1982-03-08,6.28125,6.75,6.28125,6.53125,782800
1982-03-09,6.46875,6.59375,6.28125,6.4375,776400
1982-03-10,6.8125,6.90625,6.59375,6.75,308000
1982-03-11,6.65625,6.9375,6.65625,6.8125,330800
1982-03-12,6.5625,6.625,6.53125,6.59375,127200
1982-03-15,6.625,6.625,6.5625,6.59375,90400
1982-03-16,6.75,6.84375,6.59375,6.71875,618800
1982-03-17,6.78125,6.8125,6.6875,6.75,107200
1982-03-18,6.78125,6.84375,6.75,6.8125,57200
1982-03-19,6.78125,6.84375,6.78125,6.8125,84400
1982-03-22,7.0625,7.09375,6.8125,6.96875,164000
1982-03-23,6.90625,7.125,6.90625,7.03125,168400
1982-03-24,6.875,7.03125,6.84375,6.9375,237600
1982-03-25,6.9375,6.9375,6.875,6.90625,216000
1982-03-26,6.90625,6.96875,6.90625,6.9375,121600
1982-03-29,6.875,6.96875,6.875,6.9375,52400
1982-03-30,6.8125,6.90625,6.8125,6.875,319200
1982-03-31,6.5,6.8125,6.5,6.65625,320800
1982-04-01,6.78125,6.78125,6.46875,6.625,218800
1982-04-02,6.96875,6.96875,6.90625,6.9375,246400
1982-04-05,6.96875,7.0,6.90625,6.96875,410000
1982-04-06,6.90625,6.96875,6.875,6.9375,178800
1982-04-07,6.875,6.90625,6.84375,6.875,83600
1982-04-08,6.75,6.84375,6.71875,6.78125,164000
1982-04-12,6.65625,6.75,6.5625,6.65625,212400
1982-04-13,6.71875,6.8125,6.6875,6.75,404400
1982-04-14,6.78125,6.8125,6.75,6.78125,65200
1982-04-15,6.84375,6.875,6.78125,6.84375,219200
1982-04-16,6.8125,6.84375,6.78125,6.8125,575200
1982-04-19,6.875,6.90625,6.8125,6.875,898400
1982-04-20,7.0625,7.125,6.875,7.0,666400
1982-04-21,7.1875,7.375,7.03125,7.21875,321600
1982-04-22,7.34375,7.4375,7.15625,7.3125,471200
1982-04-23,7.5625,7.59375,7.3125,7.46875,490400
1982-04-26,7.78125,7.78125,7.59375,7.6875,366400
1982-04-27,7.90625,7.90625,7.8125,7.875,494800
1982-04-28,7.875,8.0625,7.84375,7.96875,573600
1982-04-29,7.71875,7.84375,7.71875,7.78125,323200
1982-04-30,7.75,7.75,7.6875,7.71875,163200
1982-05-03,7.71875,7.75,7.65625,7.71875,137200
1982-05-04,7.90625,8.0,7.71875,7.875,183200
1982-05-05,8.0,8.125,7.90625,8.03125,551200
1982-05-06,8.1875,8.25,8.0,8.125,432800
1982-05-07,8.5,8.5,8.28125,8.40625,802400
1982-05-10,8.40625,8.5,8.375,8.4375,1247200
1982-05-11,8.375,8.40625,8.1875,8.3125,540000
1982-05-12,8.25,8.375,8.21875,8.3125,216000
1982-05-13,8.1875,8.28125,8.1875,8.25,167200
1982-05-14,8.15625,8.21875,8.15625,8.1875,110800
1982-05-17,7.9375,8.125,7.90625,8.03125,153600
1982-05-18,7.8125,7.90625,7.78125,7.84375,148400
1982-05-19,7.75,7.8125,7.71875,7.78125,121200
1982-05-20,7.8125,7.8125,7.71875,7.78125,108800
1982-05-21,7.78125,7.875,7.6875,7.78125,179200
1982-05-24,7.71875,7.8125,7.6875,7.75,125600
1982-05-25,7.6875,7.8125,7.6875,7.75,214800
1982-05-26,7.4375,7.625,7.4375,7.53125,394800
1982-05-27,7.1875,7.4375,7.1875,7.3125,390000
1982-05-28,7.125,7.25,7.125,7.1875,459200
1982-06-01,7.1875,7.1875,7.09375,7.15625,567600
1982-06-02,7.25,7.28125,7.1875,7.25,371200
1982-06-03,7.25,7.34375,7.21875,7.28125,331200
1982-06-04,7.1875,7.3125,7.1875,7.25,218800
1982-06-07,7.25,7.25,7.125,7.1875,259200
1982-06-08,7.21875,7.25,7.21875,7.25,474800
1982-06-09,7.1875,7.21875,7.1875,7.21875,62800
1982-06-10,7.28125,7.28125,7.15625,7.21875,62000
1982-06-11,7.5,7.5625,7.375,7.46875,499600
1982-06-14,7.375,7.4375,7.375,7.40625,219200
1982-06-15,7.34375,7.40625,7.25,7.34375,152000
1982-06-16,7.4375,7.46875,7.3125,7.40625,234400
1982-06-17,7.4375,7.4375,7.375,7.40625,120000
1982-06-18,7.4375,7.46875,7.40625,7.4375,210800
1982-06-21,7.40625,7.4375,7.375,7.40625,84800
1982-06-22,7.46875,7.46875,7.40625,7.4375,199600
1982-06-23,7.53125,7.5625,7.46875,7.53125,248400
1982-06-24,7.5,7.59375,7.5,7.5625,338400
1982-06-25,7.5625,7.5625,7.53125,7.5625,125200
1982-06-28,7.875,7.9375,7.5625,7.75,404800
1982-06-29,7.96875,8.03125,7.90625,7.96875,300400
1982-06-30,7.875,8.03125,7.78125,7.90625,530800
1982-07-01,7.75,7.90625,7.75,7.84375,172400
1982-07-02,7.65625,7.78125,7.5625,7.6875,204000
1982-07-06,7.75,7.75,7.625,7.6875,122000
1982-07-07,7.84375,8.03125,7.78125,7.90625,433600
1982-07-08,7.90625,7.90625,7.625,7.78125,366000
1982-07-09,8.09375,8.125,7.9375,8.03125,582800
1982-07-12,8.46875,8.46875,8.25,8.34375,582400
1982-07-13,8.4375,8.5,8.375,8.4375,402000
1982-07-14,8.4375,8.4375,8.3125,8.375,230800
1982-07-15,8.4375,8.6875,8.4375,8.5625,827600
1982-07-16,8.5,8.5625,8.375,8.46875,253600
1982-07-19,8.34375,8.53125,8.34375,8.4375,165200
1982-07-20,8.5,8.5625,8.3125,8.4375,224800
1982-07-21,8.4375,8.5625,8.40625,8.5,257200
1982-07-22,8.4375,8.4375,8.34375,8.40625,83600
1982-07-23,8.40625,8.4375,8.375,8.40625,162000
1982-07-26,8.375,8.40625,8.375,8.40625,150800
1982-07-27,8.5,8.5625,8.375,8.46875,303200
1982-07-28,8.4375,8.5,8.4375,8.46875,247600
1982-07-29,8.3125,8.4375,8.1875,8.3125,147200
1982-07-30,8.34375,8.40625,8.28125,8.34375,109200
1982-08-02,8.5625,8.5625,8.28125,8.4375,486000
1982-08-03,8.59375,8.65625,8.53125,8.59375,271600
1982-08-04,8.4375,8.53125,8.4375,8.5,213600
1982-08-05,8.1875,8.4375,8.15625,8.3125,219200
1982-08-06,8.0625,8.21875,8.0625,8.15625,123200
1982-08-09,7.875,7.9375,7.75,7.84375,154400
1982-08-10,7.84375,7.9375,7.78125,7.875,112400
1982-08-11,7.8125,7.875,7.8125,7.84375,154800
1982-08-12,7.78125,7.90625,7.78125,7.84375,342400
1982-08-13,7.78125,7.8125,7.75,7.78125,317200
1982-08-16,7.84375,7.9375,7.78125,7.875,106400
1982-08-17,8.5,8.5,7.96875,8.25,323600
1982-08-18,8.4375,8.71875,8.40625,8.5625,498400
1982-08-19,8.40625,8.53125,8.375,8.46875,254000
1982-08-20,8.65625,8.65625,8.375,8.53125,249600
1982-08-23,9.25,9.28125,8.59375,8.9375,1258400
1982-08-24,9.125,9.3125,8.90625,9.125,1136400
1982-08-25,9.0625,9.28125,9.03125,9.15625,1352800
1982-08-26,9.25,9.5,9.03125,9.28125,1111200
1982-08-27,9.0625,9.3125,9.0625,9.1875,418000
1982-08-30,9.21875,9.21875,9.03125,9.125,246800
1982-08-31,9.46875,9.53125,9.28125,9.40625,1597600
1982-09-01,9.375,9.46875,9.375,9.4375,566400
1982-09-02,9.84375,9.875,9.34375,9.625,728000
1982-09-03,10.0,10.1875,9.78125,10.0,933200
1982-09-07,9.84375,10.03125,9.8125,9.9375,757600
1982-09-08,9.625,9.875,9.625,9.75,378800
1982-09-09,9.8125,9.9375,9.6875,9.8125,280800
1982-09-10,9.65625,9.75,9.5625,9.65625,351600
1982-09-13,9.75,9.78125,9.59375,9.6875,493600
1982-09-14,9.875,10.0,9.8125,9.90625,500000
1982-09-15,10.0625,10.0625,9.84375,9.96875,404000
1982-09-16,9.71875,10.0625,9.6875,9.875,1052000
1982-09-17,9.71875,9.75,9.71875,9.75,175600
1982-09-20,10.0625,10.0625,9.6875,9.875,547200
1982-09-21,10.09375,10.21875,9.96875,10.09375,350000
1982-09-22,9.875,10.25,9.875,10.0625,572400
1982-09-23,9.8125,9.90625,9.75,9.84375,244800
1982-09-24,9.84375,9.90625,9.75,9.84375,588400
1982-09-27,10.03125,10.09375,9.75,9.9375,355200
1982-09-28,10.0625,10.25,10.0625,10.15625,338800
1982-09-29,9.875,10.0625,9.84375,9.96875,389200
1982-09-30,9.78125,9.84375,9.75,9.8125,221200
1982-10-01,9.78125,9.8125,9.75,9.78125,542400
1982-10-04,9.71875,9.8125,9.71875,9.78125,284400
1982-10-05,9.78125,9.875,9.78125,9.84375,384000
1982-10-06,10.0,10.0,9.8125,9.90625,408800
1982-10-07,10.4375,10.5,10.1875,10.34375,1107600
1982-10-08,10.5625,10.75,10.375,10.5625,851600
1982-10-11,10.65625,10.84375,10.59375,10.71875,491200
1982-10-12,10.25,10.59375,10.15625,10.28125,528400
1982-10-13,9.96875,10.1875,9.9375,9.96875,451200
1982-10-14,9.875,10.09375,9.84375,9.96875,1261200
1982-10-15,9.84375,9.875,9.71875,9.8125,363600
1982-10-18,10.0,10.0,9.3125,9.65625,293600
1982-10-19,10.21875,10.34375,10.0,10.1875,540000
1982-10-20,10.6875,10.75,10.25,10.5,612000
1982-10-21,10.65625,10.75,10.46875,10.625,634800
1982-10-22,10.75,11.03125,10.65625,10.84375,648000
1982-10-25,10.09375,10.53125,9.96875,10.25,1237200
1982-10-26,10.125,10.125,9.71875,9.9375,499200
1982-10-27,10.1875,10.25,10.09375,10.1875,120400
1982-10-28,10.03125,10.125,10.03125,10.09375,347600
1982-10-29,10.0625,10.09375,9.96875,10.03125,403200
1982-11-01,10.21875,10.25,10.03125,10.15625,703600
1982-11-02,10.8125,10.9375,10.375,10.65625,1563600
1982-11-03,11.25,11.28125,10.65625,10.96875,1577600
1982-11-04,11.125,11.75,10.875,11.3125,1644400
