Date,Close,High,Low,Open,Volume
1992-02-13,2.046875,2.09375,2.0,2.0,18506400
1992-02-14,2.25,2.28125,2.0625,2.0625,3128000
1992-02-18,2.0625,2.28125,2.0625,2.21875,2584800
1992-02-19,2.15625,2.15625,2.03125,2.09375,2454400
1992-02-20,2.21875,2.28125,2.125,2.125,1304000
1992-02-21,2.28125,2.28125,2.21875,2.21875,616800
1992-02-24,2.3125,2.3125,2.21875,2.21875,772800
1992-02-25,2.28125,2.3125,2.25,2.265625,517600
1992-02-26,2.34375,2.34375,2.25,2.3125,851200
1992-02-27,2.40625,2.4375,2.28125,2.28125,555200
1992-02-28,2.53125,2.59375,2.375,2.4375,1108800
1992-03-02,2.5625,2.609375,2.46875,2.59375,873600
1992-03-03,2.46875,2.5625,2.4375,2.546875,512000
1992-03-04,2.4375,2.53125,2.4375,2.46875,163200
1992-03-05,2.34375,2.53125,2.34375,2.53125,707200
1992-03-06,2.34375,2.4375,2.34375,2.390625,765600
1992-03-09,2.390625,2.4375,2.34375,2.34375,766400
1992-03-10,2.4375,2.4375,2.34375,2.34375,93600
1992-03-11,2.453125,2.53125,2.4375,2.5,222400
1992-03-12,2.4375,2.53125,2.4375,2.4375,89600
1992-03-13,2.53125,2.5625,2.4375,2.4375,211200
1992-03-16,2.5625,2.5625,2.5,2.5,94400
1992-03-17,2.46875,2.5625,2.46875,2.46875,150400
1992-03-18,2.46875,2.46875,2.46875,2.46875,52000
1992-03-19,2.4375,2.5625,2.4375,2.5625,68800
1992-03-20,2.53125,2.53125,2.4375,2.4375,124800
1992-03-23,2.484375,2.515625,2.4375,2.4375,314400
1992-03-24,2.4375,2.515625,2.4375,2.46875,437600
1992-03-25,2.46875,2.53125,2.4375,2.53125,79200
1992-03-26,2.40625,2.421875,2.40625,2.40625,47200
1992-03-27,2.5,2.5,2.4375,2.5,79200
1992-03-30,2.46875,2.5,2.4375,2.4375,46400
1992-03-31,2.5,2.5,2.4375,2.4375,107200
1992-04-01,2.4375,2.5,2.40625,2.4375,356000
1992-04-02,2.46875,2.5,2.4375,2.5,51200
1992-04-03,2.46875,2.5,2.4375,2.4375,116800
1992-04-06,2.4375,2.5,2.4375,2.4375,71200
1992-04-07,2.5,2.5625,2.4375,2.4375,116000
1992-04-08,2.5,2.5,2.4375,2.4375,247200
1992-04-09,2.46875,2.53125,2.4375,2.4375,36000
1992-04-10,2.46875,2.53125,2.46875,2.46875,87200
1992-04-13,2.46875,2.53125,2.46875,2.46875,16000
1992-04-14,2.46875,2.53125,2.46875,2.53125,25600
1992-04-15,2.4375,2.5,2.4375,2.46875,84800
1992-04-16,2.4375,2.5,2.4375,2.46875,62400
1992-04-20,2.375,2.40625,2.375,2.40625,59200
1992-04-21,2.375,2.375,2.375,2.375,7200
1992-04-22,2.46875,2.46875,2.375,2.375,7200
1992-04-23,2.375,2.421875,2.375,2.375,179200
1992-04-24,2.40625,2.4375,2.34375,2.375,252800
1992-04-27,2.34375,2.4375,2.34375,2.34375,62400
1992-04-28,2.25,2.34375,2.25,2.3125,99200
1992-04-29,2.28125,2.34375,2.25,2.34375,552000
1992-04-30,2.25,2.34375,2.25,2.34375,128000
1992-05-01,2.3125,2.3125,2.3125,2.3125,6400
1992-05-04,2.3125,2.3125,2.25,2.25,38400
1992-05-05,2.25,2.25,2.203125,2.25,55200
1992-05-06,2.1875,2.25,2.1875,2.1875,461600
1992-05-07,2.125,2.1875,2.125,2.1875,28800
1992-05-08,2.15625,2.25,2.125,2.125,551200
1992-05-11,2.25,2.25,2.15625,2.15625,135200
1992-05-12,2.21875,2.34375,2.15625,2.15625,291200
1992-05-13,2.234375,2.3125,2.234375,2.3125,52800
1992-05-14,2.21875,2.234375,2.21875,2.21875,326400
1992-05-15,2.21875,2.21875,2.21875,2.21875,800
1992-05-18,2.21875,2.21875,2.21875,2.21875,2400
1992-05-19,2.21875,2.21875,2.21875,2.21875,27200
1992-05-20,2.15625,2.25,2.15625,2.1875,62400
1992-05-21,2.09375,2.15625,2.03125,2.15625,151200
1992-05-22,2.0625,2.09375,2.03125,2.09375,77600
1992-05-26,1.921875,1.9375,1.75,1.9375,1848800
1992-05-27,1.96875,2.0,1.875,1.875,980000
1992-05-28,1.890625,2.0,1.84375,1.921875,801600
1992-05-29,1.875,1.90625,1.859375,1.90625,256000
1992-06-01,1.875,1.90625,1.8125,1.84375,144800
1992-06-02,1.859375,1.90625,1.8125,1.90625,235200
1992-06-03,1.8125,1.90625,1.8125,1.90625,50400
1992-06-04,1.875,1.875,1.8125,1.8125,874400
1992-06-05,1.875,1.875,1.875,1.875,4000
1992-06-08,1.90625,1.90625,1.90625,1.90625,1600
1992-06-09,1.828125,1.875,1.8125,1.8125,1157600
1992-06-10,1.8125,1.875,1.8125,1.875,16800
1992-06-11,1.875,1.875,1.8125,1.84375,36000
1992-06-12,1.8125,1.875,1.8125,1.875,104000
1992-06-15,1.75,1.8125,1.71875,1.8125,316800
1992-06-16,1.78125,1.78125,1.71875,1.78125,108000
1992-06-17,1.734375,1.75,1.71875,1.71875,243200
1992-06-18,1.6875,1.703125,1.65625,1.6875,1378400
1992-06-19,1.75,1.75,1.65625,1.65625,1427200
1992-06-22,1.6875,1.75,1.6875,1.75,14400
1992-06-23,1.71875,1.71875,1.65625,1.65625,6400
1992-06-24,1.671875,1.703125,1.65625,1.703125,1123200
1992-06-25,1.625,1.75,1.625,1.75,159200
1992-06-26,1.5625,1.65625,1.46875,1.59375,258400
1992-06-29,1.59375,1.59375,1.5625,1.5625,1517600
1992-06-30,1.578125,1.59375,1.46875,1.59375,27200
1992-07-01,1.59375,1.625,1.59375,1.59375,194400
1992-07-02,1.625,1.6875,1.59375,1.6875,143200
1992-07-06,1.625,1.625,1.609375,1.609375,400000
1992-07-07,1.5625,1.6875,1.5625,1.6875,1510400
1992-07-08,1.515625,1.625,1.5,1.5625,1468000
1992-07-09,1.53125,1.625,1.46875,1.46875,408800
1992-07-10,1.640625,1.65625,1.5625,1.5625,88000
1992-07-13,1.578125,1.65625,1.546875,1.65625,198400
1992-07-14,1.5625,1.5625,1.53125,1.53125,644000
1992-07-15,1.640625,1.65625,1.59375,1.609375,330400
1992-07-16,1.578125,1.625,1.546875,1.625,175200
1992-07-17,1.484375,1.5,1.4375,1.5,673600
1992-07-20,1.5,1.5625,1.4375,1.5,31200
1992-07-21,1.53125,1.53125,1.53125,1.53125,5600
1992-07-22,1.4375,1.5625,1.4375,1.4375,659200
1992-07-23,1.53125,1.5625,1.4375,1.5625,177600
1992-07-24,1.484375,1.484375,1.4375,1.4375,48000
1992-07-27,1.53125,1.53125,1.4375,1.4375,4000
1992-07-28,1.46875,1.515625,1.46875,1.5,587200
1992-07-29,1.53125,1.53125,1.46875,1.46875,30400
1992-07-30,1.625,1.625,1.46875,1.484375,1344000
1992-07-31,1.5625,1.625,1.5625,1.625,6400
1992-08-03,1.6875,1.6875,1.5625,1.5625,77600
1992-08-04,1.625,1.671875,1.625,1.625,247200
1992-08-05,1.6875,1.71875,1.6875,1.703125,283200
1992-08-06,1.703125,1.703125,1.625,1.625,7200
1992-08-07,1.65625,1.65625,1.625,1.625,301600
1992-08-10,1.703125,1.71875,1.703125,1.71875,80000
1992-08-11,1.625,1.6875,1.625,1.671875,299200
1992-08-12,1.625,1.75,1.5625,1.75,232000
1992-08-13,1.546875,1.5625,1.53125,1.5625,480000
1992-08-14,1.59375,1.59375,1.59375,1.59375,6400
1992-08-17,1.53125,1.59375,1.53125,1.59375,576800
1992-08-18,1.546875,1.59375,1.53125,1.59375,142400
1992-08-19,1.546875,1.5625,1.53125,1.53125,177600
1992-08-20,1.546875,1.546875,1.546875,1.546875,0
1992-08-21,1.5625,1.5625,1.53125,1.53125,27200
1992-08-24,1.59375,1.59375,1.46875,1.46875,38400
1992-08-25,1.515625,1.53125,1.5,1.515625,196000
1992-08-26,1.515625,1.5625,1.46875,1.46875,2765600
1992-08-27,1.484375,1.515625,1.46875,1.46875,93600
1992-08-28,1.53125,1.53125,1.53125,1.53125,8000
1992-08-31,1.46875,1.5625,1.46875,1.5625,10400
1992-09-01,1.5,1.546875,1.46875,1.46875,138400
1992-09-02,1.46875,1.46875,1.46875,1.46875,20000
1992-09-03,1.5625,1.59375,1.5,1.5625,556000
1992-09-04,1.578125,1.578125,1.5,1.5,5600
1992-09-08,1.515625,1.5625,1.5,1.546875,352800
1992-09-09,1.578125,1.578125,1.5,1.5,652000
1992-09-10,1.53125,1.625,1.53125,1.53125,26400
1992-09-11,1.6875,1.75,1.625,1.65625,232800
1992-09-14,1.90625,2.25,1.8125,1.8125,1387200
1992-09-15,1.9375,1.9375,1.8125,1.9375,123200
1992-09-16,2.140625,2.1875,1.875,1.875,944800
1992-09-17,1.96875,2.1875,1.96875,2.1875,203200
1992-09-18,2.0,2.03125,2.0,2.03125,519200
1992-09-21,2.0625,2.0625,1.921875,2.03125,1224000
1992-09-22,2.015625,2.0625,1.953125,1.953125,854400
1992-09-23,2.0625,2.0625,1.9375,2.0625,35200
1992-09-24,2.03125,2.0625,1.9375,2.0625,23200
1992-09-25,2.0,2.0,1.9375,1.9375,62400
1992-09-28,1.953125,2.03125,1.9375,1.9375,144800
1992-09-29,2.0625,2.0625,1.953125,2.0,18400
1992-09-30,1.9375,1.9375,1.9375,1.9375,3200
1992-10-01,2.0625,2.0625,2.0625,2.0625,41600
1992-10-02,2.0625,2.078125,2.03125,2.0625,102400
1992-10-05,1.984375,1.984375,1.953125,1.953125,156000
1992-10-06,1.9375,2.03125,1.9375,1.9375,102400
1992-10-07,2.0,2.0,1.9375,1.9375,18400
1992-10-08,2.03125,2.03125,1.9375,2.0,456800
1992-10-09,1.96875,2.03125,1.96875,2.03125,23200
1992-10-12,1.9375,2.03125,1.9375,2.03125,6400
1992-10-13,2.09375,2.15625,1.9375,1.9375,253600
1992-10-14,2.109375,2.109375,2.0625,2.0625,105600
1992-10-15,2.0625,2.125,2.03125,2.03125,129600
1992-10-16,2.125,2.125,2.03125,2.03125,6400
1992-10-19,2.09375,2.125,2.0625,2.125,457600
1992-10-20,2.109375,2.15625,2.0625,2.125,261600
1992-10-21,2.140625,2.140625,2.0625,2.140625,244000
1992-10-22,2.0625,2.140625,2.0625,2.0625,113600
1992-10-23,2.125,2.15625,2.125,2.15625,140800
1992-10-26,2.15625,2.1875,2.09375,2.09375,62400
1992-10-27,2.28125,2.375,2.15625,2.1875,782400
1992-10-28,2.375,2.375,2.25,2.375,16000
1992-10-29,2.375,2.375,2.25,2.359375,102400
1992-10-30,2.25,2.40625,2.25,2.25,77600
1992-11-02,2.25,2.25,2.25,2.25,0
1992-11-03,2.3125,2.3125,2.25,2.25,4000
1992-11-04,2.3125,2.40625,2.3125,2.3125,116000
1992-11-05,2.3125,2.40625,2.3125,2.40625,134400
1992-11-06,2.375,2.375,2.34375,2.375,13600
1992-11-09,2.34375,2.4375,2.3125,2.375,91200
1992-11-10,2.5,2.53125,2.3125,2.4375,419200
1992-11-11,2.53125,2.53125,2.4375,2.4375,46400
1992-11-12,2.53125,2.53125,2.4375,2.53125,24800
1992-11-13,2.28125,2.5,2.28125,2.4375,148800
1992-11-16,2.28125,2.40625,2.28125,2.40625,132800
1992-11-17,2.125,2.359375,2.125,2.328125,285600
1992-11-18,2.125,2.140625,2.03125,2.125,566400
1992-11-19,2.15625,2.1875,2.09375,2.125,196800
1992-11-20,2.25,2.296875,2.125,2.125,126400
1992-11-23,2.25,2.25,2.25,2.25,0
1992-11-24,2.15625,2.28125,2.15625,2.203125,260800
1992-11-25,2.34375,2.34375,2.25,2.265625,173600
1992-11-27,2.328125,2.34375,2.28125,2.28125,17600
1992-11-30,2.25,2.34375,2.25,2.25,397600
1992-12-01,2.328125,2.34375,2.25,2.25,77600
1992-12-02,2.328125,2.34375,2.25,2.25,92000
1992-12-03,2.34375,2.34375,2.265625,2.296875,105600
1992-12-04,2.34375,2.34375,2.25,2.25,29600
1992-12-07,2.28125,2.28125,2.28125,2.28125,8000
1992-12-08,2.34375,2.34375,2.28125,2.28125,46400
1992-12-09,2.375,2.46875,2.34375,2.34375,76800
1992-12-10,2.34375,2.46875,2.34375,2.4375,82400
1992-12-11,2.34375,2.34375,2.34375,2.34375,1600
1992-12-14,2.34375,2.34375,2.34375,2.34375,4000
1992-12-15,2.375,2.46875,2.34375,2.46875,26400
1992-12-16,2.21875,2.40625,2.21875,2.34375,81600
1992-12-17,2.28125,2.28125,2.21875,2.25,16800
1992-12-18,2.28125,2.28125,2.25,2.28125,16800
1992-12-21,2.28125,2.28125,2.28125,2.28125,48000
1992-12-22,2.25,2.28125,2.21875,2.25,154400
1992-12-23,2.25,2.28125,2.21875,2.28125,6400
1992-12-24,2.28125,2.28125,2.28125,2.28125,4800
1992-12-28,2.28125,2.28125,2.21875,2.21875,20800
1992-12-29,2.25,2.25,2.21875,2.21875,8000
1992-12-30,2.28125,2.3125,2.1875,2.1875,76000
1992-12-31,2.25,2.28125,2.203125,2.21875,167200
1993-01-04,2.25,2.25,2.21875,2.21875,177600
1993-01-05,2.375,2.375,2.25,2.25,1566400
1993-01-06,2.4375,2.46875,2.375,2.375,880000
1993-01-07,2.484375,2.5,2.40625,2.4375,764800
1993-01-08,2.40625,2.5,2.40625,2.5,374400
1993-01-11,2.46875,2.46875,2.40625,2.4375,1232000
1993-01-12,2.46875,2.5,2.4375,2.46875,466400
1993-01-13,2.5,2.5,2.40625,2.40625,69600
1993-01-14,2.5,2.5,2.4375,2.5,330400
1993-01-15,2.78125,2.78125,2.40625,2.5,2082400
1993-01-18,2.59375,2.84375,2.59375,2.75,349600
1993-01-19,2.671875,2.75,2.59375,2.59375,583200
1993-01-20,2.71875,2.71875,2.65625,2.71875,1062400
1993-01-21,2.6875,2.75,2.625,2.75,488000
1993-01-22,2.703125,2.75,2.65625,2.75,1213600
1993-01-25,2.84375,2.84375,2.71875,2.75,1308000
1993-01-26,2.875,2.875,2.75,2.84375,651200
1993-01-27,2.875,2.875,2.78125,2.875,475200
1993-01-28,2.84375,2.90625,2.8125,2.90625,194400
1993-01-29,3.125,3.15625,2.875,2.875,576000
1993-02-01,3.0625,3.3125,3.0625,3.15625,1063200
1993-02-02,3.15625,3.15625,3.0625,3.125,83200
1993-02-03,3.125,3.15625,3.0,3.125,951200
1993-02-04,3.09375,3.25,3.0625,3.09375,686400
1993-02-05,3.09375,3.21875,3.0625,3.21875,64000
1993-02-08,3.21875,3.21875,3.125,3.15625,898400
1993-02-09,3.53125,3.5625,3.21875,3.21875,453600
1993-02-10,3.375,3.5625,3.28125,3.4375,339200
1993-02-11,3.4375,3.46875,3.375,3.40625,339200
