Date,Close,High,Low,Open,Volume
1999-06-16,8.875,9.3125,8.125,9.0625,5718100
1999-06-17,8.6875,8.875,7.75,8.75,542200
1999-06-18,9.0,9.125,8.5625,8.5625,557600
1999-06-21,9.25,9.75,9.0,9.0625,218000
1999-06-22,9.0625,9.5,9.0,9.0625,281400
1999-06-23,9.375,9.5,9.0,9.0,395200
1999-06-24,9.125,9.625,9.0,9.375,238100
1999-06-25,9.1875,9.21875,9.0,9.125,172400
1999-06-28,9.25,9.375,9.0,9.0,81400
1999-06-29,9.375,10.25,9.25,9.375,321500
1999-06-30,9.6875,10.125,9.375,9.375,429900
1999-07-01,9.9375,10.375,9.5,9.8125,363500
1999-07-02,10.875,10.875,10.125,10.125,460800
1999-07-06,10.6875,11.0,10.5,10.875,565900
1999-07-07,10.875,11.125,10.375,10.6875,270500
1999-07-08,12.25,13.0,11.375,11.75,1793800
1999-07-09,13.5,13.75,12.1875,12.25,1738400
1999-07-12,14.8125,15.375,13.625,14.0,5465000
1999-07-13,13.375,15.3125,12.625,15.3125,2568600
1999-07-14,13.375,13.75,11.875,13.75,970700
1999-07-15,13.125,14.0,12.75,13.8125,572700
1999-07-16,14.0,14.25,13.1875,13.375,793100
1999-07-19,14.0,14.375,13.5,14.25,336500
1999-07-20,12.9375,14.0625,12.5,14.0,324300
1999-07-21,12.5,13.3125,12.5,13.0,237600
1999-07-22,12.0,12.75,11.875,12.75,165100
1999-07-23,11.5,12.25,11.0,12.125,178500
1999-07-26,10.375,11.5,9.75,11.5,363400
1999-07-27,10.375,10.875,9.875,10.40625,312600
1999-07-28,11.25,11.875,10.25,10.5625,176700
1999-07-29,11.375,11.75,10.5625,11.0,165400
1999-07-30,11.125,12.0625,10.5,11.375,237500
1999-08-02,11.25,13.25,10.875,11.5,503900
1999-08-03,12.125,12.5,11.625,11.75,265300
1999-08-04,11.5,12.0625,11.25,12.0,186900
1999-08-05,11.625,11.625,10.25,11.375,188600
1999-08-06,11.0,11.5,10.5,11.5,77400
1999-08-09,10.0,11.4375,9.875,11.0625,105900
1999-08-10,9.15625,10.25,9.0625,9.875,369700
1999-08-11,9.875,10.0,9.125,9.5,351000
1999-08-12,10.9375,11.5,10.0,10.4375,413900
1999-08-13,11.0,11.625,10.625,11.375,275600
1999-08-16,10.875,11.25,10.75,11.25,98900
1999-08-17,11.5,11.5,10.875,11.0,149100
1999-08-18,10.9375,11.625,10.9375,11.5,100300
1999-08-19,11.125,11.3125,10.75,10.96875,39200
1999-08-20,11.25,11.375,11.0,11.25,42400
1999-08-23,10.9375,11.5,10.875,11.4375,65000
1999-08-24,11.125,11.25,10.625,11.25,108000
1999-08-25,11.0,11.25,10.875,10.875,112800
1999-08-26,10.9375,11.09375,10.75,11.09375,135500
1999-08-27,10.9375,11.0625,10.625,10.9375,434800
1999-08-30,11.0,11.25,10.875,11.0,88500
1999-08-31,11.4375,11.4375,10.8125,11.0,153000
1999-09-01,11.25,11.9375,11.125,11.4375,87000
1999-09-02,11.0625,11.375,10.8125,11.25,80800
1999-09-03,11.75,11.75,11.0,11.21875,91900
1999-09-07,11.3125,12.0625,11.25,12.0,58300
1999-09-08,11.375,11.4375,11.25,11.375,96100
1999-09-09,12.5,12.625,11.3125,11.40625,179900
1999-09-10,12.5625,13.5,12.3125,12.5,249300
1999-09-13,12.4375,12.9375,11.8125,12.8125,363900
1999-09-14,13.0,13.0,12.25,12.5,238300
1999-09-15,13.375,13.5,12.875,12.9375,271500
1999-09-16,13.1875,13.75,13.125,13.71875,159600
1999-09-17,13.75,13.75,13.125,13.3125,199700
1999-09-20,12.9375,13.6875,12.5,13.6875,90500
1999-09-21,12.625,13.1875,12.375,12.84375,129200
1999-09-22,13.4375,13.5625,12.6875,12.71875,92200
1999-09-23,12.8125,13.5,12.625,13.0625,146000
1999-09-24,12.375,13.0,12.25,12.875,148000
1999-09-27,12.6875,13.25,12.0,12.71875,127500
1999-09-28,12.25,12.6875,11.75,12.09375,85200
1999-09-29,11.25,12.125,11.25,12.0,160200
1999-09-30,10.875,11.625,10.0,11.5,134900
1999-10-01,10.9375,11.0625,10.5,10.5,113100
1999-10-04,11.0,11.125,10.875,10.96875,146400
1999-10-05,10.3125,11.5,10.25,11.03125,64900
1999-10-06,10.9375,11.375,10.625,11.0,90800
1999-10-07,10.625,11.0625,10.5625,11.0,69800
1999-10-08,11.0,11.125,10.625,10.6875,54200
1999-10-11,10.75,11.0,10.625,10.9375,25400
1999-10-12,10.25,10.9375,10.0625,10.75,54600
1999-10-13,10.0,10.59375,10.0,10.59375,37900
1999-10-14,10.375,10.4375,10.0,10.1875,204700
1999-10-15,10.0,10.5,9.4375,10.1875,140700
1999-10-18,11.0,11.0,9.5625,9.78125,98700
1999-10-19,10.4375,11.0625,10.25,10.71875,121200
1999-10-20,9.6875,10.875,9.6875,10.5625,47400
1999-10-21,10.125,10.75,9.5,9.65625,52100
1999-10-22,10.0,10.625,9.75,10.4375,17800
1999-10-25,9.75,10.1875,9.75,10.0,26400
1999-10-26,10.0625,10.25,9.875,10.0,39700
1999-10-27,10.0,10.125,9.9375,10.125,27800
1999-10-28,9.9375,10.0,9.5,10.0,109400
1999-10-29,9.75,10.5,9.5625,10.0,47900
1999-11-01,9.625,10.0,9.5,9.890625,58100
1999-11-02,9.625,10.25,9.625,9.6875,68900
1999-11-03,9.5,10.0,9.5,9.75,191200
1999-11-04,9.875,10.125,9.5,10.0,123900
1999-11-05,9.875,10.0,9.625,9.875,184800
1999-11-08,10.625,10.625,9.875,9.9375,218000
1999-11-09,12.0,12.0,10.25,10.40625,170600
1999-11-10,13.25,13.4375,11.5,11.75,439400
1999-11-11,14.875,17.75,13.125,13.125,2641000
1999-11-12,12.25,15.0625,11.5,15.0,883700
1999-11-15,12.25,13.0,12.1875,12.75,203400
1999-11-16,11.875,12.5,11.75,12.375,186100
1999-11-17,12.0625,12.4375,10.875,11.40625,273100
1999-11-18,12.0,12.3125,11.375,11.84375,353300
1999-11-19,12.0,12.625,11.9375,12.3125,425600
1999-11-22,12.0625,12.375,11.6875,12.28125,241800
1999-11-23,11.5,12.0,11.3125,11.90625,120600
1999-11-24,11.1875,11.375,10.75,10.84375,254300
1999-11-26,11.25,12.5625,11.0,11.1875,138800
1999-11-29,11.25,11.375,10.75,11.25,398300
1999-11-30,11.5,12.0,11.1875,11.4375,123500
1999-12-01,11.4375,11.875,11.0625,11.875,117900
1999-12-02,11.75,11.875,11.3125,11.4375,83400
1999-12-03,12.9375,13.875,12.25,13.4375,388900
1999-12-06,13.0625,14.0,13.0,13.46875,441000
1999-12-07,13.625,13.875,13.0,13.25,433700
1999-12-08,14.0,14.25,13.375,14.0,281000
1999-12-09,14.125,14.25,14.0,14.125,196600
1999-12-10,14.25,14.625,14.0625,14.15625,425900
1999-12-13,14.1875,15.5625,14.0625,14.4375,351600
1999-12-14,14.4375,14.75,13.875,14.375,233000
1999-12-15,13.75,15.125,13.75,14.5,230000
1999-12-16,15.0,15.125,13.75,13.75,379800
1999-12-17,15.875,16.75,14.75,15.0625,549200
1999-12-20,17.125,18.0,15.875,15.9375,697000
1999-12-21,16.25,18.375,15.375,17.625,455200
1999-12-22,17.0,17.0,15.5,15.875,281800
1999-12-23,16.875,17.25,16.625,16.8125,86800
1999-12-27,17.0,17.1875,16.25,17.125,172800
1999-12-28,17.5,17.5,16.625,16.75,248800
1999-12-29,17.5,17.625,16.5625,16.90625,79000
1999-12-30,18.0,18.3125,17.25,17.375,118100
