Date,Close,High,Low,Open,Volume
1981-12-31,13.96875,14.0,13.875,13.9375,449200
1982-01-04,13.6875,13.96875,13.5,13.75,630400
1982-01-05,13.0,13.46875,13.0,13.25,1076800
1982-01-06,12.875,12.96875,12.75,12.875,1560400
1982-01-07,12.625,12.9375,12.5,12.71875,1303600
1982-01-08,12.78125,12.90625,12.6875,12.8125,991200
1982-01-11,12.3125,12.9375,12.25,12.59375,1479600
1982-01-12,12.65625,12.6875,12.28125,12.5,1089600
1982-01-13,12.375,13.0625,12.21875,12.65625,1231200
1982-01-14,12.65625,12.65625,12.375,12.53125,1068400
1982-01-15,12.6875,12.75,12.59375,12.6875,724400
1982-01-18,12.78125,12.78125,12.40625,12.59375,897600
1982-01-19,12.40625,12.78125,12.40625,12.59375,722000
1982-01-20,12.1875,12.4375,11.96875,12.21875,1852800
1982-01-21,12.0625,12.3125,11.9375,12.125,1187200
1982-01-22,11.8125,12.15625,11.8125,12.0,868000
1982-01-25,12.46875,12.46875,11.6875,12.09375,1900800
1982-01-26,12.1875,12.53125,12.1875,12.375,1143200
1982-01-27,12.53125,12.6875,12.25,12.46875,1310800
1982-01-28,13.0625,13.09375,12.625,12.875,1169200
1982-01-29,13.5,13.59375,13.28125,13.4375,2861600
1982-02-01,12.71875,13.21875,12.65625,12.9375,1345200
1982-02-02,12.75,12.90625,12.625,12.78125,1434400
1982-02-03,12.21875,12.875,12.125,12.5,1294800
1982-02-04,12.5,12.5,12.125,12.3125,1818000
1982-02-05,12.625,12.875,12.40625,12.65625,1472000
1982-02-08,12.03125,12.4375,12.0,12.21875,1396400
1982-02-09,12.15625,12.3125,11.875,12.09375,1279200
1982-02-10,12.25,12.5625,12.15625,12.375,1146000
1982-02-11,11.9375,12.3125,11.875,12.09375,1359200
1982-02-12,12.0,12.125,11.90625,12.03125,1182800
1982-02-16,12.4375,12.4375,11.75,12.09375,1678400
1982-02-17,12.25,12.4375,12.21875,12.34375,1125200
1982-02-18,12.34375,12.4375,12.1875,12.3125,765200
1982-02-19,12.21875,12.40625,12.125,12.28125,774800
1982-02-22,11.6875,12.40625,11.65625,12.03125,1422000
1982-02-23,11.75,11.90625,11.4375,11.6875,1600800
1982-02-24,12.28125,12.34375,11.78125,12.0625,1030000
1982-02-25,12.09375,12.28125,11.875,12.09375,789200
1982-02-26,11.96875,12.125,11.90625,12.03125,640000
1982-03-01,11.75,12.03125,11.5625,11.8125,977600
1982-03-02,11.0625,11.84375,11.03125,11.4375,1373200
1982-03-03,10.75,10.8125,10.5625,10.6875,2811200
1982-03-04,10.75,10.9375,10.4375,10.6875,4486800
1982-03-05,10.78125,10.84375,10.53125,10.6875,2571200
1982-03-08,10.0625,10.96875,10.0,10.5,2307600
1982-03-09,10.59375,11.0,10.09375,10.5625,2858800
1982-03-10,10.875,11.125,10.5,10.8125,1601600
1982-03-11,10.8125,10.96875,10.625,10.8125,1247200
1982-03-12,10.65625,10.84375,10.59375,10.71875,1305600
1982-03-15,11.0,11.03125,10.625,10.84375,1224400
1982-03-16,10.84375,11.125,10.8125,10.96875,1113200
1982-03-17,10.65625,10.96875,10.625,10.8125,759600
1982-03-18,10.875,10.96875,10.65625,10.8125,1245200
1982-03-19,10.71875,10.9375,10.65625,10.875,1400800
1982-03-22,11.0625,11.0625,10.78125,10.9375,1125600
1982-03-23,11.0625,11.125,10.84375,11.0,1092800
1982-03-24,11.125,11.25,10.96875,11.125,1596800
1982-03-25,11.0,11.3125,10.9375,11.125,1070400
1982-03-26,10.625,10.96875,10.53125,10.75,1150400
1982-03-29,10.75,10.75,10.46875,10.625,644800
1982-03-30,10.65625,10.71875,10.5625,10.65625,793200
1982-03-31,10.65625,10.78125,10.59375,10.6875,1119200
1982-04-01,11.0625,11.0625,10.5625,10.8125,1167600
1982-04-02,11.4375,11.53125,11.09375,11.3125,1537200
1982-04-05,11.1875,11.4375,11.0625,11.25,699600
1982-04-06,11.40625,11.4375,11.1875,11.3125,776000
1982-04-07,11.53125,11.625,11.40625,11.53125,1457600
1982-04-08,11.6875,11.875,11.53125,11.71875,1549600
1982-04-12,11.53125,11.71875,11.5,11.625,884800
1982-04-13,11.4375,11.65625,11.40625,11.53125,804400
1982-04-14,11.40625,11.4375,11.25,11.34375,692800
1982-04-15,11.3125,11.375,11.21875,11.3125,452800
1982-04-16,11.375,11.5625,11.28125,11.3125,768800
1982-04-19,11.21875,11.40625,11.1875,11.3125,713600
1982-04-20,10.84375,11.1875,10.75,10.96875,1103600
1982-04-21,10.5625,10.71875,10.34375,10.53125,2250800
1982-04-22,11.21875,11.21875,10.6875,10.96875,2845600
1982-04-23,11.75,11.8125,11.4375,11.625,2343200
1982-04-26,12.0,12.21875,11.6875,11.96875,2468000
1982-04-27,11.625,12.0,11.53125,11.78125,1718400
1982-04-28,11.65625,11.75,11.4375,11.59375,1735600
1982-04-29,11.53125,11.75,11.5,11.625,1164800
1982-04-30,11.5,11.6875,11.5,11.59375,911200
1982-05-03,11.65625,11.6875,11.4375,11.5625,1023200
1982-05-04,11.9375,11.96875,11.6875,11.84375,1966800
1982-05-05,11.84375,12.03125,11.6875,11.875,1378800
