Date,Close,High,Low,Open,Volume
1996-08-30,4.8125,4.84375,4.8125,4.84375,46800
1996-09-03,4.75,4.75,4.71875,4.75,20000
1996-09-04,4.78125,4.78125,4.78125,4.78125,2000
1996-09-05,4.71875,4.78125,4.71875,4.78125,24800
1996-09-06,4.75,4.78125,4.75,4.75,9600
1996-09-09,4.78125,4.78125,4.78125,4.78125,2000
1996-09-10,4.78125,4.78125,4.78125,4.78125,400
1996-09-11,4.84375,4.84375,4.78125,4.78125,30000
1996-09-12,4.9375,4.9375,4.875,4.875,154400
1996-09-13,5.03125,5.03125,4.9375,4.9375,220400
1996-09-16,5.03125,5.0625,5.03125,5.03125,85600
1996-09-17,5.03125,5.0625,5.0,5.0625,18400
1996-09-18,5.09375,5.09375,5.03125,5.03125,24800
1996-09-19,5.15625,5.15625,5.09375,5.125,187600
1996-09-20,5.28125,5.28125,5.1875,5.21875,148400
1996-09-23,5.28125,5.28125,5.28125,5.28125,67600
1996-09-24,5.34375,5.375,5.28125,5.28125,93600
1996-09-25,5.34375,5.34375,5.34375,5.34375,36800
1996-09-26,5.09375,5.34375,5.09375,5.3125,79200
1996-09-27,5.0625,5.125,4.9375,5.125,66400
1996-09-30,5.09375,5.09375,5.0625,5.0625,15200
1996-10-01,5.09375,5.09375,5.0625,5.09375,363200
1996-10-02,5.28125,5.28125,5.15625,5.15625,239200
1996-10-03,5.3125,5.3125,5.25,5.28125,104000
1996-10-04,5.4375,5.4375,5.34375,5.34375,135600
1996-10-07,5.5,5.5625,5.5,5.5,62800
1996-10-08,5.53125,5.5625,5.5,5.5,112000
1996-10-09,5.5,5.53125,5.5,5.53125,35600
1996-10-10,5.53125,5.5625,5.46875,5.46875,172800
1996-10-11,5.625,5.625,5.5625,5.5625,31200
1996-10-14,5.6875,5.6875,5.625,5.625,30400
1996-10-15,5.5625,5.75,5.53125,5.75,126400
1996-10-16,5.53125,5.5625,5.46875,5.53125,73600
1996-10-17,5.5625,5.5625,5.5,5.53125,130400
1996-10-18,5.65625,5.6875,5.53125,5.5625,124400
1996-10-21,5.71875,5.71875,5.625,5.625,209600
1996-10-22,5.75,5.84375,5.6875,5.71875,344400
1996-10-23,5.78125,5.78125,5.6875,5.78125,598000
1996-10-24,5.75,5.8125,5.75,5.78125,298800
1996-10-25,5.78125,5.8125,5.75,5.78125,77600
1996-10-28,5.75,5.84375,5.75,5.78125,105200
1996-10-29,5.78125,5.8125,5.75,5.78125,565600
1996-10-30,5.78125,5.8125,5.75,5.78125,121600
1996-10-31,5.84375,5.84375,5.78125,5.78125,36400
1996-11-01,6.0,6.03125,5.84375,5.84375,536400
1996-11-04,6.21875,6.21875,6.03125,6.03125,152000
1996-11-05,6.46875,6.5625,6.3125,6.375,699200
1996-11-06,6.65625,6.75,6.46875,6.46875,490000
1996-11-07,6.5,6.65625,6.46875,6.65625,314400
1996-11-08,6.46875,6.53125,6.40625,6.53125,143600
1996-11-11,6.5,6.5,6.40625,6.46875,61200
1996-11-12,6.28125,6.5,6.25,6.5,98400
1996-11-13,6.125,6.28125,6.0,6.28125,224000
1996-11-14,6.34375,6.40625,6.0625,6.15625,171600
1996-11-15,6.5,6.5625,6.3125,6.375,172400
1996-11-18,6.4375,6.5,6.4375,6.5,36400
1996-11-19,6.5625,6.5625,6.4375,6.4375,154400
1996-11-20,6.625,6.65625,6.5625,6.5625,216800
1996-11-21,6.4375,6.59375,6.375,6.59375,146000
1996-11-22,6.40625,6.5,6.375,6.40625,92800
1996-11-25,6.6875,6.71875,6.375,6.375,177200
1996-11-26,6.71875,6.875,6.6875,6.75,178400
1996-11-27,6.84375,6.84375,6.6875,6.71875,101600
1996-11-29,6.65625,6.84375,6.65625,6.84375,101600
1996-12-02,6.46875,6.6875,6.4375,6.6875,142400
