Date,Close,High,Low,Open,Volume
1995-06-16,7.5,8.0,7.4375,7.5,6212400
1995-06-19,7.1875,7.625,7.0625,7.5625,1528200
1995-06-20,7.1875,7.3125,7.1875,7.25,863000
1995-06-21,7.0625,7.25,7.0,7.25,629000
1995-06-22,7.3125,7.5625,7.0,7.0625,546200
1995-06-23,7.3125,7.4375,7.25,7.375,365000
1995-06-26,7.0625,7.375,7.0,7.3125,515400
1995-06-27,7.0,7.125,7.0,7.125,270800
1995-06-28,7.0,7.0625,7.0,7.0625,500400
1995-06-29,7.0,7.125,7.0,7.0,309200
1995-06-30,7.125,7.1875,7.0625,7.0625,95000
1995-07-03,7.0625,7.125,7.0625,7.0625,9200
1995-07-05,7.0625,7.125,7.0625,7.125,75600
1995-07-06,7.0625,7.125,7.0625,7.0625,81400
1995-07-07,7.5625,7.625,7.0625,7.0625,475000
1995-07-10,7.75,7.75,7.5,7.5,241400
1995-07-11,8.5,8.5625,7.625,7.625,538600
1995-07-12,9.0,9.0625,8.375,8.5,496200
1995-07-13,8.9375,9.0,8.8125,9.0,384000
1995-07-14,8.9375,8.9375,8.75,8.9375,102200
1995-07-17,9.4375,9.5,9.0625,9.0625,480200
1995-07-18,9.0625,9.4375,9.0,9.4375,359200
1995-07-19,8.875,9.0,8.8125,9.0,101600
1995-07-20,8.6875,8.75,8.4375,8.75,119600
1995-07-21,8.6875,8.75,8.6875,8.75,13000
1995-07-24,8.5625,8.8125,8.5625,8.6875,112000
1995-07-25,8.75,8.8125,8.5625,8.5625,201000
1995-07-26,9.125,9.1875,8.875,8.875,287800
1995-07-27,9.3125,9.375,9.1875,9.1875,101600
1995-07-28,9.3125,9.4375,9.3125,9.375,100400
1995-07-31,9.25,9.375,9.0625,9.375,60800
1995-08-01,9.0625,9.1875,9.0,9.1875,57600
1995-08-02,8.875,9.0,8.875,9.0,41000
1995-08-03,8.75,8.8125,8.75,8.8125,12600
1995-08-04,8.625,8.6875,8.5625,8.625,9000
1995-08-07,8.6875,8.75,8.5625,8.5625,12200
1995-08-08,8.5625,8.6875,8.5625,8.625,3200
1995-08-09,8.1875,8.4375,8.1875,8.4375,24000
1995-08-10,8.125,8.25,8.125,8.25,6800
1995-08-11,8.125,8.125,8.125,8.125,10000
1995-08-14,8.0,8.125,7.9375,8.0625,28200
1995-08-15,8.0,8.0625,8.0,8.0,9400
1995-08-16,8.1875,8.25,8.0625,8.0625,11800
1995-08-17,8.25,8.3125,8.1875,8.1875,6200
1995-08-18,8.25,8.375,8.25,8.375,9800
1995-08-21,8.375,8.4375,8.25,8.25,8600
1995-08-22,8.4375,8.4375,8.3125,8.3125,12400
1995-08-23,8.5625,8.6875,8.5,8.5,28800
1995-08-24,8.75,8.75,8.625,8.625,16200
1995-08-25,8.5625,8.625,8.5625,8.625,30200
1995-08-28,8.4375,8.5625,8.4375,8.5625,9200
1995-08-29,8.1875,8.375,8.1875,8.375,9200
1995-08-30,8.1875,8.25,8.1875,8.25,1400
1995-08-31,8.125,8.1875,8.125,8.125,13800
1995-09-01,8.0625,8.0625,8.0,8.0,9200
1995-09-05,8.0,8.0625,8.0,8.0,12200
1995-09-06,7.8125,8.0625,7.8125,7.9375,23400
1995-09-07,7.75,7.875,7.625,7.8125,48800
1995-09-08,7.9375,8.0,7.75,7.75,140200
1995-09-11,7.875,7.9375,7.8125,7.9375,104000
1995-09-12,8.0,8.0,7.9375,7.9375,11000
1995-09-13,7.8125,8.125,7.8125,8.125,14600
1995-09-14,7.8125,7.8125,7.625,7.625,14800
